"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Plantago.major","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Shepherdia.canadensis","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Plantago.lanceolata.type","Rhamnus.alnifolia.R..frangula","Rumex.type","Tsuga.canadensis","Picea.undiff.","Juglans.cinerea","Taxus","Thalictrum","Rosaceae.undiff.","Caryophyllaceae","Picea.glauca.type","Fabaceae","Onagraceae","Acer.saccharinum","Nemopanthus.mucronatus","Juniperus.communis.Thuja.occidentalis.type","Artemisia","Myrica.gale","Ranunculaceae.undiff.","Zea.mays","Pinus.resinosa.type","Castanea.dentata","Corylus.cornuta","Rubiaceae","Acer.spicatum","Fraxinus.americana.type","Prunus.pensylvanica","Sambucus","Caprifoliaceae.undiff.","Brassicaceae","Viburnum.nudum","Viburnum.lentago","Impatiens","Cornus","cf..Oxyria.digyna"
125,3691,559,1,1,7,4,2,158,13,19,26,10,1,1,2,0,2,10,41,0,0,3,28,1,0,3,1,13,2,1,1,17,1,11,146,0,0,0,28,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3822,560,0,0,8,0,0,194,31,1,42,12,2,0,1,0,0,5,65,0,0,0,20,0,0,2,0,17,0,0,4,9,3,0,132,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4083,474,0,2,11,1,2,154,21,1,15,14,4,0,1,0,0,2,55,0,0,0,38,0,0,5,0,15,0,0,1,15,5,3,88,0,0,0,11,1,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4344,531,0,0,8,2,0,187,48,2,55,15,7,1,5,0,0,3,18,0,0,1,15,1,0,0,0,12,0,0,1,12,0,14,104,0,0,0,9,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4606,604,0,4,11,4,0,251,84,9,33,6,1,0,0,0,0,3,50,0,0,0,17,0,0,2,0,15,0,1,1,15,5,1,62,0,0,0,23,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4775,575,0,1,8,0,2,185,65,3,9,7,0,0,1,0,0,4,42,0,0,0,20,0,0,2,0,19,0,0,3,8,1,0,100,0,0,0,87,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4860,433,0,1,4,2,0,110,39,1,4,7,9,4,8,0,0,11,21,0,0,2,16,2,0,2,0,16,0,0,0,3,0,30,33,0,0,0,88,4,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0
180,4945,537,0,2,9,2,0,199,38,7,13,8,4,0,1,0,0,4,36,0,0,0,23,1,0,5,0,15,0,0,2,4,4,0,67,0,0,0,79,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
190,5114,460,0,4,5,2,0,150,10,3,27,10,4,1,1,0,0,1,33,0,1,0,14,2,0,4,0,13,0,0,3,3,2,4,43,0,0,0,101,4,2,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
195,5199,544,1,0,5,0,1,223,19,0,8,4,4,1,3,0,1,5,36,0,0,1,18,3,0,5,0,20,0,0,0,8,2,27,16,0,0,5,92,3,5,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,11,3,2,1,0,0,0,0
200,5214,718,1,4,10,12,1,231,7,6,10,5,0,2,5,0,0,4,63,0,0,2,22,0,0,3,1,7,0,0,1,6,0,20,53,0,0,0,88,0,9,0,0,0,0,0,6,0,0,40,0,1,1,0,0,0,0,2,0,0,0,1,93,0,0,0,1,0,0,0
205,5230,487,0,1,7,0,1,67,33,1,0,8,0,3,2,0,0,17,34,0,0,1,11,1,0,3,0,11,0,0,1,8,0,39,88,0,0,0,129,5,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0
210,5246,1154,0,0,44,6,1,59,6,3,4,12,1,0,0,0,0,1,162,0,0,0,15,3,0,6,0,4,0,0,2,4,3,20,366,0,0,0,154,0,3,0,0,0,0,0,0,0,3,130,0,2,0,0,0,0,0,1,0,0,0,0,139,0,0,0,0,0,0,0
220,5278,758,2,0,4,9,0,88,23,2,4,24,0,3,1,0,0,7,65,0,0,3,45,1,0,1,2,14,0,1,0,9,0,44,160,0,0,0,78,2,3,1,0,0,0,0,3,0,0,43,0,0,0,0,0,0,0,2,0,0,1,0,112,0,0,0,0,0,1,0
225,5294,845,3,1,4,15,0,123,2,2,8,22,2,4,3,0,0,7,117,0,0,4,27,2,0,3,0,10,0,1,2,15,1,54,307,0,0,0,63,2,0,0,0,0,0,0,4,0,4,8,3,0,1,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0
230,5310,647,0,0,7,3,0,23,0,4,1,7,1,2,1,0,0,12,175,0,0,0,13,7,0,3,0,4,0,1,2,3,1,10,290,0,0,0,54,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
240,5341,456,0,0,4,2,3,15,1,0,0,7,0,1,0,0,0,5,75,0,0,0,7,4,0,7,0,2,0,1,1,2,0,9,234,0,0,0,51,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
245,5357,588,0,0,5,10,10,72,5,10,3,7,3,3,1,0,2,10,42,0,0,0,14,2,0,3,2,7,0,0,0,10,2,41,209,0,0,0,70,6,3,0,0,2,1,0,0,0,3,2,0,2,2,0,0,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0
250,5373,453,2,0,13,2,3,93,9,36,10,7,1,4,0,0,1,12,61,0,0,0,25,0,0,2,0,6,2,0,2,6,0,11,91,0,1,0,29,3,1,0,0,2,0,0,0,0,2,3,1,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1
255,5389,525,3,0,14,4,1,36,11,2,0,5,1,6,1,0,1,3,46,0,0,0,15,13,0,6,1,3,0,2,0,25,1,13,244,0,0,0,27,2,0,1,0,0,2,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,24,0,1,0,0,1,1,0
260,5405,570,0,0,4,0,2,40,5,2,6,13,0,0,2,0,0,5,110,0,0,1,6,1,0,4,1,6,0,2,1,3,0,14,245,0,0,4,79,2,3,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,5436,468,0,1,4,3,0,34,2,0,5,6,2,1,1,0,0,14,103,0,0,0,11,2,0,3,0,6,0,0,1,5,1,7,177,0,0,0,65,3,2,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
275,5452,415,0,0,3,3,0,23,6,2,0,1,0,1,3,0,0,0,146,0,0,0,8,3,0,1,1,4,1,1,1,1,0,11,154,0,0,0,37,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5468,407,0,0,1,4,0,18,2,0,1,2,0,1,1,0,0,6,99,0,0,0,9,6,0,2,0,7,0,1,0,10,1,7,196,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,NA,712,0,0,1,0,2,16,35,0,1,2,2,2,5,0,0,13,291,0,2,0,8,15,0,0,0,3,1,2,4,9,0,19,252,0,0,0,17,1,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,NA,558,2,1,6,1,1,56,108,5,3,5,0,0,1,0,1,6,202,0,0,0,11,11,0,1,1,5,1,0,0,7,0,16,82,0,0,0,14,1,3,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
300,NA,528,4,0,2,0,0,22,113,0,0,8,2,1,1,0,0,6,196,0,0,2,5,11,0,3,0,2,1,1,0,4,0,21,104,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
