"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Celtis","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Herbs.undiff.","Iva.xanthifolia.type","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Polemoniaceae","Quercus","Rumex","Salix","Scrophulariaceae","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Fraxinus","Pinus","Populus","Poaceae","Urtica","Larix","Thalictrum","Tsuga","Vitis","Juglans","Abies","Fabaceae.undiff.","Platanus","Ephedra","Sarcobatus.vermiculatus","Apiaceae","Potentilla.type","Rosaceae.undiff.","Viburnum","Ranunculaceae.undiff.","Lamiaceae","Caryophyllaceae","Laportea.type","Liliaceae","Caprifoliaceae.undiff.","Rhamnaceae.Vitaceae.undiff.","Morus","Dalea","Sanguisorba","Shepherdia","Myrica","Ericaceae"
640,1760,533,27,30,14,0,3,1,9,1,0,1,15,5,2,0,21,0,0,181,0,7,0,2,9,10,12,4,8,49,0,110,3,0,2,0,1,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
660,1911,515,29,35,20,0,1,1,8,4,4,3,24,7,0,0,14,0,0,191,0,3,0,2,4,9,12,2,7,38,2,82,1,0,4,0,0,3,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
680,2070,508,15,38,14,0,1,0,6,3,4,6,38,6,2,0,10,0,0,154,0,8,0,6,9,14,5,1,10,39,1,93,4,2,3,0,2,0,0,1,3,1,1,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0
700,2236,527,18,25,25,1,3,1,7,0,1,4,37,4,4,0,6,1,2,185,0,5,0,6,18,13,12,0,4,44,7,84,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
720,2407,538,22,35,27,1,2,0,3,1,4,7,42,6,3,0,11,2,1,152,0,3,0,7,19,17,10,3,15,42,3,79,6,1,4,1,0,0,0,0,5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
740,2582,517,33,41,10,1,5,0,12,2,2,1,31,6,0,0,5,1,0,145,0,7,0,10,14,13,13,7,10,57,1,70,5,1,2,1,1,0,0,0,3,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
760,2761,518,27,39,12,0,2,0,13,1,1,2,17,4,2,0,12,2,1,141,1,6,0,8,13,11,19,1,4,71,6,86,8,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
780,2942,498,19,34,13,1,2,0,11,1,1,5,35,1,0,0,10,0,1,125,0,10,0,5,18,8,10,4,12,49,0,100,6,0,5,1,0,2,0,3,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
800,3123,518,24,44,12,0,0,0,6,2,2,3,29,6,2,0,10,2,0,128,0,8,0,4,17,9,6,0,10,72,7,99,5,0,1,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
820,3304,510,36,44,20,1,3,0,14,0,0,2,35,1,1,0,8,2,1,116,0,10,0,5,9,7,3,4,16,59,2,95,3,2,0,1,0,0,0,3,1,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
840,3485,587,49,45,13,2,2,2,12,2,0,6,45,7,0,0,9,1,0,117,0,22,0,6,14,13,13,6,13,53,7,117,4,0,0,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,3663,542,40,48,23,0,1,0,12,2,2,1,42,2,0,0,14,0,0,112,1,10,0,9,28,9,9,0,6,57,6,102,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,3840,508,40,52,9,3,1,0,14,0,0,9,32,1,1,0,13,0,0,81,1,17,0,1,19,19,4,4,7,54,13,99,6,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
900,4014,509,57,64,13,0,1,0,7,1,0,5,39,3,1,0,6,0,0,83,0,14,0,0,17,13,6,3,8,47,9,96,5,1,1,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
960,4518,528,75,64,6,0,1,0,17,2,4,3,29,5,2,0,7,0,1,119,0,5,0,4,20,11,10,0,6,40,1,88,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
980,4678,599,56,85,10,0,2,1,13,4,0,6,70,10,2,0,3,1,0,59,0,11,0,3,25,7,12,3,11,56,10,117,8,0,1,0,0,0,0,1,3,0,1,1,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0
1100,5541,527,45,97,8,1,0,0,18,1,0,2,49,3,0,0,6,1,0,67,1,5,0,0,20,11,10,5,9,41,5,117,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1220,6292,566,75,71,5,0,0,0,29,2,0,6,59,3,0,0,10,0,0,51,1,4,0,2,21,14,10,2,8,66,5,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,6773,527,42,72,8,0,2,2,24,1,0,3,57,6,1,0,12,2,0,46,1,6,0,2,19,16,6,0,9,46,8,130,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1400,7397,642,65,117,5,0,1,0,26,0,0,5,38,8,0,1,12,2,0,46,1,14,0,3,30,17,7,0,3,43,9,164,17,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1530,8297,523,61,83,9,0,3,0,21,3,0,7,46,6,0,0,7,16,0,43,1,7,0,0,14,23,2,3,9,45,1,104,0,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1622,9028,527,103,58,5,0,0,0,20,8,1,1,42,14,1,0,11,8,0,36,0,0,0,0,22,17,3,2,5,45,14,102,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720,9858,540,28,48,22,0,4,1,21,5,2,6,33,12,0,0,20,17,0,44,1,11,0,1,14,37,7,2,12,83,8,88,3,3,1,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1800,10768,570,25,44,21,0,8,1,21,0,3,3,40,12,0,0,12,13,0,63,0,8,0,3,8,54,4,2,9,81,7,120,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1878,12107,560,5,23,59,1,0,0,8,0,1,1,33,4,0,0,10,111,0,13,0,20,0,0,4,9,153,1,14,23,43,11,1,6,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1935,13187,102,2,5,1,0,1,0,1,0,0,5,9,2,0,0,0,43,0,0,0,0,0,0,1,0,0,0,2,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1960,13667,143,1,1,3,0,1,0,0,0,1,0,6,1,0,0,1,112,0,0,0,0,0,0,3,0,1,0,1,0,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
