"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Celtis","cf..Hypericum","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Elaeagnus","Ephedra.viridis.type","Equisetum","Euphorbiaceae","Fabaceae.undiff.","Fagus","Fraxinus","Galium","Humulus.type","Juglans","Lamiaceae.undiff.","Larix","Liquidambar","Lycopodium.type","Malvaceae","Menyanthes.trifoliata","Morus","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ostrya.Carpinus","Picea","Pinus","Plantago.major","Platanus","Poaceae","Polemonium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Populus","Potamogetonaceae","Primulaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Saxifragaceae","Scrophulariaceae","Shepherdia.canadensis","Solanaceae","Sparganium.type","Stachys.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Viscaceae","Vitis"
65,3753,0,2,8,105,67,2,7,30,30,0,0,0,0,6,0,0,0,0,3,176,2,2,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,0,0,29,1,0,0,7,4,46,0,8,116,0,0,3,0,0,1,0,59,4,0,0,3,6,1,0,2,0,0,0,0,36,0,0,2,0,18,11,0,0,0,0,0,1
70,4000,0,2,6,157,91,0,0,13,11,0,8,2,0,2,3,0,0,3,1,208,0,3,0,0,3,0,0,0,6,0,0,1,0,3,0,1,0,0,0,22,5,0,0,2,0,54,0,3,57,0,0,4,6,3,0,2,62,2,0,0,8,13,3,0,4,0,0,0,0,10,0,0,2,0,14,2,0,0,0,0,0,0
75,4264,0,1,7,148,67,1,0,31,37,0,6,0,0,3,0,0,0,0,0,159,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,36,0,0,0,6,2,45,1,6,66,0,0,2,0,0,0,0,57,2,0,0,5,9,2,1,0,0,0,0,0,13,0,1,0,0,10,6,0,1,0,0,0,0
80,4549,1,5,3,187,74,0,0,18,35,0,4,0,0,3,1,0,0,1,0,169,0,2,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,17,0,0,0,3,5,23,0,4,70,0,0,4,0,0,0,0,48,0,0,0,3,8,3,0,0,0,0,0,0,5,0,0,0,0,19,8,0,0,0,0,0,0
85,4861,0,0,4,125,70,3,1,23,23,0,8,0,0,4,0,0,0,1,2,136,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,21,0,0,0,6,1,37,0,5,51,0,0,1,0,0,0,0,76,0,0,0,5,3,0,0,0,0,0,0,0,11,0,0,0,0,11,14,0,0,0,0,0,0
90,5204,0,4,5,125,65,1,1,20,17,0,7,0,0,5,0,0,0,4,4,127,1,1,0,0,2,0,0,0,4,0,0,8,0,0,0,0,0,0,0,28,0,0,0,3,2,33,0,2,70,0,0,2,0,0,0,0,56,0,0,0,5,2,0,0,2,0,0,0,0,1,0,0,1,0,21,13,0,0,0,0,0,0
95,5583,0,0,2,219,67,0,1,20,24,0,3,0,0,1,0,0,0,0,0,105,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,3,21,0,3,50,0,0,2,0,0,0,0,40,0,0,0,29,7,0,0,0,0,0,0,0,2,0,1,1,0,12,3,0,0,0,0,0,0
100,6005,0,1,5,492,108,2,2,31,22,1,1,0,0,1,1,0,0,0,0,41,1,1,0,0,1,1,0,0,0,0,1,3,3,0,0,1,0,0,0,3,0,0,0,1,4,31,0,5,80,0,0,4,0,0,0,0,38,0,0,0,17,0,2,0,0,0,0,0,0,2,0,0,1,0,21,11,0,0,1,0,0,0
105,6462,0,1,3,352,66,4,0,25,15,0,3,0,0,1,0,0,0,1,0,85,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,8,0,0,0,5,1,15,0,0,50,0,0,2,0,0,0,0,29,0,0,0,96,4,2,0,1,0,0,0,0,5,0,1,0,0,8,13,0,0,0,0,0,0
110,6940,0,1,1,514,97,1,0,19,24,0,2,0,0,9,0,0,0,0,0,160,1,4,0,1,1,0,0,0,2,0,0,4,0,1,1,0,0,0,0,7,0,0,0,6,5,34,0,7,75,0,0,2,1,0,0,0,45,1,0,0,17,5,0,0,2,0,0,0,0,5,0,0,0,1,15,23,0,0,0,0,0,0
115,7423,0,2,2,249,82,3,3,22,19,0,6,0,0,5,0,1,0,2,0,265,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,3,0,0,0,5,6,58,0,4,138,0,0,3,0,0,0,0,63,1,0,0,5,5,1,0,0,0,0,0,2,7,0,0,0,1,9,10,1,0,0,0,0,1
120,7896,4,14,5,221,141,0,0,17,15,0,7,0,0,4,0,2,0,5,0,152,0,0,0,0,0,0,0,0,3,0,1,4,0,1,0,0,0,0,0,2,0,0,0,6,11,20,0,1,97,0,0,0,0,0,0,0,58,0,0,0,3,4,1,3,1,0,0,0,0,5,0,0,5,0,11,47,0,0,0,0,0,0
125,8360,1,3,5,149,161,4,0,28,21,0,9,0,0,16,0,0,0,3,0,131,0,1,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,3,0,1,0,9,14,23,0,1,81,0,0,1,0,0,0,0,65,0,0,0,5,1,5,0,1,0,0,0,0,1,0,0,3,0,10,64,0,0,0,0,0,0
130,8815,3,9,7,95,87,0,1,15,8,0,9,0,0,12,1,1,0,4,2,57,1,1,0,0,1,1,0,0,6,0,0,6,0,1,0,2,0,0,0,0,0,0,0,22,11,22,0,0,45,0,0,4,0,0,0,2,100,0,0,0,0,6,0,1,2,0,0,0,0,3,0,1,5,0,6,216,3,0,0,0,0,0
135,9262,2,8,7,75,123,0,0,17,13,0,8,0,0,15,0,0,0,3,0,83,2,8,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,1,0,0,0,31,7,15,0,0,48,0,0,0,0,0,0,0,101,0,0,0,4,2,3,0,2,0,0,0,0,2,0,1,8,0,13,229,1,0,0,0,0,0
140,9703,0,9,4,11,26,0,0,13,4,0,6,0,0,40,0,1,0,3,1,15,0,8,0,0,0,0,0,0,11,0,0,20,0,0,0,0,0,0,0,0,0,0,0,49,2,19,0,0,14,0,0,0,0,0,0,0,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,23,0,2,372,0,0,0,0,0,0
145,10139,4,24,9,10,26,0,0,16,3,0,31,0,0,32,0,1,0,6,0,9,0,15,0,0,0,1,0,0,10,0,0,22,0,1,0,0,0,0,0,1,1,4,0,64,3,14,0,0,7,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,247,1,0,0,0,0,0
150,10572,1,6,14,3,15,0,0,9,1,0,37,0,0,31,0,2,0,13,2,4,0,3,0,0,0,0,0,0,8,0,0,18,0,2,0,0,0,0,0,1,1,0,0,39,8,13,0,2,5,0,0,0,0,0,0,0,74,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,21,0,1,317,0,0,0,0,0,0
155,11002,28,6,22,3,4,0,0,13,2,0,199,0,0,2,0,0,0,21,0,9,0,5,0,0,0,0,0,0,89,0,0,2,0,7,0,0,0,0,0,0,2,0,0,20,38,9,0,0,14,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,181,0,1,0,0,0,0
160,11429,33,7,123,6,11,0,0,36,4,0,120,0,0,2,0,1,0,17,0,23,0,2,0,0,0,0,1,0,39,0,0,0,0,31,0,0,0,0,0,0,1,0,0,32,251,23,0,1,24,0,0,0,0,0,0,0,43,0,0,0,0,0,5,1,0,2,0,0,0,1,0,1,0,0,2,36,0,1,0,0,0,1
165,11848,42,2,82,9,31,0,0,49,13,0,75,0,0,1,0,0,0,17,2,40,0,0,0,0,2,1,0,0,34,0,3,0,0,3,0,0,0,0,0,0,2,0,0,27,253,4,0,1,30,0,0,0,0,0,0,0,42,0,0,0,0,0,4,2,0,0,1,0,0,0,0,1,0,0,0,22,0,2,0,0,0,0
170,12260,15,5,31,6,30,0,0,27,4,0,12,0,0,1,0,0,0,24,3,22,0,3,0,0,1,0,0,0,184,1,6,1,0,6,0,0,0,0,2,1,0,0,0,50,146,5,0,0,18,0,0,0,5,0,0,0,40,1,0,0,1,0,2,0,0,0,0,0,0,3,0,2,1,0,0,34,0,0,0,0,0,0
175,12665,30,0,26,7,35,0,0,33,2,0,8,0,0,2,0,0,0,6,2,12,0,10,0,0,0,0,0,0,186,0,0,0,0,13,0,0,0,0,0,0,0,0,0,27,186,9,0,0,10,0,0,0,0,0,0,0,53,0,0,0,0,0,2,0,2,0,0,0,0,1,0,3,0,0,1,32,0,1,0,0,0,0
180,13065,19,1,18,7,26,0,0,22,4,0,6,0,0,1,0,0,0,7,2,27,0,8,0,0,2,0,0,0,108,0,9,0,0,14,0,0,0,0,0,2,0,0,0,23,233,10,0,0,13,0,0,1,0,0,0,0,37,1,0,0,0,0,2,0,2,0,0,0,0,1,0,3,0,0,3,17,0,0,0,0,0,0
185,13461,25,4,19,4,24,0,0,26,5,0,16,0,0,2,0,0,0,8,1,24,0,8,0,0,0,0,0,0,61,1,2,0,0,18,0,0,0,0,1,0,0,0,0,16,288,7,1,0,7,0,0,0,0,0,0,1,23,1,0,0,1,0,2,0,0,1,0,0,0,3,0,2,0,0,3,12,1,0,0,0,0,0
190,13854,14,3,13,1,14,0,0,55,7,0,8,0,0,1,0,0,0,4,3,42,0,3,1,0,2,0,0,0,50,1,4,0,0,16,0,0,0,0,0,2,0,0,0,4,414,13,0,0,18,0,0,0,0,2,0,0,17,0,0,2,0,0,6,0,1,0,0,0,0,1,0,2,0,0,1,7,0,0,0,0,0,1
200,NA,2,4,12,4,10,0,0,67,2,0,16,0,0,1,1,1,0,2,1,64,0,0,0,0,1,0,0,1,33,0,1,0,0,8,0,0,0,0,0,3,0,0,0,10,341,12,1,0,17,0,0,0,0,3,0,0,22,1,0,1,0,0,5,0,0,0,0,0,0,1,0,6,0,0,0,9,1,0,0,0,0,0
210,NA,6,3,7,2,1,0,0,56,2,0,18,0,1,0,0,0,0,3,2,74,0,5,0,0,1,1,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,312,18,0,0,6,0,1,0,0,0,0,0,18,1,0,0,0,0,4,0,0,1,1,0,0,2,0,1,0,0,3,0,1,0,0,0,0,0
220,NA,3,2,6,4,9,0,0,70,3,0,8,0,2,0,0,0,0,2,0,97,0,2,0,0,1,0,0,0,10,0,3,0,0,10,0,0,0,0,0,2,0,0,0,4,349,28,0,0,20,0,0,0,0,0,0,0,19,0,1,0,1,0,4,1,1,0,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,0
230,NA,3,1,12,3,7,0,0,47,12,0,8,0,0,1,0,0,0,4,1,42,0,1,0,0,3,0,0,0,19,1,3,0,0,10,0,0,0,0,0,0,0,0,0,5,359,11,0,2,14,0,0,0,1,0,0,0,19,0,0,1,0,0,3,0,2,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0
240,NA,6,1,12,3,12,0,0,42,3,0,6,0,0,0,0,0,0,3,0,44,0,1,0,0,3,0,0,0,14,0,4,0,0,3,0,0,0,0,0,2,0,0,0,2,430,15,1,0,4,1,0,0,0,0,0,0,18,0,0,1,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1
250,NA,1,1,13,3,7,0,0,76,8,0,15,0,0,0,0,0,0,5,2,89,0,2,0,0,4,0,0,0,31,1,1,0,0,8,0,3,0,0,0,0,0,0,0,7,359,8,0,0,25,0,0,0,0,0,0,0,18,0,0,0,0,4,6,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0
260,NA,9,2,6,3,4,0,0,62,5,0,17,0,0,1,0,0,0,1,0,102,0,4,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,398,14,0,0,6,0,0,0,0,0,0,1,12,0,0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,0,2,4,2,0,0,0,0,0
270,NA,7,2,10,6,7,1,0,57,6,0,11,0,0,0,0,0,0,0,0,90,0,3,0,0,2,0,0,0,6,0,2,0,0,7,0,0,0,0,0,0,0,0,0,3,322,21,0,1,9,0,0,0,0,0,0,0,19,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
280,NA,6,1,5,3,3,0,0,50,5,0,11,0,0,0,0,2,0,3,0,76,0,0,0,0,0,0,0,0,3,2,0,1,0,2,0,0,0,0,0,0,0,1,0,2,258,22,0,0,6,0,0,0,0,0,1,0,17,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
285,NA,8,2,10,3,5,0,2,30,4,0,9,0,0,0,0,0,0,1,6,191,0,2,0,0,2,0,0,0,14,0,0,0,0,2,0,5,0,0,0,0,0,0,0,5,254,34,0,0,21,0,0,0,0,0,0,4,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,5,1,0,0,0,0,0
290,NA,7,1,7,1,4,0,0,32,5,0,10,0,0,2,0,1,1,3,0,108,0,6,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,1,0,6,191,23,0,0,8,0,0,0,0,0,0,1,8,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
