"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Elaeagnus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Morus","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sambucus","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Dryas","Plantago","Poaceae","Polygonum","Rosaceae.undiff.","Rumex.Oxyria.digyna","Saxifraga","Thalictrum","Urtica","Xanthium","Cystopteris","Dryopteris.type","Equisetum","Lycopodium","Pteridium","Brasenia.schreberi","Hippuris.vulgaris","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia","Indeterminable","Unknown","pre.Quaternary"
120,3204,0,0,0,35,4,41,12,0,1,0,0,0,0,0,101,35,4,31,3,1,27,1,0,0,0,25,0,0,15,15,0,2,28,0,0,0,0,9,16,58,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0
140,4002,0,0,0,36,1,31,9,0,1,0,0,0,0,0,99,24,1,23,3,0,55,0,0,0,0,29,0,0,15,15,0,6,25,1,0,0,0,17,19,71,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,8,1,0
150,4396,0,0,0,43,4,42,5,0,0,0,0,1,0,0,68,4,0,4,5,1,6,1,0,0,0,35,0,0,16,16,1,2,35,1,0,0,0,12,17,72,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
160,4790,0,0,0,24,4,31,8,0,1,0,0,2,0,0,90,21,2,19,4,0,33,3,0,0,0,24,0,0,21,21,0,3,33,1,0,0,0,14,11,52,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0
165,4990,0,0,1,42,4,34,29,1,0,0,0,1,0,0,98,33,2,31,10,1,78,0,1,0,0,22,0,0,21,21,0,6,35,1,0,0,0,7,28,72,1,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
170,5191,0,0,0,42,5,45,17,0,0,0,0,0,0,0,79,25,3,22,12,1,82,2,0,0,0,12,0,0,15,16,0,7,24,0,0,0,0,17,13,60,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
172,5273,0,0,0,34,2,29,19,0,0,0,1,1,0,0,105,21,3,18,10,2,53,1,0,0,0,16,2,0,6,6,1,0,37,0,0,0,0,7,16,58,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0
174,5355,0,0,0,22,1,29,9,0,0,0,0,0,0,0,89,22,2,20,18,3,27,0,0,0,0,27,1,0,9,9,2,2,47,0,0,0,0,11,12,72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
175,5396,0,0,0,36,3,34,24,0,1,0,0,2,0,0,108,30,1,29,14,1,55,1,0,0,0,30,0,0,10,10,0,3,28,0,0,0,0,10,25,92,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
176,5437,0,0,0,34,6,25,10,0,0,0,0,1,0,0,60,19,0,19,8,2,25,1,0,0,0,26,0,0,4,4,4,1,50,0,0,0,0,8,35,53,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
178,5520,0,0,0,42,3,33,8,0,0,0,0,0,0,0,82,33,8,25,17,5,53,0,0,0,0,22,0,0,10,10,2,0,52,1,0,0,0,15,59,64,0,0,0,0,3,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
180,5604,0,0,0,31,2,25,2,1,0,1,0,0,0,0,99,23,0,23,3,0,31,0,0,0,0,16,0,0,6,6,0,2,28,0,0,0,0,14,48,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
190,6028,0,0,2,29,1,16,13,0,0,0,0,1,0,0,53,18,2,16,8,1,45,0,0,0,0,13,0,0,8,8,0,1,35,1,0,0,0,16,65,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0
200,6459,0,0,1,36,1,11,3,0,0,0,0,0,0,0,122,16,3,13,5,3,14,1,0,0,0,17,0,0,5,5,0,0,43,0,0,0,0,5,29,34,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
210,6894,0,0,2,34,2,21,6,0,0,0,0,0,0,0,82,21,1,20,3,0,20,1,0,0,0,26,0,0,16,16,0,2,42,0,0,0,0,10,18,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,4,0
220,7329,0,0,0,32,1,12,6,0,0,0,0,0,0,0,118,34,4,30,4,0,47,1,0,0,0,20,0,0,11,11,0,3,32,0,0,0,0,4,23,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,2
230,7758,0,0,1,37,0,15,4,0,0,0,0,3,0,0,108,28,1,27,0,0,41,0,0,0,0,36,0,0,14,14,0,4,40,2,0,0,0,8,28,52,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,2,4
240,8180,0,0,5,40,1,20,2,0,2,0,0,4,0,0,99,24,3,21,1,0,43,1,0,0,0,61,0,0,34,34,0,2,69,1,0,0,0,8,21,64,0,3,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,1,2
250,8588,0,0,1,34,1,15,5,0,0,0,0,1,0,0,49,24,4,20,1,0,52,0,0,1,0,35,1,0,42,42,0,3,76,1,0,0,0,7,42,66,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
260,8979,1,0,2,44,2,47,4,0,0,0,0,5,0,0,24,4,0,4,0,1,20,4,0,0,0,63,2,0,152,152,0,6,75,2,0,0,0,13,1,23,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
270,9350,3,0,2,28,4,43,3,1,0,0,1,6,0,0,3,17,2,15,0,1,1,1,0,1,0,33,7,12,127,139,0,3,53,0,0,0,0,2,4,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0
280,9695,1,0,0,6,1,19,2,0,0,0,0,3,0,0,1,9,1,8,0,0,1,2,0,0,0,17,2,64,154,219,0,1,49,2,0,2,0,1,2,8,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0
290,10011,0,0,0,0,0,23,3,0,0,0,0,2,0,0,1,5,1,4,1,0,1,3,0,0,0,19,1,57,171,229,0,4,30,1,0,0,0,0,1,13,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0
300,10293,1,0,5,22,1,41,1,0,0,0,0,7,0,1,2,13,0,13,0,0,6,1,0,2,0,43,18,69,98,167,0,3,39,3,0,0,0,0,2,12,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,11,0
310,10539,2,0,0,2,0,18,1,0,0,0,0,0,0,0,0,4,0,4,0,0,1,4,0,0,0,5,5,297,86,383,0,1,37,0,0,0,0,0,0,7,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0
320,10742,2,0,0,18,2,57,4,0,4,0,0,2,0,0,3,22,2,20,0,0,9,3,0,0,0,30,8,88,187,275,0,11,74,1,0,1,0,1,1,35,0,0,0,3,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,11,2,0
330,10900,3,0,0,8,1,50,4,0,0,0,0,0,0,0,3,18,0,18,2,0,4,6,0,0,0,34,4,111,78,189,0,5,30,4,0,0,0,0,1,30,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0
335,10961,5,0,0,2,2,132,5,0,0,0,0,0,0,1,0,10,1,9,1,0,4,8,0,0,0,27,9,265,92,357,0,2,73,0,0,0,0,0,1,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0
339,11000,2,0,0,1,0,77,6,0,0,0,0,1,0,0,1,9,2,7,2,0,1,4,0,0,0,17,13,179,0,179,0,0,37,3,0,0,0,0,2,18,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
340,11009,4,0,4,15,1,135,3,0,0,0,0,3,0,0,0,26,2,24,3,0,16,5,0,0,0,20,14,30,117,182,0,8,40,4,0,0,0,0,1,21,0,3,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4,1,0
342,11026,5,0,0,1,3,25,0,0,0,0,0,4,0,0,0,21,4,17,3,0,9,9,0,0,0,18,26,165,0,165,0,1,30,2,0,0,0,0,0,10,0,0,0,1,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,1,0
345,11050,6,0,3,4,0,21,2,0,0,0,0,2,0,0,2,10,2,8,0,1,27,8,0,0,0,10,22,138,6,144,0,12,17,3,0,0,0,0,1,19,0,1,0,3,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,1,0
348,11072,0,0,4,3,5,2,1,0,0,0,0,2,0,0,0,14,0,14,0,1,41,7,0,0,0,5,107,39,19,58,0,16,7,9,0,0,0,0,0,13,0,0,0,2,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,1
350,11087,0,0,0,1,5,3,1,0,0,0,0,0,0,0,0,8,0,8,0,0,29,9,0,0,0,12,132,73,0,73,0,5,4,14,1,2,0,0,1,11,0,2,0,5,6,0,0,0,3,0,0,11,0,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0
352,11102,1,0,0,2,10,7,0,0,0,0,0,2,0,0,0,5,2,3,0,0,57,6,0,0,0,9,102,56,0,56,0,15,2,21,1,3,0,0,1,15,0,1,0,7,3,0,0,0,2,0,0,7,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0
355,11124,0,0,3,9,2,9,1,0,0,0,0,6,0,0,0,16,1,15,0,0,53,7,0,0,2,22,51,109,10,119,0,21,14,3,0,0,0,0,4,10,0,1,0,5,0,0,0,0,4,0,0,4,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,7,2,0
357,11139,0,0,0,10,5,19,1,0,0,0,1,1,0,0,0,24,7,17,2,0,59,6,0,0,0,16,55,99,0,99,0,9,26,6,0,1,0,0,2,19,0,0,0,5,2,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,5,3,0
358,11147,1,0,1,12,4,19,1,1,0,0,0,2,0,0,0,21,4,17,2,0,49,3,0,0,0,13,65,74,30,104,0,15,22,6,0,0,0,0,3,16,0,1,0,1,0,0,0,1,3,1,0,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,9,4,0
362,11179,3,0,1,2,11,7,0,0,0,1,0,5,0,0,0,1,0,1,0,1,31,5,0,0,1,3,108,59,0,59,0,11,4,4,1,1,0,0,3,9,0,1,0,3,4,0,1,3,7,0,0,6,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,6,3,1
370,11248,2,0,0,2,5,10,3,2,0,0,0,2,0,0,0,0,0,0,0,0,21,7,0,0,0,3,156,33,0,33,0,10,3,7,1,0,0,0,0,4,0,2,0,4,0,0,0,6,6,0,0,5,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0
380,11340,0,0,0,3,1,1,2,0,0,0,0,2,0,0,0,5,0,5,1,0,34,0,0,0,0,6,186,9,0,9,0,8,3,6,0,0,0,0,0,3,0,5,0,9,2,0,0,0,18,0,0,5,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,7
385,11388,0,0,0,2,3,2,0,0,0,0,0,3,0,0,1,6,0,6,1,0,26,3,0,0,0,9,135,4,0,4,0,5,1,13,0,2,0,0,0,2,0,6,0,5,0,0,0,1,27,1,0,9,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,3
390,11437,0,0,0,1,1,1,0,0,0,0,0,3,1,0,0,6,0,6,0,0,15,1,0,0,0,10,25,9,0,9,0,11,2,40,0,3,0,0,0,8,0,5,0,13,8,0,0,2,29,2,0,8,0,1,3,0,1,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,11,2,19
395,11487,0,0,0,0,5,1,1,0,0,0,0,3,0,0,1,4,0,4,0,0,12,1,0,0,2,4,30,10,0,10,0,6,1,59,0,5,0,0,0,4,0,7,0,2,2,0,0,0,63,4,0,18,0,1,0,1,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6,2,6
400,11538,0,0,0,1,6,1,1,0,0,0,0,1,0,1,0,7,0,7,1,0,32,0,0,0,0,4,54,15,0,15,0,7,3,20,1,1,0,0,0,7,0,3,0,4,6,1,0,0,54,6,0,11,0,0,0,0,0,0,1,0,6,2,0,1,0,0,0,0,0,0,0,1,12,3,15
405,11588,0,0,0,0,9,2,0,0,0,0,0,4,0,0,1,1,0,1,0,0,13,2,0,0,0,8,57,28,0,28,0,13,1,18,0,0,0,0,0,3,0,8,0,3,2,0,0,1,82,1,0,13,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,3,9
415,NA,0,0,0,2,22,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,14,0,0,1,2,2,62,25,0,25,0,10,0,22,0,0,0,0,0,10,0,6,0,4,0,0,0,1,26,3,0,10,0,0,0,1,3,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,6,2,9
420,NA,0,0,0,1,41,0,0,0,0,0,0,4,0,0,0,4,0,4,0,1,18,0,0,0,1,1,102,43,0,43,0,6,1,29,0,0,0,0,0,2,0,2,0,3,0,0,0,1,44,8,0,19,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,7,1,3
425,NA,0,0,0,1,13,0,2,0,0,0,0,4,0,0,0,4,1,3,1,0,11,0,0,0,2,2,72,41,0,47,0,7,1,24,0,0,0,0,0,5,0,10,0,3,2,0,0,1,42,7,0,16,0,0,0,0,2,1,0,0,4,0,0,3,0,0,0,0,0,0,0,0,6,0,4
430,NA,0,0,0,0,24,0,0,0,0,1,0,6,0,0,1,10,0,10,0,0,25,2,0,1,0,13,42,43,0,43,0,23,4,9,0,0,0,0,1,2,0,10,0,4,1,0,0,1,43,4,0,13,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,9,5,7
