"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Larix","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae","Cyperaceae","Poaceae","Rumex"
100,3763,0.00956937799043062,0,0,0.0191387559808612,0.167464114832536,0.00478468899521531,0,0.0191387559808612,0,0.00478468899521531,0.0143540669856459,0,0,0.0143540669856459,0.00478468899521531,0.00478468899521531,0.0143540669856459,0.660287081339713,0,0,0.0239234449760766,0.00478468899521531,0.00478468899521531,0,0.0143540669856459,0,0,0,0,0.0143540669856459,0,0
110,3878,0.0142857142857143,0,0.019047619047619,0.00476190476190476,0.180952380952381,0,0,0,0,0,0.00476190476190476,0,0,0.00476190476190476,0,0,0.0142857142857143,0.671428571428571,0,0,0.019047619047619,0,0.00476190476190476,0.00476190476190476,0.0142857142857143,0,0,0.00476190476190476,0,0.0380952380952381,0,0
120,3992,0.0187793427230047,0,0.00469483568075117,0.0187793427230047,0.178403755868545,0,0,0.0187793427230047,0,0.0140845070422535,0.00938967136150235,0,0.00469483568075117,0.00469483568075117,0.00469483568075117,0.00469483568075117,0.0328638497652582,0.591549295774648,0,0.00938967136150235,0.0328638497652582,0,0,0.00469483568075117,0.00938967136150235,0,0,0,0,0.0375586854460094,0,0
130,4107,0.0186046511627907,0,0.00465116279069767,0.00930232558139535,0.209302325581395,0,0,0.00465116279069767,0,0.0186046511627907,0.0232558139534884,0,0,0.013953488372093,0,0,0,0.609302325581395,0,0,0.013953488372093,0,0,0,0.013953488372093,0.00465116279069767,0,0,0,0.0511627906976744,0.00465116279069767,0
140,4222,0.00956937799043062,0,0.0143540669856459,0.00478468899521531,0.22488038277512,0,0,0.0574162679425837,0,0.0143540669856459,0.00956937799043062,0,0,0.00956937799043062,0,0.0143540669856459,0.0191387559808612,0.511961722488038,0,0,0.0334928229665072,0.00478468899521531,0,0.0143540669856459,0.0239234449760766,0,0.00478468899521531,0.00478468899521531,0,0.0239234449760766,0,0
150,4337,0.0138888888888889,0,0.00925925925925926,0.0231481481481481,0.222222222222222,0,0,0.0416666666666667,0,0.00462962962962963,0.00925925925925926,0.00462962962962963,0,0.00462962962962963,0,0.00462962962962963,0.0138888888888889,0.532407407407407,0,0.00925925925925926,0.0416666666666667,0,0,0.00925925925925926,0.00925925925925926,0.00462962962962963,0.00462962962962963,0,0,0.037037037037037,0,0
160,4451,0.0238095238095238,0,0.00476190476190476,0.019047619047619,0.219047619047619,0.00476190476190476,0,0.0476190476190476,0,0.00476190476190476,0.0142857142857143,0.00476190476190476,0,0.00476190476190476,0,0.00952380952380952,0.00476190476190476,0.561904761904762,0,0.00952380952380952,0.0142857142857143,0,0,0,0.0285714285714286,0,0.00476190476190476,0,0.00476190476190476,0.0142857142857143,0,0
170,4566,0.00485436893203883,0,0.0242718446601942,0.0194174757281553,0.349514563106796,0,0,0.0194174757281553,0,0,0.0194174757281553,0,0,0,0,0.0145631067961165,0.00970873786407767,0.446601941747573,0.00970873786407767,0.00485436893203883,0.0388349514563107,0,0,0.0194174757281553,0.00970873786407767,0,0,0,0,0.00970873786407767,0,0
180,4681,0.00934579439252336,0,0.014018691588785,0.0420560747663551,0.411214953271028,0,0,0.0233644859813084,0,0.00934579439252336,0.0280373831775701,0,0,0,0,0.00934579439252336,0.00467289719626168,0.35981308411215,0,0,0.0514018691588785,0,0,0,0.014018691588785,0.00467289719626168,0,0,0.00467289719626168,0.014018691588785,0,0
185,NA,0.004739336492891,0,0.014218009478673,0.037914691943128,0.279620853080569,0,0,0.037914691943128,0,0,0.023696682464455,0,0,0.004739336492891,0,0.004739336492891,0.009478672985782,0.469194312796209,0,0,0.0616113744075829,0,0,0.023696682464455,0.014218009478673,0,0,0,0,0.004739336492891,0.009478672985782,0
