"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Diospyros.type","Dryopteris.type","Equisetum","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Moraceae.undiff.","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogetonaceae","Prunus.Sorbus","Pteridium.type","Quercus","Rhamnaceae","Rhamnaceae.Vitaceae.undiff.","Rubiaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Urtica.type","Vitis"
395,3384,0,0,2,4,11,0,0,1,0,0,0,0,1,14,1,0,16,0,9,0,0,0,1,0,1,0,7,0,0,5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,6,5,46,0,0,0,0,0,0,0,4,147,0,1,1,0,0,1,0,0,0,1,1,0,0,1,4,0,7,0,0
420,3762,0,0,3,3,20,0,0,0,1,0,0,0,0,14,1,0,9,0,4,0,0,0,1,3,2,0,7,0,4,8,0,2,2,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,5,5,3,39,0,2,0,0,0,0,1,5,153,0,0,1,0,0,0,0,0,0,1,3,1,0,1,4,0,3,0,0
430,3915,0,0,2,2,11,0,1,0,0,0,2,0,0,17,0,0,19,0,6,0,0,0,0,0,0,0,3,0,1,9,0,3,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,3,2,39,0,2,0,0,0,0,1,1,163,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0
440,4069,0,0,0,4,16,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,1,2,0,7,0,2,11,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,0,40,0,0,4,0,0,0,0,4,165,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,0,1
460,4380,0,0,3,5,8,0,0,0,0,0,0,0,0,13,5,0,13,0,3,0,0,0,0,1,2,0,6,0,1,21,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,37,0,2,0,0,1,0,0,2,170,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0
470,4536,1,1,4,2,13,0,0,1,1,0,0,0,1,26,2,0,9,0,7,0,0,0,0,0,2,0,6,0,0,13,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,7,3,0,32,0,4,1,0,1,0,0,2,147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,2,1,0
480,4692,0,0,1,2,11,0,0,0,0,0,1,1,0,24,3,0,9,0,4,1,0,0,0,1,2,0,5,0,1,16,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,7,0,27,0,1,1,0,2,0,1,2,166,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0,0
490,4849,0,0,2,7,11,0,0,1,0,0,0,0,0,25,4,0,3,0,2,0,0,0,1,2,0,0,7,0,2,19,0,1,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,25,0,0,0,0,1,0,0,1,161,2,0,2,0,1,0,0,0,0,0,2,0,1,1,5,1,2,1,0
498,4974,0,0,0,3,10,0,0,0,0,0,0,0,0,23,3,0,13,0,4,0,0,0,0,0,0,0,5,0,0,15,0,3,6,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,22,0,4,0,0,1,0,1,3,160,1,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,6,0,0
510,5162,0,0,3,3,13,0,1,0,1,0,0,1,1,20,3,0,9,0,9,0,0,0,0,0,1,0,3,0,0,22,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,2,0,31,0,0,1,0,0,0,1,5,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
520,5318,0,0,2,6,16,1,0,1,0,0,0,0,1,29,5,0,9,0,5,0,0,0,0,0,0,0,2,0,1,29,0,3,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,4,4,0,18,0,5,1,0,0,0,0,3,144,1,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,3,2,0
530,5474,0,0,1,5,10,0,0,2,0,0,0,1,0,20,2,0,11,0,11,0,0,0,0,0,0,0,3,0,0,20,0,4,2,0,0,2,1,1,0,0,0,0,0,0,0,3,0,0,1,0,2,6,0,24,0,1,0,0,0,0,0,0,135,0,0,1,0,0,0,0,0,0,0,1,0,1,2,30,0,5,0,0
540,5630,0,0,1,2,10,0,0,0,0,0,0,0,0,14,3,0,15,0,15,0,0,0,0,0,0,0,5,0,0,13,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,23,0,0,1,0,0,0,1,1,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,0,4,0,0
560,5944,0,0,1,3,11,0,0,2,0,0,0,0,0,13,3,0,13,0,10,0,0,0,0,1,2,0,3,0,0,16,0,4,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,18,0,3,3,0,1,0,0,3,150,0,0,1,0,0,0,0,0,0,0,0,0,0,1,31,0,3,0,0
570,6100,0,0,4,1,11,0,0,1,0,0,0,0,1,12,3,0,16,0,5,0,0,0,0,3,0,0,4,0,0,17,0,3,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,17,0,2,1,0,0,0,0,2,141,1,0,1,0,0,0,0,0,0,0,1,0,0,0,39,0,4,0,0
580,6257,0,0,0,8,9,0,0,2,0,0,0,0,0,12,1,0,10,0,2,0,0,0,0,0,1,0,4,0,1,24,0,2,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,2,1,0,0,0,1,1,145,0,0,2,0,0,0,0,0,0,0,0,0,1,0,46,0,5,1,0
590,6413,0,0,2,5,8,0,0,0,0,0,0,0,0,11,2,0,7,0,2,0,0,0,0,0,1,0,7,0,0,24,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,17,0,1,0,0,0,0,0,4,158,0,0,2,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,0
598,6537,0,0,0,5,7,0,0,0,1,0,1,0,0,10,1,0,5,0,3,0,0,0,0,1,1,0,7,0,0,28,0,1,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,6,0,1,1,0,0,0,0,4,156,0,0,2,0,0,0,0,0,0,0,0,0,0,1,47,0,0,1,0
610,6722,0,0,3,6,12,0,0,0,0,0,0,0,1,11,4,0,4,0,4,0,0,0,0,0,0,0,2,0,0,18,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,13,0,1,1,0,0,0,0,2,159,0,0,2,0,0,0,0,0,0,0,0,0,0,1,37,0,4,0,0
620,6875,0,0,4,2,9,0,0,0,0,0,0,1,1,14,2,0,5,0,0,0,0,0,0,0,1,0,1,0,1,33,0,5,6,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,11,0,2,0,0,0,0,0,4,139,0,0,3,0,0,0,0,0,0,0,1,0,0,2,36,0,8,0,1
640,7178,0,0,1,8,5,0,1,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,2,1,0,5,0,1,22,0,2,5,0,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,10,0,4,0,0,0,0,0,2,154,0,0,1,0,0,1,0,0,0,0,0,0,0,1,42,0,3,0,0
660,7473,0,0,0,3,11,0,0,1,0,0,0,0,0,12,2,0,2,0,1,0,0,0,2,0,0,0,6,0,0,29,0,3,1,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,8,0,3,1,0,0,0,0,0,161,3,0,0,0,0,0,0,0,0,0,0,0,0,2,33,0,4,0,1
680,7760,0,0,1,1,8,0,0,0,0,0,0,0,0,13,2,0,2,0,1,0,0,0,1,1,0,0,3,0,0,27,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,10,0,5,1,0,0,0,0,1,181,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,6,0,0
690,7900,0,0,3,0,11,0,0,0,1,0,0,0,0,16,6,0,4,0,1,1,0,0,0,0,0,0,1,0,0,25,0,2,6,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,1,0,10,0,0,0,0,0,0,0,3,156,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,7,0,0
695,7969,0,0,1,3,8,0,0,0,0,0,0,1,0,14,1,0,6,0,0,0,0,0,1,0,0,0,6,0,0,20,0,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,9,0,3,3,0,0,0,0,1,174,1,0,0,0,0,0,0,0,0,0,1,0,0,1,35,0,2,0,1
