"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Tilia","Ulmus","Apiaceae","Alnus","Ambrosia","Juniperus.Thuja","Populus","Poaceae","Brassicaceae","Dalea.candida","Iva.xanthifolia","Abies.balsamea","Acer.saccharum","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Fraxinus.pennsylvanica","Humulus.lupulus","Pinus.strobus.type","Parthenocissus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Polygonum","Carya","Caryophyllaceae","Sarcobatus.vermiculatus","Plantago","Larix.laricina","Vitis","Galium","Ephedra","Iva.annua","Acer.rubrum","Celtis","Liliaceae","Amorpha","Rosaceae","Ericaceae","Xanthium","Hydrophyllum.virginianum","Ranunculaceae.undiff.","Dalea.purpurea","Impatiens","Platanus","Lythrum.alatum","Viburnum.lentago","Lamiaceae","Arceuthobium","Shepherdia.argentea","Shepherdia.canadensis"
355,3015,435,1,22,62,5,8,33,0,21,8,69,99,1,2,1,6,12,1,8,8,0,3,28,0,0,0,1,1,16,2,3,0,6,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
375,3199,424,0,16,66,5,10,36,0,39,0,55,92,0,3,0,7,13,0,15,5,0,3,31,0,0,0,0,1,5,4,1,0,4,0,9,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,3291,445,0,29,77,9,4,33,0,33,4,38,120,0,4,2,8,19,0,8,3,0,2,30,0,0,0,0,2,0,4,2,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
405,3475,499,0,33,53,9,9,41,0,42,1,62,92,0,3,3,6,19,0,14,6,3,2,60,0,0,0,2,1,6,8,1,1,6,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
415,3567,482,0,35,52,14,11,44,0,46,0,63,71,0,2,0,3,20,0,14,7,2,3,43,0,0,0,2,4,17,8,0,0,9,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
435,3752,448,0,34,56,4,11,24,0,29,4,42,86,0,3,3,10,20,1,18,9,0,2,37,0,0,0,0,1,18,6,5,0,12,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
460,3982,497,0,24,51,0,8,30,0,48,4,51,143,0,1,2,11,15,0,10,9,1,2,36,0,0,0,1,0,4,7,3,0,18,0,13,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
475,4120,466,0,28,51,5,10,29,1,28,5,75,105,1,6,2,14,14,0,9,12,0,0,29,0,0,1,0,1,2,1,0,0,23,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
485,4212,399,1,31,35,8,2,37,0,45,3,38,41,0,7,1,8,11,0,7,11,3,2,53,0,0,0,2,0,11,7,5,0,15,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,4442,522,0,54,35,7,11,60,0,39,3,51,97,0,6,4,10,18,1,21,6,3,2,51,0,1,1,2,1,2,5,2,0,12,0,12,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
