"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Fraxinus","Herbs.undiff.","Humulus","Indeterminable","Juglans","Larix","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Populus","Quercus","Sagittaria","Salix","Shepherdia.canadensis","Sparganium.type","Tilia","Typha.latifolia","Ulmus"
165,7872,4,1,6,483,60,13,10,2,0,2,1,0,2,0,43,6,3,0,11,0,1,0,0,0,5,38,15,0,26,0,21,1,0,0,0,0,2,2
170,8209,3,2,5,554,45,7,8,3,0,1,0,0,3,0,46,6,4,0,38,0,1,1,0,0,2,37,11,0,21,0,34,1,0,0,1,0,3,6
175,8563,4,0,7,498,47,13,9,3,0,1,0,0,2,0,89,1,3,0,20,1,0,0,1,1,3,36,20,0,25,0,34,4,0,0,3,1,2,6
180,8930,6,0,8,460,36,13,13,5,0,3,0,0,6,0,56,4,5,0,40,0,1,0,0,0,1,54,10,0,34,0,31,0,0,0,0,1,1,9
186,9381,2,2,3,500,42,12,6,2,0,4,0,0,1,0,81,1,2,0,23,3,1,3,0,0,7,43,16,0,21,0,38,5,0,0,13,1,5,4
192,9839,1,2,7,392,78,11,12,5,0,5,0,0,1,0,108,7,6,0,31,2,1,2,0,1,12,29,12,0,53,0,72,5,0,0,4,1,13,28
198,10298,15,23,19,11,23,20,3,36,1,32,2,0,11,0,12,20,13,0,3,32,15,0,0,6,43,21,23,2,18,0,213,0,0,0,0,12,1,296
203,10666,29,3,94,5,29,40,3,66,19,0,2,0,32,0,8,84,3,5,5,1,10,0,0,0,59,103,3,0,24,0,69,1,4,0,0,0,1,45
208,11017,34,2,12,8,30,19,5,7,7,2,1,0,14,0,11,212,5,2,4,0,3,0,0,0,33,88,3,0,8,0,38,0,1,0,0,0,1,34
213,11355,8,0,15,0,19,17,2,2,0,2,3,0,2,0,10,232,2,5,6,1,1,0,0,0,19,118,0,0,5,0,38,0,1,0,0,0,0,12
218,11682,26,1,15,3,28,15,2,2,0,0,1,0,12,0,17,172,4,8,2,2,2,0,0,0,13,139,6,1,10,2,57,0,2,0,0,0,1,19
223,11998,7,0,8,2,33,12,10,2,0,0,0,0,3,1,8,126,5,16,8,1,4,0,0,0,13,215,1,2,11,0,37,0,4,0,0,0,0,4
228,12307,6,12,7,0,14,16,3,5,0,0,1,0,5,1,19,77,3,6,15,0,3,1,0,0,7,272,3,0,17,0,23,0,2,0,1,0,0,3
233,12609,0,2,13,1,21,9,7,2,0,0,1,0,1,4,10,105,6,15,15,0,7,0,0,0,10,235,2,0,17,3,19,0,2,0,0,0,1,5
238,12906,0,5,6,0,21,19,4,11,0,0,1,0,3,3,17,42,1,6,8,0,18,1,0,0,4,312,5,0,14,0,31,0,3,0,0,0,0,1
243,13200,2,2,7,3,12,22,4,7,0,0,0,0,3,4,17,25,5,9,10,0,15,0,0,0,5,316,6,0,7,1,20,0,2,0,0,0,1,0
253,NA,2,2,5,1,6,32,4,3,0,0,0,0,0,5,35,18,7,6,24,0,12,1,0,0,4,314,4,1,20,0,12,0,8,0,1,0,0,2
263,NA,6,3,9,3,2,30,5,0,0,0,0,0,4,6,13,8,5,7,8,0,13,1,0,0,0,368,8,0,5,0,10,0,1,0,1,0,0,1
273,NA,1,1,11,2,5,21,4,3,0,0,0,0,3,5,31,8,4,3,14,0,20,2,0,0,2,347,3,1,8,0,9,0,3,0,1,0,1,1
283,NA,4,0,8,1,2,28,7,1,0,0,0,0,0,2,26,10,5,0,20,1,11,1,0,0,0,348,4,0,10,0,15,0,1,1,0,0,0,0
293,NA,4,0,14,0,3,34,3,3,0,0,0,0,1,1,67,14,9,1,31,0,13,4,0,0,9,325,10,0,16,0,25,0,8,0,1,0,0,3
303,NA,3,0,3,2,6,52,7,6,0,0,0,0,2,4,59,2,5,0,48,1,2,2,0,0,4,320,7,0,22,0,12,0,4,4,0,0,0,2
313,NA,6,3,9,8,6,66,14,0,0,0,0,0,4,6,36,8,12,0,174,0,13,0,0,0,0,368,8,0,24,0,10,0,1,0,1,0,0,1
