"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Bidens.type","Botrychium","Brassicaceae","Caltha","Campanulaceae","Cannabaceae","Carya","Caryophyllaceae","Ceanothus","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Diphasiastrum.complanatum.type","Dryopteris.type","Ephedra","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Herbs.undiff.","Huperzia.selago","Impatiens","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Ledum.Chamaedaphne.calyculata","Lemnaceae","Lycopodium.annotinum","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Polypodium.type","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Potentilla.type","Primulaceae","Prunus.Sorbus","Pteridium.type","Quercus","Ranunculus","Rhamnus","Rosaceae.trees","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Spiraea.type","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Utricularia","Viburnum","Xanthium"
280,1148,7,0,0,0,0,0,18,0,3,0,0,1,6,2,0,45,0,0,0,0,0,1,0,0,0,1,1,1,5,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,3,0,5,1,24,15,58,125,0,1,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
300,1339,4,0,0,0,0,0,45,2,6,0,0,0,11,3,0,144,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,4,0,0,0,13,4,29,26,122,216,0,0,5,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,4,1,0,0,0,0,9,0,0,0,0,0,0,3,0,1,0
320,1530,8,0,0,0,1,0,43,1,7,1,1,0,15,0,0,138,0,0,0,0,0,0,0,0,0,0,5,7,6,0,0,12,0,0,1,1,5,1,0,0,0,0,0,0,1,0,0,43,0,0,0,0,15,0,0,0,4,6,38,22,183,288,0,0,13,0,0,1,1,0,0,0,0,0,2,35,0,0,0,0,0,0,4,2,1,0,0,0,3,1,0,0,0,0,2,9,0,0,0
345,1768,6,0,2,0,0,0,59,2,6,0,0,1,15,2,0,163,0,0,0,0,0,0,0,0,0,0,1,7,6,0,1,4,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,35,0,1,0,0,5,0,0,0,6,6,27,37,215,277,1,0,11,0,0,0,6,0,0,0,0,0,0,27,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0
360,1911,30,0,0,0,0,0,53,4,10,0,0,1,22,3,0,229,0,0,0,0,0,1,0,0,0,0,2,13,9,1,0,5,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,36,0,1,0,0,4,0,1,0,3,7,49,32,214,306,0,0,9,0,0,1,3,0,0,0,0,0,2,36,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0
382,2121,12,0,1,0,0,0,49,7,5,0,0,0,22,5,0,244,1,0,0,0,0,0,1,0,0,1,1,5,12,1,0,4,0,1,0,0,14,2,0,0,1,0,0,0,0,1,0,40,0,1,1,0,6,0,1,0,5,7,37,21,181,329,0,1,8,0,0,5,2,0,0,0,0,0,1,48,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,2,8,0,0,0
400,2292,10,0,0,0,1,0,44,5,5,1,0,0,12,2,0,129,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,4,0,1,0,0,12,0,0,0,0,0,0,0,1,1,0,16,0,0,0,0,9,0,1,0,2,4,15,20,165,187,0,0,11,0,0,2,0,0,0,0,0,0,0,11,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0
410,2388,20,0,0,0,2,1,101,2,12,0,0,1,19,2,0,195,1,0,0,1,0,0,0,0,0,0,2,2,8,0,0,13,0,0,1,0,7,2,0,0,0,0,0,1,1,0,0,43,1,0,0,0,10,0,0,0,0,10,22,11,89,391,0,1,20,0,0,1,4,0,0,0,0,0,2,57,0,0,0,0,0,0,4,2,0,0,0,1,1,0,0,0,0,1,5,18,0,0,0
417,2454,37,0,0,0,1,0,59,6,12,0,0,0,29,7,0,293,2,0,0,0,0,0,0,0,0,1,9,0,6,1,1,21,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,45,0,0,0,0,8,0,0,0,3,14,53,19,166,367,0,0,11,0,0,0,1,0,0,0,0,1,2,27,0,1,0,0,0,0,3,2,0,0,0,0,4,0,0,0,0,0,0,21,0,0,1
427,2550,7,0,0,0,1,1,64,9,4,0,0,0,23,5,0,136,0,0,0,0,0,0,0,0,0,0,6,1,5,0,1,7,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,25,0,1,0,0,8,0,0,0,6,11,42,17,94,291,0,0,9,0,0,0,2,0,0,0,0,0,1,29,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0
440,2674,2,0,0,0,1,0,53,6,5,0,0,1,21,4,0,188,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,10,0,1,0,0,8,2,0,0,0,0,1,0,1,0,0,26,0,0,0,0,4,0,1,0,0,7,37,43,212,276,0,0,7,0,0,1,2,0,0,0,0,0,0,36,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,2,21,0,0,0
450,2769,18,0,0,0,0,0,55,4,15,0,0,2,9,5,0,204,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,32,0,1,0,0,0,0,1,0,3,5,21,13,162,331,1,0,10,0,0,1,1,0,0,0,0,0,0,40,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,1,21,0,1,0
465,3032,5,1,0,0,1,0,46,1,5,0,0,1,16,2,0,146,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0,21,0,0,1,0,3,0,1,0,3,5,14,15,73,157,0,0,9,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,1,0,3,10,0,0,0
480,3320,9,0,0,0,0,0,80,7,14,0,0,0,16,2,0,226,0,0,0,0,0,0,2,0,0,0,12,1,11,0,0,9,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,27,0,0,0,0,9,0,1,0,6,8,16,24,28,180,0,0,14,0,0,1,6,0,0,0,0,0,0,25,0,0,0,0,0,0,8,2,0,0,0,1,0,0,0,3,0,0,4,9,0,0,0
495,3607,7,0,0,0,2,0,114,5,19,0,0,0,27,5,0,255,1,0,0,0,0,0,0,0,0,0,12,3,7,1,0,14,0,0,0,0,7,3,0,0,0,0,1,0,1,0,0,27,0,0,0,0,19,0,2,0,1,17,25,13,32,216,0,0,14,0,0,1,2,0,0,0,0,1,0,80,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,2,20,0,0,0
505,3799,4,6,0,0,0,1,113,6,11,1,1,0,26,4,0,199,3,0,2,0,0,0,0,0,0,0,11,0,11,0,0,12,0,0,0,0,9,3,1,0,0,0,1,0,0,0,0,46,0,0,0,0,28,0,0,0,2,10,10,5,61,280,0,0,17,0,0,0,2,0,0,0,0,0,0,86,0,1,0,0,0,0,5,3,0,0,0,0,1,1,0,0,0,1,1,19,0,0,0
520,4086,7,0,1,0,0,0,66,3,15,0,0,0,29,8,0,191,1,0,0,0,0,0,1,0,0,0,6,0,7,1,0,27,0,0,0,0,4,2,0,0,0,0,1,2,0,1,0,18,0,1,0,0,26,0,1,0,1,9,22,32,60,196,0,2,15,0,0,1,2,0,0,0,0,0,0,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,15,0,0,0
526,4201,5,0,0,0,0,0,74,5,9,0,1,0,17,2,0,171,0,0,0,0,0,0,1,0,0,0,8,1,12,1,0,29,0,2,0,0,6,3,0,0,0,0,1,0,0,0,1,13,0,0,0,0,12,0,1,0,1,5,8,25,55,176,0,0,14,0,0,2,6,0,0,0,0,0,0,36,0,0,0,0,1,0,9,1,0,0,0,1,0,0,0,2,0,0,1,11,0,0,0
531,4297,10,0,0,0,0,0,30,4,8,0,0,0,7,3,0,128,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,34,0,2,0,0,14,2,0,0,0,0,0,0,0,1,0,7,0,0,0,0,16,0,0,0,1,9,14,41,104,184,0,0,12,0,0,0,3,0,0,0,0,0,1,47,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0
536,4393,3,0,0,0,1,0,45,6,7,0,0,0,11,4,0,104,1,0,0,0,0,0,0,0,0,0,7,1,11,0,0,35,0,0,0,0,8,0,0,0,0,1,2,0,0,0,0,13,0,0,0,0,25,0,0,0,0,19,5,14,107,153,0,0,12,0,0,0,2,0,1,0,0,0,0,58,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,2,0,0,2,19,0,0,0
540,4469,7,0,0,0,1,0,54,2,3,0,0,0,13,4,0,128,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,22,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,33,0,0,0,2,18,9,20,50,201,0,0,10,0,0,0,2,0,0,0,0,0,2,40,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,1,1,0,0,13,0,1,0
550,4661,5,0,0,0,0,0,46,6,7,0,0,0,20,5,0,142,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,69,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,20,0,2,0,0,17,0,1,0,1,8,11,47,81,190,0,1,7,0,0,5,1,0,0,0,0,0,0,52,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,3,0,1,22,0,0,0
560,4852,2,0,0,0,1,0,45,3,5,0,0,0,15,2,0,101,2,0,0,0,0,0,0,0,0,0,3,0,7,0,0,27,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,1,0,0,2,5,25,29,157,0,0,11,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0
570,5044,2,0,0,0,1,0,46,3,7,0,0,0,13,3,0,76,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,30,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,7,0,0,0,0,27,0,1,0,0,5,4,27,42,185,0,0,14,0,0,0,2,0,0,0,0,0,0,44,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0
590,5427,2,0,0,0,0,0,37,3,6,0,0,0,10,2,0,93,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,35,0,0,1,0,9,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,26,0,0,0,0,6,2,6,102,172,0,0,16,0,0,0,3,0,0,0,0,0,0,32,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,2,15,0,0,0
600,5631,4,1,0,0,1,0,54,4,8,1,0,0,23,4,0,141,0,0,0,0,0,0,0,0,0,1,1,0,13,0,1,28,0,1,0,0,8,7,0,0,0,0,2,0,0,0,0,8,0,1,0,0,7,0,0,0,0,20,8,27,273,214,0,0,13,0,0,0,3,0,0,0,0,0,0,93,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,4,0,2,21,0,0,0
605,5752,1,1,0,0,0,0,32,8,10,0,0,0,19,6,0,44,0,0,0,0,0,0,0,0,0,0,2,1,20,0,0,11,0,1,0,0,19,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,23,3,25,356,128,0,1,18,0,0,0,3,0,0,0,0,0,1,96,0,0,0,0,1,1,32,1,0,0,0,0,0,0,0,1,4,0,2,28,0,0,0
610,5873,1,0,0,0,1,0,41,9,5,1,0,0,17,6,0,126,0,0,0,0,0,0,0,0,0,0,3,0,19,0,0,17,1,0,0,0,14,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,16,3,17,324,80,0,0,14,0,0,2,4,0,0,0,0,0,2,127,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,1,22,0,1,0
615,5994,2,0,0,0,0,0,35,5,11,1,0,0,10,3,0,106,1,0,0,0,0,0,0,0,0,0,2,1,13,0,0,13,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,28,2,14,153,150,0,0,11,0,0,0,1,0,1,0,0,0,0,69,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0
620,6115,1,0,0,0,1,0,11,5,6,0,0,0,11,2,0,60,0,0,0,0,0,0,0,0,0,0,5,1,9,0,0,17,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,17,199,78,0,0,6,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,15,0,0,1
625,6236,0,0,0,0,0,0,24,8,12,0,0,0,15,4,0,114,1,0,0,0,0,0,0,0,1,0,3,0,15,0,0,20,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,17,1,5,125,173,0,0,16,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,3,0,1,7,0,0,0
650,6841,2,0,0,0,0,0,17,4,7,1,0,0,18,7,0,85,1,0,0,0,0,0,0,0,0,0,9,0,10,0,1,19,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,11,5,6,90,127,0,0,19,0,0,0,1,0,1,0,0,0,1,88,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0
660,7083,0,1,0,0,0,0,17,8,6,1,0,0,16,2,0,76,3,0,0,0,0,0,0,0,0,0,4,0,21,0,0,60,1,1,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,20,4,19,83,202,0,0,17,0,0,0,3,0,0,0,0,0,2,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,13,0,0,0
665,7204,1,2,0,0,0,0,41,12,18,1,0,0,16,8,0,91,0,0,0,0,1,0,0,0,0,0,15,1,32,0,0,84,0,2,0,0,5,3,0,0,0,0,2,0,0,0,0,1,0,0,0,1,33,0,0,0,0,33,2,10,65,193,0,0,28,0,0,0,5,0,0,0,0,0,5,106,0,0,0,0,0,0,9,0,0,0,0,2,0,2,0,0,0,0,4,24,0,0,0
675,7446,0,1,0,0,0,0,31,14,16,0,0,0,23,4,0,122,0,0,0,0,0,0,16,0,0,0,5,1,14,0,0,59,0,0,0,0,6,2,1,0,0,0,1,0,0,1,0,3,0,2,0,1,10,0,1,0,0,21,4,12,56,173,0,0,30,0,0,0,7,0,1,0,0,2,0,107,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,1
690,7809,0,1,0,0,0,0,28,20,10,1,0,0,23,7,1,119,1,0,0,0,0,0,0,0,0,0,11,0,38,0,0,85,0,1,0,0,24,7,0,0,0,0,0,0,0,0,0,3,0,1,0,0,23,0,0,0,0,39,6,15,73,189,0,0,38,0,0,0,6,0,0,1,0,0,3,194,0,2,0,0,1,0,10,1,0,0,0,0,0,0,0,0,3,0,10,26,0,3,0
705,8172,1,1,0,0,0,0,16,8,17,1,0,0,18,3,0,90,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,55,1,1,0,0,6,6,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,3,0,0,29,2,11,37,101,0,0,19,0,1,1,0,0,1,0,0,0,0,151,1,0,0,0,0,0,13,2,0,0,0,0,1,0,0,0,0,0,8,13,0,0,0
715,8414,0,0,0,0,0,0,17,12,8,0,0,0,24,0,0,92,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,98,0,3,0,0,17,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,31,2,16,29,110,0,0,32,0,0,0,4,0,0,0,2,0,2,161,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,3,31,0,0,0
725,8656,1,1,0,0,0,0,19,14,17,0,0,0,34,3,0,103,3,0,0,0,0,0,1,0,0,0,12,0,14,0,0,111,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,34,2,24,8,151,0,1,49,0,0,1,3,0,1,0,0,0,2,242,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,5,60,0,0,0
735,8898,0,0,0,0,0,0,29,9,17,1,1,0,34,3,0,96,0,0,0,0,0,0,0,0,0,0,15,0,12,1,0,80,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,4,0,0,26,1,11,9,113,0,0,36,0,0,1,5,0,2,0,0,0,0,218,0,0,0,0,0,1,9,1,0,0,0,2,0,0,0,0,2,0,6,31,0,0,0
737,8946,0,0,0,0,0,0,22,12,20,0,0,0,24,2,0,81,0,0,0,0,0,0,0,0,0,0,6,0,13,1,0,68,0,0,0,0,22,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13,0,25,13,83,0,0,29,0,0,0,7,0,0,0,0,0,1,146,0,0,0,0,0,0,13,2,0,0,0,1,0,0,0,0,1,0,7,34,0,0,0
740,9019,0,1,0,0,0,0,41,19,29,1,0,0,31,11,0,78,1,0,0,0,0,0,0,0,0,0,11,0,18,3,0,76,0,2,0,0,15,4,0,0,0,0,5,1,0,0,0,1,0,1,0,2,5,0,5,0,0,7,1,18,21,164,0,0,55,0,0,0,3,0,2,1,2,1,1,256,2,0,0,0,0,0,17,1,0,0,0,1,0,0,1,0,2,0,11,50,0,0,0
750,9261,0,1,0,0,0,0,26,17,43,1,0,0,40,9,0,69,1,0,0,0,0,0,1,0,0,0,8,0,17,1,0,52,0,0,0,0,18,9,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,3,1,0,0,4,5,18,9,144,0,0,79,0,0,0,2,0,0,1,2,0,3,295,0,1,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,9,38,0,0,0
765,9624,1,0,0,0,0,0,22,16,25,0,0,0,38,10,0,61,3,0,0,0,0,0,1,0,0,2,13,0,17,0,0,33,0,1,0,0,8,7,0,0,0,0,3,0,0,0,0,3,0,3,0,0,6,6,0,0,0,7,7,9,3,132,0,0,47,0,0,1,8,0,5,0,0,0,1,143,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,31,11,0,1,0
770,9745,1,0,0,0,0,0,37,26,26,0,0,0,33,11,0,117,2,0,0,0,1,0,0,0,0,0,3,2,16,0,0,47,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,39,4,160,0,0,57,0,0,0,1,0,0,0,0,0,1,137,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,34,30,0,0,0
775,9866,3,0,0,0,1,0,52,24,29,0,0,0,26,6,0,150,0,0,0,0,0,0,1,0,0,1,11,1,11,0,0,56,0,0,0,0,6,1,0,0,0,0,4,1,0,0,0,5,0,0,0,0,2,7,0,0,0,3,24,13,2,266,0,0,47,0,0,0,4,0,0,0,0,1,7,64,0,0,0,0,0,1,12,3,0,0,0,2,0,0,0,0,0,0,49,38,1,0,0
785,10108,7,0,0,0,0,0,32,26,30,1,0,0,23,11,0,95,1,0,1,0,0,0,2,1,0,0,15,0,20,0,0,24,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0,3,0,7,0,0,26,4,0,0,0,7,22,11,12,192,0,0,35,0,0,0,4,0,4,0,0,0,2,39,2,0,0,0,0,0,22,0,0,0,0,5,1,0,0,1,0,0,52,20,0,0,0
786.5,10144,2,0,0,0,1,0,32,23,27,0,0,0,25,3,0,94,0,0,0,0,0,0,0,0,0,0,15,1,15,0,0,23,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,6,0,0,0,0,7,0,1,0,0,5,23,27,8,174,0,0,19,1,0,0,1,0,0,1,0,0,2,39,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,28,18,0,0,0
788,10180,4,0,0,0,0,0,29,19,32,1,0,0,22,8,0,103,1,0,0,0,0,0,0,0,0,0,7,0,12,0,0,40,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,4,0,1,0,0,1,25,49,4,199,0,0,36,0,0,0,0,0,1,0,1,0,3,32,0,0,0,0,1,0,14,2,0,0,0,0,0,0,0,0,0,0,51,17,0,0,0
790,10229,3,1,0,0,0,0,27,22,19,0,0,0,24,2,0,89,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,21,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,1,0,0,9,0,0,0,0,2,14,14,2,210,0,0,85,0,0,0,0,0,0,1,0,0,1,35,0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,36,19,0,1,0
