"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Fagus","Herbs.undiff.","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Thalictrum","Trees.undiff.","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Acer","Rosaceae.undiff.","Fraxinus","Myrica","Populus","Poaceae","Plantago","Corylus","Cupressaceae","Cyperaceae","Castanea","Taxus","Platanus","Tilia","Aquifoliaceae","Juglans.cinerea","Ericaceae","Sarcobatus.vermiculatus","Juglans.nigra","Sanguisorba","Rhamnaceae.Vitaceae","Liquidambar","Shepherdia","Elaeagnus","Juglans.undiff.","Asteraceae.subf..Cichorioideae"
869,11969,324,1,3,23,43,0,0,0,4,0,9,12,39,9,10,33,1,17,0,0,3,3,4,8,0,0,4,2,57,10,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
872,12004,424,2,6,16,92,0,0,0,3,0,9,25,61,13,11,24,0,6,0,0,4,0,7,8,0,1,4,0,122,5,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,12038,329,1,4,12,47,0,1,0,0,0,6,5,35,14,7,31,1,7,0,1,2,3,6,10,1,0,6,1,106,10,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
879,12084,348,1,0,9,56,2,0,0,2,0,7,18,61,20,16,8,0,3,0,0,1,5,7,3,1,1,3,1,95,6,0,0,2,16,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
881,12107,284,0,14,25,40,0,0,0,5,0,6,14,29,11,2,13,0,7,0,0,3,2,0,4,0,0,0,1,86,6,2,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
910,12438,390,0,3,8,55,0,0,0,1,1,3,19,33,19,10,11,0,7,0,0,1,4,3,9,1,0,1,0,176,8,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0
913,12473,497,0,9,13,65,0,1,0,4,1,5,10,37,15,13,16,0,12,0,0,1,0,7,14,1,1,4,0,244,4,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
915,12495,378,1,2,9,54,1,0,0,0,0,8,17,36,18,8,10,0,5,0,0,1,6,1,8,0,0,4,0,171,6,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,12553,324,2,0,17,38,0,0,0,3,0,2,13,52,16,8,21,0,49,0,0,3,1,4,16,2,1,3,1,33,10,0,1,0,25,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
925,12610,370,4,1,37,24,2,0,0,8,0,4,35,62,18,10,10,1,28,1,0,2,1,0,11,1,1,4,0,22,18,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
931,12678,341,0,4,50,23,0,2,0,15,0,2,22,47,10,12,14,0,29,0,0,0,3,2,18,1,7,0,0,6,30,0,2,0,39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
935,12724,409,4,7,53,20,0,0,0,13,0,7,40,52,15,11,10,2,31,0,0,1,4,1,20,0,3,6,0,1,37,0,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,NA,327,5,11,62,14,0,0,0,11,0,4,25,59,5,9,11,1,22,0,0,0,0,1,19,0,5,0,0,5,16,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
942,NA,144,1,3,40,8,0,0,0,7,0,2,11,10,0,6,8,0,11,0,0,0,1,1,8,0,2,0,0,0,8,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
950,NA,180,0,1,36,15,0,1,1,5,0,1,16,25,8,9,7,2,11,0,0,0,1,3,7,0,2,0,0,3,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
953,NA,390,0,18,80,17,0,5,1,20,0,5,25,44,17,15,19,1,24,1,0,1,2,1,12,1,8,5,0,1,19,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
