"sample.depths","sample.ages","Abies","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Caltha.type","Carya","Caryophyllaceae.undiff.","Castanea","Celtis","Cephalanthus","cf..Scheuchzeria.palustris","Cornus.canadensis","Cornus.sericea.type","Cornus.undiff.","Corylus","Cupressaceae","Cyperaceae","Cystopteris.type","Dennstaedtia.type","Dryas","Dryopteris.type","Elaeagnus.commutata","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.undiff.","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.undiff.","Lamiaceae.undiff.","Larix","Lemnaceae","Liliaceae","Lobelia.type","Lycopodium.type","Melampyrum.type","Mentha.arvensis","Menyanthes.trifoliata","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ononis.type","Osmunda","Ostrya.Carpinus","Pedicularis","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Polygonum.amphibium","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Polygonum.undiff.","Polygonum.viviparum","Polypodium","Populus","Potamogetonaceae","Potentilla","Prunus.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Ranunculus","Ranunculus.type.undiff.","Rosa","Rosaceae.undiff.","Rubus.cf..R..chamaemorus","Rumex","Rumex.Oxyria.digyna.undiff.","Salix","Sambucus","Saxifraga.cf..S..punctata","Saxifraga.cf..S..stellaris","Saxifraga.undiff.","Selaginella","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Stachys.type","Stellaria.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..alete.","Unknown..trilete..undiff.","Urtica"
840,549,2,0,1,1,3,3,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,1,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,40,1,0,7,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116,0,3,0,0,0,0
857,821,3,0,0,0,5,4,0,0,0,0,1,0,0,0,85,1,0,0,0,2,0,3,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,36,2,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,4,0,25,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,117,0,0,1,0,0,0
877,1189,0,0,1,0,8,2,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,31,0,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133,1,0,2,0,0,0
897,1594,0,0,1,0,7,7,0,0,0,0,0,1,0,0,132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,33,2,0,9,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,0,4,1,0,1,0
917,2022,4,0,0,0,8,5,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,45,1,0,8,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,77,0,1,1,0,1,0
937,2459,1,0,1,0,10,7,1,0,0,0,1,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,12,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,43,0,4,2,0,0,0
962,2998,1,0,1,0,12,5,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,1,0,0,38,5,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,10,0,0,0,0
977,3308,1,0,0,0,9,4,0,0,0,0,1,1,0,0,130,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,39,1,0,9,0,0,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,1,3,0,0,0
997,3698,1,0,1,1,5,2,0,1,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,33,0,0,9,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,4,0,51,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,0,4,1,0,0,0
1007,3883,5,0,2,0,0,4,0,1,0,0,0,1,0,0,181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,38,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,16,29,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,6,0,0,0,0
1017,4061,0,0,0,0,10,5,0,0,0,0,0,2,0,0,114,0,0,2,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,35,1,0,6,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,6,1,0,0,0
1023,4165,1,0,5,0,0,7,0,0,1,0,0,1,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,25,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,4,0,0,0,0
1028,4251,0,0,7,0,0,4,0,0,1,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,3,0,0,0,0
1037,4401,0,0,3,0,7,37,0,0,0,1,1,0,0,0,140,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,41,0,0,12,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,3,0,0,0
1044,4514,2,0,10,0,1,5,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0
1050,4610,1,2,2,0,7,12,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,1,0,0,0,0,0,33,0,0,13,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,3,4,0,0,0
1055,4688,1,0,8,0,2,3,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,27,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,12,46,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0
1060,4765,1,0,0,0,9,9,1,0,0,0,0,1,0,0,139,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,40,1,0,31,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,1,0,0,0
1070,4916,0,0,1,0,5,5,0,0,0,0,0,1,0,0,216,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,59,0,0,28,1,0,2,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,0,9,2,0,0,0
1072,4945,4,0,3,0,3,1,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,59,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,48,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,8,0,0,0,0
1074,4975,0,0,7,0,0,0,2,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,4,0,0,0,0
1077,5019,0,0,7,0,0,5,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,11,48,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,3,0,0,0,0
1080,5064,0,0,0,0,7,5,2,0,0,0,0,0,0,0,119,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,39,5,0,6,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,0,3,2,0,0,0
1085,5138,0,0,7,0,0,2,0,0,0,0,0,0,0,0,107,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,104,1,3,0,0,0,0
1090,5213,1,0,5,0,3,7,0,0,1,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,16,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,16,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,8,0,0,0,0
1100,5363,0,0,0,0,2,0,2,0,0,0,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,29,2,0,16,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,4,1,0,0,0
1120,5663,0,0,0,0,8,3,0,0,0,0,0,1,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,31,5,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,9,0,0,0,0
1140,5962,1,0,0,0,3,9,0,0,1,0,0,1,0,0,84,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,2,1,0,1,0
1165,6333,3,1,0,1,7,4,0,0,0,0,0,1,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,2,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,70,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0,0,0
1180,6551,0,0,1,0,2,4,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,108,0,3,0,0,0,0
1200,6836,0,0,1,0,3,4,0,0,0,0,1,1,0,0,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,2,1,0,7,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,121,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,6,1,0,0,0
1220,7113,1,0,1,0,3,5,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,122,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,102,0,7,0,0,0,0
1240,7383,3,0,0,0,1,6,0,0,0,0,0,1,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,7,4,253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0
1265,7720,3,0,1,0,4,4,0,0,1,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,2,1,181,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,1,2,0,0,0
1280,7928,3,0,0,0,1,9,1,0,0,0,1,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,7,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,3,0,2,0,140,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,1,1,0,0,0
1300,8215,5,0,1,0,1,5,0,0,1,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,3,1,146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,1,0,0,0
1320,8522,7,0,0,0,3,3,0,0,0,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,5,2,172,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,1,0
1340,8845,1,0,1,0,3,0,0,0,2,0,0,0,0,0,68,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,165,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,3,29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,3,0,0,0,0
1365,9257,4,0,2,0,2,4,8,1,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,2,0,4,6,130,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,4,0,0,0
