"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Achillea.type","Adiantum.pedatum","Alnus.incana.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium.filix.femina","Athyrium.undiff.","Berchemia.scandens","Betula","Bidens.type","Botrychium.multifidum","Botrychium.undiff.","Brasenia.schreberi","Brassicaceae","Caltha","Calycanthus","Carya","Caryophyllaceae","Celtis.Maclura.type","Cephalanthus.occidentalis","Cheilanthes","Cirsium.Carduus.type","Clethra","Cornus.canadensis.type","Corylus","Cupressaceae.undiff.","Cyperaceae","Cystopteris.bulbifera","Deparia.acrostichoides","Dryopteris.carthusiana","Dryopteris.cristata","Dryopteris.goldiana","Dryopteris.marginalis","Epilobium","Equisetum","Fabaceae","Fagus","Filicopsida..monolete..undiff.","Filicopsida..trilete..undiff.","Fraxinus..tricolpate.","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.quadrangulata.F..nigra.type","Fraxinus.undiff.","Galium","Gaura","Gleditsia","Humulus","Ilex.type","Impatiens","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae.undiff.","Larix","Liquidambar","Lycopodiella.inundata","Mentha.type","Menyanthes.trifoliata","Morus","Myrica.type","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Nyssa","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Planera.aquatica","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Platanus","Pleopeltis.polypodioides","Poaceae.undiff.","Polygonum.aviculare","Polygonum.hydropiper.type","Polypodium.virginianum","Pontederia","Populus.deltoides.type","Potamogetonaceae","Potentilla","Proserpinaca","Prunus.americana.type","Prunus.undiff.","Prunus.virginiana.type","Pteridium","Quercus","Ranunculus.flabellaris.type","Rhus","Rubus","Rumex","Sagittaria","Salix","Sambucus","Saxifragaceae","Selaginella","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Spiraea.type","Taxodium","Thalictrum","Tilia","Toxicodendron.radicans","Typha.latifolia","Ulmus","Unknown","Urtica","Viburnum.acerifolium.type","Viburnum.lentago.type","Viburnum.opulus.type","Vitis","Xanthium","Zea.mays"
122,10640,0,0,0,0,0,0,0,5,34,44,1,0,22,1,0,0,0,5,47,0,0,0,0,0,3,62,7,0,3,0,0,1,0,25,2,15,0,0,0,0,0,0,0,0,0,0,5,0,11,2,4,3,0,0,3,0,0,0,9,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,5,2,0,0,0,0,0,138,2,1,0,0,8,0,0,0,0,0,0,3,177,0,1,0,0,7,0,3,0,0,0,0,3,0,0,1,0,0,2,17,0,0,0,0,0,3,0,0
130,11670,0,2,0,0,0,0,0,5,18,11,2,0,12,0,0,0,0,5,13,0,0,0,0,0,0,49,14,0,1,0,0,0,0,1,4,61,0,0,0,0,0,0,0,0,0,1,43,0,10,1,0,4,0,0,0,0,1,0,10,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,22,2.5,1,5,0,1,0,0,0,0,64,0,1,0,0,1,0,0,0,0,0,1,0,202,0,0,0,0,2,1,0,0,0,0,0,4,0,0,1,1,1,0,10,0,2,0,0,0,1,0,0
135,12314,0,0,0,2,2,0,0,7,60,30,5,0,13,1,0,0,0,11,29,0,0,0,0,1,1,42,30,2,6,0,0,1,0,1,9,72,0,0,0,0,0,0,0,0,0,1,40,0,14,1,0,7,0,0,0,0,0,0,18,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,13,0,5.5,1,0,0,0,2,0,159,0,6,0,0,8,1,0,0,0,0,0,0,149,0,0,0,0,9,2,0,0,1,0,0,21,0,0,2,0,0,0,19,0,1,0,4,0,5,2,0
140,12912,0.5,0,0,5,0,0,0,7,43,21,8,0,20,0,0,0,0,6,17,0,0,0,0,0,0,42,54,0,0,0,0,0,0,3,15,96,0,0,0,0,0,0,0,0,0,0,35,0,14,3,0,2,3,0,0,0,0,0,9,0,0,0,0,1,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,7,3,1,0,0,0,0,0,0,173,0,2,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,3,3,1,0,0,0,0,26,0,0,2,1,0,1,15,0,0,0,0,0,5,3,0
142.5,13007,0.5,2,0,3,1,0,0,6,34,26,2,0,13,0,0,2,0,5,27,0,0,0,1,0,5,54,33,2,3,0,0,0,0,0,6,18,0,0,0,0,0,1,0,0,0,0,38,1,7,2,0,3,0,0,0,0,0,0,13,0,0,0,0,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,41,9,2,2.5,0,0,0,0,1,0,40,0,1,0,0,2,0,0,0,0,0,0,0,150,0,0,2,0,4,3,2,0,0,0,0,15,0,0,0,1,0,0,13,0,2,0,1,0,2,2,0
145,13102,1,1,0,0,0,0,0,9,37,26,9,2,25,0,0,0,0,2,22,0,0,0,2,0,0,37,52,1,1,0,0,0,0,0,49,81,0,0,0,0,0,0,0,0,0,0,19,1,18,2,0,3,0,0,0,0,0,0,12,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,22,6,3,5,0,0,0,0,0,0,190,0,0,0,0,3,0,0,0,0,0,0,0,124,0,0,1,0,2,10,1,0,1,0,0,13,0,0,3,1,0,2,14,0,1,0,2,0,1,1,0
150,13292,0.5,2,0,1,0,0,0,3,31,14,4,0,31,0,0,0,0,7,13,0,0,0,0,1,0,18,31,0,2,0,2,0,0,10,21,37,0,0,0,0,0,0,0,0,0,1,17,1,13,6,1,8,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,3,0,2,0,0,0,0,4,0,134,0,0,0,0,11,0,0,0,0,0,0,0,155,0,0,1,0,4,9,2,0,0,0,0,14,4,0,1,1,0,0,10,0,0,0,0,0,1,0,0
152.5,13388,2,0,0,4,0,0,1,5,30,23,3,1,10,0,0,0,0,9,24,0,0,0,0,0,0,27,16,2,0,0,0,1,0,8,4,23,1,0,0,0,0,4,0,0,0,2,0,0,17,19,8,10,0,0,0,0,0,0,9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,0,2,0,0,0,14,0,171,0,1,11,1,2,0,0,0,0,0,1,2,163,0,0,1,0,1,6,1,0,0,0,0,4,0,0,1,1,0,1,17,1,6,0,0,0,2,0,0
160,14361,3,2,1,2,0,0,0,6,46,25,3,0,23,0,0,0,0,14,10,1,0,0,1,0,1,34,28,0,2,0,0,0,0,4,11,78,0,0,0,0,0,0,0,0,0,6,30,0,13,4,0,5,0,0,0,0,0,0,13,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,6,1,2.5,0,0,0,0,2,0,113,0,3,0,0,1,0,0,0,0,0,0,0,154,0,0,1,0,5,4,0,0,1,0,0,8,1,0,2,0,0,3,12,0,6,0,0,0,0,1,0
165,15042,0.5,3,0,0,0,0,1,2,38,21,2,2,17,0,1,0,0,14,10,1,1,0,26,0,0,19,25,5,0,0,0,1,0,1,45,79,0,0,0,0,0,0,0,0,0,1,34,1,24,2,1,10,0,0,0,0,0,1,13,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3.5,0,0,0,0,0,0,5,0,106,0,1,0,0,4,0,0,0,0,0,0,0,116,0,0,1,0,8,13,0,0,0,0,0,0,0,0,3,0,0,0,9,0,7,2,0,0,1,0,0
170,15724,0,1,0,0,1,0,0,2,26,29,6,0,19,0,0,0,0,11,8,0,0,0,0,0,0,14,33,4,3,0,0,0,0,4,13,60,0,0,0,0,0,0,0,0,0,1,24,0,11,3,1,14,0,0,0,0,0,0,11,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,26,1,0,1,0,0,0,0,5,0,105,0,1,0,0,2,0,0,0,0,0,1,1,158,0,0,1,0,3,11,0,0,0,0,0,10,0,0,0,2,0,0,13,0,5,0,3,0,4,0,0
174,16269,0,0,0,1,0,0,0,4,24,28,1,0,27,0,0,0,0,11,11,0,0,0,0,0,1,22,23,1,4,0,0,1,0,5,2,69,0,0,0,0,1,1,0,0,0,4,38,0,8,4,1,10,1,0,0,0,0,0,5,0,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,6,2,1.5,0,0,0,0,2,0,75,0,1,1,0,13,0,0,0,0,0,1,0,163,0,0,1,0,3,10,1,0,0,0,0,8,0,0,0,3,0,0,5,0,4,0,0,0,3,4,0
