"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula..shrub.","Betula.undiff.","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Lonicera","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Populus","Quercus","Rhamnus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium.type","Poaceae","Rosaceae","Thalictrum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Sparganium.type","Typha.angustifolia","Typha.latifolia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff."
57,5916,1,56,6,0,0,110,1,0,0,1,6,1,0,60,0,0,0,0,0,4,7,64,0,14,0,0,0,0,94,4,1,1,0,0,1,0,0,1,0,0,2,0,0,33,3,0,18,0,0,0,6,3,11,3,2,0
59,6147,2,7,1,0,0,70,0,0,0,0,7,1,1,113,0,0,0,0,0,6,2,80,0,10,0,0,0,0,43,6,9,2,0,0,0,0,0,0,0,0,2,1,0,30,5,1,12,0,0,0,2,4,4,7,20,1
60,6263,2,1,1,0,0,300,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,22,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,3,0,0,0,1,16,1,0,2,0
62,6396,0,29,2,0,0,82,0,1,0,0,3,1,0,40,0,0,0,0,0,2,3,100,2,14,0,0,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24,2,0,9,0,0,0,2,6,7,2,6,0
65,6574,2,15,5,0,0,148,0,0,1,0,5,0,3,20,0,0,3,0,0,8,2,129,0,15,0,0,0,0,94,0,3,0,0,0,0,0,0,2,0,1,2,0,1,59,0,1,55,0,0,0,4,3,1,0,38,0
70,6871,3,8,9,0,0,47,0,0,0,0,1,0,0,3,0,0,0,0,0,8,5,118,2,16,0,0,0,1,89,4,3,1,0,0,0,0,0,5,0,0,2,0,0,39,9,0,7,0,0,0,0,9,9,0,6,1
75,7167,1,16,13,0,0,117,0,0,0,0,0,1,0,7,0,0,0,0,1,6,0,85,2,42,0,0,0,0,45,4,4,0,0,0,0,0,1,1,0,0,0,0,1,8,1,0,3,0,0,0,1,19,19,0,11,0
80,7464,1,16,13,0,0,62,0,0,1,0,2,3,2,24,0,0,0,0,0,8,0,94,16,30,0,0,0,0,43,1,2,2,0,0,1,0,0,7,0,12,2,0,1,11,4,1,976,0,0,0,1,13,8,0,3,2
85,7761,1,7,6,0,0,29,0,1,1,0,0,2,0,0,2,0,0,0,0,8,3,98,0,23,0,1,0,0,70,4,0,0,0,0,0,0,2,48,1,35,1,0,0,0,0,0,197,1,0,0,3,14,0,0,4,1
90,8044,3,3,5,0,0,98,0,0,0,0,0,1,0,0,0,0,0,28,1,4,1,90,3,29,0,0,0,0,14,6,0,2,0,0,2,0,0,50,0,1,3,0,1,0,0,0,0,0,0,0,2,7,8,0,10,0
95,8063,1,1,4,0,0,69,0,0,0,0,1,3,1,1,0,0,0,49,0,2,0,102,0,37,0,6,0,0,3,0,0,0,0,0,0,0,0,52,1,21,0,0,0,0,2,0,1,0,0,0,0,19,13,1,8,2
100,8082,0,1,4,0,0,46,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,82,0,22,0,1,0,0,3,1,0,0,0,0,0,0,0,165,0,17,1,0,1,0,1,0,0,0,0,0,2,5,10,3,10,1
102,8090,3,3,5,0,0,98,0,0,0,0,0,1,0,0,0,0,0,28,1,4,1,90,3,29,0,0,0,0,14,6,0,2,0,0,2,0,0,50,0,1,3,0,0,0,0,0,0,0,0,0,2,7,8,0,10,1
105,8240,4,1,10,0,0,133,0,0,0,1,0,0,0,0,1,1,0,89,0,4,3,25,7,14,0,10,0,0,0,1,0,0,0,0,6,0,0,8,0,12,1,0,1,0,8,4,0,0,0,0,1,8,4,0,15,1
110,8655,8,6,16,0,0,136,1,0,0,1,0,1,0,9,0,0,0,19,1,8,7,198,1,55,0,22,0,0,10,3,0,0,0,0,1,0,0,65,0,165,3,1,0,2,6,0,0,1,0,0,0,24,26,0,29,5
115,9070,11,8,12,0,6,82,0,1,0,1,0,2,0,10,0,0,0,13,0,8,5,205,1,47,0,3,0,0,6,2,0,0,0,0,1,0,0,35,0,76,0,0,1,1,4,0,0,0,0,1,1,15,22,0,8,1
120,9484,6,7,10,0,9,52,0,0,2,1,0,3,0,4,0,0,0,20,0,6,8,123,0,39,0,9,0,0,3,2,1,0,0,0,1,1,0,42,0,73,0,0,0,2,0,0,2,0,0,0,0,15,6,0,5,2
125,9899,6,3,21,0,1,149,0,0,0,3,0,0,1,8,3,0,0,35,0,6,3,178,0,33,0,34,0,0,4,3,0,1,0,1,2,0,0,73,0,160,3,0,3,3,8,1,3,0,0,0,2,17,25,13,6,4
130,10314,8,1,15,0,0,130,1,0,2,2,0,1,0,3,0,0,0,18,0,3,0,100,0,21,0,13,0,0,0,0,0,0,0,0,2,0,0,32,0,60,2,0,0,3,1,1,1,0,0,1,1,10,8,4,15,0
135,10728,5,9,16,0,29,60,0,0,2,4,0,0,0,3,0,0,0,89,4,13,27,139,0,33,0,38,0,0,4,0,0,0,1,0,0,0,0,59,0,100,6,1,0,1,0,0,4,1,0,2,1,20,5,0,4,2
140,10910,72,3,11,0,5,40,0,0,0,5,0,1,0,1,1,0,0,3,1,50,2,28,0,21,0,3,0,0,2,1,1,0,0,0,0,0,0,26,0,3,4,0,11,0,3,4,9,0,0,0,17,13,8,0,14,0
145,10978,34,5,11,0,6,32,0,0,1,2,0,1,0,0,1,0,0,11,2,24,4,42,0,9,0,3,0,0,2,3,0,0,0,0,1,0,1,48,0,5,2,0,5,5,6,4,3,0,0,0,3,27,15,3,4,191
150,11047,8,5,2,0,0,16,0,0,1,1,0,0,0,0,0,0,0,1,0,11,0,19,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,9,0,0,13,0,1,1,2,0,0,0,0,1,2,9,3,1,1,0
155,11116,9,1,8,0,4,16,0,0,1,0,0,0,0,1,2,0,0,3,0,8,3,22,7,6,0,6,0,0,1,0,0,0,0,0,4,0,0,28,0,3,4,0,7,0,3,0,7,0,0,3,5,13,5,0,3,16
160,11184,3,0,12,0,0,43,0,0,1,1,0,0,0,0,2,0,0,3,0,61,3,30,1,7,0,12,0,0,0,1,0,0,0,0,2,0,0,84,0,2,3,0,16,0,13,0,31,0,0,31,4,26,9,0,9,2
165,11253,2,1,6,0,6,16,0,0,0,1,0,0,0,0,0,0,0,29,0,62,4,26,0,3,0,20,0,0,0,0,0,1,0,0,1,0,0,47,0,1,6,0,14,0,16,4,17,0,205,37,0,30,11,0,10,34
170,11321,2,0,6,0,0,153,0,0,1,2,0,4,0,0,0,0,0,16,0,32,2,26,0,11,0,57,0,0,2,1,0,1,0,0,0,0,0,8,0,4,4,1,15,1,16,2,9,0,0,23,1,15,11,4,2,16
173,11363,0,0,1,0,0,139,0,0,2,3,0,0,2,0,0,0,0,20,0,44,1,18,0,3,0,46,0,0,2,1,0,0,0,0,1,0,0,8,0,3,7,0,20,0,8,0,9,0,0,17,1,17,7,1,3,8
179,11445,0,1,13,0,2,152,0,0,0,72,0,0,0,1,0,0,0,4,0,71,0,26,0,3,0,2,0,0,4,1,0,0,0,0,0,0,0,23,0,2,0,0,9,1,7,0,6,0,0,2,8,30,59,0,2,4
