"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Betula","Carya","Castanea","Cephalanthus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Ilex","Ostrya.Carpinus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Fabaceae","Rosaceae.undiff.","Juglans","Myrica","Pinus","Poaceae","Polygonum","Asteraceae.subf..Cichorioideae","Picea","Thalictrum","Fraxinus","Populus","Amaranthaceae","Rhamnaceae.Vitaceae.undiff.","Salix","Tilia","Nyssa","Viburnum","Impatiens","Platanus","Liriodendron","Abies","Acer.undiff.","Potentilla.type","Ranunculaceae.undiff.","Trees.undiff.","Rhamnaceae","Corylus","Artemisia","Apiaceae","Caryophyllaceae","Celtis","Larix","Liliaceae","Onagraceae","Galium","Plantago","Shepherdia.canadensis","Dryas.type"
157.5,2101,922,1,16,0,71,38,10,1,0,35,3,39,3,13,481,0,22,3,0,114,0,1,0,0,52,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.5,2238,995,6,9,0,112,45,15,3,0,58,0,58,0,0,482,0,9,3,6,103,3,2,3,3,30,18,0,0,3,0,12,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197.5,2464,972,21,0,3,51,9,9,0,6,42,3,81,0,6,516,0,21,3,9,96,0,3,6,3,60,3,0,0,0,0,9,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222.2,2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270.5,3268.5,986,6,11,6,65,48,11,3,3,28,0,37,0,0,513,0,25,6,17,116,0,9,0,3,30,14,0,0,0,0,11,6,0,0,3,3,3,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,3503,987,11,11,0,40,48,0,0,0,14,8,40,3,0,596,0,3,0,0,145,0,0,3,0,31,3,0,0,6,0,11,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320.5,3681,983,3,14,3,44,34,0,0,0,24,0,31,0,3,578,0,3,0,3,129,0,7,0,3,61,10,0,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
354.5,3976,979,13,13,0,48,35,0,4,4,18,4,18,0,0,586,0,9,0,18,114,0,0,0,4,44,9,0,0,0,0,26,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384.5,4361,984,7,22,0,34,48,7,0,0,15,0,19,4,0,579,0,0,11,0,150,0,0,0,0,32,15,0,0,0,4,26,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
409.5,4672.5,990,5,2,2,58,69,0,8,0,28,2,33,2,10,556,2,8,13,10,94,0,5,0,0,42,8,0,0,2,0,25,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424.5,4823,979,5,11,0,52,57,0,0,5,11,0,33,5,5,598,3,16,8,14,84,0,5,0,5,31,8,0,0,0,0,11,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
461.5,5135,985,11,11,0,43,40,3,3,3,8,3,46,3,3,582,11,8,0,13,86,3,0,3,3,34,21,0,0,0,3,32,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
486.5,5367,999,14,8,3,65,76,3,0,0,3,0,54,3,5,497,0,38,3,11,94,3,0,5,3,43,30,0,0,3,8,11,8,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511.5,5622,973,2,15,2,37,35,6,7,0,6,0,31,0,2,590,0,29,4,11,119,0,0,4,0,41,6,0,0,0,0,7,0,0,0,0,0,7,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542.5,5918,993,5,24,0,55,31,16,3,0,7,2,43,0,10,515,0,36,2,2,138,0,0,2,5,40,7,0,0,1,0,41,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566.5,6097.5,964,15,10,0,31,26,5,2,5,5,0,54,0,2,504,0,23,5,13,147,0,0,0,7,41,7,0,0,0,2,13,2,2,2,0,0,10,0,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
585.5,6194,958,17,0,0,38,3,3,3,0,0,0,31,0,7,657,0,45,3,7,97,0,0,0,0,30,0,0,0,0,0,3,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,6293,987,3,8,9,61,17,2,8,6,5,0,47,2,8,507,0,34,5,28,138,0,0,5,2,30,8,0,0,0,3,26,0,0,2,5,2,6,0,0,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
627.5,6506,954,7,14,2,41,7,3,0,10,5,0,43,2,10,525,0,7,7,7,149,0,0,0,0,51,10,0,0,0,0,24,0,2,4,0,0,7,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
637.5,6592,967,8,16,10,46,4,0,4,2,10,4,67,4,12,470,0,50,6,22,109,0,0,2,0,57,10,0,0,3,0,34,1,0,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
643.8,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669.5,6830.5,975,1,17,6,38,15,2,6,4,6,0,48,0,19,545,0,42,0,8,116,0,0,4,0,41,13,0,0,0,0,25,4,2,0,0,0,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680.5,6993.5,999,7,4,11,24,4,0,7,0,4,0,43,4,14,565,0,50,0,0,137,4,0,0,4,47,14,0,0,4,0,22,4,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
692.5,7227,1004,0,20,0,40,16,0,4,0,16,0,65,4,24,588,0,40,12,4,73,0,4,0,8,34,20,0,12,0,0,8,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
702,7421,982,8,27,6,37,2,2,2,2,6,0,52,0,8,553,2,43,4,21,91,0,0,0,0,40,16,0,0,0,0,27,0,0,0,0,0,4,0,0,23,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
705,7475,983,1,7,6,73,2,5,4,1,6,0,25,1,20,589,2,27,4,11,67,0,0,0,6,91,10,0,0,4,1,11,2,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
712.8,7591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,7628,982,5,7,8,57,5,8,8,7,12,0,38,0,14,558,0,41,0,17,80,0,0,1,3,53,10,0,0,1,0,26,1,0,0,0,3,5,0,0,9,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
719.5,7716,991,2,9,11,55,6,2,4,6,6,0,38,0,9,589,0,36,6,21,64,0,0,4,0,55,9,0,0,1,0,33,2,0,2,0,0,2,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
724.5,7835.5,980,11,7,14,52,9,0,0,4,4,0,36,0,4,596,0,32,5,14,68,0,0,0,2,35,4,0,0,3,0,27,0,0,0,2,0,4,0,0,41,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0
725,7848,983,7,6,15,51,2,1,10,3,6,1,30,2,8,564,0,42,2,10,106,1,0,2,4,45,9,0,0,2,2,23,2,0,0,3,2,2,0,1,14,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
734.5,8126,985,10,2,20,49,1,6,11,2,2,0,28,2,16,581,2,44,4,15,80,0,2,1,0,70,5,0,0,1,0,21,1,1,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739,8267,980,4,4,7,56,0,3,9,4,12,0,19,3,18,554,1,34,3,10,64,0,0,4,10,107,13,1,0,1,0,32,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
759,8908,979,2,6,24,70,5,2,6,2,5,0,11,1,20,586,0,30,10,11,54,0,0,0,6,84,11,0,0,4,0,23,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
779,9503,983,0,10,33,52,1,1,2,1,11,1,2,2,6,508,0,34,2,19,78,0,0,1,12,148,20,0,0,2,0,24,1,2,0,3,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
789,9676,989,17,3,13,55,4,1,1,6,13,0,4,0,15,446,0,36,10,10,60,0,0,1,11,220,11,0,0,8,0,25,10,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
799,9828,989,1,14,20,56,0,3,1,0,12,0,2,1,12,434,0,43,0,14,74,0,1,0,14,222,12,0,0,6,2,16,17,3,0,1,0,1,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
805,9911,962,2,5,12,61,0,0,5,0,14,0,5,0,12,421,0,42,0,0,54,0,0,0,5,261,17,0,0,14,0,19,5,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
816,10046,997,6,8,8,38,2,0,0,2,18,0,4,0,16,410,0,40,2,22,46,0,0,0,30,297,6,0,0,6,0,20,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
820.2,10091,983,2,3,10,68,0,2,0,3,5,0,2,0,24,321,0,51,0,12,41,0,0,0,14,380,14,0,0,6,0,11,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
837,10194,993,10,7,4,75,0,4,0,3,8,0,1,1,20,349,0,54,1,4,34,0,1,0,1,366,18,0,0,7,0,12,8,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
849,10259,989,2,2,2,80,2,0,3,2,8,0,0,1,18,314,0,39,0,14,76,0,0,0,20,361,10,0,0,1,0,10,11,0,0,5,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
860,10406,990,0,0,0,60,4,0,0,0,7,0,2,0,23,266,0,48,7,20,22,2,0,0,14,475,2,0,0,2,2,21,7,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
865.5,10534.5,996,10,2,3,82,0,3,0,2,13,0,1,5,5,301,0,63,0,8,31,0,0,3,0,426,8,0,0,6,0,10,8,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
870.8,10690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882.8,11050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,11164,918,6,6,0,131,0,2,0,2,5,0,2,5,18,72,0,13,3,3,72,2,2,2,6,522,5,0,0,10,2,10,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
897,11449,981,0,0,0,190,0,2,0,4,14,1,0,6,12,50,0,19,6,8,95,0,4,0,21,368,12,0,0,92,6,21,16,0,0,4,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0
907.6,11780,993,0,0,0,143,0,0,0,3,24,2,0,0,4,40,0,6,10,0,198,0,0,0,2,223,26,0,0,208,4,0,14,0,0,0,0,0,0,0,0,0,62,0,0,0,2,0,4,0,0,0,0,16,2,0,0,0,0,0
915.2,12016,1011,2,0,2,164,0,0,0,2,26,1,5,1,6,22,1,5,5,1,158,0,0,0,7,299,23,0,0,200,4,5,15,0,0,3,0,0,3,0,0,0,32,0,0,0,0,0,5,3,0,0,0,10,0,1,0,0,0,0
925,12286,955,0,0,3,59,0,0,0,6,26,3,3,0,10,25,0,3,10,0,130,0,0,0,16,328,32,0,0,248,0,0,3,0,0,0,0,0,3,0,0,0,26,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0
930,12408,959,0,0,0,63,0,1,0,1,44,0,0,4,12,21,0,3,9,3,190,0,1,0,8,310,29,0,0,210,7,8,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0
937.5,12579.5,999,2,0,2,64,0,0,0,2,36,2,0,0,8,26,0,0,10,4,159,0,0,0,8,383,30,0,0,191,2,0,26,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,2,2,0,0,0,20,0,0,0,0,0,0
943.7,12721,967,0,0,2,96,2,0,0,0,46,1,1,1,18,37,0,0,3,0,176,0,0,0,14,356,28,0,0,138,4,14,0,1,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0
948.7,12840.5,992,0,0,0,76,0,0,5,2,76,13,8,0,5,29,0,0,8,0,92,0,3,0,5,342,34,0,0,184,0,31,29,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,29,0,0,5,0,0,0
950,12873,986,0,0,5,117,0,0,0,3,32,18,5,0,40,45,0,0,0,0,42,0,0,0,13,321,29,0,0,247,0,13,5,0,0,3,0,0,0,0,0,0,24,0,0,0,0,0,5,3,0,0,0,16,0,0,0,0,0,0
955.8,13022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957.1,13056.5,969,0,0,9,88,1,1,0,9,60,0,12,0,50,81,0,0,14,0,51,0,1,0,14,298,52,0,0,178,1,27,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,5,2,0,0,0,6,0,0,0,0,0,0
962.6,13205,993,6,0,3,89,3,0,0,6,75,0,8,0,47,59,3,0,17,6,33,0,3,0,25,283,70,0,0,176,3,6,33,0,3,3,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,11,0,0,0,3,3,0
970,13411,996,0,0,0,87,4,0,0,8,71,0,12,0,31,103,0,0,12,0,12,0,12,0,0,328,31,0,0,162,0,43,36,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,20,0,0,0,0,0,0
974,13525,985,0,0,0,65,3,0,0,10,39,3,13,0,10,94,0,0,10,0,13,0,0,0,13,416,39,0,0,176,0,13,19,0,0,13,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0
980.2,13701,989,0,0,1,69,1,0,0,14,36,4,1,0,64,88,1,0,12,5,9,0,3,0,12,372,56,0,0,148,0,10,51,1,0,12,0,0,0,0,0,0,8,0,1,0,0,0,3,0,1,1,0,5,0,0,0,0,0,0
986.2,13871,999,0,0,2,79,2,0,0,21,60,0,0,0,35,81,0,2,14,0,14,0,2,0,17,230,60,0,0,270,8,29,44,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0
992.6,14051,982,0,0,4,67,0,0,0,10,69,0,0,0,28,105,0,2,2,2,10,0,0,0,13,250,59,0,2,280,0,10,36,0,0,15,0,0,0,0,0,0,6,0,0,0,2,0,0,0,2,0,0,6,0,0,0,0,0,2
996.3,14154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,14684,1035,0,0,0,110,0,0,4,39,324,8,0,0,4,34,0,0,16,4,67,0,4,0,0,136,110,0,0,49,12,8,45,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,0,0
1023,15023,991,0,5,5,115,5,0,0,14,285,0,0,0,18,23,5,0,14,9,28,0,0,0,5,138,87,0,0,41,14,9,46,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
1028,15245,958,0,0,9,47,0,0,0,3,364,12,0,0,9,34,6,0,12,1,41,0,9,0,12,121,106,0,0,56,16,0,38,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
1033,15497,973,0,0,4,45,3,1,0,9,309,1,0,0,1,20,5,0,5,1,33,0,13,0,0,203,96,0,0,59,15,11,24,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,9,0,0,0,0,0,0,0,0
1038,15773,989,0,0,4,29,3,0,0,4,319,7,0,0,11,29,7,0,4,0,32,0,11,0,0,190,115,0,0,41,14,7,54,0,0,86,0,0,0,0,0,0,0,0,0,7,0,4,4,7,0,0,0,0,0,0,0,0,0,0
1043,16061,1002,0,0,0,26,0,0,0,3,405,6,0,0,3,38,6,0,9,9,40,0,0,0,0,136,110,0,0,46,17,6,35,0,0,95,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0
1049,16405,972,2,0,2,20,4,0,0,9,394,2,0,0,4,33,13,0,4,4,24,0,4,0,0,185,85,1,0,49,28,4,13,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0
1053,16623,952,0,0,6,11,0,0,0,8,423,17,0,0,3,22,6,0,11,0,28,0,0,0,0,138,78,0,0,54,25,0,22,0,0,64,0,0,0,0,0,0,0,0,3,0,0,0,0,13,3,11,0,0,0,0,6,0,0,0
1058,16875,970,0,0,0,30,0,0,0,15,456,0,0,0,10,5,10,0,10,0,55,0,5,0,0,112,119,0,0,47,15,20,15,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0
1063,17108,986,0,0,2,14,2,0,0,7,332,4,1,0,5,35,2,0,12,0,29,2,1,0,0,302,76,0,0,85,21,0,9,0,0,30,0,0,0,0,0,0,1,0,0,0,3,0,0,9,0,2,0,0,0,0,0,0,0,0
1073,17534,973,3,0,3,6,3,0,0,6,532,0,0,0,0,27,3,0,9,0,30,0,6,0,0,112,57,0,0,52,24,6,15,0,0,51,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0
1078,17736,976,0,0,8,17,0,0,0,0,451,0,0,0,0,29,4,0,17,0,33,17,8,0,0,147,91,0,0,21,25,0,33,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0
1083,17938,980,0,0,3,6,3,0,0,6,332,0,0,0,8,25,3,0,3,0,28,0,0,0,3,289,69,0,0,43,17,6,53,0,0,66,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3
1093.5,NA,989,0,0,8,8,0,0,0,14,393,4,2,0,2,14,6,0,12,0,28,0,2,0,2,244,44,0,2,55,30,2,34,0,0,69,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0
