"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Liquidambar","Moraceae","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Shepherdia","Taxus","Tilia","Tsuga","Ulmus","Vitaceae","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Urticaceae"
205,8885,609,2,22,5,110,0,0,0,0,25,0,22,4,0,1,3,0,0,0,2,15,26,24,141,1,0,22,0,0,0,1,0,162,4,0,7,3,4,0,3,0,0,0,0,0
225,9574,407,1,11,9,66,0,0,0,0,27,0,7,4,0,0,3,0,0,0,2,3,16,34,107,0,1,16,0,1,0,0,0,85,5,0,1,3,1,1,1,2,0,0,0,0
245,NA,418,3,7,6,66,0,0,0,1,15,0,14,3,0,0,5,0,0,0,3,12,33,17,98,3,0,14,0,0,0,1,0,109,3,0,0,0,2,0,1,1,0,1,0,0
265,NA,395,2,11,6,70,1,0,0,0,18,0,14,2,0,0,1,0,0,0,0,10,20,30,95,3,2,16,0,1,0,1,0,81,2,0,4,2,0,1,0,2,0,0,0,0
285,NA,394,3,8,6,61,0,0,0,0,5,0,12,2,0,0,5,0,0,0,3,4,24,26,140,1,2,11,0,1,0,1,0,68,5,0,2,2,0,0,2,0,0,0,0,0
305,NA,413,4,8,7,59,0,0,0,0,19,0,18,0,0,0,2,0,0,0,3,6,25,25,136,1,1,16,0,1,0,0,0,69,3,0,0,3,1,0,4,2,0,0,0,0
325,NA,410,3,9,14,62,1,1,0,2,17,0,23,2,0,0,2,0,0,0,3,8,21,29,96,1,1,15,0,0,0,0,0,91,2,0,3,1,0,0,1,2,0,0,0,0
345,NA,423,3,5,8,57,0,0,1,0,16,0,23,5,0,0,5,0,0,0,2,7,16,34,147,0,0,14,0,0,0,1,1,66,4,0,1,2,2,1,1,1,0,0,0,0
365,NA,502,1,7,9,92,2,0,0,0,26,0,14,1,0,2,4,0,0,0,4,7,25,25,167,0,2,13,0,0,0,0,1,94,3,0,0,1,1,1,0,0,0,0,0,0
385,NA,506,1,8,7,88,1,0,0,0,18,0,12,8,0,0,7,0,0,0,2,7,13,37,171,1,0,23,0,0,0,0,0,87,6,0,1,5,1,1,0,1,0,0,0,0
405,NA,393,1,4,12,57,1,0,0,1,14,0,8,2,0,0,4,0,0,0,4,3,11,39,185,1,0,11,0,0,0,0,0,23,5,0,0,4,0,0,0,3,0,0,0,0
425,NA,382,3,1,6,54,0,0,0,0,15,0,14,6,0,0,0,0,0,0,4,3,12,38,148,0,1,17,0,1,0,0,0,44,7,0,1,4,0,1,0,1,1,0,0,0
445,NA,435,0,13,9,87,1,0,0,0,8,0,9,2,0,0,1,0,0,0,1,6,18,32,167,0,0,20,0,1,0,0,0,52,2,0,2,1,0,0,2,1,0,0,0,0
465,NA,366,1,2,3,42,0,0,0,0,2,1,6,0,1,1,1,0,0,1,4,5,12,38,212,0,1,10,0,0,0,1,1,14,3,0,0,1,0,0,1,1,0,0,0,1
485,NA,470,0,6,8,64,0,0,0,0,11,0,10,7,0,0,3,0,0,0,1,10,16,34,233,0,1,12,0,0,0,0,1,38,1,0,3,3,1,3,3,1,0,0,0,0
490,NA,560,2,5,14,86,1,0,0,0,9,0,10,5,0,0,3,0,0,1,2,4,12,38,312,1,0,12,0,0,0,0,0,26,5,0,3,3,0,1,2,3,0,0,0,0
495,NA,466,1,11,6,52,0,0,0,0,11,0,13,0,0,0,4,0,0,0,2,3,17,33,249,1,0,16,0,1,0,0,0,33,2,0,0,3,3,2,0,3,0,0,0,0
500,NA,504,2,3,9,81,1,0,0,0,12,0,2,3,0,0,1,0,0,1,2,4,9,41,269,1,0,21,0,0,0,0,0,27,3,0,3,2,1,2,4,0,0,0,0,0
505,NA,410,0,4,5,38,0,0,0,0,8,0,0,1,1,0,0,0,0,0,3,6,21,29,251,0,0,15,0,0,0,0,0,13,4,1,1,2,1,0,4,1,0,1,0,0
510,NA,503,2,6,7,63,0,0,0,0,10,0,5,0,1,1,0,0,0,0,1,5,17,33,295,0,0,13,0,0,0,1,0,26,6,0,0,2,0,1,3,4,0,1,0,0
515,NA,511,3,4,3,39,0,0,0,0,2,0,7,2,0,0,1,0,0,0,1,5,18,32,361,0,0,7,0,0,0,0,0,17,0,0,3,2,0,0,2,2,0,0,0,0
525,NA,475,0,6,4,54,0,0,0,2,11,0,0,2,0,0,2,0,0,0,1,2,17,33,291,0,0,11,0,0,0,0,0,26,3,0,2,3,0,1,3,1,0,0,0,0
545,NA,406,1,3,16,43,0,0,0,1,11,0,0,2,0,0,0,0,0,1,3,1,8,42,240,1,0,7,0,0,0,0,0,15,1,0,1,3,2,0,4,0,0,0,0,0
565,NA,445,0,3,9,66,0,0,0,0,10,0,1,1,0,0,2,0,0,0,3,1,14,36,269,0,0,11,0,1,0,0,0,12,2,0,0,2,0,0,0,2,0,0,0,0
585,NA,414,0,4,2,34,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,5,13,37,292,0,0,6,0,0,0,0,0,7,1,0,2,3,0,0,1,1,0,0,0,0
605,NA,401,2,5,2,37,0,0,0,2,4,0,2,1,0,0,2,0,0,1,4,0,18,32,267,0,0,7,0,0,0,0,0,5,2,0,4,2,0,0,2,0,0,0,0,0
625,NA,530,1,5,5,62,0,0,0,0,15,0,3,4,0,0,1,0,0,0,6,1,21,29,317,1,2,31,0,0,0,0,0,6,6,0,4,3,1,2,1,3,0,0,0,0
645,NA,520,0,6,3,55,0,0,0,1,8,0,2,1,0,1,1,0,0,1,2,1,17,33,323,0,0,32,0,1,0,0,0,8,7,0,4,3,4,1,4,1,0,0,0,0
665,NA,448,2,3,10,42,0,0,0,1,11,0,2,0,0,1,5,0,0,0,3,2,24,26,272,2,0,21,0,0,0,0,1,5,3,0,2,3,2,1,1,3,0,0,0,0
685,NA,471,0,7,6,35,1,0,0,2,27,0,0,3,0,0,0,0,0,1,6,2,16,34,285,0,0,21,0,1,0,3,2,4,5,0,3,2,1,1,1,2,0,0,0,0
705,NA,477,1,6,2,19,0,0,0,1,11,0,0,3,1,0,0,0,0,1,5,2,18,32,340,1,0,22,0,0,0,0,0,3,2,0,3,1,0,1,1,1,0,0,0,0
710,NA,483,2,5,11,36,0,0,0,0,10,0,0,0,0,1,1,0,0,2,5,7,13,37,320,1,0,13,0,0,0,0,0,7,3,0,2,2,1,2,1,1,0,0,0,0
715,NA,494,1,5,8,27,0,0,0,0,11,0,2,4,0,1,1,0,0,2,8,3,20,30,314,1,0,26,0,0,0,1,0,5,3,0,3,4,0,1,4,9,0,0,0,0
720,NA,565,2,12,8,45,0,0,0,1,23,0,3,3,0,2,1,0,0,1,8,2,14,36,326,0,0,43,0,3,0,0,2,5,4,0,5,5,2,1,4,4,0,0,0,0
725,NA,578,0,16,7,42,1,0,0,4,12,0,1,2,0,1,0,0,0,1,13,0,14,36,364,1,0,34,0,1,0,0,0,6,6,0,6,7,0,0,3,0,0,0,0,0
730,NA,579,0,7,11,42,0,0,0,1,17,0,0,7,0,0,5,0,0,3,7,2,14,36,337,3,0,46,0,1,0,0,1,10,6,0,5,6,2,4,3,2,0,1,0,0
735,NA,446,1,2,4,21,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,2,21,29,314,0,0,24,0,2,0,0,1,5,3,0,2,4,0,1,3,2,0,0,0,0
740,NA,540,0,4,11,32,0,0,0,1,33,0,0,7,0,2,2,0,0,3,6,2,18,33,332,1,0,18,0,0,0,0,1,11,8,0,8,0,2,1,2,2,0,0,0,0
745,NA,506,0,7,4,22,0,0,0,0,5,0,2,3,0,0,1,0,0,0,2,4,21,29,354,0,0,16,0,0,0,0,0,20,3,0,4,1,1,2,2,2,1,0,0,0
750,NA,493,0,0,8,22,0,0,0,0,12,0,2,2,0,0,2,0,0,1,5,1,24,26,316,0,0,19,0,1,0,0,1,35,8,0,2,3,0,0,3,0,0,0,0,0
755,NA,518,1,4,8,38,1,0,0,1,15,0,0,3,0,2,0,0,0,1,5,1,20,30,310,0,2,20,0,1,0,1,0,24,11,0,3,4,1,1,6,4,0,0,0,0
765,NA,514,1,2,4,19,1,0,0,1,22,0,1,3,0,1,0,0,0,0,5,2,19,31,338,0,0,30,0,0,0,0,1,14,6,0,5,1,0,2,3,2,0,0,0,0
785,NA,537,1,16,9,30,0,0,0,0,11,0,1,3,0,1,1,0,0,0,5,1,14,36,339,1,0,29,0,1,0,3,0,7,7,0,3,7,2,3,4,2,0,0,0,0
805,NA,443,0,4,0,20,0,0,0,0,11,0,1,2,0,0,0,0,0,0,6,3,18,32,281,2,1,24,0,4,0,0,0,17,7,0,5,3,1,0,1,0,0,0,0,0
825,NA,512,0,6,2,26,2,0,0,1,14,0,1,9,0,1,0,0,0,1,7,0,17,33,320,1,0,30,0,0,0,0,1,14,11,0,4,3,1,0,4,3,0,0,0,0
845,NA,586,0,7,10,24,1,0,0,0,15,0,0,3,0,0,1,0,0,0,5,3,11,39,405,3,0,21,1,0,0,2,1,7,7,0,3,6,1,4,4,2,0,0,0,0
865,NA,513,0,3,7,25,1,0,0,3,11,0,0,4,0,2,1,0,0,0,7,1,20,30,313,2,0,45,0,1,0,1,1,6,14,0,3,4,2,1,4,1,0,0,0,0
885,NA,428,1,3,4,23,0,0,0,1,4,0,0,0,0,0,0,0,0,0,8,3,24,26,281,0,1,28,0,0,0,0,0,1,3,0,4,4,2,1,3,3,0,0,0,0
905,NA,440,3,0,6,25,1,0,0,0,10,0,1,5,0,0,1,0,0,2,9,3,17,33,285,0,1,13,0,1,0,0,0,0,8,1,4,2,0,2,4,3,0,0,0,0
925,NA,488,1,1,2,24,2,0,0,0,3,0,0,2,0,0,2,0,0,0,6,10,41,9,341,0,1,17,0,0,0,0,1,0,10,0,2,2,0,5,2,3,1,0,0,0
945,NA,501,4,2,2,36,2,1,0,0,2,0,0,4,0,1,3,0,0,1,4,24,47,4,322,2,0,20,0,2,0,1,1,0,4,0,2,0,1,3,2,4,0,0,0,0
965,NA,571,3,3,2,8,3,0,0,1,1,0,0,4,0,0,6,0,0,0,9,33,50,0,377,1,0,35,0,1,1,0,0,0,20,0,1,3,1,1,2,3,0,0,1,1
985,NA,496,0,0,0,11,0,0,0,0,10,0,0,2,0,1,6,0,0,0,8,20,50,0,339,2,1,22,0,0,0,0,1,0,9,0,1,9,0,2,2,0,0,0,0,0
1005,NA,593,0,3,0,10,3,2,0,0,27,0,0,14,0,2,9,0,0,0,10,100,50,0,250,0,4,48,0,1,0,0,0,0,22,0,3,18,3,1,8,5,0,0,0,0
1025,NA,502,0,2,3,16,2,0,0,0,7,1,0,3,0,2,1,0,0,0,6,136,50,0,135,0,0,59,0,3,1,0,0,0,10,10,2,24,2,2,13,1,1,0,0,10
