"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.negundo","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Populus","Poaceae","Acer.rubrum","Juglans.nigra","Asteraceae.subf..Cichorioideae","Pinus.undiff.","Platanus","Castanea","Caryophyllaceae","Herbs.undiff.","Rosaceae","Thalictrum","Sarcobatus.vermiculatus","Ephedra","Celtis","Iva.annua.type","Ericaceae"
240,1640,362,1,35,0,1,1,48,4,1,0,14,13,94,5,5,1,0,10,1,0,0,18,0,0,4,31,2,49,0,0,4,0,1,0,17,2,0,0,0,0,0,0,0,0,0,0
260,1901,347,0,37,0,2,0,46,3,0,1,14,12,77,6,6,0,1,20,1,0,0,21,0,1,3,27,2,42,3,0,8,0,0,0,10,3,1,0,0,0,0,0,0,0,0,0
280,2174,342,0,39,0,0,0,34,4,2,1,19,19,74,7,5,0,0,15,1,0,0,24,0,1,3,33,1,26,4,0,2,1,0,0,25,1,0,0,0,0,1,0,0,0,0,0
300,2455,357,3,51,0,2,2,35,5,0,0,13,19,77,7,4,0,1,8,2,0,0,20,0,0,4,28,0,33,0,1,6,0,0,0,34,1,1,0,0,0,0,0,0,0,0,0
320,2745,402,2,43,0,0,0,59,7,1,0,19,14,74,9,9,1,0,10,1,0,0,31,0,0,5,29,0,52,0,1,1,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0
340,3040,323,0,37,0,1,0,26,2,0,1,25,15,68,5,5,4,2,13,1,0,0,18,0,0,3,31,4,35,2,0,3,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0
360,3340,320,0,32,0,0,2,36,1,0,0,16,10,83,4,9,0,1,12,2,0,0,19,0,0,4,26,0,33,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
380,3642,336,0,51,0,1,0,42,9,0,1,7,13,77,2,3,1,0,8,0,0,0,24,0,0,6,28,1,36,1,0,1,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0
400,3944,338,0,41,0,0,2,55,2,0,0,10,10,57,8,15,1,0,17,2,0,0,30,0,0,3,11,0,37,3,0,1,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0
420,4244,307,0,45,0,0,0,38,6,2,0,1,3,82,3,5,2,0,9,0,0,0,22,0,2,5,7,0,39,3,2,1,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0
440,4541,351,1,34,0,1,0,65,6,0,0,13,6,70,4,9,3,0,21,2,0,0,33,0,1,7,7,0,33,1,0,1,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0
460,4834,409,0,46,0,3,0,64,8,0,1,10,5,120,5,5,6,0,15,1,0,0,11,0,0,8,11,1,57,2,0,1,0,1,0,26,1,0,0,0,0,0,1,0,0,0,0
480,5119,400,0,32,0,1,0,78,3,0,0,11,6,110,4,14,3,1,11,0,0,0,33,0,0,4,15,0,36,0,2,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0
500,5396,312,0,29,0,2,1,52,4,0,0,5,6,63,3,12,1,1,7,2,0,0,21,0,0,7,24,1,25,1,0,2,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0
520,5665,327,0,29,0,1,0,30,3,0,0,4,3,50,6,10,0,1,11,3,0,0,23,0,1,5,65,2,18,2,0,1,0,0,0,53,5,0,0,0,0,1,0,0,0,0,0
540,5927,359,1,39,0,0,0,25,1,0,0,4,4,93,5,6,0,0,4,0,0,0,24,0,1,0,77,1,25,1,0,0,0,1,0,45,2,0,0,0,0,0,0,0,0,0,0
560,6184,350,0,26,0,2,1,28,3,0,0,4,2,64,2,4,2,0,2,1,0,0,19,0,1,3,119,0,31,1,0,0,0,1,0,32,1,0,0,0,0,0,0,0,1,0,0
580,6436,391,0,19,0,0,0,42,4,0,0,2,0,84,5,2,2,1,3,0,0,0,8,0,1,3,159,1,26,1,0,1,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0
620,6931,349,0,24,0,2,0,37,3,1,0,0,3,90,4,1,0,0,5,0,0,0,12,0,0,7,105,2,26,0,0,1,0,1,0,24,1,0,0,0,0,0,0,0,0,0,0
640,7176,448,0,31,0,0,3,32,2,0,1,11,3,72,7,5,0,0,19,1,0,0,30,0,0,7,134,0,30,1,1,0,1,0,0,54,2,0,0,0,0,0,0,0,1,0,0
660,7420,389,0,26,0,0,1,28,0,0,1,8,5,74,6,6,0,1,16,1,0,0,28,0,0,6,96,1,34,1,0,0,0,2,0,43,5,0,0,0,0,0,0,0,0,0,0
680,7665,359,0,25,0,2,0,26,2,0,0,9,8,64,4,3,1,1,10,1,0,0,23,0,0,3,88,0,27,0,2,1,0,1,0,56,2,0,0,0,0,0,0,0,0,0,0
700,7911,322,0,37,0,0,1,15,1,0,0,11,3,70,7,10,0,0,11,0,14,31,18,0,0,6,55,0,21,3,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0
720,8161,361,0,33,0,0,0,11,2,0,0,14,5,73,9,6,0,0,16,1,11,43,30,0,0,4,75,0,18,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
740,8414,349,0,28,0,2,0,4,0,0,1,11,6,73,9,5,0,0,10,0,15,74,12,0,1,5,61,0,24,1,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
760,8672,353,0,27,0,1,1,10,2,1,0,15,3,59,6,9,0,0,12,0,5,54,24,0,1,1,92,0,26,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,8936,329,1,20,0,2,0,5,1,0,0,11,4,47,11,4,1,0,9,0,6,72,29,0,2,4,75,0,21,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
800,9207,340,1,20,0,1,0,5,2,1,0,6,2,50,9,2,2,0,9,0,23,91,26,0,1,1,51,2,24,1,2,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
820,9485,330,2,22,0,1,0,4,3,1,0,14,7,50,11,11,1,0,17,0,10,85,28,0,0,3,46,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,9773,351,2,14,0,2,0,1,1,1,1,5,4,48,4,6,0,0,13,0,9,108,26,0,0,6,77,0,17,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
860,10071,382,3,16,0,3,2,2,1,1,0,14,5,31,6,6,0,4,19,0,7,104,45,0,0,3,83,1,20,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
880,10380,369,7,15,0,0,0,12,1,0,0,10,4,11,5,13,1,1,24,0,10,119,60,0,0,10,40,0,20,1,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
900,10701,337,8,14,0,1,0,6,2,0,0,10,2,5,10,6,0,1,26,1,17,125,50,0,0,3,19,2,19,0,0,4,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0
910,10867,420,7,21,0,1,1,8,3,1,0,12,5,4,9,8,0,3,26,1,12,185,63,0,0,3,16,1,28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,11036,384,4,17,0,1,1,13,2,1,0,13,6,7,11,6,1,2,25,0,34,134,55,0,0,7,11,1,18,0,2,3,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0
930,11208,375,2,17,0,1,0,15,2,0,1,1,3,6,2,4,0,3,18,2,14,161,71,0,2,4,11,0,30,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
940,11385,400,9,1,0,3,2,49,0,0,0,4,6,2,10,2,1,9,12,14,190,36,30,0,0,0,2,1,11,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
950,11564,342,17,1,0,1,1,61,0,0,3,3,6,0,2,0,0,11,8,20,135,18,28,0,0,0,0,2,11,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
960,11745,366,9,2,0,2,2,14,2,0,1,7,20,1,8,1,2,28,21,88,65,16,36,0,0,0,4,0,10,4,19,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
970,NA,380,2,0,0,3,10,19,0,1,0,3,29,0,1,0,0,1,1,225,44,5,12,0,2,0,3,1,1,4,1,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
980,NA,362,2,0,0,0,10,3,0,0,0,3,42,0,2,0,0,0,1,255,0,0,7,0,0,0,2,0,1,0,1,4,0,0,0,26,0,0,0,0,0,3,0,0,0,0,0
990,NA,359,0,0,0,0,5,0,0,0,0,1,30,0,1,1,0,0,0,282,0,0,6,0,0,0,0,0,0,0,1,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
995,NA,361,0,0,0,4,2,0,1,1,0,0,40,0,3,0,0,0,2,278,0,0,3,0,2,0,1,0,0,2,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
1020,NA,521,1,1,0,5,15,1,0,0,0,20,158,0,3,1,0,1,2,241,0,0,7,0,4,0,0,4,0,1,2,8,0,0,0,43,0,0,0,0,0,2,0,0,0,0,1
1025,NA,518,0,0,0,2,3,1,1,0,0,7,145,0,0,0,0,0,0,259,0,0,1,0,1,0,1,5,0,0,8,5,0,1,0,78,0,0,0,0,0,0,0,0,0,0,0
1030,NA,401,0,0,0,2,13,6,0,0,0,8,35,0,0,0,0,0,0,288,0,0,10,1,1,0,2,0,1,0,0,6,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0
