"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.undiff.","Herbs.undiff.","Picea","Platanus","Quercus","Rumex","Salix","Tilia","Ulmus","Acer","Pinus","Poaceae","Plantago","Betula","Asteraceae.undiff.","Juglans.undiff.","Ostrya.Carpinus","Alnus","Corylus","Populus","Cupressaceae","Rosaceae.undiff.","Celtis","Thalictrum","Abies","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Tsuga","Rhamnaceae.Vitaceae","Sarcobatus.vermiculatus","Larix","Trees.undiff.","Saxifragaceae","Sanguisorba"
103,571,268,4,3,25,0,2,15,9,0,1,0,156,0,0,3,11,6,5,3,0,6,4,3,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,903,246,5,1,25,1,0,16,12,0,1,1,131,0,1,1,18,8,5,1,0,4,0,3,7,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
143,1296,260,1,0,11,0,1,58,13,0,1,0,122,0,1,1,20,3,5,3,0,3,0,4,8,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
163,1743,230,2,0,5,0,0,41,15,0,2,1,116,0,0,3,14,6,8,2,0,2,0,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2109,206,2,0,17,0,0,18,8,0,1,2,129,0,1,3,8,2,3,0,0,2,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2496,211,0,1,15,0,2,10,10,0,3,2,149,0,1,0,11,1,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2765,257,1,0,12,0,0,15,6,0,1,0,195,0,0,0,9,2,1,0,0,3,0,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,3171,201,1,0,20,1,0,2,7,0,3,3,146,0,1,0,7,2,2,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,3435,211,4,1,11,0,2,5,7,1,5,2,140,0,0,0,11,1,7,4,0,3,0,1,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,3805,211,6,0,6,0,0,4,10,0,0,1,153,0,0,0,12,0,5,0,0,0,5,3,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,4142,216,3,1,10,1,1,11,15,1,2,0,123,0,1,0,19,5,5,4,0,5,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
268,4352,206,1,1,7,0,0,8,11,0,1,4,140,0,0,0,12,6,2,1,0,2,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,4434,211,2,0,8,1,0,8,13,0,2,3,149,0,0,5,8,1,5,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
298,4941,202,3,0,3,1,0,7,8,1,1,7,139,0,0,1,9,2,8,2,0,1,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,5132,253,6,0,2,2,0,5,4,0,0,2,198,0,1,3,9,2,9,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
328,5519,213,4,0,3,0,0,8,7,0,0,5,136,0,1,1,25,2,6,2,0,2,2,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,5721,207,1,1,5,1,3,9,4,0,2,4,130,0,1,2,21,2,5,4,0,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,6154,209,3,3,11,2,2,12,9,0,1,0,130,0,1,1,16,3,6,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,6389,238,9,0,7,2,2,10,3,0,1,2,172,0,0,1,13,3,5,2,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,6640,216,3,0,5,5,0,15,7,0,2,1,140,0,0,1,20,2,4,3,0,0,1,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
408,7464,248,3,0,6,0,1,27,12,0,6,4,129,0,0,1,25,4,8,2,0,2,1,2,8,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,7906,255,3,2,6,1,0,20,13,0,4,6,133,0,0,0,41,8,10,0,0,0,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
433,8208,239,3,2,11,1,1,14,8,0,2,3,121,0,1,0,35,5,14,1,0,4,0,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,8512,214,6,1,7,2,0,6,3,0,3,4,131,0,0,0,29,4,5,1,0,1,0,0,2,1,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
458,8971,234,7,0,6,1,0,0,9,0,2,10,160,0,0,0,22,3,4,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,9426,235,2,2,2,2,0,0,5,0,4,4,156,0,2,1,20,5,9,2,0,0,2,2,9,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
492,9988,299,10,2,4,2,7,0,5,0,2,6,165,0,1,1,11,4,41,12,0,1,3,2,11,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
503,10302,284,9,2,9,0,5,0,7,0,1,3,160,0,1,1,16,5,40,5,0,1,0,2,12,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
513,10570,359,2,1,7,6,0,0,0,0,0,6,212,0,1,1,29,3,51,5,0,2,1,4,13,0,8,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0
518,10689,276,6,1,4,0,9,0,0,0,1,1,136,0,0,0,14,6,61,10,0,2,2,0,12,2,3,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
528,10878,300,3,1,4,0,1,1,0,0,13,1,101,0,1,0,26,6,112,3,0,4,0,2,14,1,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0
538,11021,303,2,1,5,0,5,0,0,0,5,2,59,0,3,0,32,0,151,5,0,2,1,0,21,0,2,1,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0
543,11084,283,3,1,7,0,6,0,0,0,2,1,55,0,0,0,15,3,150,3,0,4,0,0,19,0,1,1,0,0,3,0,0,8,0,0,0,1,0,0,0,0,0
548,11146,382,0,1,9,1,2,0,7,0,2,3,58,0,4,0,28,4,219,3,0,9,3,2,23,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
553,11211,332,0,0,4,1,5,0,0,0,4,1,49,0,1,0,26,1,199,3,1,4,2,6,12,1,0,2,1,0,1,0,0,7,0,0,0,0,0,1,0,0,0
563,11366,279,0,3,3,0,5,0,0,0,10,3,29,0,0,0,15,2,180,4,0,7,1,2,4,2,1,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0
568,11464,255,1,2,1,0,2,0,0,0,17,0,15,0,0,0,15,0,162,3,0,9,1,4,6,1,0,2,2,0,0,0,1,5,4,0,1,0,0,1,0,0,0
573,11582,586,1,2,3,0,7,0,0,1,40,0,57,0,0,0,18,1,378,3,0,24,2,0,12,2,5,2,1,0,0,1,8,12,0,0,0,0,0,5,1,0,0
578,11722,298,3,5,0,0,4,0,0,1,43,0,23,0,1,0,9,1,177,1,0,5,1,0,5,0,2,1,0,0,0,0,8,7,0,0,1,0,0,0,0,0,0
593,12250,321,4,11,4,1,21,0,0,0,104,1,34,0,4,0,10,0,59,8,0,3,2,0,9,4,0,15,4,1,2,0,9,9,1,0,0,0,0,1,0,0,0
598,12453,154,2,4,0,1,5,0,0,0,80,0,12,0,2,0,3,1,14,3,0,1,2,0,6,2,1,1,1,0,0,1,4,5,0,0,0,0,0,3,0,0,0
603,12664,243,1,8,1,0,18,0,7,1,91,0,26,0,0,0,8,0,18,13,0,3,1,0,20,4,0,13,3,1,0,2,4,0,0,0,0,0,0,0,0,0,0
608,12880,246,7,6,1,0,21,0,0,0,93,0,29,0,6,0,0,0,7,2,0,3,3,4,13,2,2,10,3,0,0,2,17,15,0,0,0,0,0,0,0,0,0
618,13316,192,3,3,0,0,5,0,2,0,102,0,16,0,0,0,3,0,4,1,0,0,5,0,6,1,2,29,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
623,13533,323,7,29,2,1,22,0,0,0,101,0,28,0,7,0,14,0,0,10,1,4,5,0,34,2,1,1,1,0,0,1,11,39,1,0,0,0,0,1,0,0,0
628,13751,153,4,15,0,0,11,1,0,2,44,0,23,0,0,0,2,1,1,4,0,1,2,0,11,1,3,8,3,0,0,1,1,13,0,0,0,0,0,1,0,0,0
633,13969,290,6,13,2,0,13,0,0,1,95,0,34,0,1,0,7,1,1,10,0,4,5,0,13,1,0,31,6,0,0,3,3,35,3,0,0,1,0,0,0,1,0
638,14188,285,9,14,1,0,23,0,0,1,87,0,29,0,2,0,6,1,0,6,0,2,2,4,17,0,3,15,10,0,1,2,1,49,0,0,0,0,0,0,0,0,0
648,14632,207,4,5,4,1,15,0,0,0,59,0,13,0,6,0,4,0,1,7,0,2,2,0,7,0,1,13,11,2,2,1,0,43,2,2,0,0,0,0,0,0,0
653,14858,241,3,7,0,0,14,0,0,0,103,0,22,0,6,0,3,1,1,4,0,0,3,0,10,0,1,21,11,1,1,2,0,23,2,1,0,0,0,0,0,1,0
663,15320,296,2,13,0,0,25,0,36,0,119,0,21,0,4,0,3,1,0,7,0,2,5,2,13,1,0,18,18,0,1,0,0,0,0,0,0,0,0,2,0,0,3
668,15553,190,2,3,0,1,11,0,15,1,53,0,29,0,4,0,7,0,1,10,0,0,4,0,8,0,0,17,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0
