"sample.depths","sample.ages","Abies","Artemisia","Betula","Carya","Corylus","Cupressaceae","Fagus","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Acer.saccharum","Cyperaceae","Ericaceae","Salix","Fraxinus.nigra","Acer.rubrum","Tilia","Cornus","Acer.negundo","Juglans.cinerea","Juglans.nigra","Populus","Thalictrum","Rumex","Rosaceae","Dalea.purpurea"
200,4396,0.00359712230215827,0,0.345323741007194,0,0,0.0539568345323741,0.039568345323741,0.00719424460431655,0.00359712230215827,0.0179856115107914,0.0215827338129496,0.0899280575539568,0.0215827338129496,0,0.0503597122302158,0,0.0143884892086331,0,0,0.26978417266187,0,0,0.0215827338129496,0.0107913669064748,0.00359712230215827,0.00719424460431655,0.0179856115107914,0,0,0,0,0,0,0,0,0,0,0
220,4881,0.0101351351351351,0,0.334459459459459,0,0.00337837837837838,0.0472972972972973,0.0304054054054054,0,0.0168918918918919,0.027027027027027,0.00337837837837838,0.0675675675675676,0.0304054054054054,0,0.0337837837837838,0,0.0371621621621622,0.00337837837837838,0,0.273648648648649,0,0,0.0304054054054054,0.00675675675675676,0.00337837837837838,0.00675675675675676,0.0304054054054054,0.00337837837837838,0,0,0,0,0,0,0,0,0,0
240,5379,0.0036101083032491,0.0036101083032491,0.335740072202166,0.0036101083032491,0.0072202166064982,0.0216606498194946,0.0252707581227437,0,0,0.036101083032491,0.0072202166064982,0.0216606498194946,0.129963898916967,0,0.0433212996389892,0,0.0108303249097473,0.0036101083032491,0,0.274368231046931,0.0036101083032491,0.0072202166064982,0.0144404332129964,0.0036101083032491,0,0.0108303249097473,0.0180505415162455,0.0036101083032491,0,0.0108303249097473,0,0,0,0,0,0,0,0
260,5892,0,0.0072202166064982,0.404332129963899,0,0,0.0288808664259928,0.0144404332129964,0,0,0.0144404332129964,0.0108303249097473,0.0433212996389892,0.0974729241877256,0,0.0433212996389892,0,0.0144404332129964,0.0180505415162455,0,0.249097472924188,0,0,0.0108303249097473,0,0,0.0108303249097473,0.0216606498194946,0,0,0,0.0072202166064982,0.0036101083032491,0,0,0,0,0,0
280,6416,0.00583090379008746,0,0.212827988338192,0,0,0.0116618075801749,0.0233236151603499,0,0,0.0145772594752187,0.0379008746355685,0.0670553935860058,0.131195335276968,0,0.032069970845481,0,0.0233236151603499,0,0,0.373177842565598,0,0.00583090379008746,0.0087463556851312,0.00291545189504373,0.00291545189504373,0.0145772594752187,0.0262390670553936,0,0,0,0.00291545189504373,0,0.00291545189504373,0,0,0,0,0
300,6947,0.0104529616724739,0.00348432055749129,0.104529616724739,0,0.00348432055749129,0.0209059233449477,0.024390243902439,0,0.00348432055749129,0.0139372822299652,0.0383275261324042,0.0766550522648084,0.0592334494773519,0,0.048780487804878,0,0.024390243902439,0.00696864111498258,0,0.484320557491289,0,0,0.0209059233449477,0.00696864111498258,0,0.00348432055749129,0.0313588850174216,0.00348432055749129,0,0,0.00696864111498258,0,0.00348432055749129,0,0,0,0,0
320,7481,0.00952380952380952,0,0.0714285714285714,0.00476190476190476,0,0.0333333333333333,0.0571428571428571,0.019047619047619,0.00476190476190476,0.0428571428571429,0.0380952380952381,0.0238095238095238,0.00476190476190476,0,0.0333333333333333,0,0.0142857142857143,0.0142857142857143,0,0.552380952380952,0,0,0.0238095238095238,0,0.00476190476190476,0,0.0285714285714286,0.00952380952380952,0,0,0,0.00476190476190476,0,0.00476190476190476,0,0,0,0
340,8015,0.00396825396825397,0.00396825396825397,0.0396825396825397,0,0,0.00793650793650794,0.0357142857142857,0.00793650793650794,0.00396825396825397,0.0277777777777778,0.0277777777777778,0.0119047619047619,0.0119047619047619,0.00396825396825397,0.0357142857142857,0,0.0158730158730159,0.00396825396825397,0,0.698412698412698,0.00793650793650794,0,0.0238095238095238,0,0,0,0.0198412698412698,0.00793650793650794,0,0,0,0,0,0,0,0,0,0
360,8544,0.0135135135135135,0,0.114864864864865,0,0,0.0135135135135135,0.00675675675675676,0,0.00337837837837838,0.0337837837837838,0.0439189189189189,0.00337837837837838,0,0,0.0101351351351351,0,0.0168918918918919,0.0101351351351351,0.0371621621621622,0.652027027027027,0.0135135135135135,0.00675675675675676,0.0101351351351351,0.00337837837837838,0,0.00337837837837838,0,0,0,0,0,0,0.00337837837837838,0,0,0,0,0
380,9071,0.0246913580246914,0,0.0864197530864197,0.00925925925925926,0.00308641975308642,0.0123456790123457,0,0.00308641975308642,0,0.0123456790123457,0.0555555555555556,0.0339506172839506,0,0,0.00308641975308642,0,0.00617283950617284,0.00308641975308642,0,0.712962962962963,0,0,0.0123456790123457,0.00308641975308642,0,0.00308641975308642,0.0154320987654321,0,0,0,0,0,0,0,0,0,0,0
400,9596,0.025089605734767,0,0.139784946236559,0.003584229390681,0,0.017921146953405,0,0,0.003584229390681,0.017921146953405,0.03584229390681,0.039426523297491,0,0,0.032258064516129,0,0,0.007168458781362,0,0.648745519713262,0.003584229390681,0,0.007168458781362,0,0,0.010752688172043,0.007168458781362,0,0,0,0,0,0,0,0,0,0,0
420,10118,0.0185185185185185,0.0037037037037037,0.148148148148148,0,0,0.0222222222222222,0,0,0,0.0222222222222222,0.0333333333333333,0.0148148148148148,0,0,0.037037037037037,0,0.0259259259259259,0.0259259259259259,0.0037037037037037,0.585185185185185,0,0,0,0,0,0.037037037037037,0.0148148148148148,0,0,0,0,0,0,0,0.00740740740740741,0,0,0
440,10640,0.0203252032520325,0.0284552845528455,0.0853658536585366,0,0,0.0040650406504065,0,0,0.008130081300813,0.032520325203252,0.032520325203252,0.0121951219512195,0,0,0.016260162601626,0,0.016260162601626,0.0040650406504065,0,0.707317073170732,0,0,0,0.0040650406504065,0,0.0284552845528455,0,0,0,0,0,0,0,0,0,0,0,0
460,11160,0.0133928571428571,0.00892857142857143,0.133928571428571,0,0,0.0267857142857143,0,0,0.00446428571428571,0.0446428571428571,0.0446428571428571,0.0535714285714286,0,0,0.00446428571428571,0,0,0,0,0.65625,0,0,0,0,0,0.00892857142857143,0,0,0,0,0,0,0,0,0,0,0,0
480,NA,0.0037593984962406,0.018796992481203,0.0902255639097744,0,0,0.018796992481203,0,0,0.0037593984962406,0.018796992481203,0.0676691729323308,0.037593984962406,0.0037593984962406,0,0.0300751879699248,0,0,0.0037593984962406,0,0.68421052631579,0,0,0,0,0.0037593984962406,0.0075187969924812,0.0075187969924812,0,0,0,0,0,0,0,0,0,0,0
500,NA,0.00641025641025641,0.0128205128205128,0.246794871794872,0.00641025641025641,0,0.125,0,0,0.00961538461538462,0,0.141025641025641,0.0384615384615385,0.00320512820512821,0.00320512820512821,0.0352564102564103,0,0.00320512820512821,0.00320512820512821,0,0.278846153846154,0.00320512820512821,0,0.00320512820512821,0.0192307692307692,0,0.0128205128205128,0.0256410256410256,0,0,0,0,0.00961538461538462,0,0,0.00641025641025641,0.00641025641025641,0,0
520,NA,0.00735294117647059,0.0110294117647059,0.242647058823529,0.00735294117647059,0,0.00735294117647059,0,0,0.00735294117647059,0,0.341911764705882,0.0404411764705882,0,0,0.0294117647058824,0,0,0.0183823529411765,0,0.264705882352941,0,0,0,0.00367647058823529,0,0.00735294117647059,0.0110294117647059,0,0,0,0,0,0,0,0,0,0,0
530,NA,0,0.0102040816326531,0.200680272108844,0,0,0.292517006802721,0,0,0.00680272108843537,0,0.0680272108843537,0.0442176870748299,0,0.00680272108843537,0.0170068027210884,0,0.0102040816326531,0.00340136054421769,0,0.108843537414966,0,0.0340136054421769,0,0.0306122448979592,0,0.0340136054421769,0.0204081632653061,0,0,0.00340136054421769,0,0.00680272108843537,0,0.102040816326531,0,0,0,0
550,NA,0.0136054421768707,0.0136054421768707,0.0748299319727891,0,0,0.0816326530612245,0,0.00680272108843537,0.0136054421768707,0,0.054421768707483,0.054421768707483,0,0.00680272108843537,0.0612244897959184,0,0.0272108843537415,0.0136054421768707,0,0.333333333333333,0,0,0,0.0952380952380952,0,0.0476190476190476,0.0476190476190476,0,0,0,0,0,0,0.0476190476190476,0,0,0.00680272108843537,0
560,NA,0.0069204152249135,0.0103806228373702,0.110726643598616,0.0103806228373702,0,0.069204152249135,0,0.00346020761245675,0.00346020761245675,0,0.121107266435986,0.041522491349481,0.00346020761245675,0.00346020761245675,0.041522491349481,0,0.0069204152249135,0.013840830449827,0,0.269896193771626,0,0.00346020761245675,0,0.152249134948097,0.0069204152249135,0.0449826989619377,0.0311418685121107,0,0,0,0,0,0,0.027681660899654,0,0,0.0103806228373702,0.0069204152249135
