"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Picea","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Myrica","Pinus","Populus","Poaceae","cf..Myrica","Quercus","Rosaceae.undiff.","Ericales","Juniperus","Taxus","Ulmus","Ambrosia","Salix","Acer","Brassicaceae","Caprifoliaceae.undiff.","Fraxinus","Caryophyllaceae","Castanea","Humulus","Corylus","Ranunculaceae.undiff.","Fagus","Amaranthaceae","Ostrya.Carpinus","Filipendula","Shepherdia.canadensis","Tsuga","Urtica","Artemisia","Rumex.Oxyria.digyna","Epilobium","Cornus","Fabaceae","Sambucus","Circaea","Apiaceae","Saxifragaceae","Gentianaceae"
240,5767,398,17,138,2,129,0,1,52,2,46,2,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,6147,647,51,237,4,92,0,2,107,12,105,5,0,17,4,0,0,5,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,6901,374,5,187,0,76,0,0,56,3,20,6,4,5,1,1,0,4,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,7081,383,21,138,2,107,1,0,80,9,8,0,1,4,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
310,8340,646,25,255,3,180,0,0,129,1,10,7,3,13,3,1,2,3,1,0,1,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
320,8700,336,9,89,0,138,0,1,66,6,9,1,1,10,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,9060,869,46,290,1,315,1,1,148,5,25,2,0,20,2,0,0,4,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
340,9420,425,14,133,1,167,1,2,34,26,17,2,1,18,1,1,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,9779,465,65,120,1,194,0,1,18,13,36,0,0,9,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
355,9959,335,21,160,2,97,0,0,16,12,12,0,0,1,0,1,0,6,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
360,10139,347,36,161,4,52,2,0,7,36,14,0,1,28,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
365,10319,385,34,211,11,64,0,3,11,18,10,3,2,4,2,0,0,2,2,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
370,10499,410,40,228,8,63,0,1,8,22,14,2,1,12,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
375,10679,331,11,168,6,89,0,0,10,25,11,2,2,1,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,10859,325,11,137,9,91,0,0,9,21,18,0,1,18,2,0,1,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
385,11075,352,6,171,15,46,0,1,10,41,7,9,8,11,0,2,2,9,0,0,0,9,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
390,11328,352,1,218,10,9,1,0,2,48,8,0,8,29,2,0,3,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
395,11582,331,1,179,16,8,0,1,10,60,16,1,5,3,0,3,2,2,0,0,0,18,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
400,11835,335,0,147,40,5,0,0,6,65,12,0,2,23,4,0,3,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,12088,317,1,123,62,19,0,3,8,32,21,0,1,8,1,2,7,1,0,0,0,22,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
410,12342,104,0,23,31,6,0,0,1,2,11,0,1,19,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,12859,114,1,29,26,7,0,2,7,0,17,0,5,1,0,5,6,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
415,12988,144,0,27,42,2,1,3,16,1,19,0,4,18,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
416,13118,193,0,25,18,6,0,6,11,1,38,0,33,8,0,5,0,0,0,0,2,0,0,0,0,0,5,0,0,0,3,0,1,0,1,0,0,1,15,11,0,0,0,0,0,0,3,0
420,13635,104,0,6,8,0,3,2,14,1,23,0,12,8,0,0,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0
422.5,13958,145,0,12,26,4,1,4,11,0,34,0,21,0,0,2,2,0,0,0,0,1,0,2,0,0,7,0,0,0,0,0,1,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0
425,14282,131,0,15,15,13,0,7,3,1,25,0,20,1,0,2,2,0,0,1,1,0,0,1,0,0,6,0,0,0,4,0,1,0,0,0,0,0,9,2,1,0,0,0,0,0,0,1
427.5,14605,132,3,3,25,3,0,2,14,0,24,0,18,1,0,1,0,0,0,2,2,5,0,0,0,0,3,0,0,1,2,0,2,0,0,0,0,0,7,13,0,0,0,0,0,1,0,0
430,14928,106,0,21,18,3,0,4,4,0,23,0,12,0,0,4,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0
432.5,15252,100,0,11,19,0,0,4,1,1,7,0,16,10,0,0,1,0,0,0,1,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,8,1,0,0,0,0,0,0,0
