"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Poaceae","Fraxinus.pennsylvanica","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Populus.tremuloides","Abies","Corylus","Juglans.cinerea","Juniperus.Thuja","Iva.annua","Amorpha","Iva.xanthifolia","Acer.saccharum","Fraxinus.nigra","Vitis","Populus.undiff.","Sarcobatus.vermiculatus","Rosaceae.undiff.","Carya","Acer.negundo","Acer.rubrum","Rumex","Comptonia.peregrina","Potentilla","Thalictrum","Ericaceae","Juglans.nigra","Populus.balsamifera","Apiaceae","Shepherdia.canadensis","Ephedra.trifurca.type","Pinus.undiff.","Ranunculus","Taxus","Celtis","Lamiaceae","Urticaceae","Plantago","Rubiaceae","Dalea.purpurea","Caryophyllaceae"
660,NA,295,8,43,3,6,4,2,33,0,0,11,1,0,1,32,43,3,4,0,0,0,0,2,0,1,0,0,0,0,2,5,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
670,NA,299,4,35,3,10,18,4,77,0,0,18,6,0,2,28,3,4,2,0,0,0,0,2,6,2,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0
680,9199,302,8,44,2,32,5,3,75,0,0,7,13,0,1,17,3,4,7,0,0,0,1,0,3,1,3,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
690,9685,219,9,17,2,8,14,4,1,0,0,12,4,0,0,32,3,7,6,1,0,0,0,1,3,0,1,0,0,0,0,8,0,16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,68,0,0,0,0,0,0,0,0,0
700,10171,500,11,28,1,24,16,1,221,0,0,12,7,0,1,42,1,3,7,0,0,0,0,2,2,1,2,0,0,0,1,17,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0
710,10657,299,8,18,0,17,11,1,102,0,0,17,6,0,3,22,4,1,5,2,0,0,0,6,4,2,6,0,0,0,0,13,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,44,0,0,0,0,0,0,0,0,0
720,11143,304,12,17,4,29,10,4,93,0,0,13,7,0,1,21,11,3,8,2,0,0,1,3,4,0,3,0,0,0,0,12,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0
725,11386,302,11,11,2,10,13,6,127,0,0,16,7,0,0,21,3,2,6,1,0,0,0,2,8,0,6,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0
730,11629,307,12,15,3,14,9,5,124,0,0,15,5,0,0,18,3,3,10,0,0,0,2,4,4,0,1,0,0,0,1,8,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,44,1,0,0,1,0,0,0,0,0
735,11872,302,10,8,1,16,15,4,160,0,0,10,2,0,1,16,1,2,5,0,0,0,0,0,3,0,2,0,0,0,0,11,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
740,12115,305,25,18,2,28,10,4,124,0,0,8,12,0,3,6,7,4,8,1,0,0,0,2,4,0,5,0,0,0,1,10,0,0,0,0,1,3,1,0,0,1,0,0,0,1,0,1,0,14,1,0,0,0,0,0,0,0,0
750,NA,293,2,30,0,21,19,4,141,0,0,13,7,0,0,7,5,2,3,0,0,0,0,1,2,0,4,0,0,0,1,15,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
760,NA,302,10,20,0,17,18,3,186,0,0,8,5,0,1,7,1,0,3,2,0,0,0,1,0,0,1,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
770,NA,299,13,20,1,14,16,1,177,0,0,6,6,0,3,11,4,2,4,0,0,0,1,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0
780,NA,304,7,20,2,13,13,4,207,0,0,5,5,0,0,8,2,0,4,0,0,0,0,4,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
790,NA,298,13,22,1,13,8,1,177,0,0,3,11,0,1,5,5,2,6,1,0,0,1,1,0,0,5,0,0,0,0,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0,0,2,1,0,0
800,NA,302,6,14,1,24,6,0,218,0,0,4,3,0,1,1,4,3,8,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
810,NA,304,8,16,2,23,9,0,204,0,0,3,6,0,0,3,5,0,11,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,1,0
820,NA,300,11,13,0,29,5,0,211,0,0,4,4,0,1,3,0,3,5,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0
830,NA,305,11,15,1,42,5,1,185,0,0,3,4,0,2,2,3,3,7,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0
840,NA,304,9,8,2,6,5,1,252,0,0,3,1,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0
850,NA,309,13,20,3,40,7,0,172,0,0,5,9,0,1,1,3,3,12,0,0,0,0,1,1,0,2,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0
860,NA,301,11,12,1,32,5,0,200,0,0,3,4,0,4,0,5,2,5,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,0
870,NA,318,10,20,0,15,6,1,211,0,0,2,5,0,4,3,4,0,5,0,0,0,0,1,4,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,7,9,0,0,0,0,1,2,0,0
880,NA,300,2,19,2,15,3,0,233,0,0,2,2,0,1,1,2,1,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0
890,NA,306,5,11,1,14,0,0,246,0,0,6,2,0,1,0,0,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2
