"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Artemisia","Betula","Chamaedaphne.calyculata","Cupressaceae","Cyperaceae","Empetrum","Fagus","Gaultheria","Picea","Quercus","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Alnus","Fraxinus","Myrica","Pinus","Amaranthaceae","Poaceae","Plantago","Ericaceae.undiff.","Acer.rubrum","Ambrosia.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Cornus","Ledum","Salix","Tilia","Pyrus.type","Carya","Cephalanthus","Gaylussacia","Ilex","Rhododendron","Rosaceae.undiff.","Juglans","Corylus","Ranunculaceae.undiff.","Populus","Sanguisorba","Brassicaceae","Caryophyllaceae","Polygonum"
300,5501,308,6,1,0,53,1,0,1,0,0,1,33,0,0,77,1,0,3,2,0,0,127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
305,5635,406,15,0,0,50,2,0,0,0,0,0,39,1,0,113,0,1,0,6,0,0,166,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,5906,442,25,0,0,94,1,0,0,7,0,0,42,2,0,101,0,0,0,17,1,0,140,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
320,6044,615,16,0,0,79,0,0,1,2,0,0,38,3,0,166,0,3,0,13,1,0,259,0,1,0,6,0,1,2,0,2,0,19,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
322,6100,759,7,0,1,56,0,0,0,11,0,0,58,2,0,163,0,1,0,4,0,0,441,0,0,0,7,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,6325,769,16,0,0,63,0,0,0,2,1,0,45,8,0,27,0,5,0,5,1,0,591,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,6467,554,15,0,0,80,0,0,1,7,1,0,38,4,0,48,0,2,0,7,0,0,338,0,0,0,5,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6612,802,19,0,0,73,0,0,5,11,1,0,52,1,0,169,0,1,0,7,1,0,449,0,0,0,2,1,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,6757,627,2,0,0,28,0,0,1,3,0,0,20,8,0,12,0,2,0,5,1,0,537,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6904,571,23,0,0,64,0,0,1,9,1,0,32,3,0,39,0,6,0,17,5,0,353,0,3,0,7,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
360,7203,366,10,0,0,28,0,0,1,0,0,0,70,3,0,11,0,0,0,5,0,0,237,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,7355,618,8,0,0,0,0,0,0,2,0,0,44,2,0,29,0,0,0,0,0,0,528,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,7508,391,5,0,0,24,0,0,0,0,0,0,83,4,0,10,0,0,0,9,0,0,255,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,7663,493,2,0,0,42,35,0,1,5,0,0,56,4,0,12,0,0,0,10,1,0,306,0,2,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,7819,567,33,0,0,59,5,1,0,4,0,0,88,2,0,10,0,1,0,25,3,1,318,0,0,0,5,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
385,7977,745,149,0,0,87,0,0,3,2,1,0,205,5,0,4,0,4,0,19,1,1,259,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,8136,742,106,0,0,127,0,0,2,1,2,0,133,5,2,6,0,2,0,50,0,1,296,0,3,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
395,8297,561,61,0,0,75,2,0,4,1,0,0,84,7,0,0,0,1,0,32,2,0,284,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
400,8459,336,15,0,0,74,0,0,2,2,1,0,35,1,1,0,0,0,0,33,0,3,167,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,8623,656,36,0,0,18,25,0,0,43,0,0,144,1,1,18,0,0,0,26,0,0,258,0,0,0,30,0,1,0,0,3,0,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
410,8788,562,52,0,1,114,0,0,5,6,0,0,210,0,4,1,4,0,0,18,0,0,139,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
415,8955,644,81,0,2,112,0,0,2,16,0,0,204,7,0,2,0,0,0,20,1,0,167,0,3,0,6,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
420,9123,413,45,0,0,80,1,0,3,3,0,0,133,5,0,1,1,0,2,16,0,0,109,0,5,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
425,9293,532,53,0,1,75,0,0,1,0,0,0,239,6,0,4,0,0,0,3,0,3,124,1,0,0,1,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,9464,117,7,0,0,26,0,0,4,24,0,0,29,0,1,2,0,0,0,4,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,9637,542,112,0,1,29,13,0,1,22,0,0,235,0,0,2,0,0,0,5,0,0,103,0,0,0,10,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,9811,149,13,0,0,32,0,0,6,7,0,0,45,0,0,0,1,0,0,7,0,1,30,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
445,9987,278,15,0,1,59,43,0,5,9,0,0,78,2,2,0,1,0,0,10,0,2,37,0,0,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
450,10165,219,4,0,0,27,45,0,2,39,0,0,27,0,0,0,1,0,0,14,0,2,30,0,0,0,20,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,10344,446,48,0,0,92,47,0,5,14,0,0,136,5,0,1,1,0,0,7,0,4,51,0,1,0,29,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,10524,402,69,0,0,32,18,0,16,40,0,0,131,14,0,0,2,0,3,3,0,20,28,0,1,0,15,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0
465,10706,370,63,1,1,41,0,0,0,0,0,0,168,5,0,2,2,0,0,1,2,14,47,1,0,0,0,1,0,3,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
470,10889,303,1,0,0,28,0,0,106,8,0,0,126,0,0,0,3,0,0,4,0,10,8,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
475,11074,393,2,0,1,96,1,0,167,0,0,0,61,0,0,0,4,0,0,0,0,8,22,0,12,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
480,11261,402,2,0,1,68,0,0,214,0,0,0,38,0,0,0,3,0,6,1,0,28,17,0,6,0,2,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,11411,535,2,0,0,49,0,0,361,0,0,0,9,0,1,0,7,0,0,0,0,1,37,0,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,0,0,0,4,0,0,1,0
485,11449,407,1,0,0,62,0,0,246,0,0,0,13,0,0,1,12,0,0,6,0,0,12,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0
486,11487,371,1,0,1,18,0,0,291,0,0,0,13,0,0,0,0,0,0,0,0,0,18,0,20,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
487,11525,580,1,0,1,11,0,0,524,0,0,0,3,0,0,0,0,0,0,3,0,0,23,0,2,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
488,11562,353,0,0,0,7,0,0,309,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
489,11600,123,0,0,0,6,0,0,102,0,0,0,6,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489.5,11619,335,1,0,1,8,0,11,271,0,0,0,12,0,1,0,0,0,0,0,0,0,21,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
493.5,11772,248,1,0,2,6,0,63,138,0,0,0,17,0,1,0,0,0,0,2,0,1,13,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
495.5,11849,291,1,0,2,6,0,108,106,0,0,0,33,0,4,1,0,0,0,0,0,0,23,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497.5,11926,234,1,0,5,6,0,53,112,0,0,0,22,0,0,1,0,0,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
499.5,12003,284,1,0,0,2,0,97,137,0,0,0,21,0,0,0,0,0,0,0,0,0,14,1,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
501.5,12080,200,0,0,1,6,0,11,125,0,0,0,28,0,1,0,1,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
503.5,12158,144,0,0,0,2,0,18,82,0,0,0,15,0,2,0,1,0,0,0,0,0,18,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.5,12236,230,1,0,1,10,0,29,144,0,0,0,21,0,1,0,0,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.5,12314,265,0,0,2,10,0,23,165,0,0,0,23,0,0,0,3,0,0,2,0,0,24,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
509.5,12392,171,2,0,0,4,0,14,105,0,0,0,19,0,0,0,0,0,0,1,0,0,18,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
511.5,12471,370,3,0,6,13,0,15,227,0,0,0,35,0,0,0,0,0,0,0,0,0,59,0,5,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
515.5,NA,129,0,0,1,2,0,0,87,0,0,0,19,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517.5,NA,135,3,0,1,7,0,0,83,0,0,0,22,0,0,0,0,0,0,0,0,1,13,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
