"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Artemisia","Betula","Carya","Pinaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Poaceae.undiff.","Juglans.cinerea","Larix","Asteraceae.subf..Cichorioideae","Liquidambar","Nemopanthus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Zea.mays","Alnus","Ambrosia","Rosaceae.undiff.","Populus","Amaranthaceae","Viburnum","Urticaceae","Plantago","Ranunculus","Juniperus","Castanea","Fabaceae","Thalictrum","Caryophyllaceae","Juglans.nigra","Nyssa","Ephedra","Xanthium","Coptis","Myrica","Potentilla.palustris","Lamiaceae","Cephalanthus","Juglans.undiff.","cf..Gentiana","Polygonum"
172.5,1558,593,0,47,2,0,57,8,1,0,1,8,219,10,12,0,1,1,0,0,0,12,1,0,14,10,4,55,0,0,4,80,0,36,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
197.5,1934,582,0,39,5,1,63,10,0,0,2,3,185,9,7,2,1,2,0,0,0,7,0,1,16,8,5,91,0,1,8,74,1,30,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
222.5,2353,608,0,61,6,0,71,16,1,1,27,3,141,12,11,2,3,3,0,1,0,9,0,3,6,9,5,80,0,2,6,81,0,36,0,0,0,4,2,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
247.5,2809,606,0,49,12,4,59,11,3,1,20,1,200,14,7,2,0,1,0,0,0,14,1,1,10,9,4,64,0,0,4,60,1,36,0,0,0,7,4,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
272.5,3296,626,1,78,5,0,62,6,0,0,4,4,206,23,9,2,3,0,0,0,2,8,0,1,8,10,6,77,0,1,4,48,1,41,0,0,0,6,3,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0
297.5,3808,642,0,66,4,1,64,11,0,0,2,1,217,18,16,1,6,0,0,1,2,15,0,2,9,16,10,67,0,1,5,59,1,36,0,0,0,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
322.5,4339,593,0,56,10,3,64,5,0,0,1,0,191,12,17,0,2,0,0,1,4,14,0,0,7,7,4,91,0,2,4,55,1,36,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
347.5,4881,631,0,60,8,1,74,13,1,1,3,3,223,14,8,0,8,0,0,0,4,8,0,0,9,8,10,67,0,0,5,52,0,39,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
372.5,5442,664,0,34,3,4,47,6,4,2,0,2,218,22,15,1,7,0,0,0,0,7,0,0,0,7,8,70,0,0,6,150,0,46,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
397.5,6046,650,0,35,3,0,34,9,1,0,0,1,191,20,19,1,5,0,0,0,0,14,1,0,10,10,5,82,0,0,5,149,0,47,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422.5,6690,586,0,32,4,0,50,6,3,1,6,0,124,20,14,1,8,0,0,0,0,15,1,0,5,16,9,76,0,0,10,140,1,35,0,0,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
447.5,7371,646,0,29,3,2,50,7,3,4,2,0,96,32,15,0,9,0,0,0,0,23,0,0,12,24,3,89,0,0,7,183,0,45,0,0,0,4,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472.5,8084,629,0,36,3,1,33,5,4,4,5,0,32,25,26,1,4,0,0,0,0,22,0,1,25,34,6,112,0,2,6,188,0,41,0,0,0,2,5,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
487.5,8527,600,0,14,3,3,26,4,2,2,2,0,5,21,21,0,3,1,0,0,0,20,1,2,33,68,3,119,0,0,14,172,2,42,0,0,0,6,3,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0
502.5,8978,651,0,34,4,2,31,8,2,2,3,0,5,17,23,1,0,0,0,0,0,22,0,7,37,90,2,127,0,1,13,163,0,43,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0
517.5,9438,625,1,26,3,0,32,0,5,0,1,0,3,3,10,0,0,0,0,0,0,26,0,10,94,157,4,125,0,0,4,84,0,30,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532.5,9906,682,4,11,3,2,50,4,6,1,3,0,0,0,10,4,1,0,0,0,0,32,1,13,180,167,2,125,0,3,0,16,0,39,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547.5,10381,651,7,6,2,1,42,3,11,3,1,0,1,1,16,4,3,5,0,0,0,32,2,13,124,179,2,145,0,1,0,9,1,25,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
562.5,10861,595,7,23,2,0,43,2,4,5,3,0,0,0,15,1,5,0,0,0,0,36,1,11,112,147,0,123,0,0,0,2,0,41,0,0,0,7,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577.5,11346,632,63,7,0,5,40,3,19,3,11,0,2,0,10,3,1,13,0,0,0,21,111,40,38,136,0,54,0,1,0,9,3,28,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
592.5,NA,683,9,3,0,12,23,2,23,1,20,0,1,0,6,11,0,15,0,0,0,25,275,33,14,101,0,39,2,4,0,10,7,9,1,0,0,26,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
603.5,NA,788,7,4,0,25,39,2,14,6,22,0,0,1,12,22,2,26,0,1,0,30,264,52,14,93,0,48,2,10,0,12,8,19,0,0,0,35,4,1,5,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
611.5,NA,698,14,3,0,10,14,2,13,10,26,0,0,1,13,10,2,25,0,0,0,25,262,37,7,80,0,50,1,6,0,15,10,14,1,0,0,25,12,0,4,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
619.5,NA,677,9,0,0,18,12,1,10,1,52,0,0,0,17,23,0,0,0,0,0,22,339,37,0,50,1,50,0,0,0,1,11,6,0,0,0,0,6,0,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
626.5,NA,599,3,0,3,9,7,4,7,2,15,0,0,0,7,8,0,1,1,0,0,20,385,25,2,36,0,50,0,0,0,0,4,4,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
632.5,NA,769,8,0,7,26,9,2,7,3,59,0,0,2,40,29,1,1,0,0,0,23,273,55,6,75,0,65,0,21,0,0,15,1,0,0,0,14,17,0,5,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
