"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cornus.undiff.","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Carya.ovata","Corylus.cornuta","Rumex.type","Viburnum.edule","Acer.spicatum","Artemisia","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Salix.undiff.","Ranunculaceae.undiff.","Pinus.resinosa.type","Populus.balsamifera.type","Taxus","Viburnum.undiff.","Acer.pensylvanicum","Sambucus","Rosaceae.undiff.","Fraxinus.americana.type","Brassicaceae","Viburnum.lentago","Viburnum.nudum","Lamiaceae.undiff.","Rubiaceae.undiff.","Prunus.virginiana","Galium","Apiaceae","Caryophyllaceae","Potentilla.palustris.type","Prunella.type","Viburnum.alnifolium","Prunus.undiff.","Acer.undiff.","Saxifraga.oppositifolia.type","Urtica.type","Acer.cf..A..pensylvanicum","Celtis.occidentalis","Prunus.pensylvanica","Juglans.nigra","Acer.nigrum","Saxifraga.cernua.type","Linnaea.borealis","Cornus.alternifolia","Rhamnus.cathartica","cf..Sarcobatus.vermiculatus","Acer.negundo","cf..Oxyria.digyna","Fabaceae.undiff.","Asteraceae.undiff.","Onagraceae.undiff.","Salix.reticulata.type","Shepherdia.canadensis","Ephedra","Dryas","Salix.herbacea.type","Salix.vestita.type","Oxytropis.maydelliana.type","Rhamnus.alnifolia.R..frangula","Hypericum"
165,1717,641,1,72,9,1,170,0,2,94,9,6,0,2,0,7,8,2,7,3,16,2,4,5,28,1,3,1,3,38,10,77,5,15,19,6,4,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2181,525,0,36,5,0,151,0,5,67,3,3,0,1,0,5,26,0,10,3,0,1,2,2,33,0,9,3,7,38,2,82,1,5,6,2,1,2,0,0,0,1,3,3,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2647,607,3,54,5,0,188,0,7,53,4,6,0,4,2,5,11,4,18,1,5,6,8,3,41,0,6,2,0,54,21,41,1,12,9,9,0,4,0,0,0,3,0,2,0,0,0,3,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3019,615,3,63,5,1,207,0,4,55,3,3,0,2,0,6,14,0,13,1,7,1,4,2,42,0,9,1,6,72,0,42,1,10,18,5,5,0,0,1,0,0,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3618,553,1,29,2,1,177,0,1,42,4,2,0,0,0,0,17,2,17,4,6,0,0,0,8,0,111,1,11,36,2,45,2,8,9,3,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,4009,703,3,56,0,1,220,0,4,49,9,3,0,4,0,2,16,0,54,1,8,2,7,3,26,1,19,4,17,89,0,48,1,9,24,6,0,2,0,1,0,0,2,0,1,0,0,2,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,4360,560,2,11,10,1,243,0,0,47,12,0,0,6,1,2,30,1,28,2,9,1,1,0,10,1,6,1,0,38,0,58,1,13,9,10,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4514,513,0,26,6,4,223,0,0,59,8,1,0,3,0,0,5,0,25,1,10,5,1,2,18,0,1,2,0,40,0,37,1,12,10,5,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,4882,500,3,8,1,2,203,0,0,24,3,1,0,2,0,2,23,1,22,5,21,1,1,0,17,0,1,3,16,27,0,75,1,0,9,2,2,0,0,1,0,1,0,0,1,0,0,6,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,5067,603,0,18,0,1,258,0,1,13,8,2,0,11,0,3,10,0,54,3,16,0,0,2,10,0,0,0,13,80,2,76,0,0,8,1,1,2,0,0,0,1,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,5220,646,3,21,0,0,240,0,2,37,3,2,0,1,0,1,40,1,35,10,28,4,0,1,31,0,2,2,5,19,1,88,1,17,8,15,1,0,0,0,0,2,0,1,0,1,0,7,0,6,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5423,507,2,4,7,1,194,0,1,48,6,1,0,3,0,4,16,2,18,3,5,3,0,0,26,0,0,2,6,23,0,110,2,1,5,9,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,5632,633,0,9,1,0,299,0,0,15,4,2,0,9,1,3,21,0,34,4,17,0,3,1,24,1,2,1,24,48,0,78,1,6,13,0,3,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,5782,584,3,13,1,0,222,0,0,21,9,0,0,7,0,0,26,1,55,2,13,3,1,1,18,0,1,1,3,76,1,84,1,2,12,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6023,677,1,12,0,1,132,0,1,8,3,1,0,7,0,4,15,0,83,1,20,0,2,2,8,0,1,0,29,188,0,136,2,7,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6194,483,0,3,1,0,60,0,0,2,5,0,0,4,0,1,50,0,52,1,12,0,0,2,10,0,0,3,14,117,2,117,0,4,8,0,1,2,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,6375,766,1,10,0,3,173,0,0,7,2,6,0,8,0,3,9,0,97,0,19,0,1,4,15,0,3,0,34,297,0,45,0,5,11,0,0,2,0,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,6674,518,0,6,2,1,54,0,0,0,0,1,0,6,0,4,63,1,39,0,8,0,1,8,9,0,0,4,17,185,0,53,2,3,6,0,0,1,0,0,0,1,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,6901,528,1,3,5,1,69,0,0,0,3,1,0,2,0,2,69,2,74,0,11,0,2,4,2,0,4,1,46,183,1,13,0,1,9,1,1,0,0,0,0,0,0,0,0,4,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,7298,576,3,0,6,0,88,0,0,3,1,0,0,3,0,3,56,1,105,0,14,0,0,5,9,0,1,4,33,197,1,1,2,3,18,0,0,3,0,0,0,2,0,0,0,1,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,7610,685,1,1,6,0,63,0,0,1,5,1,0,5,0,11,10,1,62,2,16,0,4,5,8,0,6,0,12,438,0,6,0,4,9,0,0,1,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,7967,499,0,3,4,0,87,0,0,0,1,12,0,4,4,9,4,4,54,0,10,3,7,4,2,0,8,0,7,237,0,7,1,9,2,0,0,4,0,0,0,0,0,2,1,2,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,8596,820,0,7,5,3,157,0,0,0,3,1,0,6,2,24,36,27,75,0,16,6,6,18,10,0,3,0,45,333,0,4,3,0,14,0,0,3,0,0,1,0,0,0,1,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,9311,497,0,0,9,0,162,0,0,1,0,2,0,2,2,17,19,8,25,0,9,0,3,33,4,0,3,0,58,94,1,5,8,4,3,0,0,2,0,0,0,0,0,0,0,1,0,19,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,9817,509,0,3,1,1,172,0,0,0,0,14,1,0,0,29,25,26,48,0,8,5,5,15,0,0,9,0,58,34,1,3,4,11,8,0,1,1,0,1,2,1,0,2,1,2,0,9,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,10332,608,0,3,3,2,215,0,0,0,1,5,0,11,6,16,7,73,46,0,15,18,3,26,2,0,5,0,20,87,4,1,3,4,9,0,0,10,0,0,2,1,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,11091,464,0,6,6,1,134,0,0,0,1,16,0,0,2,45,14,39,5,0,7,11,1,29,3,0,1,1,33,38,0,3,19,11,7,2,0,0,0,0,5,8,0,3,1,5,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,11785,634,0,2,52,1,115,0,0,1,2,13,0,1,11,86,7,120,35,0,7,15,3,3,1,0,2,0,4,53,1,2,14,22,8,1,2,3,0,1,0,8,0,10,0,4,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
515,12362,901,0,14,60,6,122,0,1,0,0,2,0,4,7,107,12,237,39,0,17,38,15,0,3,0,1,0,6,103,0,3,36,32,5,1,0,1,0,0,1,9,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,12524,815,0,7,65,10,152,1,0,0,0,3,0,2,19,112,12,141,20,0,6,20,12,1,1,0,0,0,17,78,6,5,44,35,2,1,0,0,0,0,3,4,0,1,0,14,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,12671,930,0,5,79,11,435,0,1,0,0,0,0,0,1,14,22,31,26,0,7,23,27,1,0,2,0,0,6,26,15,6,14,80,3,1,1,1,0,0,2,10,13,14,0,44,0,0,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,12807,571,0,0,34,0,334,0,1,0,0,0,0,0,3,18,15,3,6,0,0,5,4,4,0,0,0,0,14,9,0,8,11,30,0,0,0,0,0,0,0,10,5,2,1,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
535,12932,869,1,21,63,3,351,0,6,1,0,0,1,0,7,21,20,5,8,0,3,0,23,1,0,0,0,0,8,35,3,2,24,145,1,0,0,0,0,0,1,16,18,8,0,51,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0
540,13049,676,0,14,20,2,198,0,3,0,0,0,0,0,0,55,46,0,11,0,1,2,10,2,0,0,0,0,56,46,0,8,32,82,0,0,0,0,0,0,0,22,29,6,0,20,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0
545,13159,543,0,31,41,1,60,0,1,0,0,0,1,4,7,36,16,1,10,0,5,7,7,1,0,0,0,1,15,57,0,2,10,157,1,0,1,2,1,0,0,5,9,7,0,40,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
550,13264,700,0,29,35,6,71,0,1,0,2,0,0,3,8,27,11,5,37,0,7,9,16,0,0,0,0,1,10,103,1,3,4,163,2,0,0,3,0,0,0,51,3,17,0,57,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0
565,13558,791,0,50,68,7,101,0,0,0,0,1,0,3,6,26,22,1,15,0,15,17,18,0,0,0,0,0,9,78,2,1,5,203,2,0,1,2,2,0,0,31,8,15,2,59,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,1,5,0,0,0
570,13653,562,0,7,7,3,28,0,1,0,0,0,0,6,7,68,8,4,21,0,3,6,12,0,1,0,0,0,35,130,0,0,13,62,1,0,0,2,0,0,0,58,0,14,0,36,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,1,3,0
575,NA,398,0,8,9,10,44,0,0,0,3,0,0,4,2,31,26,6,26,0,2,17,6,0,0,0,0,0,50,37,1,1,2,65,2,0,0,4,0,0,0,12,3,0,2,13,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
585,NA,502,0,0,17,4,49,0,0,1,1,0,0,12,1,25,4,0,35,0,14,3,3,0,1,0,0,0,226,30,1,0,3,19,1,0,1,2,0,0,0,14,1,3,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,NA,127,0,0,8,3,26,0,0,0,0,0,0,0,0,30,1,0,14,0,4,0,1,0,1,0,1,0,12,8,0,0,1,9,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,NA,460,0,8,10,7,49,0,2,0,6,0,0,5,0,26,1,31,64,0,9,38,9,3,4,0,0,0,73,20,2,0,2,32,14,0,0,7,0,0,0,12,0,0,1,7,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,3
615,NA,336,0,15,9,12,48,0,2,0,0,0,1,2,0,54,4,3,19,0,2,11,14,0,0,0,0,0,70,19,0,1,4,22,3,0,0,0,0,0,0,7,0,0,1,3,0,0,0,0,0,0,3,3,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,NA,639,0,3,16,11,54,0,1,0,3,0,0,7,10,85,18,5,28,0,5,7,12,4,0,0,5,0,238,58,2,0,10,24,2,0,2,2,0,0,0,14,3,1,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
635,NA,348,0,1,4,3,24,0,0,0,0,0,0,0,0,113,3,2,8,0,2,0,5,1,0,0,0,0,143,7,0,0,6,10,0,0,1,0,0,0,0,6,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
