"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Lamiaceae","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
200,3735,29,0,0,81,0,1,0,1,2,0,64,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,3,0,0,0,1
210,3923,24,0,0,57,0,0,1,0,1,0,99,0,0,0,0,0,0,0,6,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,8,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
220,4112,26,0,1,65,0,0,0,0,0,0,74,0,0,0,0,0,0,3,13,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,2,0,0,0,13,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,1,0,0,2
230,4300,18,0,0,87,0,1,0,0,2,0,68,0,0,0,0,0,0,4,22,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,1,0,0,0,10,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
240,4488,27,0,0,72,0,0,0,0,1,0,66,0,0,0,0,0,0,6,3,0,0,0,0,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
250,4676,23,0,0,56,0,0,0,0,1,0,87,0,0,0,0,0,0,7,12,0,0,0,0,3,0,1,10,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
260,4865,38,0,0,53,0,0,0,0,4,0,66,0,0,0,0,0,0,3,3,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,16,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1
270,5053,18,0,1,48,0,0,0,0,3,0,101,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,2,0,13,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0
280,5241,19,0,0,66,0,0,0,1,0,0,93,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,13,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
290,5429,13,0,0,44,0,0,0,0,1,0,120,0,0,0,0,0,0,4,5,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,6,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
