"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","cf..Taxus","Corylus.cornuta","Cyperaceae","Dryopteris","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.alterniflorum","Nuphar","Onagraceae","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Saxifraga.cernua.type","Sphagnum","Thalictrum","Tsuga.canadensis","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.lentago"
110,4771,2,0,0,9,207,0,0,2,6,98,0,0,0,0,0,0,0,21,0,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0,1,0,0,0,132,7,6,3,0,5,0,0,0,0,0,2,3,0,2,0,0,0,0,3,0,0,0
120,5197,0,1,0,10,255,0,2,2,3,173,0,0,0,1,0,0,0,21,0,0,1,0,0,0,0,0,3,0,0,1,1,4,0,1,0,0,0,0,67,14,8,2,1,11,0,0,1,0,0,0,1,0,4,0,0,0,0,10,1,1,0
130,5487,2,0,0,33,231,0,0,1,0,152,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,69,4,1,2,1,13,0,1,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0
140,5776,0,0,0,10,294,0,0,0,4,161,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,77,8,1,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0
150,6065,0,0,0,5,358,0,0,1,2,102,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,6,9,0,1,0,0,0,0,59,6,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0
160,NA,3,0,0,10,481,0,0,0,0,65,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,1,0,0,16,5,0,6,0,0,0,0,38,3,4,0,1,1,1,1,0,1,0,0,4,0,0,0,0,0,0,3,0,0,0
165,NA,0,1,0,11,209,1,2,3,1,88,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,8,6,1,0,0,2,0,74,20,16,7,4,7,1,3,3,5,1,1,5,0,11,0,0,1,0,5,0,0,0
170,NA,1,0,0,10,89,0,0,2,0,133,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,18,0,6,6,1,0,0,2,0,1,0,3,1,0,22,0,0,0,0,0,0,0,0
175,NA,1,0,0,2,234,2,3,4,1,90,1,0,0,1,0,0,0,9,0,0,1,0,0,1,0,0,0,0,2,0,0,4,1,0,0,0,1,0,56,2,14,3,1,6,0,0,0,0,0,0,3,0,27,0,0,1,0,1,0,0,0
180,NA,1,0,0,8,204,0,0,2,0,62,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,56,1,53,21,9,1,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0
190,NA,1,0,0,4,198,0,0,8,3,108,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,46,1,10,4,0,2,0,2,0,0,0,0,1,0,6,0,0,1,0,0,0,0,1
200,NA,5,0,0,6,241,0,0,4,0,204,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,26,1,4,4,1,4,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0
210,NA,0,0,0,12,190,2,1,11,1,73,0,0,0,1,0,0,0,13,0,0,1,0,0,1,0,1,0,0,1,3,0,4,0,2,0,0,0,0,40,2,39,16,2,2,3,1,0,0,0,0,3,0,8,0,0,2,0,2,0,0,0
215,NA,0,0,0,17,210,5,3,13,5,113,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,34,2,24,1,3,6,1,0,0,0,0,0,2,0,17,0,0,0,0,2,1,0,0
