"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.mariana.type","Pinus.undiff.","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Onagraceae","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rubus.chamaemorus","Tsuga.canadensis","Picea.undiff.","Salix.undiff.","Fagus","Juniperus.communis.Thuja.occidentalis.type","Ostrya.Carpinus","Corylus.cornuta","Fraxinus.nigra.type","Juglans.cinerea","Abies.balsamea","Caryophyllaceae","Fraxinus.pennsylvanica.type","Picea.glauca.type","Populus.tremuloides.type","Quercus","Tilia","Acer.saccharum","Saxifraga.oppositifolia.type","Ranunculaceae.undiff.","Ribes","cf..Oxyria.digyna","Acer.spicatum","Carya.ovata","Pinus.resinosa.type","Taxus","Potentilla.palustris.type","Fabaceae.undiff.","Urtica.type","Populus.balsamifera.type","Salix.herbacea.type","Salix.vestita.type","Castanea.dentata","Celtis.occidentalis","Oxytropis.maydelliana.type","Saxifraga.stellaris.type","Brassicaceae","Saxifraga.cernua.type"
125,3607,0.00337837837837838,0.241554054054054,0.00168918918918919,0.00337837837837838,0.304054054054054,0.0253378378378378,0.00337837837837838,0.00337837837837838,0.358108108108108,0.00168918918918919,0,0,0,0,0.00675675675675676,0,0.00844594594594595,0,0.00506756756756757,0.00506756756756757,0.00168918918918919,0,0,0.0152027027027027,0.00506756756756757,0,0,0,0,0.00168918918918919,0.00168918918918919,0.00168918918918919,0,0,0.00168918918918919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4079,0,0.357876712328767,0.00171232876712329,0.00342465753424658,0.243150684931507,0.00684931506849315,0,0.00513698630136986,0.308219178082192,0.00171232876712329,0,0,0,0,0.00171232876712329,0,0.00513698630136986,0.00171232876712329,0.00342465753424658,0.00684931506849315,0.00342465753424658,0,0,0.047945205479452,0.00171232876712329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4779,0.00421052631578947,0.32,0,0,0.227368421052632,0.08,0.0105263157894737,0.0105263157894737,0.189473684210526,0.0105263157894737,0,0.00210526315789474,0,0.00210526315789474,0,0,0.0231578947368421,0,0.0126315789473684,0.0126315789473684,0.0210526315789474,0,0,0.0463157894736842,0.00210526315789474,0.00210526315789474,0,0.00210526315789474,0.00631578947368421,0,0,0,0,0,0.0105263157894737,0.00210526315789474,0.00210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5018,0,0.387096774193548,0,0.00372208436724566,0.286600496277916,0.0235732009925558,0.011166253101737,0.011166253101737,0.193548387096774,0.00124069478908189,0,0.00124069478908189,0,0.00124069478908189,0,0,0.0186104218362283,0,0.0210918114143921,0.0148883374689826,0,0,0,0.0173697270471464,0.00248138957816377,0,0,0,0.00124069478908189,0,0,0.00124069478908189,0,0,0,0,0.00124069478908189,0,0,0,0.00124069478908189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,5185,0,0.397260273972603,0.0024906600249066,0.0037359900373599,0.296388542963885,0.0298879202988792,0.0062266500622665,0.0074719800747198,0.179327521793275,0.0012453300124533,0,0.0012453300124533,0,0,0,0,0.0099626400996264,0,0.0136986301369863,0.0186799501867995,0,0,0,0.024906600249066,0.0037359900373599,0,0,0,0,0,0,0,0,0,0,0,0.0012453300124533,0,0,0,0.0012453300124533,0.0012453300124533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5376,0,0.347094801223242,0,0.00764525993883792,0.440366972477064,0.0596330275229358,0.0091743119266055,0.0091743119266055,0.055045871559633,0.00305810397553517,0,0.00305810397553517,0,0,0.00458715596330275,0,0.0137614678899083,0,0.00764525993883792,0.00611620795107034,0.00305810397553517,0,0,0.018348623853211,0.00458715596330275,0,0,0,0.00305810397553517,0.00152905198776758,0,0,0,0,0,0.00152905198776758,0,0,0,0,0,0,0.00152905198776758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,5615,0,0.314285714285714,0.00150375939849624,0.00451127819548872,0.484210526315789,0.0526315789473684,0.0210526315789474,0,0.0766917293233083,0.00150375939849624,0,0.00300751879699248,0,0,0.00150375939849624,0,0.0075187969924812,0,0.00902255639097744,0.00902255639097744,0,0,0,0.00601503759398496,0.00451127819548872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150375939849624,0.00150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,NA,0,0.148717948717949,0.00769230769230769,0.0102564102564103,0.466666666666667,0.138461538461538,0.00512820512820513,0.0102564102564103,0.125641025641026,0,0,0,0,0,0,0,0.0179487179487179,0,0,0.0179487179487179,0,0,0,0.0179487179487179,0.0282051282051282,0,0,0,0,0,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0
200,NA,0.00966183574879227,0.147342995169082,0.00241545893719807,0.00483091787439614,0.456521739130435,0.202898550724638,0.0072463768115942,0,0.0314009661835749,0.0144927536231884,0,0.00483091787439614,0.00241545893719807,0,0.0241545893719807,0.00483091787439614,0.0193236714975845,0,0,0.0169082125603865,0.0072463768115942,0,0,0.0072463768115942,0.00966183574879227,0,0,0.00241545893719807,0,0.00241545893719807,0,0,0.00241545893719807,0,0,0.00241545893719807,0.00483091787439614,0,0,0,0,0,0,0,0,0,0.00483091787439614,0.0072463768115942,0,0,0,0,0,0,0,0,0,0,0
205,NA,0.00140056022408964,0.0854341736694678,0,0.00560224089635854,0.785714285714286,0.046218487394958,0.00140056022408964,0,0.0168067226890756,0.00560224089635854,0,0,0,0,0.00420168067226891,0,0.00280112044817927,0,0.00140056022408964,0.00280112044817927,0.00700280112044818,0,0,0.00560224089635854,0.00980392156862745,0.00140056022408964,0,0,0.00140056022408964,0.00140056022408964,0,0,0.00140056022408964,0,0,0.00840336134453781,0.00140056022408964,0,0,0,0,0,0,0,0,0,0,0,0.00140056022408964,0.00140056022408964,0,0,0,0,0,0,0,0,0
210,NA,0.00349040139616056,0.0855148342059337,0,0.00523560209424084,0.087260034904014,0.460732984293194,0.0174520069808028,0.00174520069808028,0.0890052356020942,0.012216404886562,0,0.00698080279232112,0.0139616055846422,0.00523560209424084,0.0174520069808028,0.0104712041884817,0.0157068062827225,0,0.00174520069808028,0.0541012216404887,0.0104712041884817,0,0,0.0244328097731239,0.0506108202443281,0,0,0,0,0.00698080279232112,0,0,0,0,0,0.00698080279232112,0.00174520069808028,0,0,0.00174520069808028,0,0,0,0,0,0,0,0,0,0,0.00174520069808028,0.00349040139616056,0.00349040139616056,0,0,0,0,0,0
215,NA,0,0.128113879003559,0,0.0160142348754448,0.137010676156584,0.354092526690391,0.0284697508896797,0.00177935943060498,0.0302491103202847,0.0142348754448399,0,0.00355871886120996,0,0.0124555160142349,0.00533807829181495,0.00711743772241993,0.122775800711744,0,0,0.0249110320284698,0.00889679715302491,0,0,0.0124555160142349,0.0658362989323843,0,0,0,0,0,0,0,0.00177935943060498,0,0,0.00355871886120996,0.00177935943060498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.0106761565836299,0.00177935943060498,0,0
220,NA,0.00171821305841924,0.173539518900344,0.00343642611683849,0.0189003436426117,0.0790378006872852,0.0756013745704467,0.00343642611683849,0,0.247422680412371,0.0154639175257732,0,0.00343642611683849,0.00687285223367698,0.00171821305841924,0.0240549828178694,0.0103092783505155,0.0652920962199313,0,0.00171821305841924,0.173539518900344,0,0,0,0.0360824742268041,0.0189003436426117,0,0,0.00343642611683849,0.00171821305841924,0,0,0,0,0.00171821305841924,0,0.00859106529209622,0.00687285223367698,0,0.00171821305841924,0,0,0.00171821305841924,0,0,0.00171821305841924,0,0,0,0.00171821305841924,0,0,0.00343642611683849,0.00171821305841924,0,0,0,0,0.00343642611683849,0.00171821305841924
