"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Alnus","Populus","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Salix","Thalictrum","Poaceae","Iva.annua.type","Ericaceae","Ulmus","Vitis","Myricaceae","Tsuga","Onagraceae","Platanus","Acer.negundo","Pinus.undiff.","Amorpha.type","Carya","Caryophyllaceae","Rumex","Urtica.type","Shepherdia","Rosaceae","Moraceae","Juglans.nigra"
210,5248,374,2,0,3,6,22,3,1,9,4,2,1,0,5,234,15,6,0,2,39,6,1,0,4,2,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5437,428,4,1,4,10,45,4,5,15,3,3,0,0,20,225,19,9,0,2,43,6,0,0,0,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5558,377,1,0,20,9,34,1,1,6,6,2,0,0,5,233,8,8,0,1,29,2,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
240,5680,436,2,0,5,7,51,3,5,15,1,3,1,0,8,240,19,5,0,4,37,11,0,1,1,1,9,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
250,5802,374,0,0,1,11,32,3,0,11,1,3,0,1,7,239,6,6,0,2,38,2,0,0,1,0,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5923,450,0,0,5,9,43,4,6,24,5,7,1,5,5,228,25,17,0,3,43,5,1,0,1,0,8,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,6045,429,1,0,6,17,49,8,1,13,2,3,1,4,3,242,17,11,0,1,31,5,0,0,3,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6166,428,0,0,16,11,41,4,4,18,2,0,0,5,6,211,23,12,0,6,38,3,2,0,3,0,18,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
290,6288,336,1,0,3,8,45,2,2,9,2,3,8,2,4,186,0,10,1,1,33,0,2,1,1,0,1,0,0,2,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0
310,6531,373,0,0,6,16,50,7,1,13,2,2,0,2,4,193,12,17,0,1,36,0,0,0,1,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6652,336,0,0,2,12,29,3,1,12,5,1,0,4,4,198,11,9,1,0,29,2,0,0,3,0,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
330,6774,414,1,0,8,12,24,4,3,13,3,2,0,1,5,266,10,10,0,3,37,2,1,1,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6895,423,1,0,14,11,36,2,3,18,4,5,1,3,6,233,2,15,0,0,50,2,0,0,1,0,12,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,7017,348,1,0,3,11,34,0,0,11,4,0,1,0,2,202,27,4,1,5,27,1,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
370,7260,362,0,0,8,18,36,5,1,15,5,3,0,4,2,211,6,11,0,0,21,3,1,0,4,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
380,7381,546,1,1,17,20,52,8,5,42,10,2,1,1,8,289,8,13,1,4,29,5,1,0,4,0,17,1,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0
390,7503,409,0,1,9,17,32,6,1,29,5,1,0,2,4,222,13,13,1,4,21,6,0,0,7,0,10,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,7746,414,0,0,30,24,44,8,0,43,5,0,1,0,2,190,9,5,0,0,30,2,0,0,2,0,11,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,7921,517,0,0,27,33,53,11,2,69,6,0,0,1,8,220,2,3,0,2,36,11,1,0,3,0,16,5,0,2,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0
430,8150,383,0,0,15,19,43,11,2,37,5,0,0,1,12,170,2,1,1,1,28,12,1,0,4,0,10,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,8379,356,0,0,13,10,24,5,0,25,7,0,0,0,8,195,3,0,0,1,37,9,2,0,3,0,8,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
450,8608,358,0,0,8,10,35,4,0,28,9,1,1,1,9,195,2,0,0,3,29,10,1,0,4,0,4,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
460,8837,531,0,0,12,21,72,2,0,28,8,2,0,1,17,263,0,4,1,5,52,9,1,0,3,0,17,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,9065,411,0,0,5,9,38,7,2,45,3,0,0,2,10,209,0,6,0,2,42,12,1,0,5,0,9,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,9294,476,0,0,16,18,45,12,0,52,8,0,0,2,11,234,0,6,1,1,31,10,2,0,5,0,15,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
490,9523,361,0,0,12,12,23,5,0,33,6,0,1,1,11,204,0,2,0,2,25,7,0,0,1,0,9,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
500,9752,581,0,0,27,33,30,28,1,42,4,2,7,2,24,320,0,7,0,3,18,7,0,0,3,0,13,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,9981,360,0,0,5,13,33,1,1,36,5,2,1,2,18,197,3,3,0,0,5,17,0,0,5,1,6,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
530,10439,351,0,0,11,12,25,1,2,25,3,1,3,1,15,217,3,4,0,0,1,9,0,0,4,0,9,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,10668,359,0,0,7,13,29,3,0,21,4,0,1,0,27,209,0,5,0,0,4,8,0,0,4,0,3,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,10897,347,0,0,2,11,26,2,0,22,1,0,0,1,21,227,0,4,0,0,2,13,0,0,1,0,4,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,11125,377,0,0,3,14,29,2,1,19,4,4,1,4,28,0,0,6,0,3,1,16,1,0,3,0,4,0,0,5,0,16,0,0,0,0,213,0,0,0,0,0,0,0,0,0
570,NA,357,0,0,4,11,22,2,0,18,4,1,1,2,85,0,0,7,0,0,1,11,0,0,3,0,5,0,0,11,0,12,0,0,0,0,157,0,0,0,0,0,0,0,0,0
590,NA,397,0,2,3,18,45,10,0,26,9,4,8,7,118,0,0,15,2,2,1,7,0,0,2,0,6,0,0,26,0,9,0,0,0,0,77,0,0,0,0,0,0,0,0,0
600,NA,371,0,0,7,8,17,9,1,13,7,1,11,7,150,0,0,7,1,4,2,2,0,0,4,1,11,0,0,12,1,0,0,0,0,0,94,0,0,0,0,0,0,1,0,0
610,NA,401,0,0,11,11,5,8,2,19,8,0,14,6,175,0,0,19,0,1,2,3,1,0,2,0,12,0,0,23,0,0,0,0,0,0,77,0,1,0,0,0,0,0,1,0
630,NA,410,0,0,9,7,9,7,1,33,23,5,1,7,168,0,0,10,0,1,6,1,2,0,3,0,9,0,0,37,0,0,0,0,0,0,69,0,0,0,0,1,0,0,0,1
640,NA,610,0,0,10,11,47,13,4,74,106,18,0,7,119,0,0,24,0,5,16,4,3,1,8,0,19,0,0,31,0,0,0,0,0,1,83,0,0,0,0,0,3,2,1,0
