"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.nigra","Larix","Lycopodium.type","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rumex","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Xanthium"
280,5979,0,0,0,23,0,2,10,0,1,29,0,0,1,15,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,196,28,0,0,2,3,0,0,3,0,0,2,0,1,13,0,0,0,0,0,1,0
290,6261,0,0,0,18,1,3,4,1,1,40,0,0,2,13,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,187,31,0,0,0,0,0,0,2,0,0,2,0,1,16,0,0,0,0,0,2,0
300,6543,0,0,0,18,0,0,6,1,0,25,0,0,2,11,0,7,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,202,23,0,0,1,1,1,0,2,0,0,1,1,1,24,0,0,0,0,0,0,0
310,6824,0,0,0,20,2,2,7,1,0,52,1,0,4,25,0,7,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,160,31,0,0,0,2,0,0,2,0,0,6,0,0,28,0,0,0,0,0,1,0
320,7106,1,0,0,26,3,4,11,0,0,53,0,0,3,19,1,4,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,161,26,0,0,2,6,4,0,1,0,0,5,0,1,11,0,0,0,0,0,0,0
325,7247,0,0,0,34,1,2,4,1,0,47,0,0,8,21,0,7,1,0,0,0,1,0,0,0,12,0,0,0,0,0,0,162,16,0,0,3,16,0,0,2,0,0,3,1,1,17,0,0,0,0,3,0,0
330,7388,0,0,0,6,0,2,8,0,0,47,0,0,3,18,0,4,5,0,0,0,2,0,0,0,7,0,0,0,0,0,0,178,26,0,0,4,1,0,0,2,0,0,2,3,1,11,0,0,0,0,0,0,0
335,NA,0,0,0,25,3,3,8,1,0,48,0,0,10,16,0,0,1,0,1,0,5,0,0,0,11,3,0,0,0,0,0,152,20,0,0,0,13,0,0,0,0,1,3,1,0,20,0,0,0,0,1,1,0
340,NA,0,0,0,17,1,1,7,0,0,128,0,0,8,55,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,20,0,0,1,12,0,0,1,0,0,5,2,0,32,0,0,0,0,0,0,0
345,NA,0,0,0,19,3,2,6,1,0,91,0,0,48,50,0,5,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,39,39,0,0,1,6,1,0,2,0,0,12,0,0,20,0,0,0,0,0,1,0
350,NA,0,0,0,28,3,0,15,0,0,84,0,0,8,50,0,5,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,43,68,0,0,2,0,1,0,2,0,0,16,1,0,23,0,0,0,0,0,0,0
355,NA,0,0,0,25,2,3,12,1,0,101,0,0,1,52,0,5,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,40,49,0,0,3,1,1,0,0,4,0,18,1,0,32,0,0,0,0,1,0,0
360,NA,0,0,0,6,2,3,9,2,1,92,0,0,4,76,1,14,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,28,68,0,0,5,0,0,0,2,2,0,26,3,0,17,0,0,0,0,1,1,0
365,NA,0,0,0,8,5,2,12,2,1,76,0,0,1,52,1,0,2,0,0,1,2,0,0,0,1,1,0,0,0,0,0,32,74,0,0,5,1,0,0,0,0,0,20,4,0,22,0,0,0,0,1,0,0
370,NA,0,0,0,19,2,3,12,2,0,75,0,0,2,52,0,1,7,0,0,0,3,1,0,0,0,1,0,0,0,0,0,51,51,0,0,4,0,0,0,1,2,0,17,14,0,31,0,0,0,0,0,1,0
375,NA,0,0,0,16,7,5,10,0,1,67,0,0,4,75,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,41,2,0,10,0,0,0,1,1,0,50,7,0,35,0,0,0,0,1,3,0
380,NA,0,0,0,8,5,11,13,3,0,45,0,0,2,81,1,9,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,34,66,1,0,6,0,0,1,0,1,0,36,6,0,23,0,0,0,0,0,3,1
385,NA,0,0,0,13,3,8,14,2,1,20,0,0,2,86,0,2,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,52,82,0,0,9,0,0,1,2,0,0,39,0,0,26,0,0,0,0,1,7,0
395,NA,0,0,0,6,4,5,6,4,0,22,0,0,1,50,0,1,3,0,0,0,9,0,0,0,1,1,0,0,0,0,0,85,52,3,0,30,0,2,0,2,0,0,40,0,0,51,1,0,0,0,0,7,0
400,NA,0,0,0,7,1,9,9,1,0,18,0,0,3,21,1,1,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,100,115,0,0,16,0,0,0,1,0,0,19,0,0,33,0,0,0,0,0,0,0
405,NA,0,0,0,5,2,8,9,2,0,16,0,0,1,17,3,1,1,0,0,0,5,0,0,1,0,0,0,0,0,1,0,112,116,3,0,13,0,0,0,1,0,0,15,0,0,32,0,0,0,0,0,2,0
410,NA,0,0,0,5,2,8,15,4,0,14,0,0,6,27,1,0,0,0,0,0,3,2,0,0,3,1,0,0,0,0,0,82,135,1,1,16,0,0,0,1,0,0,8,0,0,19,0,0,0,0,1,0,0
415,NA,2,0,0,28,9,3,16,3,2,21,0,0,6,31,4,2,1,0,0,0,8,1,2,0,0,0,0,0,0,0,0,87,68,0,0,15,0,0,0,0,0,0,8,0,0,58,0,0,0,1,0,4,0
420,NA,0,0,0,5,5,9,16,1,0,10,0,0,2,22,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,119,94,0,0,16,1,0,0,1,0,0,2,0,0,44,0,0,0,0,0,2,0
