"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Carya.ovata","Caryophyllaceae","Castanea.dentata","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Juglans.cinerea","Juglans.nigra","Juniperus.type","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Osmunda.cinnamomea","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus","Quercus","Ranunculaceae","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Rumex.type","Salix","Sarracenia.purpurea","Sphagnum","Taxus","Tilia","Tsuga.canadensis","Typha","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff."
135,4112,18,1,0,6,0,5,5,2,0,0,0,1,238,0,0,0,1,1,52,0,0,0,13,3,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,22,30,21,0,0,0,84,22,0,0,0,2,0,0,0,0,11,0,0,0,0,0,1,86,5,0,5,0,2,1,2,2,0,0
150,5126,12,0,0,0,0,3,16,2,5,0,5,1,249,0,0,0,0,0,28,0,0,0,24,5,7,2,0,1,0,0,0,4,0,1,1,1,1,0,0,0,0,0,63,24,1,1,0,108,47,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,154,0,1,3,0,4,2,6,0,0,0
165,6419,23,1,0,2,0,4,39,0,0,0,0,1,202,0,1,0,0,0,139,2,0,0,28,1,1,1,0,5,0,0,0,3,0,0,1,1,0,0,0,0,0,14,14,20,0,0,0,44,20,2,0,0,2,0,0,0,0,18,0,0,0,0,2,0,11,2,0,1,0,4,2,3,1,2,0
175,7281,25,1,1,0,1,5,61,0,1,0,0,0,151,0,0,0,0,2,28,0,0,0,10,4,2,0,0,11,0,0,0,6,0,3,2,0,1,0,0,2,0,4,22,9,13,13,0,4,33,2,0,0,2,0,0,0,0,6,1,0,0,0,3,0,2,0,0,1,0,0,2,2,0,0,0
185,8143,9,0,0,0,0,2,81,1,0,0,0,1,133,0,0,0,0,2,84,0,0,0,0,1,0,0,0,2,0,0,1,3,0,1,2,2,0,0,0,0,0,28,21,21,0,0,0,44,11,0,1,0,1,0,0,0,0,11,0,1,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0
200,NA,4,0,0,0,0,2,47,1,1,0,3,0,110,0,0,0,0,5,407,0,0,1,2,0,0,0,0,6,0,0,0,0,0,3,4,0,1,0,0,3,0,2,12,5,1,8,0,34,26,3,0,9,2,0,3,0,0,6,0,0,0,0,4,0,2,0,0,4,0,1,1,6,0,0,0
210,NA,5,0,0,1,0,3,77,0,1,0,5,2,152,0,0,0,0,0,531,0,0,0,2,1,0,0,1,5,0,0,0,1,0,5,1,0,0,0,0,0,0,0,27,10,0,0,0,55,9,3,0,0,1,1,0,0,4,7,0,0,5,0,0,0,1,0,0,3,0,4,0,5,0,0,3
220,NA,3,0,0,0,0,0,13,0,1,0,6,6,91,0,0,1,0,0,274,0,2,0,19,2,0,0,0,25,0,0,0,0,0,5,1,0,0,0,0,1,0,1,11,4,3,6,0,19,20,37,1,0,5,0,0,0,0,2,0,0,2,0,84,0,0,0,0,0,2,1,0,9,0,0,0
225,NA,2,0,0,0,0,2,16,0,1,0,2,3,78,1,0,1,0,4,251,2,0,0,6,0,0,0,0,5,0,0,3,0,0,4,1,0,0,0,0,0,0,10,8,6,0,10,2,18,13,15,0,0,0,0,0,0,0,6,0,0,4,0,16,0,0,0,0,1,0,0,3,7,0,0,0
230,NA,4,0,0,1,0,0,7,0,0,0,4,0,40,0,0,0,0,0,79,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,15,1,14,0,0,1,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,2,1,0,0,0
235,NA,1,0,0,0,0,4,11,0,3,0,10,4,82,0,0,1,0,2,226,0,0,0,5,1,1,0,0,6,0,0,0,1,0,3,1,0,0,0,0,5,1,0,5,1,1,2,0,10,16,34,0,0,0,0,3,7,0,3,1,0,0,0,77,0,3,0,0,1,5,0,3,2,0,0,0
