"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Humulus","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Ranunculus.subg..Batrachium","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Urtica","Xanthium","Zea.mays"
185,621,602,1,0,0,13,2,27,4,0,0,0,49,0,9,7,2,0,19,0,9,2,81,2,0,54,0,0,0,0,5,26,14,0,2,0,1,0,0,0,0,270,0,0,0,0,3,0,0,0,0,0,0,0,0
205,690,474,0,0,1,18,2,41,7,0,0,0,25,0,35,12,6,1,16,0,19,0,38,1,0,58,1,0,0,0,2,13,25,0,4,0,0,0,0,0,1,143,0,0,0,0,3,0,2,0,0,0,0,0,0
220,742,439,0,0,0,21,0,55,9,0,0,1,24,0,23,15,3,1,19,0,25,0,26,1,1,53,4,0,0,0,2,10,22,2,6,0,0,1,0,0,0,112,0,0,0,0,1,0,0,0,0,2,0,0,0
240,812,480,0,0,0,28,2,37,4,0,0,0,26,1,35,14,1,0,26,0,27,1,35,2,0,54,4,0,0,0,11,18,27,0,3,0,1,3,0,0,0,117,0,0,0,0,2,0,0,0,0,1,0,0,0
260,881,367,0,0,0,24,2,44,3,0,0,0,7,0,56,17,1,0,37,0,27,1,27,0,0,27,2,0,0,0,13,19,24,0,0,0,0,1,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0
280,951,285,0,0,3,12,1,43,7,0,0,0,3,0,43,18,6,0,10,0,13,0,14,0,0,12,4,0,0,0,8,5,25,0,0,0,0,1,0,0,0,56,0,0,0,0,1,0,0,0,0,0,0,0,0
300,1020,368,0,0,0,34,1,47,7,0,0,0,9,0,37,16,3,0,26,0,14,0,24,0,1,32,0,0,0,0,8,8,22,0,0,1,2,0,0,0,0,72,0,0,0,0,3,1,0,0,0,0,0,0,0
320,1089,472,0,0,0,31,0,78,7,0,0,0,4,0,48,12,7,0,10,0,12,0,17,0,0,47,0,0,0,0,14,7,27,0,2,0,0,0,0,0,0,148,0,0,0,0,1,0,0,0,0,0,0,0,0
340,1159,379,0,0,0,29,0,42,9,0,0,0,6,0,73,9,11,0,7,0,3,0,21,2,0,28,1,0,0,0,6,6,40,1,0,0,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1228,322,0,1,0,26,1,39,7,0,0,0,2,0,39,11,1,0,8,0,40,1,14,0,2,30,0,0,0,0,10,11,28,0,1,0,1,0,0,0,0,46,0,0,0,0,3,0,0,0,0,0,0,0,0
380,1298,270,0,0,0,22,1,32,2,0,0,0,3,0,29,9,3,0,8,0,6,0,18,0,0,22,0,0,0,0,3,15,23,0,0,0,1,1,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0
400,1367,397,0,0,1,18,0,43,4,0,0,0,6,0,32,26,4,0,8,0,11,0,8,0,0,17,0,0,0,0,8,23,43,0,0,0,0,1,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0
420,1436,337,0,0,1,20,3,41,0,0,0,0,0,0,48,17,2,0,11,0,4,0,35,0,0,60,0,0,0,0,8,32,45,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
440,1506,347,0,0,0,14,2,76,5,0,0,1,11,0,63,4,1,0,14,0,15,0,16,2,0,39,0,0,0,0,5,23,42,0,0,0,0,2,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
460,1575,383,0,0,0,27,2,45,4,0,0,0,5,0,73,7,3,0,16,0,9,1,27,1,0,48,0,0,0,0,4,32,29,0,3,0,0,1,0,0,0,44,0,0,0,0,1,1,0,0,0,0,0,0,0
480,1645,348,0,0,0,38,3,40,0,0,0,0,5,0,69,4,0,2,16,0,10,2,23,0,0,37,8,0,0,0,7,12,32,0,0,0,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1714,475,0,0,0,33,3,16,6,0,0,0,15,0,63,27,2,0,7,0,24,0,22,2,0,70,1,0,0,0,9,12,31,0,1,0,0,1,0,0,0,126,0,1,0,0,1,0,0,0,0,2,0,0,0
520,1783,338,0,0,0,47,2,25,4,0,0,0,6,0,49,19,8,0,8,0,25,0,20,1,0,32,0,0,0,0,12,11,33,0,0,0,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
540,1853,348,0,0,0,12,1,54,5,0,0,0,2,0,70,17,5,0,8,0,13,0,35,0,0,30,1,0,0,0,11,13,33,0,2,1,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
560,1922,379,0,0,0,54,2,24,0,0,0,0,9,0,99,18,0,0,6,0,14,1,13,1,0,14,0,0,0,0,4,15,27,0,1,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,1,0,0,0
580,1992,319,0,0,1,13,1,24,5,0,0,1,5,0,78,9,4,0,6,0,9,0,16,0,0,28,1,0,0,0,5,12,66,0,0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0
600,2061,209,0,0,0,14,1,23,7,0,0,0,8,0,54,5,3,0,6,0,10,0,13,0,2,15,0,0,0,0,6,9,26,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0
610,2096,218,0,0,0,12,1,29,7,1,0,0,7,0,47,13,6,0,0,0,8,0,13,0,0,13,0,0,0,0,10,8,26,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0
620,2130,217,0,0,0,18,0,22,6,0,0,0,19,0,36,10,4,0,8,0,4,0,13,0,2,19,0,0,0,0,3,15,21,0,0,0,1,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0
630,2165,210,0,0,0,10,1,36,4,1,0,0,12,0,51,7,3,0,2,0,7,0,11,0,0,19,0,1,0,0,6,9,23,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0
640,2200,213,1,0,0,23,0,30,4,0,0,0,6,0,53,15,4,0,2,0,10,0,12,0,0,11,0,0,0,0,3,9,18,0,2,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
660,2269,234,0,0,0,16,0,32,3,0,0,0,3,0,37,20,4,0,11,0,7,0,6,0,0,19,0,0,0,0,5,4,24,0,0,0,0,0,0,0,0,40,0,0,0,0,2,0,0,0,0,1,0,0,0
680,2339,356,0,0,0,25,3,42,8,1,0,0,18,0,56,18,3,0,9,0,15,1,17,3,0,16,2,0,0,0,12,11,44,0,1,0,2,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0
700,2408,422,0,0,0,44,7,56,14,0,0,0,4,0,49,26,12,0,4,0,16,0,11,1,0,38,4,0,0,0,11,8,92,0,1,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0
720,2477,324,0,0,0,50,0,22,3,0,1,0,2,0,132,5,0,0,4,0,14,1,11,2,0,15,0,0,0,0,3,1,43,0,0,0,0,0,0,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0,0
740,2547,453,0,0,0,44,0,88,3,0,0,2,14,0,83,38,7,0,11,0,12,2,15,3,0,29,0,0,0,0,10,22,39,0,2,0,0,1,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0
760,2616,332,1,0,9,34,0,25,7,0,0,0,4,0,118,10,8,0,6,0,15,0,18,5,0,19,0,0,0,0,7,4,19,0,0,0,0,0,0,0,0,20,0,0,0,0,2,1,0,0,0,0,0,0,0
780,2686,334,0,0,0,23,1,32,9,0,0,0,4,0,62,24,5,1,4,1,4,0,26,3,0,43,0,1,0,0,7,7,54,0,1,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,1,0,0,0
800,2755,222,0,0,0,14,0,31,6,0,0,0,7,0,52,10,1,0,11,0,13,0,9,0,1,13,0,1,0,0,4,2,26,0,0,0,2,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0
820,2824,234,0,0,0,37,1,30,2,1,0,0,10,0,19,8,0,0,0,0,13,1,10,0,0,45,0,0,0,0,1,13,10,0,1,0,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
830,2859,216,0,0,0,21,0,21,9,0,0,0,25,0,19,9,4,0,0,0,30,0,11,0,0,18,0,0,0,0,0,8,25,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
840,2894,207,1,0,0,15,0,24,15,1,0,0,9,0,40,12,4,0,3,0,9,0,11,0,0,25,0,0,0,0,10,3,18,0,2,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
850,2928,207,0,0,0,10,0,29,9,0,0,0,8,0,40,5,2,0,1,0,14,1,12,0,0,25,0,0,0,0,8,6,30,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
855,2946,204,0,0,0,13,1,51,8,0,0,0,9,0,26,8,8,0,1,0,8,0,6,0,0,27,0,0,0,0,14,3,18,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
857,2953,201,0,0,0,18,0,41,4,0,0,0,8,0,39,7,5,0,2,0,4,0,9,0,0,19,0,0,0,0,7,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
860,2963,209,0,0,0,14,0,32,5,0,0,0,15,0,49,11,3,0,3,0,9,0,12,0,0,8,4,0,0,0,5,18,16,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
865,2980,197,0,0,0,19,0,31,4,0,0,0,5,0,37,15,3,0,1,0,6,1,16,0,0,18,0,0,0,0,3,14,17,0,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
870,2998,204,0,0,0,19,0,33,2,0,0,0,7,0,49,9,2,0,4,0,6,1,5,0,1,18,0,0,0,0,1,14,30,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
880,3033,208,0,0,0,15,0,24,2,1,0,0,14,0,43,18,3,0,3,0,6,0,14,0,1,17,0,0,0,0,2,4,33,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
890,3067,201,0,0,0,18,0,35,6,0,0,0,8,0,39,6,6,0,6,0,6,0,15,0,0,16,0,0,0,0,4,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,3102,369,0,0,0,41,3,63,7,0,0,0,38,0,59,23,2,0,5,0,13,0,13,0,1,33,1,0,0,0,9,12,33,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
920,3171,340,0,0,0,33,1,41,4,0,0,1,10,0,73,12,5,0,4,0,12,1,16,1,0,28,0,0,0,0,15,23,53,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0
940,3241,344,0,0,1,23,0,55,1,0,0,0,23,0,96,12,4,0,0,0,9,1,7,1,0,28,10,0,0,0,15,15,36,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
960,3310,310,0,0,2,30,0,46,2,0,0,3,4,0,88,15,1,0,3,0,5,0,11,0,0,24,0,0,0,0,10,12,44,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0
980,3380,357,0,0,0,32,1,41,6,0,0,0,19,0,80,23,4,1,2,0,10,0,24,1,0,29,0,0,0,0,10,18,35,0,1,0,1,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0
1000,3449,336,1,0,0,26,0,67,5,1,0,0,17,0,69,24,9,0,0,0,11,0,22,0,0,21,0,0,0,0,9,13,32,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,3518,411,0,0,1,43,1,76,5,0,0,0,23,0,59,16,3,0,12,0,14,4,14,1,0,41,0,0,0,0,13,22,48,0,1,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,3588,218,0,0,0,18,0,22,4,0,0,0,16,0,48,9,5,1,2,0,13,1,12,0,2,14,0,0,0,0,1,18,14,0,0,0,1,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0
1050,3622,202,0,0,0,17,1,37,5,0,0,0,10,0,37,10,3,0,5,0,10,1,18,0,0,13,0,0,0,0,2,11,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,3674,209,0,0,0,23,0,25,4,0,0,0,9,0,41,5,8,0,5,0,11,1,12,0,0,15,0,0,0,0,9,12,20,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,3709,207,0,0,0,24,0,24,2,0,0,0,15,0,48,14,4,0,4,0,10,0,8,0,1,12,0,0,0,0,4,10,20,0,1,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,3737,203,0,0,0,22,0,34,6,0,0,0,19,0,47,13,3,0,1,0,5,0,10,0,0,12,0,0,0,0,3,6,17,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1085,3744,203,0,0,0,19,0,20,3,0,0,0,22,0,28,16,2,1,0,0,12,0,25,0,1,30,0,0,0,0,4,6,10,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,4047,204,0,0,0,19,2,34,3,0,0,0,15,0,48,6,0,0,2,0,3,1,18,0,1,20,0,0,0,0,2,15,13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,4249,202,0,0,0,9,0,36,8,0,0,0,36,0,20,9,4,0,1,0,10,0,5,0,0,17,0,0,0,0,7,21,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,5258,202,0,0,0,16,0,22,3,0,0,0,19,0,41,11,13,0,0,0,6,1,8,0,0,18,0,0,0,0,10,18,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,6060,206,0,0,0,13,0,16,7,0,0,0,14,0,34,16,3,0,2,0,4,0,3,0,3,13,0,0,0,0,3,49,20,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,6862,205,0,0,0,12,1,17,4,0,0,0,7,0,40,6,6,0,0,0,5,0,7,0,0,15,0,0,0,0,6,61,14,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1115,7015,202,0,0,0,17,1,6,4,0,0,0,11,0,41,8,7,0,3,0,17,0,8,0,0,30,0,0,0,0,3,37,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,7169,203,0,0,0,19,2,5,3,0,0,0,0,0,51,4,2,0,0,0,15,0,15,0,0,22,0,0,0,0,5,41,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,7323,203,0,0,0,19,1,4,2,0,0,0,4,0,44,9,2,0,0,0,11,0,14,0,0,31,0,0,0,0,2,36,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1130,7477,203,0,0,0,14,0,9,2,0,0,0,11,0,33,16,1,0,0,0,19,0,8,0,1,25,1,0,0,0,10,37,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,7630,204,1,0,0,12,1,2,2,0,0,0,22,0,36,5,0,0,0,0,13,0,12,0,0,37,0,0,0,0,8,30,20,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,7784,202,0,0,0,10,0,4,2,0,0,0,13,0,18,8,2,0,0,0,18,0,12,0,2,64,0,0,0,0,6,17,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,7938,204,0,0,0,9,1,6,1,0,0,0,7,0,25,11,0,0,0,0,20,0,33,0,1,39,0,0,0,0,4,21,23,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,8091,206,1,0,0,14,0,4,2,0,0,0,5,0,20,6,0,0,0,0,17,0,58,0,0,29,0,0,0,0,3,33,8,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1155,8245,202,1,0,0,6,0,1,1,0,0,0,1,0,14,7,0,0,2,0,15,0,74,0,0,24,0,0,0,0,2,41,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1160,8399,203,0,0,0,11,1,4,2,0,0,0,15,0,25,11,2,0,0,0,8,0,27,0,0,36,0,0,0,0,2,45,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1165,8553,206,3,0,0,7,0,4,5,0,0,0,7,0,2,13,0,0,1,0,10,1,66,0,0,30,0,0,0,0,4,32,15,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,8706,203,1,0,0,4,0,12,1,0,0,0,3,0,3,6,0,0,0,0,17,0,105,0,1,22,0,0,0,0,1,14,10,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,8860,204,3,0,0,9,0,18,3,0,0,0,1,0,2,8,0,0,3,0,22,0,82,0,0,32,0,0,0,0,5,2,10,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1180,9014,205,1,0,0,11,0,7,1,0,0,0,1,0,4,6,0,0,0,0,27,2,92,0,0,37,0,0,0,0,2,2,7,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,9167,204,3,0,0,8,0,12,1,0,0,0,0,0,3,9,0,0,1,0,23,0,98,0,0,28,0,0,0,0,1,8,6,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,9321,202,1,0,0,6,0,24,0,0,0,0,0,0,1,3,2,0,2,0,21,0,72,0,0,46,0,0,0,0,3,6,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,9629,202,0,0,0,3,0,19,1,0,0,0,0,0,4,9,0,0,0,0,28,0,102,0,0,24,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,9936,202,2,0,0,1,1,43,0,0,0,0,1,0,1,6,0,0,1,0,6,2,95,0,3,21,1,0,0,0,1,5,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,10243,201,6,0,0,0,0,41,3,0,0,0,1,0,1,3,0,0,5,0,8,3,102,0,0,18,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,10551,212,1,0,0,4,0,50,2,0,0,0,1,0,1,6,1,0,2,0,11,3,81,0,7,21,2,0,0,0,0,0,9,0,2,0,2,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1240,10858,207,9,0,0,2,0,32,2,0,0,0,2,0,0,7,0,0,9,0,8,9,74,0,7,30,3,0,0,0,0,2,7,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
1250,11166,213,8,0,0,1,2,9,1,0,0,0,3,0,0,6,2,0,6,0,8,28,100,0,5,20,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
1260,11473,206,2,0,0,4,0,11,3,0,0,0,5,0,1,5,2,0,13,0,15,22,72,0,1,32,0,0,0,0,0,2,10,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,11682,220,1,0,0,3,4,9,1,0,0,0,4,0,0,7,0,0,10,0,13,60,46,0,4,31,3,0,0,0,0,7,4,0,1,0,6,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0
1280,11891,216,0,0,0,0,2,9,0,0,0,0,4,0,0,4,0,0,9,0,4,78,49,0,0,24,1,0,0,0,0,10,9,0,0,0,3,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0
1290,12823,225,1,0,0,0,4,7,2,0,0,0,0,0,0,3,0,0,4,0,2,106,54,0,0,7,1,0,0,0,0,7,5,0,3,0,4,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0
1300,13756,226,1,0,0,1,2,4,0,0,0,0,0,0,0,2,1,0,4,0,12,128,30,0,0,9,3,0,0,0,0,4,3,0,0,0,3,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0
1310,14688,228,0,0,0,0,6,7,1,0,0,0,5,0,0,0,1,0,4,0,7,141,14,0,7,9,2,0,0,0,0,1,3,0,1,0,4,2,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0
1320,15620,220,1,0,0,0,0,1,4,0,0,0,5,0,0,2,0,0,3,0,4,143,24,0,2,8,0,0,0,0,0,2,1,0,3,0,4,1,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0
1330,16553,268,0,0,0,0,1,2,2,0,0,0,6,0,0,4,0,0,2,0,14,151,7,0,0,7,2,0,0,0,0,3,2,0,7,0,11,4,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,1,0
1340,NA,227,1,0,0,0,0,1,2,0,0,0,3,0,0,5,0,0,0,0,9,164,10,0,0,3,0,0,0,0,0,1,1,0,2,0,5,0,0,0,1,16,0,0,0,0,3,0,0,0,0,0,0,0,0
1350,NA,253,0,0,0,0,1,0,2,0,0,0,2,1,0,5,0,0,0,0,7,162,11,0,0,10,2,0,0,0,0,0,1,0,11,0,4,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,NA,247,1,0,0,0,0,1,1,0,0,0,6,0,0,1,2,0,0,0,3,170,6,0,1,8,4,0,0,0,0,0,0,0,3,0,6,3,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0
1370,NA,437,0,0,0,1,4,11,0,0,0,0,9,0,0,30,2,0,0,0,35,27,29,0,0,48,34,0,1,10,0,0,8,0,11,0,40,3,0,0,1,125,0,0,0,0,8,0,0,0,0,0,0,0,0
1380,NA,302,1,0,0,1,15,6,3,0,0,0,5,0,1,14,1,0,1,0,9,64,65,0,0,27,5,0,1,0,0,0,3,0,3,0,7,6,0,1,2,50,0,0,0,0,9,0,0,0,1,1,0,0,0
1390,NA,279,1,0,0,0,12,0,0,0,0,0,3,0,0,2,0,0,0,0,9,103,68,0,0,13,1,0,0,0,0,0,3,0,3,0,6,3,0,0,1,45,0,0,0,0,5,0,0,0,0,1,0,0,0
1430,NA,283,2,0,0,0,17,2,1,0,0,0,4,0,0,13,1,0,0,0,6,70,70,0,0,28,0,0,0,0,0,0,1,0,9,0,13,2,0,1,0,37,0,0,0,0,6,0,0,0,0,0,0,0,0
