"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Dryopteris","Equisetum","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Indeterminable","Iva.type","Juglans.cinerea.type","Juglans.nigra.type","Juniperus.type","Larix","Lycopodiaceae","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.herbs","Other.trees.and.shrubs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..Paleozoic.","Unknown..trilete.","Urtica","Xanthium"
173,12071,11,0,0,0,0,0,3,1,1,0,3,2,0,4,0,48,0,1,0,0,0,0,0,4,1,31,0,0,1,0,0,13,0,1,2,0,0,0,6,1,0,0,24,0,0,0,14,0,0,48,305,20,187,0,6,0,1,5,5,0,24,0,0,0,1,0,6,0,0,0,0,0,4,1,7,9,1,0,0,0,0,0
183,12310,9,0,0,5,0,0,3,0,2,2,4,2,0,3,0,0,0,1,0,0,0,0,0,6,4,13,0,0,0,1,0,8,0,3,0,1,0,0,8,0,0,0,34,0,0,0,3,1,0,57,201,28,200,0,11,0,2,9,15,0,21,0,0,0,0,0,4,0,0,2,0,0,2,3,4,9,1,0,0,1,0,0
193,12528,33,0,0,1,0,0,6,0,6,0,3,3,0,11,0,0,0,3,0,0,0,1,0,9,4,16,0,0,0,1,2,10,0,7,2,0,0,0,2,0,0,0,14,7,0,0,31,1,0,79,36,0,15,0,15,0,3,16,13,0,40,0,0,0,0,4,8,0,0,1,1,0,0,0,10,16,3,0,0,2,1,0
203,12726,34,0,0,3,0,0,2,0,5,2,10,6,0,8,0,0,0,2,0,1,0,0,0,6,0,17,0,0,0,4,6,27,0,6,0,0,1,0,1,0,0,14,3,2,1,0,42,3,1,58,0,0,13,0,30,0,8,14,12,0,36,0,0,0,0,1,4,0,0,2,2,0,2,13,23,9,3,0,0,1,0,0
213,12907,50,0,0,2,0,0,4,0,0,1,5,5,0,4,0,0,0,7,0,0,0,0,0,9,0,34,0,0,0,3,1,25,0,3,5,0,1,0,2,0,0,0,14,1,0,2,34,0,0,82,1,1,5,0,53,0,1,16,14,0,52,0,0,0,0,5,4,0,0,0,0,0,1,9,30,8,1,0,7,2,0,0
224,13085,44,0,0,1,1,0,4,1,1,0,3,3,0,4,0,0,0,4,0,0,1,0,1,3,0,26,0,0,0,1,2,26,0,2,0,1,0,0,2,0,0,0,6,5,0,0,39,0,0,82,5,0,10,0,44,0,0,3,5,3,62,0,1,0,2,2,3,0,0,0,0,0,5,8,23,17,1,0,0,0,0,0
244,13361,17,0,0,2,2,0,1,0,3,3,8,6,0,1,1,0,0,0,1,0,1,0,0,3,0,23,0,0,0,1,8,39,0,1,0,1,0,0,0,0,1,0,1,0,0,0,47,0,0,90,4,0,1,2,60,0,1,3,4,0,57,0,1,0,0,4,7,0,0,0,0,0,0,6,20,15,1,0,3,0,0,0
254,13477,21,0,0,1,0,0,1,0,2,1,4,6,0,4,0,0,1,3,0,0,1,0,0,2,0,23,0,6,0,1,2,24,0,10,3,0,0,4,1,1,0,0,0,0,0,0,20,0,0,100,0,0,4,1,85,0,0,27,6,0,38,0,0,0,1,6,5,0,0,0,1,0,1,9,0,7,7,3,0,1,1,0
264,13581,1,0,0,1,1,0,0,0,4,2,3,6,0,3,1,0,0,4,0,0,1,0,0,1,0,30,0,0,0,0,2,38,0,2,0,0,0,0,1,0,0,0,0,0,0,0,57,0,0,141,0,1,3,0,23,0,0,0,2,2,45,1,0,0,1,3,2,0,0,0,2,0,0,14,8,11,0,0,0,0,0,0
274,13673,7,0,0,1,0,0,0,0,2,2,3,5,0,5,0,0,0,2,1,0,2,0,0,1,0,45,0,0,0,2,2,39,1,6,0,0,0,1,0,0,0,0,3,0,0,0,44,0,0,123,0,0,1,2,31,0,1,0,6,0,50,0,0,0,1,4,4,0,1,1,0,0,0,19,4,10,0,0,7,0,0,0
284,13754,3,0,0,1,0,0,0,0,3,0,1,8,0,1,0,0,0,2,0,0,1,0,0,2,0,19,0,0,0,0,2,56,0,1,0,1,0,0,1,0,0,0,0,0,0,0,47,0,0,120,2,0,0,1,20,3,0,3,8,0,50,3,1,0,0,0,5,0,0,0,0,1,0,14,2,7,1,0,0,0,0,0
