"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Prunus.pensylvanica","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Salix.undiff.","Acer.rubrum","Fraxinus.pennsylvanica.type","Fabaceae.undiff.","Ranunculaceae.undiff.","Thalictrum","Rosaceae.undiff.","Brassicaceae","Castanea.dentata","Tsuga.canadensis","Picea.glauca.type","Taxus","Plantago","Acer.pensylvanicum","Caryophyllaceae","Juglans.cinerea","Sambucus","Larix","Tilia","Amaranthaceae","Ephedra","Viburnum.opulus","Arceuthobium.pusillum","Viburnum.edule","Apiaceae","Salix.vestita.type","Onagraceae","Polygonaceae.undiff.","Shepherdia.canadensis","Liliaceae","Saxifraga.cernua.type","cf..Oxyria.digyna","Salix.herbacea.type","Populus.grandidentata.type","Rosaceae.cf..Prunus.serotina","Saxifraga.oppositifolia.type","Sanguisorba.canadensis","Oxytropis.maydelliana.type","Prunus.undiff.","Asteraceae.subf..Cichorioideae","Campanula.type","Rubus.chamaemorus","Koenigia.islandica","Armeria.maritima","cf..Sarcobatus.vermiculatus","Polygonum.undiff.","Polygonum.viviparum","Dryas","Rhamnus.Vitis","Viburnum.nudum"
498,11469,371,0,0,16,2,3,141,33,0,0,0,0,8,7,2,33,13,3,2,12,12,2,0,0,1,3,14,22,0,0,1,5,29,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,11914,442,0,2,18,1,18,192,41,2,0,1,2,8,6,3,31,9,4,5,10,12,0,2,0,1,0,10,19,0,0,2,5,29,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
502,12359,492,0,0,12,0,21,230,51,2,0,2,0,10,2,4,31,6,5,5,7,14,2,0,0,2,1,9,15,0,0,3,5,46,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
504,NA,429,0,0,19,0,33,116,78,1,0,3,0,8,6,0,20,7,1,6,5,23,2,3,0,1,0,7,19,0,0,1,7,46,0,0,0,3,0,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,NA,393,0,0,19,0,33,114,68,1,0,2,0,8,6,3,16,1,4,3,5,22,0,0,0,0,1,13,20,0,0,0,6,37,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,NA,342,0,0,20,1,40,51,72,2,0,1,0,6,1,0,9,4,2,1,6,24,1,0,0,1,1,6,8,0,0,2,3,58,0,0,0,1,0,2,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,NA,283,0,0,14,0,27,33,68,0,0,0,0,9,2,0,7,4,4,1,2,23,0,0,0,0,0,5,9,0,0,2,2,61,0,0,1,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,NA,466,0,0,10,0,5,95,149,1,0,0,0,2,5,2,7,18,6,1,4,46,0,0,0,1,0,17,3,0,0,2,2,84,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,NA,558,0,1,19,0,2,32,270,0,0,0,1,6,6,0,5,10,1,9,7,67,0,2,0,0,0,14,3,0,0,2,4,69,0,0,2,0,0,5,0,0,3,0,1,0,0,5,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
515,NA,683,0,5,47,2,11,47,222,0,0,0,0,4,13,0,7,0,3,5,10,114,1,1,0,0,3,14,15,0,0,4,11,14,0,0,0,12,1,10,2,0,3,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,52,8,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0
517,NA,617,0,2,38,0,7,24,220,0,0,0,0,4,15,2,3,0,1,0,1,112,0,0,0,1,1,18,10,0,0,2,10,19,0,0,1,3,2,4,0,0,1,1,0,0,0,15,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,8,61,10,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0
518,NA,623,0,3,15,1,10,28,216,0,0,1,1,4,11,2,2,1,3,5,2,108,1,0,1,1,0,12,10,0,1,4,8,22,0,0,1,17,2,5,2,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,6,2,0,0,0,3,70,15,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0
519,NA,473,0,1,18,1,4,27,142,0,0,0,0,3,5,0,11,1,4,1,0,80,0,0,0,0,1,10,9,0,1,1,3,12,0,0,3,13,2,7,4,0,0,0,0,0,0,28,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,6,56,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
520,NA,550,0,0,21,1,4,22,187,0,0,0,0,3,5,0,18,5,5,0,1,94,0,0,0,1,0,6,2,0,3,3,6,22,0,0,1,6,2,11,1,0,0,0,0,0,0,28,0,0,0,0,4,0,0,0,1,0,11,0,0,0,0,6,50,17,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
522,NA,532,0,2,3,0,5,8,272,1,1,0,0,1,2,0,1,0,10,1,0,79,0,0,0,1,0,6,4,0,0,4,2,11,0,0,0,11,0,1,2,0,1,0,1,0,0,25,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,5,37,8,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0
523,NA,1074,0,8,20,1,17,21,391,0,0,1,0,6,15,0,2,2,9,2,3,218,0,1,0,7,0,27,14,0,1,1,6,71,0,0,1,6,0,14,1,0,1,0,0,0,0,91,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,7,75,9,0,0,2,0,0,0,6,0,0,0,1,1,0,0,0,0,0
525,NA,1786,0,21,34,1,24,56,693,0,0,0,0,35,26,0,2,4,12,5,1,385,3,0,0,9,1,103,10,0,0,2,16,29,1,0,2,4,6,19,8,0,3,0,1,0,0,78,0,0,0,0,0,0,0,0,1,2,16,0,0,0,0,3,149,12,0,0,2,0,1,0,4,0,0,0,1,0,1,0,0,0,0
527,NA,626,0,7,27,0,7,27,237,0,0,1,0,6,13,0,0,4,3,5,1,115,0,1,0,2,0,16,2,0,0,2,6,28,0,0,3,3,2,3,2,0,0,0,0,0,0,29,0,1,0,0,1,0,0,0,0,1,14,0,0,0,0,3,34,16,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0
529,NA,780,0,2,18,5,13,24,310,0,0,0,1,8,9,1,1,0,19,5,0,130,0,0,0,2,1,14,8,0,0,4,10,38,0,0,0,3,1,4,1,0,1,1,0,0,0,50,0,0,1,0,2,0,0,0,0,0,21,0,0,0,0,4,40,24,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
531,NA,560,0,6,12,3,11,16,209,0,0,0,0,7,13,0,2,3,12,3,0,66,0,0,0,3,1,17,4,0,1,1,7,41,0,0,0,4,3,4,8,0,1,1,0,0,0,22,0,0,0,0,2,0,0,0,0,0,20,2,0,0,0,3,35,14,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
532,NA,414,0,1,2,0,4,13,213,0,0,0,0,0,4,0,0,5,7,0,0,52,0,0,1,1,0,9,0,0,0,2,4,22,0,0,0,4,0,1,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,NA,525,0,2,1,1,1,1,310,0,0,1,0,1,5,1,0,0,1,1,1,82,0,0,0,2,0,5,0,0,0,0,3,28,0,0,0,0,0,2,1,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,4,1,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
536,NA,813,0,5,3,1,10,17,366,0,0,3,0,8,10,0,0,0,12,11,2,132,2,0,0,8,0,15,4,0,0,1,7,101,0,0,1,1,1,8,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,4,2,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
538,NA,463,1,0,3,1,7,13,230,0,0,1,1,2,6,0,2,0,4,3,4,66,0,0,0,1,0,9,3,0,0,3,5,33,0,0,1,2,1,4,2,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,19,2,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
539,NA,951,0,1,7,3,14,36,445,0,0,4,1,13,26,0,0,2,7,14,4,163,0,2,1,15,3,21,3,0,0,8,15,51,0,2,3,1,1,12,3,1,0,0,3,0,0,41,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,8,0,6,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0
544,NA,623,0,1,3,1,14,25,230,0,1,0,0,9,9,0,0,4,8,1,11,124,1,0,0,12,2,22,3,0,0,3,9,61,0,1,0,0,2,4,0,0,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,2,0,8,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
547,NA,288,0,0,8,0,6,15,102,0,0,0,0,2,13,0,0,3,2,2,1,44,0,0,0,3,0,16,3,0,0,3,6,28,0,0,0,0,0,6,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
550,NA,348,0,7,1,2,12,26,55,1,0,2,0,6,15,0,10,5,4,5,6,35,0,0,0,11,0,20,5,0,0,4,13,66,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,7,0,0,0,6,0,0,0,1,0,0,0,0,0,0
552,NA,130,0,1,3,1,3,11,14,1,0,0,0,4,6,0,0,2,1,1,2,16,1,0,0,8,2,10,2,0,0,2,9,25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
555,NA,371,0,4,4,1,13,36,42,1,0,2,0,18,9,0,9,6,9,1,5,50,0,1,0,5,3,37,11,0,0,1,18,56,0,0,0,0,1,1,0,0,1,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,12,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
556,NA,268,0,4,3,0,8,27,34,0,0,2,0,11,15,2,1,8,2,6,4,26,2,0,0,5,1,30,6,0,0,2,15,36,0,1,0,0,1,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
558,NA,203,0,14,2,0,2,18,32,0,0,0,0,5,12,0,0,7,3,3,0,24,1,0,3,5,3,23,4,0,0,3,24,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
561,NA,267,0,3,9,1,7,20,23,1,0,1,0,19,41,0,2,3,1,5,0,29,0,0,0,3,1,57,5,0,0,0,17,5,0,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
565,NA,274,0,12,6,1,8,38,16,3,0,6,0,15,23,0,0,15,5,2,0,28,3,0,1,16,1,39,0,0,0,0,24,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
