"sample.depths","sample.ages","upland.sum","Acer.negundo","Betula","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Platanus","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Ambrosia","Fraxinus.americana.type","Pinus","Populus","Amaranthaceae","Plantago","Acer.saccharum","Artemisia","Carya","Corylus","Impatiens","Asteraceae.subf..Cichorioideae","Rumex","Tsuga","Alnus","Brassicaceae","Ranunculus","Zea.mays","Onagraceae","Lamiaceae","Fraxinus.nigra","Abies","Shepherdia.canadensis","Thalictrum","Caryophyllaceae","Humulus","Larix","Myrica","Iva.annua","Iva.xanthifolia","Apiaceae"
460,2002,499,0,15,1,14,30,8,276,2,0,6,2,1,28,2,2,1,24,0,0,7,42,0,0,0,13,0,4,0,0,0,0,13,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500,2177,2539,0,25,1,3,34,14,2314,1,0,2,1,0,23,0,4,0,27,0,1,6,42,1,1,0,12,1,1,0,0,0,0,9,2,5,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0
540,2352,778,0,22,0,3,27,13,559,7,0,6,2,4,28,0,3,2,23,1,0,9,30,1,1,0,15,0,4,1,0,0,0,8,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
580,2528,1206,2,23,0,1,32,10,990,6,0,6,2,0,26,1,3,3,15,1,1,6,55,0,0,0,3,0,2,0,0,0,0,9,4,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
620,2703,420,0,15,0,16,22,7,188,3,0,6,0,0,38,0,4,4,12,0,0,4,67,0,0,0,7,5,3,0,0,0,0,12,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
660,2878,745,0,10,0,17,20,0,514,0,0,4,0,1,44,1,4,4,12,0,0,5,87,0,0,0,9,0,2,0,0,0,0,5,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
700,3053,279,0,13,2,54,18,6,1,5,0,2,2,2,46,1,3,18,11,1,0,3,61,1,0,0,10,0,4,1,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
740,3229,224,0,3,0,9,0,5,2,0,0,0,4,1,13,0,10,4,2,0,3,0,131,0,0,0,8,0,3,0,0,0,0,17,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0
780,3404,221,0,4,2,11,1,4,5,0,0,1,1,1,7,7,4,0,3,0,1,0,148,0,0,0,9,0,2,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
820,3545,229,0,4,0,5,1,2,14,0,0,1,2,1,11,1,1,6,5,0,2,1,149,0,1,0,13,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
860,3655,223,0,0,0,2,1,0,3,1,0,0,1,0,4,0,16,5,4,0,11,0,139,1,1,0,30,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
900,3764,214,0,4,0,0,0,0,2,0,0,0,0,0,8,0,18,6,6,0,5,0,98,0,1,0,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,3874,233,0,1,0,3,0,0,6,0,0,0,2,1,12,0,7,2,2,0,21,0,160,0,1,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,3984,214,0,2,4,9,0,2,1,0,0,0,4,0,9,1,2,0,6,0,0,0,148,0,1,0,15,0,2,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
1020,4093,235,0,1,0,11,8,5,13,0,0,0,1,1,19,0,7,1,3,0,2,1,127,0,0,0,15,1,0,0,0,1,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1060,4203,314,0,7,0,2,11,0,93,3,1,0,0,1,30,0,3,4,8,0,10,0,103,0,0,0,8,1,6,0,0,0,0,3,2,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0
1100,NA,274,0,8,0,14,4,5,38,3,0,0,3,2,24,0,2,12,9,0,5,3,87,0,0,0,18,0,3,0,0,0,0,30,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1140,NA,246,0,1,0,2,0,0,4,0,0,0,1,0,12,0,9,2,4,0,38,0,149,0,0,0,16,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
