"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.sericea","Corylus","Elaeagnus","Ephedra","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Larix","Liquidambar","Liriodendron","Magnolia","Morus","Myrica","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Epilobium","Galium","Plantago.lanceolata","Plantago.major","Plantago.undiff.","Poaceae.undiff.","Polygonum","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Scrophulariaceae","Thalictrum","Urticaceae","Xanthium","Zea","Adiantum","Equisetum","Huperzia.lucidula","Ophioglossaceae","Osmundaceae","Polypodiophyta.undiff.","Pteridium","Pediastrum","Bryophyta.undiff.","Sphagnum","Brasenia.schreberi","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia.type","Spore..trilete.","Tilletia","Indeterminable","Unknown.undiff.","Unknown.I"
345,4502,0,0,34,5,47,11,2,0,0,0,0,0,0,80,6,22,0,0,0,1,2,0,0,0,0,0,0,22,1,1,0,5,13,0,66,0,0,0,6,3,34,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
355,4602,0,1,38,3,37,18,0,0,0,0,0,0,0,84,19,23,0,0,1,2,0,0,0,0,0,0,1,23,1,10,0,12,17,0,91,0,0,0,8,13,43,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
360,4647,0,1,17,3,20,9,2,2,0,0,0,0,0,60,9,20,0,5,0,0,0,0,0,0,0,0,0,26,1,9,1,6,12,0,99,0,0,0,11,1,24,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,11,7,0
365,4691,0,0,15,0,22,5,2,0,0,0,0,0,0,57,7,21,0,3,1,0,0,0,0,0,0,1,0,30,1,2,2,5,14,0,103,0,0,0,9,6,24,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,9,3,0
375,4771,0,0,23,2,40,19,0,0,0,0,0,0,0,95,7,39,0,4,1,0,0,0,0,0,0,0,0,30,0,4,0,2,17,0,111,1,0,0,16,9,51,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
380,4810,0,0,26,5,38,19,1,0,0,0,1,0,0,100,9,26,0,1,0,3,0,0,0,0,0,0,0,23,0,2,0,0,10,0,91,0,0,0,6,2,31,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
395,4920,0,0,34,2,16,22,0,0,0,0,0,0,0,85,6,20,0,8,2,2,0,0,0,0,0,0,0,22,0,4,2,3,12,0,87,0,0,0,5,11,40,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0
405,4993,0,0,30,3,37,26,1,0,0,0,0,0,0,67,10,37,0,4,0,3,0,0,0,0,0,0,0,30,1,3,0,2,16,1,104,2,0,0,9,3,48,2,1,0,1,2,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0
415,5068,0,1,24,2,25,9,2,0,1,0,1,0,0,78,5,18,0,12,0,1,0,0,0,0,0,0,0,30,0,4,0,4,6,0,88,0,0,0,8,6,51,1,2,0,3,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0
425,5150,0,0,42,2,48,7,1,0,0,0,0,0,0,129,6,24,0,7,0,0,0,0,0,0,0,0,0,23,2,1,1,4,27,0,66,1,0,0,11,3,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,1,0,0,0,4,1,0
435,5239,0,0,28,1,34,24,2,0,0,0,0,0,0,118,4,15,0,9,0,1,0,0,0,0,0,0,0,34,0,3,0,4,6,0,65,2,0,0,7,3,53,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
445,5340,0,0,29,1,34,19,0,0,0,0,0,0,0,128,3,20,0,9,0,2,0,0,0,0,0,0,0,26,0,5,0,9,21,0,77,0,0,0,12,14,46,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0
455,5455,0,0,47,1,35,21,0,0,2,0,0,0,0,151,14,34,0,11,1,0,0,0,0,0,0,0,1,21,0,5,0,5,28,0,68,0,0,0,36,22,56,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0
465,5586,0,0,42,0,24,15,0,0,0,0,0,0,0,65,11,16,0,13,0,1,0,0,0,0,0,0,0,18,0,5,0,2,32,0,46,0,0,0,10,38,48,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
475,5732,0,0,32,5,16,13,0,0,0,0,0,0,0,108,7,28,0,2,0,2,0,0,0,0,0,0,0,17,0,3,0,5,16,0,77,0,0,0,10,29,53,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,2,0,0,5,0,0
481,5824,0,0,15,2,22,19,0,0,0,0,0,0,1,128,5,23,0,3,0,3,0,0,0,0,0,0,0,43,0,8,0,4,22,0,82,0,0,0,12,34,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
491,5983,0,0,26,11,16,15,1,0,0,0,0,0,0,81,10,20,0,10,0,0,0,0,1,0,0,0,0,16,1,2,0,6,19,0,69,0,0,0,10,41,50,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
495,6048,0,0,40,3,19,22,0,1,0,0,0,0,0,79,17,26,0,18,0,1,0,0,0,0,0,0,0,27,0,8,2,6,20,0,98,1,0,0,13,60,79,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0
505,6211,0,0,22,2,28,23,0,0,0,0,0,0,0,98,9,24,0,13,0,2,0,0,0,0,0,0,0,17,0,2,0,4,16,0,105,0,0,0,11,32,41,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
515,6372,0,1,22,0,13,38,0,0,2,0,0,0,0,103,7,29,0,8,0,2,0,0,0,0,0,0,0,14,0,6,0,5,22,0,82,1,0,0,11,28,55,2,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
525,6525,0,3,19,2,9,9,0,0,0,0,0,0,0,128,7,12,0,7,1,5,0,0,0,0,0,0,0,27,0,3,0,2,48,0,43,2,0,0,4,49,42,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
535,6668,0,0,19,1,12,12,0,0,0,0,0,0,0,104,11,15,0,2,0,2,0,0,0,0,0,0,0,44,0,4,0,6,7,0,42,0,0,0,7,13,57,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,1,0,0,8,2,0
545,6795,0,1,37,0,9,14,0,0,5,0,0,0,0,105,4,8,0,6,1,0,0,0,0,0,0,1,0,37,0,3,0,6,11,1,65,1,0,0,13,15,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
555,6910,0,0,46,2,22,19,0,0,2,0,0,0,0,136,15,23,1,13,1,0,0,0,0,0,0,0,0,55,0,8,0,10,25,0,95,0,0,0,16,28,81,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
565,7018,0,1,26,2,14,16,2,0,3,0,1,0,0,144,3,16,0,10,1,1,0,0,0,0,0,0,0,30,0,2,0,4,39,0,55,0,0,0,14,21,65,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0
575,7128,0,1,32,1,18,8,0,0,5,0,0,0,0,156,7,17,0,8,1,0,0,0,0,0,0,0,0,23,0,2,2,5,30,0,54,1,0,0,8,14,71,5,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0
580,7186,0,1,35,0,11,5,0,0,0,0,0,0,0,119,9,9,0,6,2,2,0,0,0,0,0,0,0,16,0,5,1,4,72,0,74,1,0,0,8,16,53,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0
590,7313,0,0,23,1,13,14,1,0,3,0,0,0,0,80,12,16,0,7,1,4,0,0,0,0,0,0,0,37,0,2,0,5,24,0,75,0,0,0,14,34,51,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
