"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris.type","Ericaceae","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.cf..P..glauca","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhus.typhina","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sarracenia.purpurea","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.undiff."
255,3949,4,0,0,0,12,0,3,1,0,0,0,0,1,172,2,0,0,1,0,1,0,0,0,1,0,0,0,19,0,6,2,0,3,1,2,0,3,0,0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,3,8,0,110,31,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,2,6,0,0,4,0,1,0,0,0,0,0,0
265,4104,3,0,4,0,6,0,8,0,1,0,0,0,1,203,1,0,0,0,0,0,0,0,1,2,0,0,0,19,2,14,2,0,2,0,1,1,3,0,1,4,5,0,0,0,0,0,4,0,0,0,0,2,0,4,0,3,2,6,0,125,30,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,16,0,0,5,0,1,1,0,1,0,0,0
275,4259,0,0,2,0,14,1,9,1,0,1,0,1,2,229,0,0,0,0,0,0,0,0,0,5,0,0,0,26,0,9,6,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,5,1,0,0,93,8,1,0,0,4,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,7,0,0,14,0,0,1,0,0,0,0,0
287,4445,1,0,3,0,11,0,6,3,0,1,0,0,0,198,0,1,0,0,0,8,0,0,2,0,0,2,0,27,0,10,2,0,1,0,0,4,1,0,3,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,0,63,15,1,0,0,0,0,0,0,0,0,29,0,0,0,2,0,0,0,0,0,0,0,0,4,6,0,0,18,0,0,17,0,0,1,0,0,0,0,0
300,4646,0,0,5,0,6,0,2,0,0,1,0,0,1,267,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,9,3,0,3,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,13,4,15,0,47,10,1,0,0,2,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,14,0,0,2,0,0,0,0,0
315,5020,0,1,3,0,8,0,10,3,0,1,0,1,1,250,0,5,0,0,0,3,0,0,0,2,0,1,0,14,0,13,6,0,1,0,0,6,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,2,9,0,83,26,2,0,0,3,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,10,7,0,0,161,0,0,13,0,5,0,0,0,1,1,0
325,5269,0,0,0,0,11,0,8,1,1,1,0,1,0,391,0,0,0,1,0,4,0,0,0,1,1,0,0,13,0,6,4,0,2,0,1,2,2,0,2,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,64,30,1,0,1,4,1,0,0,0,0,26,0,0,0,1,1,0,0,1,0,0,0,0,3,7,1,0,224,0,0,12,0,5,1,0,0,0,0,0
337,5568,0,0,1,1,7,0,2,4,0,0,0,3,1,192,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,13,2,0,4,0,0,9,7,0,4,2,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,2,0,57,21,0,0,0,1,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,133,0,1,16,0,2,2,0,0,0,0,0
350,5892,0,1,1,0,4,0,4,0,0,0,0,0,1,141,0,1,0,0,0,0,0,0,0,1,0,1,0,9,0,11,5,1,0,0,0,0,1,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,8,7,0,40,4,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,8,0,0,1,0,0,0,0,0
365,6265,1,0,1,0,2,0,11,3,0,0,0,1,1,83,0,1,0,0,0,1,0,0,1,3,0,0,0,6,0,9,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,2,0,10,1,36,0,153,35,1,0,0,3,0,1,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,56,0,0,15,0,2,0,0,0,0,0,0
