"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Picea.mariana.type","Pinus.undiff.","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Onagraceae","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rubus.chamaemorus","Tsuga.canadensis","Picea.undiff.","Salix.undiff.","Fagus","Juniperus.communis.Thuja.occidentalis.type","Ostrya.Carpinus","Corylus.cornuta","Fraxinus.nigra.type","Juglans.cinerea","Abies.balsamea","Caryophyllaceae","Fraxinus.pennsylvanica.type","Picea.glauca.type","Populus.tremuloides.type","Quercus","Tilia","Acer.saccharum","Saxifraga.oppositifolia.type","Ranunculaceae.undiff.","Ribes","cf..Oxyria.digyna","Acer.spicatum","Carya.ovata","Pinus.resinosa.type","Taxus","Potentilla.palustris.type","Fabaceae.undiff.","Urtica.type","Populus.balsamifera.type","Salix.herbacea.type","Salix.vestita.type","Castanea.dentata","Celtis.occidentalis","Oxytropis.maydelliana.type","Saxifraga.stellaris.type","Brassicaceae","Saxifraga.cernua.type"
125,3607,592,2,143,1,2,180,15,2,2,212,1,0,0,0,0,4,0,5,0,3,3,1,0,0,9,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4079,584,0,209,1,2,142,4,0,3,180,1,0,0,0,0,1,0,3,1,2,4,2,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4779,475,2,152,0,0,108,38,5,5,90,5,0,1,0,1,0,0,11,0,6,6,10,0,0,22,1,1,0,1,3,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5018,806,0,312,0,3,231,19,9,9,156,1,0,1,0,1,0,0,15,0,17,12,0,0,0,14,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,5185,803,0,319,2,3,238,24,5,6,144,1,0,1,0,0,0,0,8,0,11,15,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5376,654,0,227,0,5,288,39,6,6,36,2,0,2,0,0,3,0,9,0,5,4,2,0,0,12,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,5615,665,0,209,1,3,322,35,14,0,51,1,0,2,0,0,1,0,5,0,6,6,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,NA,390,0,58,3,4,182,54,2,4,49,0,0,0,0,0,0,0,7,0,0,7,0,0,0,7,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,NA,414,4,61,1,2,189,84,3,0,13,6,0,2,1,0,10,2,8,0,0,7,3,0,0,3,4,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
205,NA,714,1,61,0,4,561,33,1,0,12,4,0,0,0,0,3,0,2,0,1,2,5,0,0,4,7,1,0,0,1,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
210,NA,573,2,49,0,3,50,264,10,1,51,7,0,4,8,3,10,6,9,0,1,31,6,0,0,14,29,0,0,0,0,4,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0
215,NA,562,0,72,0,9,77,199,16,1,17,8,0,2,0,7,3,4,69,0,0,14,5,0,0,7,37,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,0,0
220,NA,582,1,101,2,11,46,44,2,0,144,9,0,2,4,1,14,6,38,0,1,101,0,0,0,21,11,0,0,2,1,0,0,0,0,1,0,5,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,2,1
