"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana.type","Betula","Betulaceae.undiff.","Carya","Castanea","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.type","Ilex","Juglans.cinerea","Larix","Liquidambar","Moraceae","Myrica","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana.type","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Rhus","Rubus.type","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitis","Ambrosia","Apiaceae.undiff.","Araliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caryophyllaceae","cf..Cistaceae","cf..Oxalis","cf..Primula","Chenopodiaceae.Amaranthaceae","Cyperaceae.undiff.","Fabaceae.undiff.","Gentianaceae","Humulus.Cannabis.sativa","Hypericum","Impatiens","Iva.annua.type","Lamiaceae","Plantago.undiff.","Plantago.rigida.type","Plumbaginaceae","Poaceae.undiff.","Polygonaceae.undiff.","Potentilla.type","Ranunculus","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex","Saxifragaceae","Secale","Sisyrinchium","Solanaceae","Thalictrum","Trifolium.type","Triticum","Urticaceae","Zea"
80,146,0,0.004975124,0.001658375,0,0.001658375,0.014925373,0.001658375,0.006633499,0.001658375,0.001658375,0.016583748,0.001658375,0,0.00331675,0.014925373,0.026533997,0,0,0.074626866,0,0,0,0,0.165837479,0.094527363,0.009950249,0,0,0,0.00331675,0.008291874,0.155887231,0,0.004975124,0.23880597,0.006633499,0.009950249,0,0.001658375,0,0.001658375,0.011608624,0,0,0,0.004975124,0,0,0,0.00331675,0,0,0,0,0,0,0,0.008291874,0.013266998,0,0,0.001658375,0,0.001658375,0,0.004975124,0.001658375,0,0.014925373,0,0,0,0.009950249,0,0.044776119,0,0.00331675,0,0,0.001658375,0,0,0,0
88,166,0.001501502,0.009009009,0.001501502,0,0.001501502,0.01951952,0.004504505,0.010510511,0,0,0.013513514,0,0.006006006,0.004504505,0.013513514,0.013513514,0,0,0.111111111,0,0,0,0,0.135135135,0.117117117,0.003003003,0.001501502,0,0.001501502,0.003003003,0.013513514,0.186186186,0,0,0.222222222,0,0.001501502,0,0,0,0,0.004504505,0.001501502,0,0.001501502,0.003003003,0,0,0,0.003003003,0,0,0,0,0,0.003003003,0,0.003003003,0.004504505,0,0,0,0.001501502,0,0,0,0.006006006,0.001501502,0.021021021,0,0,0,0.003003003,0,0.043543544,0,0.004504505,0,0,0,0,0,0,0
96,187,0.001650165,0.00660066,0.001650165,0.00330033,0.00330033,0.037953795,0.00330033,0.014851485,0,0.001650165,0.008250825,0,0.00990099,0,0.00660066,0.01650165,0,0.001650165,0.117161716,0,0,0.001650165,0,0.089108911,0.099009901,0.00660066,0.001650165,0,0.001650165,0.001650165,0.008250825,0.234323432,0,0,0.207920792,0,0.00330033,0,0.001650165,0,0,0.00330033,0.004950495,0,0.001650165,0.014851485,0,0,0,0.00330033,0,0,0,0,0,0,0,0.00330033,0.001650165,0,0,0,0,0,0,0,0.01650165,0,0.01320132,0,0,0,0.004950495,0,0.037953795,0.001650165,0.001650165,0,0,0,0,0,0,0
104,207,0,0.011686144,0,0.001669449,0.005008347,0.041736227,0.013355593,0.01836394,0.005008347,0,0.010016694,0,0.008347245,0,0.011686144,0.01836394,0.001669449,0.001669449,0.096828047,0,0,0,0,0.098497496,0.091819699,0.001669449,0.001669449,0,0,0.005008347,0.006677796,0.120200334,0,0.001669449,0.257095159,0.003338898,0.001669449,0,0,0,0,0.016694491,0.005008347,0,0,0.005008347,0,0,0,0.003338898,0,0,0.001669449,0,0.003338898,0,0,0.005008347,0.003338898,0.001669449,0,0,0,0,0,0.001669449,0.013355593,0,0.026711185,0,0,0,0.003338898,0,0.065108514,0,0.005008347,0,0.001669449,0,0.001669449,0,0,0.001669449
112,228,0,0.006430868,0.001607717,0,0.003215434,0.045016077,0.004823151,0.024115756,0.001607717,0.008038585,0.008038585,0,0.004823151,0.001607717,0.014469453,0.011254019,0,0.001607717,0.110932476,0,0,0,0,0.125401929,0.061093248,0.004823151,0.001607717,0.001607717,0.003215434,0.001607717,0.003215434,0.125401929,0,0.004823151,0.278135048,0,0.009646302,0,0,0,0,0.01607717,0.001607717,0,0.001607717,0.003215434,0,0,0,0.006430868,0,0,0,0,0.001607717,0,0,0.008038585,0.006430868,0,0,0,0,0,0,0,0.020900322,0,0.017684887,0.003215434,0,0,0.011254019,0,0.030546624,0,0.001607717,0,0.001607717,0,0,0,0,0
120,249,0,0.006920415,0.003460208,0,0.001730104,0.064013841,0.001730104,0.03633218,0.003460208,0.001730104,0.022491349,0,0.006920415,0.006920415,0.019031142,0.015570934,0.003460208,0.001730104,0.084775087,0,0,0,0,0.114186851,0.032871972,0.008650519,0.001730104,0,0.006920415,0.01384083,0.003460208,0.128027682,0,0,0.280276817,0,0.010380623,0,0,0,0,0.029411765,0.006920415,0,0.008650519,0.017301038,0,0,0.001730104,0,0,0,0,0,0,0,0,0,0.005190311,0,0,0,0,0,0,0.001730104,0.019031142,0,0.01384083,0,0,0,0.001730104,0,0.01384083,0,0,0,0,0,0,0,0,0
128,269,0,0.005484461,0.007312614,0.003656307,0.003656307,0.047531993,0,0.029250457,0,0.005484461,0.016453382,0,0.007312614,0.005484461,0.014625229,0.014625229,0,0,0.129798903,0,0,0,0,0.100548446,0.053016453,0.001828154,0.001828154,0,0.003656307,0.003656307,0.001828154,0.118829982,0,0.001828154,0.301645338,0.001828154,0.003656307,0,0,0,0,0.014625229,0,0,0,0.018281536,0,0,0.001828154,0.001828154,0,0,0,0.001828154,0,0,0,0.005484461,0.003656307,0.001828154,0,0,0,0.001828154,0.001828154,0,0.018281536,0,0.016453382,0.003656307,0,0,0.003656307,0,0.020109689,0,0,0,0,0,0,0,0,0
136,290,0,0.013745704,0.006872852,0,0.001718213,0.030927835,0.003436426,0.036082474,0.001718213,0.003436426,0.010309278,0,0,0.010309278,0.013745704,0.018900344,0,0.001718213,0.108247423,0,0,0.001718213,0,0.142611684,0.04467354,0.003436426,0.006872852,0,0.005154639,0.013745704,0.006872852,0.137457045,0.001718213,0.001718213,0.231958763,0,0.003436426,0,0,0,0,0.018900344,0.001718213,0,0.013745704,0.024054983,0,0,0,0.003436426,0.001718213,0,0,0,0,0,0,0.005154639,0.003436426,0,0,0.001718213,0.001718213,0.001718213,0.001718213,0,0.025773196,0,0.012027491,0.003436426,0,0,0.001718213,0,0.013745704,0,0,0,0,0,0,0.001718213,0,0
144,327,0.001757469,0.010544815,0.003514938,0.001757469,0.001757469,0.029876977,0.003514938,0.026362039,0.003514938,0.007029877,0.003514938,0.001757469,0.008787346,0.017574692,0.007029877,0.024604569,0,0.003514938,0.098418278,0,0,0,0,0.077328647,0.0456942,0.003514938,0,0,0.005272408,0.019332162,0.005272408,0.121265378,0.003514938,0.001757469,0.374340949,0,0.005272408,0,0,0,0,0.028119508,0.001757469,0,0.003514938,0.001757469,0.001757469,0,0,0.001757469,0,0,0,0,0,0,0,0,0.001757469,0.001757469,0,0,0,0,0,0,0.024604569,0,0.003514938,0,0,0,0.007029877,0,0.003514938,0.001757469,0,0,0,0,0,0,0,0
152,382,0,0.014802632,0.011513158,0.001644737,0.003289474,0.064144737,0.001644737,0.049342105,0.001644737,0.003289474,0.004934211,0,0.004934211,0.006578947,0.009868421,0.026315789,0.001644737,0.004934211,0.080592105,0.001644737,0,0,0,0.055921053,0.032894737,0.006578947,0.004934211,0,0.003289474,0.018092105,0.004934211,0.149671053,0,0,0.333881579,0.001644737,0.006578947,0,0,0,0,0.026315789,0.004934211,0,0.003289474,0.003289474,0.003289474,0,0,0.003289474,0,0,0,0,0,0,0,0.001644737,0.003289474,0.001644737,0,0,0,0,0,0,0.029605263,0,0.006578947,0,0,0,0.001644737,0,0,0,0,0,0,0,0,0,0,0
160,437,0,0.019366197,0.014084507,0.001760563,0.003521127,0.049295775,0,0.031690141,0.003521127,0,0.003521127,0,0.012323944,0.014084507,0.01056338,0.014084507,0.003521127,0,0.072183099,0.001760563,0,0.001760563,0,0.058098592,0.051056338,0.00528169,0.00528169,0,0.003521127,0.012323944,0.012323944,0.14084507,0,0,0.348591549,0,0.00528169,0.001760563,0.001760563,0,0.001760563,0.021126761,0.001760563,0.001760563,0.00528169,0.003521127,0.001760563,0,0,0.00528169,0,0,0,0,0,0,0,0.003521127,0,0,0,0,0,0,0,0,0.029929577,0,0.003521127,0,0.001760563,0.001760563,0.012323944,0,0,0,0,0,0,0.001760563,0,0,0,0
168,492,0,0.00862069,0.006896552,0.001724138,0.006896552,0.039655172,0.003448276,0.034482759,0.001724138,0.006896552,0.010344828,0,0.00862069,0.006896552,0.006896552,0.020689655,0.001724138,0.00862069,0.068965517,0.001724138,0,0,0,0.065517241,0.034482759,0.010344828,0.003448276,0,0.005172414,0.025862069,0.006896552,0.112068966,0.003448276,0.001724138,0.394827586,0,0.003448276,0,0,0,0,0.020689655,0,0,0.006896552,0.003448276,0.003448276,0,0,0.001724138,0.001724138,0,0,0,0,0,0,0,0.005172414,0.003448276,0,0,0,0,0,0,0.025862069,0,0.006896552,0,0,0,0.003448276,0,0,0,0,0,0,0.005172414,0,0,0,0
176,547,0.001879699,0.005639098,0.015037594,0.001879699,0.005639098,0.067669173,0.001879699,0.031954887,0.003759398,0,0,0,0.003759398,0.003759398,0.001879699,0.022556391,0.001879699,0.005639098,0.052631579,0,0,0.001879699,0,0.045112782,0.054511278,0.007518797,0.005639098,0,0.003759398,0.009398496,0.003759398,0.127819549,0.001879699,0,0.37406015,0,0.005639098,0,0,0,0,0.031954887,0.001879699,0,0,0.011278195,0.007518797,0,0,0.005639098,0,0,0,0,0,0,0.001879699,0.001879699,0,0.001879699,0,0,0,0,0,0,0.054511278,0,0.005639098,0.001879699,0,0,0.001879699,0,0,0,0,0,0,0.003759398,0,0,0,0
184,651,0,0.003683241,0.003683241,0.001841621,0.001841621,0.064456722,0,0.038674033,0.005524862,0.003683241,0.012891344,0,0.001841621,0.014732965,0.001841621,0.042357274,0.005524862,0.009208103,0.064456722,0.001841621,0,0.001841621,0,0.031307551,0.018416206,0.003683241,0.003683241,0,0.005524862,0.009208103,0.005524862,0.095764273,0,0.003683241,0.419889503,0,0,0,0,0,0,0.025782689,0.001841621,0.001841621,0.003683241,0.012891344,0.003683241,0,0.003683241,0.003683241,0,0,0,0.003683241,0,0,0,0.001841621,0,0,0,0,0,0,0,0,0.02946593,0,0.005524862,0,0,0,0.022099448,0,0.001841621,0,0,0,0,0.001841621,0,0,0,0
192,785,0.001788909,0.005366726,0.003577818,0.005366726,0.005366726,0.076923077,0.001788909,0.046511628,0.001788909,0.001788909,0.001788909,0,0.003577818,0.008944544,0.003577818,0.039355993,0,0.008944544,0.064400716,0,0,0.001788909,0,0.057245081,0.025044723,0.007155635,0,0,0.012522361,0.007155635,0.001788909,0.078711986,0,0,0.436493739,0,0.001788909,0,0,0,0,0.033989267,0.003577818,0,0,0.008944544,0,0,0,0.001788909,0,0,0,0,0,0,0,0.003577818,0.003577818,0.001788909,0,0.003577818,0,0.001788909,0,0,0.016100179,0,0.005366726,0,0,0,0.005366726,0,0,0,0,0,0,0,0,0,0,0
200,919,0,0.009225092,0.009225092,0,0.003690037,0.097785978,0.001845018,0.066420664,0,0,0,0,0.009225092,0.020295203,0.007380074,0.020295203,0,0.005535055,0.060885609,0,0,0.001845018,0,0.051660517,0.022140221,0.003690037,0.003690037,0,0,0.001845018,0.003690037,0.062730627,0,0,0.448339483,0,0.009225092,0,0,0,0.001845018,0.033210332,0.003690037,0,0.001845018,0.001845018,0.003690037,0,0.001845018,0.001845018,0,0,0,0,0,0,0,0.001845018,0.001845018,0,0,0,0,0,0,0.001845018,0.020295203,0,0,0.001845018,0,0,0.001845018,0,0,0,0,0,0,0,0,0,0,0
208,1053,0.001949318,0.005847953,0.009746589,0.001949318,0.007797271,0.070175439,0,0.056530214,0.001949318,0.001949318,0.003898635,0,0.001949318,0.013645224,0.007797271,0.033138402,0.001949318,0.007797271,0.083820663,0,0,0,0,0.054580897,0.013645224,0,0.003898635,0,0.005847953,0.005847953,0.003898635,0.046783626,0.001949318,0,0.458089669,0,0.009746589,0,0,0,0,0.033138402,0.011695906,0,0,0.001949318,0,0,0,0.001949318,0,0,0,0,0,0,0.001949318,0.001949318,0.001949318,0,0,0,0,0,0,0,0.019493177,0,0.003898635,0,0,0,0.003898635,0,0,0,0,0,0,0.001949318,0,0,0,0
216,1187,0,0.003816794,0.005725191,0,0.001908397,0.066793893,0,0.041984733,0.001908397,0,0.007633588,0,0,0.007633588,0.001908397,0.04389313,0.007633588,0,0.110687023,0,0,0,0,0.078244275,0.02480916,0.009541985,0.001908397,0,0.001908397,0.001908397,0,0.064885496,0.001908397,0,0.421755725,0,0.001908397,0,0,0,0,0.026717557,0.003816794,0.001908397,0.001908397,0,0,0,0,0.003816794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028625954,0,0,0,0,0,0.019083969,0,0,0.003816794,0,0,0,0,0,0,0,0
224,1330,0.001808318,0.007233273,0.007233273,0.003616637,0.012658228,0.050632911,0,0.063291139,0,0.001808318,0.003616637,0,0,0.001808318,0.003616637,0.048824593,0.003616637,0.003616637,0.104882459,0.001808318,0,0,0,0.032549729,0.028933092,0.014466546,0.003616637,0,0,0.001808318,0.009041591,0.072332731,0.001808318,0,0.433996383,0,0.001808318,0,0,0,0,0.045207957,0,0,0.001808318,0.005424955,0,0,0,0,0,0,0,0,0,0,0.001808318,0.001808318,0,0,0,0,0,0,0,0,0.014466546,0,0,0,0,0,0.005424955,0,0,0.003616637,0,0,0,0,0,0,0,0
232,1480,0,0.017274472,0.001919386,0.005758157,0.001919386,0.046065259,0.001919386,0.078694818,0,0.001919386,0,0,0,0.001919386,0.003838772,0.042226488,0.001919386,0,0.119001919,0.001919386,0,0,0,0.042226488,0.026871401,0,0,0,0.001919386,0.005758157,0.001919386,0.051823417,0,0,0.45681382,0,0.003838772,0,0.001919386,0,0,0.028790787,0.009596929,0,0,0,0,0,0.003838772,0,0,0,0,0,0,0,0,0,0,0.001919386,0,0,0,0.001919386,0,0,0.019193858,0,0.005758157,0.005758157,0,0,0.003838772,0,0,0,0,0,0,0,0,0,0,0
240,1629,0,0.007604563,0.007604563,0,0.003802281,0.062737643,0.001901141,0.053231939,0,0.009505703,0.005703422,0,0.007604563,0.003802281,0.003802281,0.022813688,0.005703422,0.007604563,0.192015209,0,0,0,0,0.036121673,0.022813688,0,0,0,0.003802281,0.007604563,0.003802281,0.093155894,0,0.003802281,0.378326996,0,0.001901141,0,0,0,0.001901141,0.020912548,0,0.003802281,0.001901141,0,0.003802281,0,0,0.003802281,0,0,0,0,0,0,0,0.001901141,0.003802281,0,0,0,0,0,0,0,0.003802281,0,0.003802281,0.003802281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,1778,0,0.019543974,0.001628664,0.003257329,0.003257329,0.070032573,0,0.052117264,0,0.004885993,0.003257329,0,0.009771987,0.004885993,0.003257329,0.035830619,0,0.006514658,0.21009772,0,0,0.001628664,0,0.037459283,0.022801303,0.011400651,0,0,0.003257329,0.008143322,0.006514658,0.055374593,0,0,0.350162866,0,0.003257329,0,0,0,0,0.035830619,0.001628664,0,0,0.001628664,0,0,0,0.003257329,0,0,0,0,0,0,0,0,0.004885993,0,0,0.001628664,0,0.001628664,0,0,0.009771987,0,0.008143322,0,0,0,0.001628664,0,0.001628664,0,0,0,0,0,0,0,0,0
256,1927,0,0.012131716,0.008665511,0.005199307,0.001733102,0.074523397,0,0.064124783,0.001733102,0,0,0,0.003466205,0.010398614,0.001733102,0.017331023,0.001733102,0,0.201039861,0,0,0,0,0.019064125,0.029462738,0.005199307,0.001733102,0,0.003466205,0.008665511,0.003466205,0.072790295,0.001733102,0,0.388214905,0,0,0,0,0,0,0.022530329,0.008665511,0,0,0.001733102,0.005199307,0,0,0.001733102,0,0,0,0,0,0,0,0,0,0.001733102,0,0,0,0,0,0,0.006932409,0,0.005199307,0.006932409,0,0,0,0,0,0,0,0,0,0.001733102,0,0,0,0
264,2076,0,0.010638298,0.007092199,0,0.00177305,0.076241135,0.005319149,0.078014184,0,0.00177305,0.005319149,0,0.008865248,0.005319149,0.003546099,0.044326241,0,0.010638298,0.195035461,0,0,0,0,0.044326241,0.019503546,0,0,0,0,0.007092199,0.005319149,0.067375887,0.003546099,0,0.320921986,0,0.003546099,0,0,0,0,0.040780142,0.007092199,0,0.00177305,0.00177305,0.00177305,0,0,0,0,0,0,0,0,0,0.00177305,0.003546099,0,0,0,0,0,0,0,0,0.008865248,0,0.003546099,0.00177305,0,0,0.00177305,0,0,0,0,0,0,0,0,0,0,0
272,NA,0,0.011152416,0.003717472,0,0.005576208,0.072490706,0.001858736,0.079925651,0,0.001858736,0.001858736,0,0.003717472,0.007434944,0.001858736,0.050185874,0.003717472,0.001858736,0.172862454,0,0.003717472,0.001858736,0,0.037174721,0.020446097,0.00929368,0,0,0.001858736,0.016728625,0.001858736,0.076208178,0.001858736,0,0.334572491,0.001858736,0,0,0,0,0,0.037174721,0.005576208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001858736,0.003717472,0,0,0,0,0,0,0,0,0.011152416,0,0.011152416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001858736,0
280,NA,0,0.003766478,0.011299435,0.001883239,0.005649718,0.075329567,0,0.047080979,0.001883239,0.003766478,0.001883239,0,0.009416196,0.003766478,0,0.052730697,0,0.005649718,0.177024482,0,0,0.001883239,0,0.041431262,0.011299435,0.003766478,0.001883239,0.001883239,0,0.016949153,0.005649718,0.11299435,0,0.001883239,0.333333333,0,0.001883239,0,0,0,0,0.028248588,0.001883239,0,0.003766478,0.007532957,0,0,0.001883239,0,0,0,0,0,0,0,0,0.001883239,0,0,0,0,0,0,0,0,0.009416196,0,0.003766478,0,0,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0
288,NA,0,0.003861004,0.019305019,0,0.003861004,0.067567568,0,0.090733591,0,0.001930502,0.003861004,0,0.011583012,0.005791506,0.005791506,0.048262548,0,0,0.154440154,0,0,0.001930502,0,0.036679537,0.034749035,0.011583012,0,0,0.001930502,0.015444015,0.005791506,0.108108108,0.001930502,0,0.291505792,0,0.001930502,0,0,0,0,0.046332046,0.003861004,0,0,0.001930502,0,0,0,0.001930502,0,0,0,0,0,0,0,0.003861004,0.001930502,0,0,0,0,0,0,0,0.001930502,0,0.007722008,0,0,0,0.001930502,0,0,0,0,0,0,0,0,0,0,0
296,NA,0,0.007782101,0.009727626,0,0.013618677,0.060311284,0.003891051,0.064202335,0,0.005836576,0.005836576,0,0.021400778,0.009727626,0.003891051,0.040856031,0.001945525,0.003891051,0.163424125,0,0,0,0,0.031128405,0.021400778,0.009727626,0,0,0.003891051,0.003891051,0.005836576,0.079766537,0.001945525,0,0.352140078,0,0.001945525,0,0,0,0,0.029182879,0.003891051,0,0.003891051,0,0,0,0,0.003891051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003891051,0,0,0.013618677,0,0.011673152,0,0,0,0,0,0,0,0,0,0,0.001945525,0,0,0,0
