"sample.depths","sample.ages","upland.sum","Alnus.undiff.","Ambrosia.type","Betula","Carya","Castanea","Asteraceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Trees.undiff.","Tsuga","Ulmus","Acer","Fraxinus","Myrica","Populus","Poaceae","Plantago","Aquifoliaceae","Artemisia","Ericaceae","Salix","Juglans","Herbs.undiff.","Liquidambar","Nyssa","Amaranthaceae","Abies","Alnus.viridis.type","Corylus","Tilia","Larix","Cistaceae"
225,8336,421,4,2,22,1,1,2,1,6,18,4,0,20,9,98,5,168,1,0,9,8,2,2,28,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0
235,8673,319,5,0,14,2,0,2,1,6,2,4,0,8,8,113,0,100,0,0,7,3,1,1,34,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
245,9010,502,2,2,11,2,1,0,0,0,28,3,0,25,11,234,0,129,0,0,11,3,3,1,28,0,3,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0
255,9270,398,6,2,21,3,0,3,0,2,12,5,1,7,9,134,0,131,0,6,5,2,5,3,24,0,9,0,0,2,0,0,0,0,1,3,1,0,1,0,0,0,0
265,9414,440,5,3,16,1,0,1,1,2,15,7,1,21,11,180,0,112,5,0,5,4,1,0,41,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
275,9558,466,2,2,19,2,0,4,0,1,23,5,0,8,15,139,1,148,0,0,6,2,2,3,56,0,9,0,0,1,2,1,0,0,1,10,1,0,3,0,0,0,0
285,9701,454,3,2,18,0,0,4,2,3,16,5,1,11,22,114,2,160,4,0,4,2,4,4,59,0,7,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0
293,9817,364,5,1,8,0,0,2,2,2,6,1,2,14,16,130,0,121,0,0,6,3,3,2,29,0,4,0,0,0,0,1,1,0,0,3,0,0,2,0,0,0,0
305,9989,540,2,3,22,0,0,0,3,0,8,9,1,36,7,157,1,192,3,0,5,2,4,2,59,2,6,0,0,1,4,0,0,0,0,8,0,0,1,2,0,0,0
315,10133,531,8,2,33,2,0,0,0,2,5,10,2,11,31,191,1,145,3,0,7,5,4,4,36,2,6,0,0,0,13,0,0,2,0,0,1,0,2,3,0,0,0
325,10339,522,3,0,23,0,0,5,6,8,4,6,0,32,34,208,1,61,1,1,16,4,2,0,37,2,5,0,0,1,59,0,0,2,0,0,0,0,0,0,0,0,1
335,10842,461,6,0,20,0,1,3,2,7,4,9,2,32,31,182,1,52,1,0,3,3,0,0,21,0,2,0,0,1,67,2,0,1,0,0,0,1,2,0,1,1,3
345,11344,522,3,1,36,0,0,3,0,3,2,6,1,39,61,231,1,41,0,0,0,2,5,3,21,0,1,0,0,0,49,0,0,2,0,0,0,3,1,0,0,0,7
355,11846,533,8,1,44,1,0,3,0,8,2,5,28,60,21,201,1,29,2,1,3,7,0,5,15,0,5,0,0,0,27,0,0,2,0,0,0,7,21,0,0,1,25
365,12335,606,18,0,34,0,0,1,1,2,0,6,104,57,25,170,0,4,3,5,1,1,1,2,0,1,11,1,0,1,12,0,0,3,0,0,0,8,129,0,0,4,1
375,12818,464,15,0,8,1,0,1,0,3,1,4,108,53,4,159,1,8,7,0,0,2,0,1,2,1,10,0,0,1,15,0,0,0,1,0,0,5,49,0,0,2,2
380,13059,347,4,0,10,0,0,2,1,1,1,8,40,42,3,150,0,10,6,0,0,0,0,5,1,0,2,0,0,0,22,1,0,0,0,0,1,3,11,0,0,1,22
385,13300,524,2,0,11,0,0,1,2,4,0,15,94,127,1,199,1,27,2,0,0,0,0,6,4,0,4,0,0,0,4,1,0,0,0,0,0,2,1,0,0,0,16
390,13541,359,0,0,17,0,0,1,6,10,0,10,150,32,1,64,0,12,5,0,0,1,0,5,1,2,6,0,0,1,2,2,0,1,0,0,1,6,0,0,0,0,23
393,NA,356,0,1,8,0,0,4,0,5,0,10,125,14,0,40,0,13,7,0,0,1,0,8,0,0,9,0,1,0,4,4,0,4,2,0,0,3,1,0,0,2,90
428,NA,279,0,0,1,0,0,16,0,2,0,7,111,11,2,25,0,9,9,0,1,1,0,0,15,0,28,0,0,2,10,2,0,1,0,0,0,3,0,0,0,0,23
