"sample.depths","sample.ages","upland.sum","Abies","Alnus","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fraxinus.americana.type","Fraxinus.nigra","Larix","Myrica","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiineae.undiff.","Cyperaceae","Dalea.candida.type","Other.herbs","Poaceae","Xanthium"
80,1537,231,1,24,10,0,0,0,0,0,0,0,0,0,38,151,0,0,1,0,0,0,1,2,0,0,0,0,2,1,0
85,1634,233,0,22,16,0,0,2,1,0,0,1,0,0,56,123,0,2,0,1,0,0,0,1,0,0,5,0,1,2,0
90,1732,220,3,13,9,0,0,0,1,0,0,3,0,0,69,115,0,1,1,0,0,0,0,2,0,0,1,0,2,0,0
95,1830,232,1,24,26,0,0,0,0,0,0,0,0,0,41,128,0,3,1,0,0,1,1,2,0,0,1,0,2,1,0
100,1928,233,1,29,9,0,0,0,0,0,0,0,0,0,59,131,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
105,2025,233,0,21,22,0,0,0,0,0,0,0,0,0,53,123,0,2,0,0,0,0,0,5,0,0,1,1,5,0,0
110,2123,253,0,44,11,0,0,0,0,0,1,0,0,0,77,107,1,3,1,0,0,0,0,4,0,0,0,0,4,0,0
115,2221,230,1,23,13,0,0,0,0,0,0,1,0,0,54,130,0,1,0,0,0,0,0,3,0,0,1,0,3,0,0
120,2319,230,2,19,9,0,0,0,0,0,0,1,0,0,47,141,0,0,0,0,0,0,0,3,0,0,4,0,3,1,0
125,2416,263,0,37,17,0,0,0,0,0,0,1,0,0,73,108,0,1,0,0,0,0,4,9,0,0,1,0,9,3,0
130,2514,233,1,25,14,0,0,0,1,0,0,1,0,0,81,102,0,1,0,0,0,0,1,2,0,0,2,0,2,0,0
135,2612,243,1,40,18,0,0,0,0,0,1,0,0,0,52,127,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
140,2709,233,1,17,9,0,0,0,0,0,0,0,0,1,74,114,0,0,0,0,0,0,0,7,1,0,0,0,8,1,0
145,2807,253,1,40,26,0,0,0,0,0,0,4,0,0,74,93,0,2,0,0,0,0,1,3,0,1,3,0,4,1,0
150,2905,259,2,48,16,0,0,0,0,0,0,0,0,0,93,88,0,1,2,0,0,0,0,4,0,0,0,0,4,1,0
155,3003,230,1,24,27,0,0,0,0,0,0,0,0,0,60,110,0,2,1,0,0,0,0,1,0,0,3,0,1,0,0
160,3100,231,1,23,19,0,0,0,0,0,0,0,0,0,49,131,0,0,0,0,0,0,0,2,0,1,1,0,3,1,0
165,3198,242,1,35,18,0,0,0,0,0,1,2,0,0,54,124,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0
170,3296,224,1,19,15,0,0,0,0,0,0,0,0,0,91,91,0,1,0,0,0,1,1,0,0,1,0,0,1,2,0
175,3394,233,1,31,18,0,0,0,0,0,0,1,0,0,50,129,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
180,3491,225,2,21,21,0,0,0,0,0,0,0,0,0,59,118,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
185,3589,253,0,41,28,0,0,0,0,0,0,0,0,0,61,111,0,0,0,0,0,0,0,4,1,0,0,0,5,2,0
190,3687,234,1,26,38,0,0,0,1,0,0,0,0,0,58,103,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0
195,3785,250,1,42,39,0,0,0,0,0,0,2,0,0,69,88,0,1,1,0,0,0,0,3,0,0,1,0,3,0,0
200,3882,238,2,30,24,0,0,0,0,0,0,2,0,0,83,89,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0
205,3980,240,0,27,15,0,0,0,0,0,0,1,0,0,77,105,0,2,0,0,0,0,1,4,0,0,1,0,4,3,0
210,4078,230,1,27,19,1,0,0,0,0,0,0,0,0,69,107,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0
215,4176,229,2,18,17,0,0,0,0,0,0,3,0,0,79,98,1,0,0,0,0,0,0,2,1,1,2,0,4,1,0
220,4329,243,2,35,24,0,0,0,0,0,1,0,0,0,59,113,0,1,1,0,0,0,1,1,1,0,2,0,2,0,0
225,4483,243,1,35,38,0,0,0,0,0,0,0,0,0,54,106,0,1,1,0,0,0,0,3,0,0,1,0,3,0,0
230,4637,221,2,18,18,0,0,0,0,0,0,2,0,0,55,122,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
235,4790,234,3,17,31,0,0,0,0,0,0,0,0,0,32,134,0,0,0,0,0,0,1,4,0,2,3,0,6,1,0
240,4944,250,0,39,35,0,0,2,0,0,0,0,0,2,31,129,0,1,0,0,0,0,1,4,0,0,1,0,4,1,0
245,5098,287,1,62,41,0,0,0,0,0,1,1,0,0,27,129,0,0,0,0,0,0,2,5,4,0,0,2,9,3,0
250,5251,239,1,33,27,0,0,0,0,0,1,2,0,0,34,134,0,0,1,0,0,1,0,1,0,0,3,0,1,0,0
255,5405,217,1,13,33,0,0,0,0,0,0,1,0,0,26,139,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
260,5559,221,2,17,40,0,0,0,0,0,0,2,0,0,42,114,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
265,5713,271,1,60,37,0,0,0,0,0,0,0,0,0,41,121,0,0,0,0,0,0,1,3,0,0,3,0,3,1,0
270,5866,240,2,27,28,0,0,0,0,0,0,0,0,0,43,126,0,1,0,0,0,0,0,4,0,1,1,0,5,2,0
275,6020,219,2,7,38,0,0,0,1,0,0,0,0,0,45,115,0,0,0,0,0,0,1,4,0,0,1,0,4,1,0
280,6174,237,2,29,27,0,0,0,0,0,0,2,0,0,29,139,0,1,0,0,0,0,0,3,0,0,0,0,3,2,0
285,6327,233,0,23,31,0,0,0,0,0,1,0,0,0,28,140,0,0,0,0,0,0,0,2,0,3,0,0,5,0,0
290,6481,232,0,21,35,0,0,0,0,0,0,2,0,0,34,129,0,0,0,0,0,0,0,5,0,0,1,0,5,0,0
295,6635,250,0,36,32,0,0,0,0,0,0,2,0,0,44,121,0,0,0,0,0,1,1,3,0,3,1,0,6,0,0
300,6788,259,0,47,18,0,1,0,0,0,0,1,0,0,33,148,0,0,0,0,0,0,1,2,0,1,3,0,3,1,0
305,6942,229,0,16,43,0,0,0,0,0,0,1,0,0,25,131,0,0,0,0,0,0,2,3,2,0,0,0,5,1,0
310,7096,252,0,41,23,0,0,0,0,2,0,2,0,0,14,157,0,2,1,0,0,0,0,3,0,1,1,0,4,1,0
315,7249,234,0,22,44,0,0,0,0,0,0,0,0,0,28,127,0,1,2,0,0,0,3,3,0,0,1,0,3,0,0
320,7403,242,0,25,32,0,0,0,0,0,0,0,0,0,28,137,0,3,0,0,0,0,3,5,1,1,0,0,7,0,0
325,7557,234,0,26,42,2,0,0,0,0,0,2,0,0,28,125,0,1,0,0,0,0,2,1,0,1,0,0,2,2,0
330,7710,241,0,31,58,0,0,0,0,0,0,2,0,1,26,112,1,0,0,1,0,0,1,1,1,1,1,0,3,0,1
335,7864,232,0,24,67,0,0,0,0,0,0,0,0,0,22,110,0,1,0,0,0,0,1,1,0,1,1,0,2,2,0
340,8018,221,0,10,36,0,0,0,0,0,0,0,0,0,24,140,0,0,0,0,0,0,6,2,0,0,0,0,2,1,0
345,8171,223,0,15,45,0,0,0,0,0,0,1,0,0,28,126,0,0,0,0,0,0,2,1,0,2,0,0,3,0,0
350,8325,271,0,40,40,0,0,0,0,0,0,1,0,0,14,144,0,0,0,0,0,1,8,8,0,2,0,0,10,2,1
355,8479,255,0,28,24,0,0,0,0,0,0,2,0,0,32,138,1,3,0,2,0,0,3,6,0,3,2,0,9,2,0
360,8633,247,0,8,20,0,0,1,0,0,0,1,0,0,43,134,0,0,0,0,0,1,9,12,0,1,4,0,13,0,0
365,8786,279,0,16,21,0,0,1,0,0,0,1,1,0,87,88,0,1,2,0,4,1,14,11,3,6,2,0,20,0,0
370,NA,258,0,18,18,0,0,0,0,0,0,0,0,0,96,84,0,2,0,1,0,0,4,4,2,9,1,0,15,4,0
375,NA,232,0,4,8,1,0,0,0,0,0,4,0,0,90,94,1,0,0,0,1,2,0,5,0,2,10,0,7,3,0
