"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tsuga","Ulmus","Alnus","Ambrosia","Myrica","Poaceae","Acer.saccharum","Fraxinus.nigra","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Artemisia","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Asteroideae.undiff.","Fagus","Platanus","Populus","Fraxinus.americana","Castanea","Vitis","Carya","Ericaceae","Sarcobatus.vermiculatus","Corylus","Humulus","Iva.xanthifolia","Apiaceae","Thalictrum","Xanthium","Ephedra.nevadensis.type","Iva.annua","Onagraceae","Shepherdia.canadensis","Tilia"
120,3177,302,6,0,162,1,6,0,2,1,2,3,9,0,0,3,1,4,2,0,0,2,0,0,87,3,0,0,0,3,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
135,3621,300,5,0,130,0,4,1,0,2,1,14,10,0,1,1,2,10,2,0,1,3,0,22,88,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3917,301,3,0,142,0,8,0,1,0,0,3,8,0,0,0,2,15,2,0,3,6,0,11,89,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,4213,301,5,0,129,1,18,0,1,1,2,8,16,0,0,2,1,7,1,0,0,7,0,24,73,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,4510,302,4,0,102,0,5,2,3,0,2,4,19,0,0,0,0,4,0,0,3,5,2,16,117,4,1,0,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4806,304,1,0,88,1,14,0,4,1,1,3,23,0,0,0,6,13,1,1,1,8,4,26,101,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
185,5102,302,2,0,99,1,12,1,2,2,1,4,16,0,0,1,5,12,1,0,2,4,1,24,102,3,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
195,5398,301,2,0,85,1,14,0,1,0,0,1,15,0,0,1,6,7,0,0,1,1,1,0,157,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,5663,301,6,1,66,0,11,0,1,0,2,2,17,0,0,1,3,12,1,1,4,8,1,24,131,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,5928,302,6,0,55,1,14,1,2,1,2,2,19,0,0,2,3,8,1,0,2,6,2,16,154,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,6193,304,3,0,64,2,2,1,4,0,6,6,16,0,3,2,3,10,2,1,1,8,2,20,127,8,0,0,0,0,1,5,2,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0
245,6723,301,2,0,43,3,3,0,1,0,3,4,8,0,0,1,7,6,4,0,3,0,1,44,162,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
255,6988,291,2,0,30,0,4,0,1,0,0,2,9,0,0,3,5,2,2,0,3,2,1,11,208,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
265,7253,293,2,0,40,2,3,1,3,0,4,0,11,0,0,0,9,4,2,0,4,2,3,15,178,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,7518,303,2,0,36,1,3,0,3,0,13,3,7,0,1,0,5,5,1,0,2,0,3,24,185,2,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0
285,7783,305,0,0,73,0,4,3,5,0,3,8,8,0,2,0,6,9,3,1,2,1,3,29,134,5,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
295,8368,304,5,0,120,2,6,0,4,2,5,11,4,0,4,0,7,4,2,1,0,3,4,84,28,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
305,8953,303,7,0,86,1,2,3,3,0,4,8,14,0,1,0,2,1,4,4,4,2,1,125,12,12,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
315,9538,300,5,0,97,7,0,2,0,1,10,20,17,0,1,0,12,4,3,11,2,1,2,81,8,7,0,0,1,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
325,10124,303,5,0,87,2,3,3,3,17,8,35,18,0,1,0,14,7,4,10,0,0,1,58,10,7,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,10709,302,2,0,130,1,0,2,2,1,3,59,10,0,1,0,9,3,4,5,1,0,1,48,9,5,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
345,11294,304,2,0,38,2,0,4,4,3,10,69,38,0,3,1,10,2,1,27,2,1,4,58,5,7,0,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
355,NA,302,1,0,14,2,7,8,2,0,6,113,43,0,2,0,19,2,2,0,1,1,2,58,0,10,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,2
365,NA,301,0,0,6,5,2,35,1,0,2,42,33,0,4,0,4,0,8,0,1,4,0,127,7,12,2,0,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
375,NA,300,0,0,11,2,1,18,0,1,4,38,20,0,1,0,15,0,8,0,6,0,0,154,0,12,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
