"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Shepherdia","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Ranunculaceae.undiff.","Rosaceae","Rumex","Thalictrum","Zea"
56,94,743,2,0,1,0,7,6,0,0,123,13,15,0,2,1,0,53,13,0,0,4,0,0,0,0,2,0,1,8,56,36,39,2,1,128,1,2,0,1,76,3,0,53,0,3,1,0,0,1,4,0,0,31,0,0,2,51,1,0
59.5,102,632,0,0,4,0,11,10,0,0,100,3,27,0,1,0,0,37,8,0,0,8,0,0,0,0,9,0,6,8,19,32,37,0,0,116,0,0,0,0,56,7,0,44,0,1,2,0,0,0,4,0,0,38,0,0,1,43,0,0
61.5,107,578,4,0,2,0,10,3,3,0,93,3,15,0,10,0,0,33,18,1,0,0,0,1,0,0,12,0,2,8,37,33,36,2,1,88,0,1,0,0,58,3,0,39,0,1,2,0,0,0,3,0,1,16,0,0,0,39,0,0
64.5,114,757,3,0,0,0,19,5,0,0,132,8,14,0,9,1,1,49,10,1,0,5,0,1,0,0,6,0,5,12,37,28,44,3,0,133,0,1,0,2,68,4,0,48,0,0,2,0,0,2,8,0,0,50,0,0,1,44,1,0
67.5,121,661,0,0,0,0,7,5,0,0,113,14,27,0,4,2,1,35,1,3,0,3,0,0,0,0,3,0,2,10,25,26,38,1,0,126,1,2,0,0,66,3,2,40,0,0,1,0,0,1,12,0,0,39,1,0,1,45,0,1
69.5,126,683,1,0,0,0,12,7,0,0,98,6,8,0,5,0,0,37,11,0,0,4,0,0,0,0,4,0,5,10,45,34,30,4,0,143,1,1,1,0,63,11,0,39,0,0,1,0,0,0,8,0,0,34,0,0,1,59,0,0
72.5,134,680,4,0,1,0,17,7,1,0,118,7,5,0,4,1,0,34,8,0,1,0,0,0,0,0,8,0,3,4,46,34,45,0,1,123,0,0,0,1,65,5,0,32,0,1,1,0,0,2,19,0,0,37,0,0,0,45,0,0
75.5,141,676,0,0,0,0,7,8,0,0,116,5,23,1,10,3,1,55,1,2,1,1,2,0,0,0,2,3,1,8,31,31,44,2,0,106,0,1,0,0,81,7,0,24,0,0,0,0,0,0,7,0,1,40,0,0,2,49,0,0
77.5,146,648,1,0,0,0,13,2,2,0,102,15,5,0,6,0,0,38,7,0,1,0,0,0,0,0,1,1,1,10,40,36,38,3,1,128,0,1,0,0,67,5,0,36,0,0,0,0,0,0,11,0,0,25,0,0,1,50,1,0
80.5,153,733,1,0,1,0,18,3,0,0,123,9,22,0,2,0,0,48,8,1,0,3,0,0,0,0,9,3,1,12,40,41,37,1,0,140,0,3,0,0,59,4,0,33,0,0,2,0,0,0,9,0,1,32,0,0,0,67,0,0
84.5,163,699,1,0,2,0,17,4,0,0,116,3,8,1,4,1,0,45,18,0,0,0,2,0,0,0,3,2,5,15,33,25,33,0,1,152,0,1,0,2,55,8,1,24,0,0,0,0,0,1,9,0,0,51,0,0,0,55,1,0
87.5,170,654,1,0,1,0,2,10,1,2,130,4,26,1,3,0,1,34,2,6,0,2,1,0,0,0,6,0,1,14,28,45,3,3,1,129,0,3,0,0,79,5,0,27,0,0,0,0,0,0,4,0,0,33,0,0,1,45,0,0
89.5,175,777,1,0,2,0,14,9,0,0,138,7,26,1,1,0,0,55,2,7,0,2,0,0,0,0,1,1,4,15,43,29,51,3,0,165,1,1,0,0,75,4,0,29,0,1,0,0,0,0,6,0,0,23,0,0,4,56,0,0
91.5,180,706,3,0,2,0,13,6,0,0,103,8,10,0,2,2,0,56,6,0,0,4,0,1,0,0,5,1,8,13,37,24,44,2,0,149,0,0,0,0,78,5,0,25,0,0,0,0,0,1,1,0,1,36,0,0,1,58,0,1
94.5,188,603,0,0,0,0,8,2,0,0,107,6,17,0,3,0,0,34,15,0,0,0,1,0,0,2,2,1,1,5,34,32,37,0,0,128,1,0,0,1,73,4,0,26,0,3,0,0,0,0,5,0,0,21,0,0,1,33,0,0
96.5,193,595,3,0,0,0,12,6,1,0,112,10,10,0,4,0,0,43,3,5,1,2,0,0,0,0,5,0,2,7,19,30,38,0,0,134,1,2,0,0,59,11,0,15,0,0,0,0,0,0,6,1,0,14,0,0,2,37,0,0
98.5,197,580,1,0,1,0,11,8,1,0,107,5,4,0,1,0,0,51,5,0,0,0,0,0,0,0,3,2,1,5,51,22,30,0,0,157,0,0,0,0,49,2,0,5,0,0,3,0,0,0,1,0,0,30,0,0,0,24,0,0
100.5,202,546,0,0,2,0,6,4,0,0,109,8,20,0,2,1,0,40,2,5,0,0,0,0,0,0,1,0,1,6,20,26,42,2,1,125,0,1,0,1,72,0,0,6,0,0,0,0,0,0,4,0,0,15,0,0,0,24,0,0
102.5,212,574,0,0,2,0,4,5,1,0,113,5,16,0,4,0,0,47,2,8,1,6,0,0,0,0,5,0,3,4,34,26,15,1,0,152,2,0,0,0,81,3,0,10,0,0,1,0,1,0,2,0,0,6,0,0,0,13,1,0
105.5,249,608,0,0,1,0,8,2,0,0,99,10,3,1,3,0,0,61,16,1,0,1,0,0,0,0,6,0,3,11,39,29,42,1,0,162,0,1,0,0,71,11,0,10,0,1,2,0,0,0,3,0,0,2,8,0,0,0,0,0
107.5,273,622,1,0,1,0,17,6,0,0,116,10,15,0,0,0,0,53,12,1,0,4,0,0,0,0,9,0,1,10,30,40,38,2,0,141,0,0,0,1,82,11,0,5,0,1,0,0,0,0,2,0,0,5,0,0,1,7,0,0
112.5,335,581,2,0,0,0,12,2,1,0,113,8,13,0,2,0,0,44,14,0,0,0,0,0,0,0,6,3,6,9,27,43,49,0,0,124,0,0,0,0,64,12,0,3,0,0,1,0,0,0,8,0,0,4,0,0,1,10,0,0
114.5,359,601,4,0,1,0,17,4,0,0,112,3,12,1,8,0,0,49,12,3,0,0,0,0,0,0,3,2,6,6,36,18,42,2,0,167,1,2,0,2,64,9,0,1,0,1,1,0,0,0,2,0,0,4,0,0,0,6,0,0
116.5,384,570,0,0,0,0,8,2,0,0,103,5,15,1,6,1,0,40,12,1,0,0,0,0,0,0,2,0,5,8,39,40,39,0,0,169,0,0,0,1,58,4,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,3,0,0
118.5,408,624,0,0,0,0,8,6,0,0,120,9,19,0,7,0,0,60,12,1,0,0,0,0,0,0,6,2,2,7,31,42,31,2,0,152,0,0,0,2,73,11,0,3,0,1,1,0,0,1,5,0,0,6,0,0,0,4,0,0
121.5,445,875,3,0,0,0,23,9,0,0,166,23,4,0,5,0,0,79,8,3,0,2,0,0,0,0,7,1,8,12,54,41,63,2,0,236,2,0,0,1,100,8,0,2,0,2,0,0,0,0,4,0,0,3,0,0,0,4,0,0
123.5,469,747,2,0,0,0,15,6,0,0,118,13,4,0,2,0,0,92,6,3,0,1,1,0,0,0,7,1,4,11,64,22,50,3,0,184,2,0,0,0,120,4,0,4,0,1,1,0,0,0,2,0,0,4,0,0,0,0,0,0
126.5,506,645,2,0,0,0,16,7,0,0,113,15,6,0,6,0,1,72,11,1,0,1,0,0,0,0,3,0,3,7,54,38,42,0,0,139,2,0,0,0,93,2,0,1,0,1,2,0,0,0,2,0,0,4,0,0,0,1,0,0
129.5,543,614,1,0,0,0,13,3,0,0,115,11,1,0,5,0,0,65,11,1,0,3,0,0,0,0,6,1,1,8,39,44,34,2,0,134,0,0,0,1,88,6,0,5,0,0,0,0,0,0,4,0,0,4,0,0,0,8,0,0
132.5,579,634,2,0,1,0,7,3,0,0,122,15,7,0,1,0,0,63,4,4,0,0,0,0,0,0,4,0,4,14,42,67,9,2,0,142,0,0,0,2,88,7,0,3,0,0,0,0,0,0,3,0,0,5,0,1,3,8,1,0
134.5,604,521,0,0,1,0,7,3,0,0,96,12,5,0,1,0,0,48,1,6,0,2,0,0,0,0,2,0,6,9,17,45,14,5,0,139,1,0,0,0,85,6,0,0,0,1,0,0,0,0,2,0,0,4,0,1,1,1,0,0
136.5,635,576,0,0,0,0,7,0,0,0,115,15,4,0,3,2,0,56,4,7,0,0,0,0,0,0,3,0,10,13,24,53,11,1,0,151,2,0,0,2,77,3,0,0,0,1,1,0,0,0,6,1,0,3,0,0,0,1,0,0
138.5,684,537,0,0,1,0,11,3,0,0,117,11,2,0,1,0,0,56,0,2,1,2,0,0,0,0,1,0,2,8,27,54,12,1,0,120,0,0,0,2,95,3,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0
140.5,733,528,0,0,4,0,16,1,0,0,108,9,6,0,4,0,0,50,6,5,0,1,0,0,1,0,0,0,5,10,13,35,15,2,0,139,0,0,0,4,75,2,0,0,0,0,1,0,1,0,7,0,0,4,0,1,0,2,1,0
142.5,783,570,2,0,1,0,13,4,0,0,114,10,13,0,4,0,0,54,6,5,0,5,0,0,0,0,4,0,3,3,13,22,14,1,0,160,1,2,0,1,86,12,0,2,0,0,0,0,0,0,6,0,0,5,0,1,0,3,0,0
144.5,832,556,0,0,1,0,11,4,0,0,125,9,10,1,3,0,0,49,4,10,0,0,0,0,0,0,1,1,3,11,13,30,16,2,0,148,0,0,0,0,80,9,0,0,0,1,2,0,0,0,1,0,0,4,0,0,0,7,0,0
391.5,NA,570,0,0,0,0,11,3,0,0,131,9,8,0,1,0,0,66,4,4,0,1,0,1,0,0,0,0,3,5,17,37,33,4,0,147,1,1,0,0,76,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
393.5,NA,606,0,0,0,0,15,4,0,0,123,10,13,0,3,0,2,61,4,7,0,0,1,2,0,0,6,1,3,9,20,59,21,4,0,132,2,1,0,0,82,11,0,1,0,0,1,0,0,0,4,2,0,1,0,1,0,0,0,0
397.5,NA,629,0,0,0,0,15,2,0,0,128,10,8,0,5,0,1,71,6,10,0,3,0,1,0,0,7,0,2,8,15,55,27,3,0,151,0,1,0,0,81,5,0,3,1,1,0,0,0,0,6,1,0,0,0,0,0,2,0,0
