"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Bidens.type","Carya","Cephalanthus","Clethra","Cyperaceae","Cyrilla.racemiflora","Fagus","Gordonia","Ilex","Liquidambar","Magnolia","Nyssa","Ostrya.Carpinus","Quercus","Rumex","Salix","Serenoa","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Cornus","Fraxinus","Myrica","Pinus","Amaranthaceae","Viburnum","Poaceae","Plantago","Polygonum","Ericales.undiff.","Iva","Boehmeria.type","Acer.saccharum.type","Artemisia","Chamaecrista","Itea","Prunus.Sorbus","Apiaceae.undiff.","Celtis","Aralia","Acer.rubrum","Juglans.nigra","Platanus","Rhus","Tilia","Castanea","Smilax","Xyris","Lechea","Thalictrum","Phoradendron","Liriodendron","Rhexia","Brassicaceae","Gleditsia","Symplocos"
980,7092,1535,6,1,0,26,4,0,9,0,0,0,0,19,0,44,3,631,0,1,0,10,7,8,1,1,0,1,58,647,0,0,41,0,0,1,2,0,0,3,0,1,0,1,0,0,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1000,7461,2213,10,1,0,34,5,0,8,0,1,0,0,14,1,32,0,1245,0,1,0,4,13,5,3,6,0,2,53,705,12,0,36,0,0,0,6,0,0,2,1,3,0,0,2,0,1,1,2,1,0,0,0,0,2,0,0,0,0,1,0,0
1020,7759,1295,8,1,0,38,1,0,11,0,0,0,0,5,0,21,1,618,0,1,0,12,3,11,1,2,0,5,78,426,4,0,34,0,1,0,6,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1040,8017,1773,10,0,1,40,5,0,26,0,0,0,0,6,0,1,1,960,2,1,0,9,10,10,0,1,0,2,63,540,8,0,51,0,0,0,8,0,0,3,1,0,0,1,0,0,1,0,2,3,0,0,0,1,5,0,0,0,1,0,0,0
1060,8275,961,12,0,0,37,3,0,16,0,0,0,0,3,0,5,4,590,0,1,0,8,11,10,0,2,0,3,43,121,27,0,49,0,0,0,5,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
1070,8404,1312,18,1,1,71,2,0,18,0,0,0,0,3,3,4,1,759,0,0,0,5,10,9,0,1,0,6,40,265,25,0,51,0,0,0,4,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
1100,8792,1804,19,1,0,83,3,0,34,0,1,0,0,3,1,6,3,1170,0,1,0,14,8,5,0,6,0,4,23,330,5,0,64,1,0,0,6,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
1120,9050,1295,24,0,1,89,2,0,2,0,1,0,0,7,0,2,4,870,0,0,0,6,18,8,1,2,0,1,52,135,5,0,49,0,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1140,9308,1692,30,1,3,91,0,0,10,0,0,0,0,3,0,2,4,1162,0,0,0,1,23,6,0,3,0,2,18,234,10,0,57,0,0,0,18,0,1,9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
1160,NA,1801,32,0,0,58,0,0,17,0,0,0,1,3,0,1,1,1290,1,1,0,5,68,7,1,5,0,2,1,210,0,0,64,0,1,0,11,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
