"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Indeterminable","Juglans.cinerea","Juglans.undiff.","Larix","Lycopodium.type","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Quercus","Rhamnaceae.Vitaceae","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Saxifragaceae","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
48,46,0,2,0,0,38,1,0,4,6,0,0,0,0,8,0,0,4,1,0,0,1,0,0,0,5,1,6,0,5,6,0,130,0,0,11,0,0,0,0,0,0,1,0,0,0,5,7
53,69,0,1,0,2,31,5,2,8,1,0,0,0,3,9,0,0,7,0,0,0,1,0,0,0,4,4,4,0,0,3,0,125,0,0,4,0,0,0,0,0,0,0,0,0,0,15,8
58,96,0,0,2,1,26,3,4,6,12,0,1,1,0,7,0,0,7,1,0,0,3,0,0,0,4,3,13,0,0,1,0,115,0,0,8,0,0,0,0,0,0,0,0,0,0,11,5
63,128,0,1,0,0,6,0,1,7,10,0,0,0,0,10,0,0,4,1,0,0,0,0,0,0,9,2,8,0,0,0,0,146,0,0,2,1,0,0,0,0,0,2,0,0,0,8,4
68,166,0,1,0,0,1,0,0,10,8,0,0,0,0,13,0,0,4,0,0,0,1,0,0,0,6,0,5,0,1,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
73,209,0,3,0,0,6,1,1,5,12,0,0,0,0,19,0,0,11,0,0,0,5,0,0,0,7,0,8,0,2,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
78,257,0,2,0,0,1,0,0,3,16,0,0,0,0,22,0,0,7,0,0,0,1,0,0,0,5,0,11,0,1,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
103,571,0,6,1,0,4,3,4,6,25,0,0,0,2,15,0,0,9,0,0,0,3,0,0,0,9,1,5,0,0,3,1,156,0,1,0,0,0,0,0,0,0,3,0,0,0,11,2
123,903,0,8,1,1,5,1,0,4,25,1,2,0,0,16,0,0,12,0,0,0,3,0,0,0,7,1,5,0,1,1,0,131,0,1,0,1,0,0,0,0,0,1,0,0,0,18,0
143,1296,0,3,2,0,1,0,0,3,11,1,0,0,1,58,0,0,13,0,0,0,4,0,0,0,8,1,5,0,0,3,1,122,0,0,0,1,0,0,0,0,1,1,0,0,0,20,2
163,1743,0,6,0,0,2,0,0,2,5,0,0,0,0,41,0,0,15,0,0,0,4,0,0,0,8,2,8,0,1,2,1,116,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3
178,2109,0,2,2,0,2,0,0,2,17,0,0,0,0,18,0,0,8,0,0,0,4,0,0,0,4,1,3,0,2,0,0,129,0,0,0,1,0,0,0,0,0,3,0,0,0,8,5
193,2496,0,1,0,0,0,1,0,0,15,0,0,0,2,10,0,0,10,0,0,0,2,0,0,0,1,3,1,0,2,0,0,149,0,2,0,1,0,0,0,0,0,0,0,0,0,11,4
203,2765,0,2,3,0,1,0,0,3,12,0,0,0,0,15,0,0,6,0,0,0,4,0,0,0,4,1,1,0,0,0,1,195,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
218,3171,0,2,0,1,1,0,0,1,20,0,0,0,0,2,0,0,7,0,0,0,1,0,0,0,4,3,2,0,3,0,0,146,0,0,0,1,0,0,0,0,0,0,0,0,0,7,5
228,3435,0,1,1,0,4,1,0,3,11,0,0,0,2,5,0,0,7,1,0,0,1,0,0,0,2,5,7,0,2,4,2,140,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1
243,3805,0,0,3,0,6,0,5,0,6,0,1,1,0,4,0,0,10,0,0,0,3,0,0,0,1,0,5,0,1,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
258,4142,0,5,0,1,3,1,0,5,10,0,0,0,1,11,0,0,15,1,0,0,4,0,0,0,4,2,5,0,0,4,0,123,0,0,0,1,0,0,0,0,1,0,0,0,0,19,5
268,4352,0,6,2,0,1,1,0,2,7,0,0,0,0,8,0,0,11,0,0,0,1,0,0,0,7,1,2,0,4,1,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
272,4434,0,1,1,1,2,0,0,0,8,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,1,2,5,0,3,3,0,149,0,0,0,0,0,0,0,0,1,5,0,0,0,8,4
298,4941,0,2,0,1,3,0,1,1,3,0,0,0,0,7,0,0,8,1,0,0,3,0,0,0,4,1,8,0,7,2,1,139,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1
308,5132,0,2,0,2,6,0,0,0,2,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,8,0,9,0,2,0,0,198,0,0,0,1,0,0,0,0,1,3,0,0,0,9,3
328,5519,0,2,2,0,4,0,2,2,3,0,0,0,0,8,0,0,7,0,0,0,1,0,0,0,4,0,6,0,5,2,2,136,0,0,0,1,0,0,0,0,0,1,0,0,0,25,0
338,5721,0,2,0,1,1,1,0,2,5,0,0,0,3,9,0,0,4,0,0,0,4,0,0,0,6,2,5,0,4,4,0,130,0,0,0,1,0,0,0,0,0,2,0,0,0,21,2
358,6154,0,3,2,2,3,3,2,1,11,0,0,0,2,12,0,0,9,0,0,0,2,0,0,0,2,1,6,0,0,0,0,130,0,0,0,1,0,0,0,0,0,1,0,0,0,16,0
368,6389,0,3,0,2,9,0,0,1,7,0,0,0,2,10,0,0,3,0,0,0,2,0,0,0,3,1,5,0,2,2,0,172,0,0,0,0,0,0,0,0,0,1,0,0,0,13,2
378,6640,0,2,2,5,3,0,1,0,5,0,0,0,0,15,0,0,7,0,0,0,1,0,0,0,2,2,4,0,1,3,0,140,0,1,0,0,0,0,0,0,1,1,0,0,0,20,4
408,7464,0,4,1,0,3,0,1,2,6,0,2,0,1,27,0,0,12,0,0,0,2,0,0,0,8,6,8,0,4,2,4,129,0,0,0,0,0,0,0,0,0,1,0,0,0,25,2
423,7906,0,8,0,1,3,2,1,0,6,0,0,0,0,20,0,0,13,0,0,0,2,0,0,0,3,4,10,0,6,0,1,133,0,0,0,0,0,0,0,0,1,0,0,0,0,41,3
433,8208,0,5,1,1,3,2,0,4,11,0,0,0,1,14,0,0,8,0,0,0,2,0,0,0,9,2,14,0,3,1,1,121,0,0,0,1,0,0,0,0,0,0,0,0,0,35,5
443,8512,1,4,1,2,6,1,0,1,7,4,0,0,0,6,0,0,3,0,0,0,0,0,0,0,2,3,5,0,4,1,3,131,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4
458,8971,0,3,0,1,7,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,7,2,4,0,10,1,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2
473,9426,0,5,1,2,2,2,2,0,2,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,9,4,9,0,4,2,1,156,0,1,0,2,0,0,0,0,1,1,0,0,0,20,1
492,9988,0,4,3,2,10,2,3,1,4,0,3,0,7,0,1,0,5,0,0,0,2,0,0,0,11,2,41,0,6,12,2,165,0,0,0,1,0,0,0,1,0,1,0,0,0,11,0
503,10302,0,5,2,0,9,2,0,1,9,0,2,0,5,0,1,0,7,0,1,0,2,0,0,0,12,1,40,0,3,5,0,160,0,0,0,1,0,0,0,2,0,1,0,0,1,16,0
513,10570,0,3,0,6,2,1,1,2,7,0,8,0,0,0,4,1,0,0,0,1,4,0,0,0,13,0,51,0,6,5,1,212,0,0,0,1,0,0,0,7,0,1,0,0,0,29,0
518,10689,0,6,2,0,6,1,2,2,4,0,3,0,9,0,4,0,0,0,0,0,0,0,0,0,12,1,61,0,1,10,0,136,0,0,0,0,0,0,0,3,0,0,0,2,0,14,0
528,10878,0,6,1,0,3,1,0,4,4,0,1,0,1,1,2,1,0,0,0,0,2,0,1,0,14,13,112,0,1,3,0,101,2,0,0,1,0,0,0,7,0,0,0,0,0,26,0
538,11021,1,0,0,0,2,1,1,2,5,0,2,0,5,0,3,0,0,0,1,0,0,0,0,1,21,5,151,0,2,5,1,59,0,0,0,3,0,0,0,8,2,0,0,0,2,32,0
543,11084,0,3,0,0,3,1,0,4,7,3,1,0,6,0,8,0,0,0,0,0,0,0,0,0,19,2,150,0,1,3,1,55,1,0,0,0,0,0,0,8,0,0,0,0,0,15,0
548,11146,0,4,0,1,0,1,3,9,9,0,1,0,2,0,0,0,7,0,0,0,2,0,1,0,23,2,219,0,3,3,1,58,0,1,0,4,0,1,0,13,0,0,0,0,0,28,0
553,11211,0,1,1,1,0,0,2,4,4,1,0,1,5,0,7,0,0,0,0,0,6,1,0,0,12,4,199,1,1,3,2,49,0,0,0,1,0,0,0,9,0,0,0,0,0,26,0
563,11366,0,2,2,0,0,3,1,7,3,0,1,0,5,0,6,1,0,0,0,1,2,0,0,0,4,10,180,0,3,4,0,29,0,0,0,0,0,0,0,21,0,0,0,0,0,15,0
568,11464,1,0,1,0,1,2,1,9,1,0,0,2,2,0,5,4,0,0,0,0,4,1,0,0,6,17,162,0,0,3,2,15,0,0,0,0,0,0,0,12,0,0,0,1,0,15,0
573,11582,8,1,2,0,1,2,2,24,3,0,5,1,7,0,12,0,0,1,0,0,0,5,0,0,12,40,378,0,0,3,2,57,0,0,0,0,0,0,0,10,1,0,1,0,0,18,0
578,11722,8,1,0,0,3,5,1,5,0,0,2,0,4,0,7,0,0,1,0,0,0,0,0,0,5,43,177,0,0,1,1,23,0,0,0,1,0,0,0,4,0,0,0,1,0,9,0
593,12250,9,0,4,1,4,11,2,3,4,2,0,4,21,0,9,1,0,0,0,0,0,1,0,0,9,104,59,0,1,8,15,34,0,1,0,4,0,0,0,1,0,0,0,0,1,10,0
598,12453,4,1,2,1,2,4,2,1,0,0,1,1,5,0,5,0,0,0,0,0,0,3,0,0,6,80,14,0,0,3,1,12,0,0,0,2,0,0,0,1,1,0,0,0,0,3,0
603,12664,4,0,4,0,1,8,1,3,1,0,0,3,18,0,0,0,7,1,2,0,0,0,0,0,20,91,18,0,0,13,13,26,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0
608,12880,17,0,2,0,7,6,3,3,1,0,2,3,21,0,15,0,0,0,2,0,4,0,0,1,13,93,7,0,0,2,10,29,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0
618,13316,10,0,1,0,3,3,5,0,0,0,2,0,5,0,0,0,2,0,1,0,0,0,1,2,6,102,4,0,0,1,29,16,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
623,13533,11,0,2,1,7,29,5,4,2,0,1,1,22,0,39,1,0,0,1,0,0,1,0,0,34,101,0,1,0,10,1,28,0,0,0,7,0,0,0,4,1,0,0,0,3,14,0
628,13751,1,1,1,0,4,15,2,1,0,0,3,3,11,1,13,0,0,2,0,0,0,1,0,0,11,44,1,0,0,4,8,23,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
633,13969,3,1,1,0,6,13,5,4,2,0,0,6,13,0,35,3,0,1,0,0,0,0,0,0,13,95,1,0,0,10,31,34,1,0,0,1,0,0,1,1,3,0,0,0,0,7,0
638,14188,1,1,0,0,9,14,2,2,1,1,3,10,23,0,49,0,0,1,1,0,4,0,0,0,17,87,0,0,0,6,15,29,0,0,0,2,0,0,0,0,2,0,0,0,1,6,0
648,14632,0,0,0,1,4,5,2,2,4,2,1,11,15,0,43,2,0,0,0,2,0,0,0,0,7,59,1,0,0,7,13,13,0,2,0,6,0,0,0,0,1,0,0,0,1,4,0
653,14858,0,1,0,0,3,7,3,0,0,1,1,11,14,0,23,2,0,0,2,1,0,0,0,0,10,103,1,0,0,4,21,22,0,1,0,6,0,0,1,1,2,0,0,0,1,3,0
663,15320,0,1,1,0,2,13,5,2,0,1,0,18,25,0,0,0,36,0,0,0,2,2,0,0,13,119,0,0,0,7,18,21,0,0,0,4,3,0,0,0,0,0,0,0,1,3,0
668,15553,0,0,0,1,2,3,4,0,0,0,0,22,11,0,0,0,15,1,1,0,0,0,0,0,8,53,1,0,0,10,17,29,1,1,0,4,0,0,0,0,0,0,0,0,1,7,1
