"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Juglans.nigra","Fabaceae.undiff.","Ostrya.Carpinus","Picea","Platanus","Polygonum.lapathifolium.type","Quercus","Ranunculaceae.undiff.","Salix","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Ambrosia","Pinus","Amorpha","Poaceae","Acer.saccharum","Fraxinus.pennsylvanica","Herbs.undiff.","Rumex","Iva.xanthifolia","Rhamnus","Fraxinus.nigra","Acer.negundo","Celtis","Thalictrum","Urtica","Acer.saccharinum","Abies","Tilia","Vitis","Brassicaceae","Dalea","Juglans.cinerea","Lamiaceae.cf..Stachys","Rosaceae","Fagus","Sambucus","Ephedra.torreyana.type","Euphorbiaceae","cf..Saxifragaceae","Humulus","Galium","Plantago.major","Polygonaceae.undiff.","Populus","Larix"
240,7410,698,19,0,4,162,4,2,3,129,1,0,3,6,3,2,58,0,0,0,27,15,0,0,140,17,5,85,1,0,4,1,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
255,7603,658,20,0,7,172,9,0,0,106,1,0,8,3,5,1,43,0,3,0,22,5,1,3,122,8,0,109,0,2,1,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
270,7797,643,9,0,1,138,10,0,4,56,2,0,2,15,3,2,28,0,0,0,10,8,0,0,260,7,1,68,0,2,1,0,3,0,5,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
285,7990,618,12,1,0,305,12,0,0,45,0,0,0,13,1,2,22,0,0,0,13,2,0,1,152,12,0,20,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
300,8183,623,28,1,2,180,1,0,6,122,0,1,8,26,6,0,42,0,2,2,22,9,0,2,80,19,1,53,0,1,0,0,3,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
314,8364,648,37,2,1,187,1,0,0,147,1,0,4,22,3,4,25,0,4,0,17,12,1,2,86,20,0,65,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,8515,733,35,3,5,138,2,0,6,214,0,2,11,13,2,3,50,0,10,0,18,23,2,2,74,28,3,75,1,2,0,0,3,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
342,8580,703,21,1,7,119,0,1,0,199,1,1,8,17,4,4,73,0,2,0,13,25,0,0,115,16,2,58,1,0,0,0,1,0,3,1,3,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
356,8645,681,22,6,1,132,2,0,1,169,0,0,10,8,1,4,63,0,6,1,11,13,0,5,112,19,3,79,0,0,0,2,0,0,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
368,8701,624,16,1,9,87,5,4,0,108,0,0,9,14,3,4,75,0,4,1,21,37,2,4,111,16,0,78,2,1,0,0,2,0,2,0,0,0,0,0,1,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
380,8757,596,14,1,8,89,3,1,3,86,2,0,15,9,2,1,79,0,3,0,13,46,0,2,125,17,2,62,0,1,0,0,2,0,4,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
390,8803,566,17,0,1,159,14,0,0,43,0,0,2,6,0,3,25,0,2,0,7,9,0,0,184,10,0,77,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
400,8849,673,17,2,3,169,4,2,5,136,1,0,6,10,3,3,50,0,3,1,19,24,0,3,105,21,1,69,2,0,0,0,3,0,3,0,2,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
410,8896,569,12,1,6,67,4,1,3,63,0,0,11,11,3,1,93,0,11,0,11,42,0,4,114,17,0,81,0,1,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0
420,8942,612,21,1,5,75,5,5,2,91,0,1,11,15,4,0,95,0,10,1,11,28,1,5,123,11,1,72,0,0,1,0,0,0,6,2,2,2,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
430,8989,557,19,2,6,75,4,1,1,53,1,0,19,17,4,0,76,0,13,0,15,32,0,4,101,16,1,81,1,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,1,0
440,9035,581,18,3,13,62,5,4,1,44,0,0,19,20,4,0,145,0,6,1,8,68,0,2,82,8,1,52,0,1,1,0,0,0,3,0,0,1,0,3,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
450,9082,676,9,7,10,111,0,4,0,83,0,1,19,19,3,10,102,0,2,1,16,55,0,5,120,12,1,63,4,1,1,1,0,0,10,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,9119,736,21,0,3,137,1,1,4,159,0,0,5,20,7,2,80,0,5,0,11,23,0,1,131,17,0,89,0,3,0,1,2,0,5,3,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
470,9174,645,16,3,6,100,7,1,0,73,1,1,10,22,3,0,96,0,4,0,12,52,0,1,130,10,0,68,2,1,3,0,1,0,7,1,0,0,1,0,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,1
482,9230,652,15,5,8,93,1,4,4,90,0,0,16,16,0,2,104,0,1,0,13,53,0,3,124,18,0,63,2,3,0,0,0,0,4,0,0,0,0,0,3,1,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
490,9267,629,15,2,20,23,4,6,0,37,2,0,25,1,3,0,209,0,10,0,7,109,0,1,88,12,0,34,4,0,0,0,1,0,1,1,1,3,0,2,0,1,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
510,9480,578,11,3,17,4,1,9,0,15,2,0,35,0,3,0,187,0,0,0,4,193,0,1,38,4,0,13,2,1,0,1,0,0,12,0,1,2,1,2,1,10,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
530,9700,605,9,0,24,5,2,7,0,8,1,0,43,0,5,0,190,1,2,0,2,208,0,1,32,8,0,10,12,1,0,1,0,0,18,2,2,2,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
550,9919,544,5,2,15,7,0,1,0,9,1,0,16,0,3,0,183,0,1,0,3,228,0,0,17,6,0,12,9,0,1,0,0,0,10,0,2,0,0,0,0,4,0,0,0,5,2,0,0,0,0,1,0,1,0,0,0,0,0
570,10139,572,3,0,21,1,0,2,0,10,1,0,31,0,2,0,162,2,1,0,3,252,0,1,25,6,0,12,11,1,1,0,0,0,6,0,4,0,1,0,1,3,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
590,10358,527,10,1,30,2,1,4,0,11,2,1,38,1,1,0,196,0,5,0,3,132,0,0,15,8,0,11,7,0,1,1,0,0,21,0,3,0,0,2,0,6,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0
610,10578,575,5,16,10,1,0,12,0,14,1,0,54,2,3,0,130,0,1,0,0,199,0,12,2,6,0,16,13,2,0,0,0,0,56,0,2,0,0,3,2,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2
630,10819,543,24,110,1,2,0,16,0,19,0,0,30,19,0,0,50,0,3,0,5,66,0,71,12,2,0,24,6,2,0,0,0,0,64,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5
650,NA,587,27,75,0,4,0,25,0,33,0,0,27,71,0,0,37,0,10,1,2,32,0,113,9,5,0,22,0,4,0,0,0,0,64,2,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5
664,NA,617,20,86,0,7,0,29,11,37,0,0,26,124,0,0,38,0,5,0,3,28,1,60,10,10,0,28,0,11,2,0,0,0,48,1,0,3,0,0,13,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,6,5
678,NA,595,35,58,0,4,0,16,4,16,0,0,29,81,0,0,57,1,6,0,4,25,0,117,8,2,0,25,1,4,1,0,0,0,68,3,0,2,0,0,14,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,4,5
692,NA,588,34,12,0,8,0,24,3,44,0,0,44,82,1,0,43,0,4,0,5,20,0,47,34,6,0,36,1,3,1,0,0,0,106,1,1,2,0,0,10,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,5,6
706,NA,647,14,3,0,8,0,6,0,31,0,0,43,73,1,0,48,1,0,0,6,14,0,9,22,5,0,20,0,35,1,0,0,0,280,1,0,3,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,5,1
720,NA,592,11,2,0,2,0,7,8,32,0,0,29,93,1,0,29,0,1,0,6,15,0,11,23,5,0,19,0,19,0,0,0,0,234,2,2,5,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,4,2
734,NA,603,16,5,0,2,3,6,0,40,1,0,20,96,0,0,24,0,1,0,4,22,0,13,19,6,0,26,1,25,0,0,0,0,225,1,3,3,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,5
774,NA,561,19,6,1,2,1,2,0,30,0,0,10,257,0,0,35,0,4,0,6,4,0,11,27,2,0,21,0,2,0,0,0,0,61,30,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14
788,NA,681,11,13,0,3,1,2,9,56,0,0,7,279,1,0,30,0,9,0,6,3,0,14,37,13,0,20,0,11,1,0,0,0,76,25,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,33
802,NA,585,27,6,0,2,0,2,3,45,0,1,9,300,1,0,29,0,6,0,4,7,2,23,13,4,0,13,0,4,2,0,0,0,45,3,1,4,0,1,4,1,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,15
817,NA,574,62,10,0,3,1,2,3,38,0,0,8,300,1,0,29,1,7,0,9,4,0,19,4,14,0,12,0,7,0,0,0,0,19,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,11
832,NA,557,41,7,0,4,0,3,8,43,0,0,8,275,1,0,18,0,5,1,3,2,0,21,7,9,0,17,0,6,2,0,0,1,50,2,1,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,6
847,NA,447,16,4,0,2,0,2,4,18,0,0,5,296,0,1,9,0,3,0,7,2,0,8,5,17,0,4,0,3,4,0,0,0,7,2,0,3,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,15
860,NA,434,5,4,0,1,0,0,1,9,0,0,4,374,0,0,4,0,0,1,1,2,0,2,0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
