"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Betula","Carya","Corylus","Cyperaceae","Dryopteris","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.selago","Ilex","Indeterminable","Juglans","Juniperus.Thuja","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Menyanthes.trifoliata","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Polypodiaceae","Populus","Potentilla","Pteridophyta.undiff.","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Sarracenia","Saxifragaceae","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Viburnum"
110,3327,1,0,3,0,0,2,0,0,60,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,4,3,30,35,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,68,2,0,0
130,4088,2,1,2,0,0,0,0,0,88,0,0,0,0,0,0,21,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,9,0,37,58,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,49,0,2,0
150,4848,2,1,2,0,0,0,0,0,97,0,0,0,0,0,0,12,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,2,8,0,35,28,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,35,2,1,0
170,5609,3,0,1,0,0,0,0,0,49,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,5,0,0,15,0,35,29,0,0,1,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,78,2,3,0
190,6369,1,3,5,0,0,0,0,0,53,0,0,1,0,0,2,9,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,10,2,60,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,51,1,0,0
210,7130,2,0,2,0,0,0,0,0,31,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,19,0,48,68,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,41,2,2,1
230,7890,3,0,10,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,85,16,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,23,5,0,0
240,8271,5,1,5,0,0,0,0,0,30,0,1,2,0,0,0,0,0,0,6,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,32,0,0,110,0,0,0,0,2,2,0,2,14,0,0,0,2,0,0,0,0,0,14,0,0,0
250,8651,3,0,7,0,0,0,1,0,28,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,38,0,43,78,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,2,6,0
260,9031,4,0,11,0,0,0,0,0,59,0,0,1,0,0,1,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,17,4,87,17,0,0,0,1,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,3,4,1,0
270,9411,3,2,16,0,0,1,0,1,95,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,3,0,0,5,1,1,0,4,4,22,3,39,7,0,0,0,1,0,5,0,0,0,19,0,0,0,0,0,0,1,2,0,3,0,1,0
275,9602,0,1,6,0,2,0,0,4,95,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,3,0,1,0,0,1,4,3,17,2,53,3,0,0,0,3,0,6,0,0,0,21,0,0,0,2,0,0,0,1,0,0,2,2,0
280,NA,0,0,7,0,1,1,0,29,110,0,0,41,0,1,0,1,0,0,3,0,0,0,0,0,0,9,2,0,1,0,0,0,0,9,18,1,23,0,0,0,0,33,0,6,0,1,0,5,0,0,0,29,0,0,0,1,0,0,0,1,0
283,NA,0,0,13,0,0,3,0,0,105,0,0,90,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,15,4,42,2,0,0,0,20,0,2,0,0,0,7,0,0,1,16,0,0,0,13,0,1,0,0,0
285,NA,0,0,20,3,2,17,0,2,95,0,0,93,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,2,4,10,7,47,1,0,0,0,19,1,0,0,0,0,10,0,0,7,21,0,0,0,13,0,7,0,1,0
289,NA,2,0,25,1,0,29,0,2,57,0,0,86,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,12,16,4,71,5,0,0,0,16,2,5,0,0,0,5,0,2,5,16,0,0,0,3,0,0,0,0,0
300,NA,1,0,3,2,0,2,0,2,63,0,0,12,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,11,19,7,80,4,0,0,0,5,0,8,0,0,0,12,0,0,0,5,0,1,0,1,1,5,3,2,0
305,NA,1,0,4,0,0,1,0,2,56,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,0,2,1,0,1,4,13,39,5,77,6,0,0,0,3,0,2,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,1,0
315,NA,3,0,4,0,0,1,0,0,49,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,15,25,7,82,5,0,0,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,0,0,13,6,1,0
325,NA,1,1,6,0,1,1,0,0,56,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,5,7,26,7,83,5,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,2,0
330,NA,2,0,3,1,0,1,0,1,50,0,2,4,0,0,0,4,0,1,0,1,0,0,0,0,0,1,2,0,4,0,0,1,7,7,21,6,71,7,0,0,0,3,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,19,1,3,0
