"sample.depths","sample.ages","upland.sum","Acer.saccharinum.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Juglans.undiff.","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Brassicaceae","Rosaceae","Carya","Iva.xanthifolia.type","Picea","Celtis","Asteraceae.undiff.","Iva.annua.type","Fabaceae.undiff.","Ranunculaceae.undiff.","Tilia","Populus","Rumex","Amorpha.type","Pinus.subg..Strobus","Apiaceae","Cerealia","Lamiaceae","Cupressaceae","Acer.negundo","Corylus","Sarcobatus.vermiculatus","Fraxinus.nigra.type","Polemoniaceae","Abies","Asteraceae.subf..Cichorioideae","Dalea","Impatiens","Ephedra","Liliaceae","Pinus.subg..Pinus","Caryophyllaceae","Iva.undiff.","Malvaceae","Polygonaceae.undiff.","Larix","Acer.saccharum.type","Liquidambar","Tsuga","Morus","Plantago","Herbs.undiff.","Trees.undiff.","Acer.rubrum","Rhamnaceae.Vitaceae","Shepherdia","Fraxinus.undiff.","Ericaceae"
940,10270,304,0,44,4,6,0,6,6,4,31,0,0,16,9,0,50,0,0,3,94,0,0,0,8,1,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
950,10324,298,0,39,3,11,0,7,7,3,21,0,0,17,13,0,28,1,1,8,113,2,0,0,6,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
960,10377,328,0,23,11,2,0,6,3,4,21,0,10,17,9,0,56,0,1,4,129,7,0,0,6,1,5,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
970,10430,327,1,12,7,1,0,2,4,1,27,0,2,17,11,0,68,0,0,4,139,2,0,0,10,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
990,10537,327,2,10,2,2,0,8,0,3,18,0,2,36,14,0,76,4,0,2,98,3,1,0,9,0,2,6,0,1,0,0,4,0,0,0,1,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0
1000,10590,337,2,4,6,21,0,2,2,11,4,0,4,14,11,0,102,2,0,0,100,3,1,0,8,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0
1010,10644,366,0,5,5,30,0,1,1,10,7,0,8,31,9,0,91,4,0,3,107,3,0,0,6,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,0,11,0,1,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
1020,10697,325,0,4,1,30,0,2,4,10,7,0,4,7,7,0,80,2,0,1,100,2,0,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,32,0,5,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0
1030,11874,333,2,1,5,62,0,2,0,8,7,0,2,4,5,0,33,3,2,2,90,9,0,3,0,1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,49,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
1040,13051,340,0,2,16,79,0,4,9,1,13,0,0,13,4,0,12,0,0,5,18,61,0,1,0,0,55,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,13,0,15,0,7,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
1050,13886,325,0,1,14,57,0,3,4,0,9,0,0,5,8,0,13,0,0,2,19,50,0,0,0,1,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1060,14380,337,0,12,25,25,4,3,10,2,20,0,0,13,2,0,14,4,2,4,9,33,0,0,1,3,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,18,0,1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1070,14874,328,0,23,24,4,2,2,7,3,12,0,0,15,4,0,8,4,4,3,6,3,0,0,0,2,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,49,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,15862,348,0,40,14,1,3,2,15,2,19,0,0,6,0,0,22,0,0,6,6,2,0,1,0,4,161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,26,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1100,16357,330,0,46,16,15,4,2,21,4,13,0,0,15,4,0,11,1,2,4,4,3,0,1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,18,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0
1110,16851,324,0,23,11,13,2,2,1,1,6,0,0,4,0,0,23,0,1,4,5,5,0,1,0,1,168,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,30,0,8,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
1120,NA,310,0,11,9,0,2,0,10,2,5,0,0,6,0,0,6,3,1,0,1,4,0,0,0,2,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0
1130,NA,328,0,13,9,20,0,0,4,1,11,1,0,2,2,0,9,0,0,0,16,3,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,10,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
1140,NA,312,0,3,24,1,0,2,16,0,3,0,0,4,4,0,6,5,2,4,0,2,0,0,0,0,203,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,6,0,2,0,0,0,0,0,2,1,0,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0
1150,NA,302,0,5,35,1,0,2,18,0,24,0,0,1,3,0,6,1,0,7,1,1,1,1,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
1160,NA,307,0,3,25,3,1,0,29,0,26,0,0,5,6,0,1,3,5,9,1,6,1,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,4,0,1
