"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Arceuthobium","Betula","Carya","Castanea","Corylus","Cyperaceae","Juglans.cinerea","Juglans.nigra","Nyssa","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Populus","Poaceae","Cephalanthus.occidentalis","Platanus.occidentalis","Liquidambar.styraciflua","Fagus.grandifolia","Ambrosia.Iva","Ericaceae","Fraxinus.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Polygonum.lapathifolium.type","Fabaceae","Acer.rubrum","Ilex","Ulmus","Apiaceae","Brassicaceae","Acer.saccharum","Picea.undiff.","Thalictrum","Tilia","Cornus","Lamiaceae","Abies","Acer.negundo","Fraxinus.pennsylvanica.type","Amaranthaceae","Urticaceae","Fraxinus.nigra.type","Plantago","Diospyros","Artemisia","Rhamnaceae","Acer.undiff.","Cupressaceae","Alnus.undiff.","Caryophyllaceae","Epilobium","Polemonium","Sanguisorba.canadensis","Coniferophyta.undiff.","Larix","Rosaceae.undiff.","Picea.glauca","Picea.mariana","Campanula","Asteraceae.subf..Cichorioideae","Galium"
160,11131,0.214925373134328,0.0388059701492537,0,0.00298507462686567,0.00298507462686567,0,0.0388059701492537,0.00895522388059702,0,0,0.0298507462686567,0.149253731343284,0.0298507462686567,0.167164179104478,0.00298507462686567,0.0358208955223881,0.137313432835821,0,0.00895522388059702,0,0,0,0,0.00298507462686567,0,0,0,0.00298507462686567,0.00298507462686567,0,0,0,0,0,0,0,0.00298507462686567,0.00895522388059702,0,0,0,0.00895522388059702,0,0,0,0,0,0,0,0,0,0,0.00298507462686567,0.0805970149253731,0.00298507462686567,0,0.00298507462686567,0.00298507462686567,0.00895522388059702,0,0,0,0,0,0,0
170,11921,0.119113573407202,0.0110803324099723,0,0.0110803324099723,0.00831024930747922,0.00277008310249307,0.00277008310249307,0.0692520775623269,0,0,0.00554016620498615,0.0969529085872576,0.119113573407202,0.149584487534626,0,0.0609418282548476,0.0498614958448753,0.00554016620498615,0.0166204986149584,0,0,0,0,0,0,0,0.00831024930747922,0.00277008310249307,0.00277008310249307,0,0.00554016620498615,0,0,0,0.00277008310249307,0.00831024930747922,0.0886426592797784,0.00554016620498615,0.00277008310249307,0.00277008310249307,0,0.110803324099723,0,0,0,0,0,0,0,0,0,0,0,0.0193905817174515,0.00554016620498615,0,0,0,0,0.00554016620498615,0,0,0,0,0,0
175,12310,0.335585585585586,0.045045045045045,0.00225225225225225,0.0045045045045045,0,0,0.0112612612612613,0.103603603603604,0,0,0,0.036036036036036,0.114864864864865,0.0405405405405405,0,0,0.0563063063063063,0.0045045045045045,0.0247747747747748,0,0,0,0,0,0,0,0.009009009009009,0,0,0,0.00225225225225225,0,0.00225225225225225,0,0,0,0.0157657657657658,0.0112612612612613,0.00225225225225225,0,0,0.0698198198198198,0,0,0,0,0,0,0,0,0,0,0.00225225225225225,0.0202702702702703,0,0.00675675675675676,0.00225225225225225,0,0.0225225225225225,0,0.0045045045045045,0.045045045045045,0.0045045045045045,0,0,0
185,13066,0.192389006342495,0.00845665961945032,0.00634249471458774,0.0232558139534884,0.00211416490486258,0,0.00634249471458774,0.152219873150106,0,0,0,0.0443974630021142,0.128964059196617,0.0465116279069767,0.00211416490486258,0,0.0549682875264271,0.00211416490486258,0.025369978858351,0.00422832980972516,0,0,0,0,0,0,0.0274841437632135,0.00422832980972516,0,0,0.00634249471458774,0,0.00211416490486258,0,0,0.00211416490486258,0.0676532769556025,0.00422832980972516,0,0,0,0.0782241014799154,0.00211416490486258,0,0,0,0,0,0,0,0,0,0,0.00634249471458774,0,0.00211416490486258,0,0.00211416490486258,0.0211416490486258,0,0,0.0697674418604651,0.00211416490486258,0.00211416490486258,0,0
190,13426,0.459657701711491,0.0366748166259169,0,0.0122249388753056,0.00244498777506112,0,0.00488997555012225,0.0831295843520782,0,0,0,0.0146699266503667,0.114914425427873,0.019559902200489,0.00244498777506112,0,0.0537897310513447,0,0.0122249388753056,0,0,0,0,0,0,0,0.0562347188264059,0.00244498777506112,0,0,0.00244498777506112,0,0,0,0,0,0.0684596577017115,0.00244498777506112,0,0,0,0.0244498777506112,0,0,0,0,0,0,0,0,0,0,0,0.0171149144254279,0,0.00244498777506112,0,0.00733496332518337,0,0,0,0,0,0,0,0
200,14098,0.414893617021277,0.0319148936170213,0.00797872340425532,0.00265957446808511,0,0,0,0.0664893617021277,0,0,0,0.00797872340425532,0.106382978723404,0.0106382978723404,0,0,0.0851063829787234,0,0.00797872340425532,0,0,0,0,0,0,0,0.050531914893617,0.0212765957446809,0,0,0,0,0,0.00265957446808511,0,0,0.111702127659574,0.0132978723404255,0,0,0,0.0159574468085106,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0,0
210,14686,0.159151193633952,0.0238726790450928,0.00795755968169761,0.0026525198938992,0,0,0.0026525198938992,0.10079575596817,0,0,0,0.0291777188328912,0.127320954907162,0.10079575596817,0,0,0.0450928381962865,0.0026525198938992,0.0185676392572944,0,0,0,0.00530503978779841,0.00795755968169761,0,0.0026525198938992,0.0424403183023873,0.0185676392572944,0,0,0.0026525198938992,0,0,0,0.0026525198938992,0.0026525198938992,0.127320954907162,0.0026525198938992,0,0.0026525198938992,0,0.145888594164456,0,0,0,0,0,0,0,0,0,0,0,0.013262599469496,0.0026525198938992,0,0,0,0,0,0,0,0,0,0,0
210.1,14692,0.192857142857143,0.00238095238095238,0.0119047619047619,0.019047619047619,0.00476190476190476,0,0.00952380952380952,0.164285714285714,0,0,0,0.0380952380952381,0.147619047619048,0.0595238095238095,0,0,0.0523809523809524,0.00238095238095238,0.0166666666666667,0,0,0,0.00238095238095238,0.00238095238095238,0,0,0.030952380952381,0.00238095238095238,0,0,0,0,0,0,0,0.00238095238095238,0.0857142857142857,0.00238095238095238,0,0,0.00238095238095238,0.0595238095238095,0,0,0,0,0.00238095238095238,0,0,0,0,0,0,0,0,0,0,0.00238095238095238,0.0404761904761905,0,0.00714285714285714,0.0357142857142857,0,0,0,0
220,15168,0.354838709677419,0.0272952853598015,0,0.00496277915632754,0.00248138957816377,0,0,0.146401985111663,0,0,0,0.00248138957816377,0.168734491315136,0.0148883374689826,0,0,0.0446650124069479,0,0.0173697270471464,0,0,0,0,0,0,0.00248138957816377,0.0496277915632754,0.00248138957816377,0,0,0,0,0,0,0,0,0.104218362282878,0.00248138957816377,0,0,0,0.0421836228287841,0,0,0,0,0,0,0,0,0,0,0.00496277915632754,0,0,0.00248138957816377,0,0.00248138957816377,0,0,0.00248138957816377,0,0,0,0,0
220.1,15173,0.439775910364146,0.0112044817927171,0.00840336134453781,0.00840336134453781,0,0,0,0.0728291316526611,0,0,0,0.00280112044817927,0.137254901960784,0.0336134453781513,0,0,0.030812324929972,0,0.0196078431372549,0,0,0,0,0,0,0,0.0364145658263305,0.00840336134453781,0,0,0.00280112044817927,0,0.00280112044817927,0,0.00280112044817927,0,0.061624649859944,0.00280112044817927,0,0,0,0.0532212885154062,0,0,0,0,0.00560224089635854,0,0,0,0,0,0,0.00840336134453781,0,0,0,0.00280112044817927,0.0196078431372549,0,0,0.0280112044817927,0,0,0,0
