"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Aesculus","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Ilex","Indeterminable","Indeterminable.undiff.","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Leitneria.floridana","Liquidambar","Lycopodium.clavatum","Magnolia","Menyanthes.trifoliata","Morus","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Polypodium.type","Populus","Potamogeton","Potamogetonaceae.undiff.","Potentilla.type","Proserpinaca","Prunus.Sorbus","Pteridium.type","Quercus","Rubus","Sagittaria","Salix","Sambucus","Sanguisorba","Saxifragaceae","Shepherdia.canadensis","Sparganium.type","Sphagnum","Spiraea.type","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Viburnum","Vitis","Xanthium"
72,1856,0,0,4,0,0,0,207,1,2,0,2,0,3,1,0,0,28,0,3,0,25,0,0,0,0,32,0,0,0,4,2,5,0,18,0,0,10,60,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,17,0,2,25,1,0,0,0,0,0,0,0,0,210,1,4,2,0,0,12,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0
76,2303,0,0,5,0,0,0,178,1,1,0,4,0,1,3,0,0,27,0,1,0,22,0,0,0,0,45,0,0,0,0,0,3,1,11,0,0,15,43,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,1,4,0,18,0,0,19,0,0,1,0,0,0,0,0,0,266,0,7,0,0,0,8,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0
80,2790,0,0,2,0,0,0,228,1,9,0,1,1,8,2,1,0,19,0,9,0,36,0,0,0,0,28,0,0,0,4,0,9,1,9,0,0,12,65,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,1,2,0,0,3,0,20,2,2,31,0,0,2,3,0,0,0,0,0,207,0,6,2,0,0,11,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0
84,3313,0,0,3,0,0,0,377,1,3,1,5,0,7,2,0,0,23,0,1,0,39,0,0,0,0,10,0,0,0,8,0,17,1,15,0,0,26,80,0,0,0,1,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,16,2,0,20,1,0,2,1,0,0,0,0,0,228,1,12,5,0,0,14,0,3,0,0,1,0,0,0,0,5,0,0,1,0,0
88,3867,0,0,3,0,0,0,245,0,5,0,4,1,3,2,1,0,18,0,4,0,39,0,1,1,0,20,0,0,0,0,2,12,0,11,0,0,10,46,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,3,0,0,11,0,2,4,0,15,2,0,30,0,0,0,7,0,0,0,0,0,240,0,4,1,0,0,25,0,1,0,0,1,0,0,7,0,3,0,0,0,0,0
92,4450,0,0,2,0,0,0,273,1,3,0,9,0,4,0,0,0,28,0,6,0,65,0,1,0,0,24,0,0,0,0,1,9,1,16,0,0,21,55,0,0,0,1,0,2,0,0,4,0,0,0,0,0,2,0,1,0,0,6,0,1,1,0,9,2,0,25,0,0,1,2,0,0,0,0,0,235,0,13,2,0,0,31,0,3,0,0,0,0,0,1,0,3,1,0,0,0,0
96,5055,0,0,2,0,0,0,278,0,3,0,7,0,11,0,0,0,17,0,3,0,72,0,0,0,0,17,0,0,0,0,0,6,0,12,0,1,35,85,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,1,4,0,0,0,7,1,0,0,0,0,236,0,12,24,1,0,24,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
100,5680,0,0,3,0,0,0,391,0,0,0,9,0,4,7,2,0,17,0,7,0,70,0,0,1,0,16,0,0,0,0,0,10,2,34,0,0,109,277,0,0,1,0,0,2,0,0,4,0,0,0,0,0,1,0,3,4,1,3,0,1,0,0,11,0,0,14,0,1,8,4,1,0,0,0,0,191,0,4,4,0,0,14,0,0,0,0,0,0,0,3,0,1,2,0,0,0,1
104,6318,0,0,5,0,1,0,401,0,3,1,3,0,10,19,2,0,37,0,3,0,35,0,0,0,0,20,0,1,0,0,5,10,0,30,0,0,139,543,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,1,0,1,5,0,2,2,0,12,0,0,16,2,0,0,6,1,0,0,0,0,159,0,11,3,0,0,37,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0
108,6967,0,0,4,0,2,0,338,0,1,0,0,0,6,9,0,0,27,0,4,0,20,0,0,0,0,27,0,1,0,0,3,4,7,22,1,0,73,221,0,0,0,2,0,2,0,0,3,0,1,0,0,0,2,0,0,0,0,12,0,10,0,0,5,0,0,29,0,0,16,5,3,0,0,0,0,164,0,5,5,0,0,20,0,0,0,0,1,0,0,1,0,6,3,0,0,1,1
112,7621,0,0,4,0,1,0,406,0,9,0,2,0,13,11,7,0,35,0,10,0,41,0,1,1,0,23,0,0,0,0,3,7,0,17,0,0,97,373,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,2,0,2,1,0,9,0,0,27,0,0,0,4,0,0,5,1,0,202,0,7,1,0,0,25,0,0,0,0,2,0,0,4,0,2,2,1,2,0,0
116,8274,0,0,7,1,1,0,321,0,3,0,0,0,10,8,5,0,24,0,9,0,51,0,1,0,0,7,0,2,0,0,4,0,0,52,0,0,122,228,0,0,0,2,0,1,0,0,10,0,0,0,0,1,2,0,0,0,1,7,0,10,0,0,11,0,0,44,1,0,11,4,1,0,0,0,0,141,0,9,0,0,0,28,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0
124,9554,0,0,2,0,2,0,205,0,2,1,5,0,14,1,0,1,16,0,1,0,34,0,1,0,0,20,0,0,0,0,6,11,0,9,0,0,13,55,1,0,1,2,0,0,0,0,5,0,0,0,0,0,2,1,1,0,0,13,0,6,1,0,8,0,2,77,1,0,1,6,0,0,0,0,0,223,1,7,0,0,0,16,0,1,0,0,2,1,1,3,0,3,1,0,0,1,0
128,10169,2,0,0,0,8,0,0,1,5,0,0,0,1,8,4,0,11,0,0,1,0,0,0,2,0,16,0,0,0,0,3,8,2,16,0,1,12,60,0,0,0,4,0,1,1,0,1,0,5,0,0,4,8,0,0,0,0,43,0,22,0,0,5,0,0,320,0,0,0,0,0,0,0,0,0,152,1,6,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0
132,10759,0,0,0,0,2,0,5,0,2,0,0,0,1,1,0,2,15,0,0,0,0,0,0,1,0,16,0,0,0,0,9,17,0,7,0,0,2,12,0,0,0,3,1,0,0,0,0,0,0,0,1,1,8,0,0,0,0,57,0,17,2,0,2,0,3,293,0,0,0,1,0,0,0,0,0,160,3,4,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,2,0
140,11850,1,0,0,0,3,0,2,0,6,1,0,0,9,5,0,0,7,0,0,3,0,0,0,2,0,10,0,0,0,0,1,13,0,5,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,3,15,0,0,0,0,64,0,28,2,0,6,0,1,17,3,0,0,1,0,1,0,0,0,157,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0
148,12811,0,0,0,0,8,0,0,0,11,1,0,0,4,2,0,0,11,0,1,1,0,0,0,1,0,6,0,0,0,0,2,9,0,3,0,0,4,12,0,0,0,3,0,1,0,0,0,0,0,0,0,6,7,0,0,0,0,76,0,33,0,0,8,1,0,26,2,0,0,5,0,0,0,0,0,142,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,1,0,0
152,13239,6,0,0,0,4,0,4,1,4,0,0,0,6,3,0,0,3,0,0,0,0,0,0,3,0,10,0,0,0,0,1,13,0,7,0,0,8,42,0,0,0,2,0,0,0,0,0,0,4,0,2,4,10,0,0,0,0,72,0,25,7,1,9,0,0,21,1,0,0,0,0,0,0,0,2,142,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,9,1,0,1,0,0
156,13632,0,0,0,0,9,0,2,0,5,0,0,1,5,6,0,0,9,0,0,0,0,0,0,1,0,5,0,2,0,0,6,10,0,7,0,0,7,21,0,0,0,2,0,0,0,0,1,0,0,0,2,12,6,0,0,0,0,71,0,31,2,0,11,0,0,20,1,0,0,5,0,0,0,0,0,132,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,1,0,1
164,14321,1,1,0,0,3,0,2,0,2,2,0,0,2,9,0,0,7,0,0,0,0,0,0,3,0,7,0,0,0,0,1,6,0,3,0,0,3,15,0,0,0,4,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,70,0,32,10,0,17,0,0,4,0,0,0,6,0,0,0,0,0,134,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,1,0,0
190,15854,5,0,0,0,2,0,9,1,2,2,0,1,2,3,0,0,6,0,0,0,0,0,0,5,0,18,0,0,0,0,3,11,1,9,0,0,2,18,0,0,0,2,0,0,0,0,1,0,0,0,0,2,15,0,0,0,0,32,0,23,21,4,64,0,1,6,0,0,2,3,0,0,0,0,0,106,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0
200,16241,9,0,0,0,0,0,11,1,9,0,0,2,3,9,0,0,3,0,0,0,0,0,0,3,0,7,0,0,0,0,3,7,1,6,0,0,5,17,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,27,0,25,18,1,68,0,0,13,0,0,0,1,0,0,0,0,0,118,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,1,0,0
216,16743,9,0,0,0,4,0,18,1,6,1,0,2,7,2,0,0,5,0,0,0,0,0,0,4,2,12,0,0,0,0,3,13,0,8,0,0,2,10,0,0,0,4,1,1,0,0,0,0,0,0,1,0,9,0,0,0,0,22,0,50,14,0,56,0,0,14,0,0,0,3,0,0,0,0,0,106,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
232,17167,13,0,0,0,6,0,11,0,4,0,0,6,6,7,0,0,3,0,1,0,0,0,0,4,0,10,0,0,0,0,4,16,1,7,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,59,20,2,52,0,1,11,0,0,0,5,0,0,0,0,0,77,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0
248,17527,3,1,0,0,0,0,16,0,4,1,0,3,5,3,1,3,6,0,0,0,0,0,0,1,2,10,0,1,0,0,2,17,0,16,0,0,4,20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,62,17,1,53,0,1,7,0,0,0,0,0,1,0,0,0,103,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0
264,17830,4,0,0,0,0,0,9,0,1,2,0,3,6,12,0,0,5,0,0,0,0,0,0,3,0,8,0,0,0,0,2,11,4,15,0,0,5,11,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,22,0,79,10,2,39,0,0,4,0,0,0,0,0,0,0,0,0,92,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,4,1,0,0,0,0
280,18085,7,1,0,0,0,0,9,0,3,1,0,2,2,5,0,0,2,0,0,0,0,0,1,1,0,8,0,0,0,0,1,15,2,16,0,0,7,13,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,76,11,2,72,0,1,7,0,0,0,2,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1
296,18299,0,1,0,0,0,0,14,0,2,0,0,4,7,4,0,0,5,0,1,0,0,0,0,3,1,9,0,0,0,0,1,4,0,10,0,0,4,8,19,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,68,57,3,81,0,0,5,0,0,0,1,0,0,0,0,0,59,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,2,3,0,0,0,0
312,18482,4,0,0,0,0,0,4,0,2,1,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,9,0,0,3,11,16,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,56,73,2,115,0,0,5,1,0,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
330,18660,2,0,0,0,2,0,4,0,2,0,0,1,1,2,0,0,2,0,0,0,0,0,0,4,0,16,0,0,0,0,0,5,1,7,0,0,3,11,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,104,0,105,0,0,12,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
350,18833,8,0,0,0,0,1,11,2,0,0,0,6,5,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,1,0,0,3,27,33,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,99,41,0,116,0,0,7,1,0,0,0,0,0,0,0,0,28,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,18990,5,0,0,0,0,0,3,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,7,0,0,9,23,26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,63,68,0,129,0,0,8,1,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
390,19142,2,0,0,0,0,0,6,0,0,0,0,0,4,1,0,0,1,0,1,1,0,0,0,0,0,7,0,0,0,0,0,6,0,3,0,0,1,1,28,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,84,68,0,127,0,0,11,1,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
410,19300,2,0,0,0,0,0,9,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,5,0,0,4,10,23,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,50,47,0,186,0,0,5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,19474,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,10,14,91,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,57,0,199,0,0,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
450,19672,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,13,17,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,36,68,0,236,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0
470,19890,4,0,0,0,0,0,2,1,1,0,0,1,9,0,0,0,1,0,0,0,0,0,1,1,0,26,0,0,0,0,1,2,0,4,0,0,17,19,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,45,51,0,176,0,0,17,1,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
490,20124,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,2,0,0,3,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,42,51,1,190,0,0,2,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
510,20368,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,0,8,0,0,0,0,0,1,0,1,0,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,58,0,202,0,0,5,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
530,20617,1,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,16,0,0,0,0,0,4,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,71,0,183,0,1,5,0,0,0,4,0,1,0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,20867,3,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,1,1,28,0,0,0,0,0,3,0,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,23,72,0,202,0,0,11,0,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
570,21111,5,0,0,0,0,0,3,0,1,0,0,2,9,1,0,0,0,1,0,0,0,0,0,1,0,61,0,0,1,0,0,1,0,3,0,0,8,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,42,0,193,0,0,19,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
590,21346,3,0,0,0,0,0,1,1,0,1,0,2,12,2,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,3,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,49,65,0,168,0,0,14,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0
610,21566,1,0,0,0,0,0,1,1,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,1,0,69,0,0,0,0,0,2,0,1,0,0,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,60,71,0,161,0,0,24,0,0,0,4,0,1,0,0,0,7,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
630,21778,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,1,0,117,0,0,0,0,0,0,0,0,0,0,7,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,13,0,249,0,0,10,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
650,22003,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,1,0,0,0,0,0,3,9,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,67,13,0,216,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
670,22262,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,1,0,0,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,52,20,0,231,0,0,3,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
690,22575,2,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,56,12,0,221,0,0,5,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
700,22758,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,56,34,0,219,0,0,4,0,0,0,0,1,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,30881,6,0,0,0,0,0,21,0,1,0,0,2,3,2,0,0,6,0,0,1,3,0,0,0,0,23,0,0,0,0,0,5,0,5,0,0,5,23,11,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,52,30,1,135,0,0,15,0,0,0,2,0,0,0,0,0,54,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0
