"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Ambrosia.type","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.undiff.","Herbs.undiff.","Iva.xanthifolia.type","Picea","Pinus.undiff.","Quercus","Salix","Ulmus","Populus","Poaceae","Acer.saccharum.type","Artemisia","Betula","Carya","Iva.annua.type","Fagus","Fraxinus.pennsylvanica.type","Juglans.cinerea","Liquidambar","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Xanthium","Rhamnaceae.Vitaceae","Thalictrum","Myrica","Rosaceae","Juglans.undiff.","Polygonaceae.undiff.","Rumex","Acer.rubrum","Abies","Alnus.viridis.type","Iva.undiff.","Asteraceae.subf..Cichorioideae","Juglans.nigra","Larix","Plantago","Acer.undiff.","Celtis","Shrubs.undiff.","Ephedra","Sarcobatus.vermiculatus","Nyssa","Castanea"
245.5,2682,361,6,12,10,3,1,3,1,0,1,4,1,22,159,1,14,2,51,1,4,14,7,2,2,1,2,1,3,6,6,4,1,1,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0
285.5,3125,308,6,5,6,1,2,4,4,0,0,2,0,19,155,1,8,0,31,3,4,7,11,0,1,1,6,1,6,0,0,7,2,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
325.5,3569,297,5,2,5,1,0,1,2,0,0,14,1,20,150,3,8,0,35,5,0,2,12,0,3,2,0,0,15,2,4,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
365.5,4012,344,2,12,22,3,2,10,0,0,2,13,2,25,124,2,13,1,32,6,10,4,6,2,1,5,3,0,8,5,8,3,0,0,9,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0
405.5,4455,292,2,9,4,0,1,4,3,0,1,3,2,34,145,2,16,0,29,2,0,4,1,0,0,1,0,0,3,4,6,4,1,0,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445.5,4899,355,4,6,5,1,4,4,3,0,2,4,0,30,200,3,16,0,28,2,7,2,2,0,0,1,0,0,4,10,2,3,1,1,3,0,0,0,0,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
485.5,5342,321,1,14,22,0,2,8,3,0,0,10,2,35,130,1,12,0,28,3,4,7,0,1,5,0,1,0,8,2,4,5,4,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
505.5,5511,325,2,16,9,0,2,5,5,0,0,3,3,35,133,1,33,0,23,1,12,2,6,0,1,0,2,0,5,8,5,0,3,0,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545.5,5845,410,3,13,8,1,2,1,0,0,0,9,3,57,135,1,34,3,27,12,5,5,9,2,3,0,3,0,24,15,6,13,5,0,2,0,2,0,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
565.5,6013,388,2,12,21,2,2,10,3,2,3,5,4,27,149,2,55,0,20,23,2,2,1,2,0,2,0,0,13,8,9,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
605.5,6347,349,1,9,13,1,0,3,4,0,0,3,2,35,156,3,30,0,11,8,4,2,6,3,2,3,3,0,10,11,11,4,2,0,4,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
645.5,6682,320,1,7,15,0,3,4,0,0,0,3,2,20,122,0,47,0,15,12,6,0,12,0,0,3,0,0,12,6,6,8,3,0,5,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685.5,7016,536,1,23,8,0,2,8,5,0,0,13,1,28,222,3,46,1,33,9,9,6,25,6,2,4,0,0,28,8,6,10,11,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,2,0,0
745.5,7518,351,0,13,10,2,2,5,2,0,3,7,4,45,101,2,32,0,37,6,7,1,5,4,0,0,0,1,7,17,15,3,4,1,4,0,1,0,0,1,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,1,0,0
785.5,7852,397,0,13,13,1,0,19,1,0,3,9,8,46,101,0,45,3,22,7,6,5,8,0,0,1,1,0,14,25,14,5,3,0,7,0,3,3,0,0,0,1,1,1,1,0,0,0,2,1,0,1,0,0,0,1,2,0
825.5,8187,388,3,11,12,0,1,6,6,0,1,13,9,64,98,3,52,1,17,0,6,6,7,1,0,0,0,0,19,17,10,3,4,0,7,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0
845.5,8800,471,3,20,11,0,2,22,7,0,0,2,17,90,95,6,32,1,26,2,12,18,7,5,0,0,0,1,18,34,22,2,4,0,4,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0
865.5,9544,265,2,8,2,0,2,3,11,0,1,4,10,43,58,1,33,0,10,3,3,8,2,1,1,0,0,0,9,16,16,2,3,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,1
885.5,10287,263,3,2,3,1,0,3,10,0,0,2,24,42,52,1,35,0,11,12,5,10,2,0,0,2,1,0,7,18,2,2,5,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0
905.5,11030,341,2,5,5,0,1,1,19,0,1,3,37,38,77,2,38,1,19,15,6,9,6,0,0,1,1,0,20,20,2,0,4,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0
925.5,11774,239,0,9,2,0,0,2,7,0,2,3,17,27,53,0,35,0,7,8,3,6,6,1,1,2,1,0,15,18,3,2,3,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
945.5,12517,245,1,3,5,0,1,1,8,0,1,1,23,22,56,1,44,0,5,8,4,8,5,1,0,0,0,0,18,11,2,3,5,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
955.5,12888,239,1,4,3,3,0,5,11,0,0,2,19,30,57,1,29,0,9,10,6,1,2,0,1,0,1,0,17,17,4,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
965.5,13260,133,0,2,0,0,0,5,6,0,0,0,22,11,22,2,13,0,12,3,7,3,1,1,0,0,1,0,11,4,2,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
