"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus..pentaporate.","Alnus..tetraporate.","Betula","Carya","Castanea","Celtis","Cornus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Juglans","Larix","Liquidambar","Nyssa","Ostrya","Picea","Pinus","Platanus","Quercus","Rhamnaceae","Rhus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Impatiens","Plantago.lanceolata","Poaceae.undiff.","Rosaceae","Rumex","Solanaceae","Thalictrum","Urtica","Zea"
29.5,37,0,0.006825939,0.017064846,0.013651877,0.037542662,0.119453925,0.044368601,0.027303754,0,0,0.017064846,0.006825939,0.003412969,0.030716724,0,0.010238908,0,0.006825939,0.003412969,0.037542662,0.003412969,0.027303754,0,0.23890785,0,0.003412969,0,0,0,0.006825939,0,0.187713311,0,0.003412969,0,0,0,0.006825939,0.003412969,0,0,0.023890785,0.071672355,0.006825939,0.034129693,0,0,0,0
30,38,0,0.015673981,0.003134796,0.012539185,0.034482759,0.109717868,0.056426332,0.065830721,0,0,0.009404389,0,0.012539185,0.012539185,0,0.012539185,0,0.003134796,0.003134796,0.02507837,0.003134796,0.018808777,0.006269592,0.197492163,0,0,0.006269592,0,0.009404389,0.009404389,0.006269592,0.137931034,0,0,0.012539185,0,0.006269592,0.006269592,0.003134796,0,0,0.012539185,0.119122257,0,0.068965517,0,0,0,0
35,53,0,0.009646302,0.006430868,0,0.048231511,0.125401929,0.038585209,0.051446945,0,0,0.009646302,0.006430868,0.009646302,0.019292605,0,0.012861736,0,0.003215434,0,0.006430868,0,0.019292605,0.003215434,0.231511254,0,0,0.003215434,0,0.003215434,0.025723473,0.003215434,0.199356913,0,0,0,0,0,0.003215434,0.006430868,0.006430868,0,0.009646302,0.102893891,0.003215434,0.028938907,0,0,0.003215434,0
40,67,0,0.003521127,0.007042254,0.01056338,0.031690141,0.13028169,0.052816901,0.066901408,0,0,0.007042254,0.003521127,0.014084507,0.007042254,0,0.007042254,0,0.01056338,0,0.017605634,0,0.070422535,0.007042254,0.176056338,0,0,0,0,0.017605634,0.028169014,0,0.176056338,0,0,0.01056338,0,0,0.003521127,0,0,0,0.003521127,0.088028169,0.007042254,0.042253521,0,0,0,0
45,82,0,0.016949153,0,0.006779661,0.050847458,0.128813559,0.033898305,0.033898305,0,0,0.006779661,0,0,0.013559322,0,0.010169492,0,0.003389831,0,0.010169492,0.006779661,0.054237288,0,0.244067797,0,0,0.003389831,0,0.010169492,0.010169492,0.003389831,0.155932203,0,0,0.016949153,0,0,0,0.006779661,0.003389831,0,0.006779661,0.118644068,0.003389831,0.040677966,0,0,0,0
50,96,0,0.003215434,0.012861736,0.006430868,0.048231511,0.073954984,0.054662379,0.051446945,0,0,0,0,0.01607717,0.032154341,0.003215434,0.003215434,0,0,0.003215434,0.012861736,0.006430868,0.035369775,0.003215434,0.22829582,0,0.003215434,0,0.003215434,0.022508039,0.012861736,0.003215434,0.189710611,0,0,0.003215434,0,0.006430868,0,0.003215434,0.003215434,0,0.012861736,0.093247588,0,0.045016077,0,0,0,0.003215434
55,111,0,0,0.010676157,0,0.060498221,0.078291815,0.074733096,0.049822064,0,0,0.024911032,0,0.010676157,0.014234875,0,0.010676157,0,0,0,0.010676157,0.003558719,0.056939502,0,0.227758007,0,0,0,0,0.017793594,0.035587189,0,0.174377224,0,0,0.007117438,0,0,0,0.003558719,0.003558719,0,0.007117438,0.039145907,0.007117438,0.06405694,0,0,0.003558719,0.003558719
60,125,0,0.006493506,0.00974026,0.006493506,0.042207792,0.038961039,0.068181818,0.058441558,0,0,0.00974026,0.003246753,0.016233766,0.016233766,0.003246753,0.006493506,0,0,0,0.016233766,0.019480519,0.058441558,0.016233766,0.305194805,0,0,0.003246753,0.003246753,0.012987013,0.019480519,0,0.12012987,0,0,0.003246753,0.003246753,0.003246753,0,0,0.006493506,0,0.003246753,0.077922078,0.006493506,0.035714286,0,0,0,0
65,140,0,0.006779661,0.006779661,0.016949153,0.054237288,0.094915254,0.047457627,0.057627119,0,0,0.013559322,0,0.010169492,0.006779661,0,0.013559322,0,0.003389831,0,0.013559322,0.003389831,0.040677966,0.016949153,0.308474576,0,0.003389831,0.006779661,0,0.013559322,0.016949153,0.006779661,0.071186441,0,0.003389831,0.006779661,0,0.006779661,0,0.006779661,0.010169492,0,0.003389831,0.06779661,0,0.061016949,0,0,0,0
70,154,0,0,0.010067114,0.006711409,0.05033557,0.087248322,0.053691275,0.05704698,0,0,0.003355705,0.003355705,0.020134228,0.023489933,0,0.013422819,0,0,0.010067114,0.013422819,0,0.093959732,0.003355705,0.275167785,0,0.003355705,0.003355705,0,0.016778523,0.016778523,0,0.100671141,0,0.003355705,0.010067114,0,0,0.003355705,0,0.006711409,0,0.006711409,0.043624161,0.003355705,0.05704698,0,0,0,0
75,169,0,0.022801303,0.013029316,0.009771987,0.06514658,0.061889251,0.052117264,0.022801303,0,0.003257329,0,0,0.029315961,0.016286645,0,0.006514658,0,0,0,0.013029316,0.003257329,0.078175896,0,0.381107492,0,0.003257329,0.009771987,0,0.006514658,0.009771987,0,0.094462541,0,0,0,0,0,0,0,0,0,0,0.042345277,0.003257329,0.052117264,0,0,0,0
80,183,0,0.009836066,0.016393443,0.006557377,0.059016393,0.075409836,0.045901639,0.049180328,0,0,0.003278689,0,0.016393443,0.009836066,0,0.006557377,0,0.003278689,0,0.013114754,0.006557377,0.039344262,0,0.357377049,0,0.006557377,0.003278689,0,0.013114754,0.016393443,0,0.11147541,0,0.003278689,0,0,0,0,0.003278689,0.009836066,0,0,0.052459016,0.003278689,0.059016393,0,0,0,0
85,198,0,0.008823529,0.014705882,0.005882353,0.055882353,0.076470588,0.041176471,0.032352941,0,0,0.002941176,0,0.011764706,0.020588235,0.002941176,0.008823529,0,0,0,0.020588235,0.005882353,0.061764706,0,0.352941176,0,0.002941176,0.002941176,0.002941176,0.026470588,0.029411765,0.002941176,0.085294118,0,0,0.014705882,0,0,0,0,0,0,0,0.058823529,0,0.05,0,0,0,0
90,212,0,0.00660066,0.01320132,0.00330033,0.075907591,0.095709571,0.066006601,0.02970297,0,0.00330033,0.00330033,0,0.00660066,0.01320132,0,0.01320132,0,0,0.00330033,0.02640264,0,0.085808581,0.00330033,0.379537954,0,0,0.00330033,0,0.01320132,0.01320132,0.00330033,0.056105611,0,0,0.00660066,0.00660066,0,0.00330033,0,0,0,0,0.02970297,0.00330033,0.0330033,0,0,0,0
100,241,0,0.022292994,0.02866242,0.025477707,0.041401274,0.085987261,0.038216561,0.066878981,0,0.006369427,0,0,0.022292994,0.015923567,0,0.006369427,0,0.006369427,0,0.006369427,0.003184713,0.070063694,0.00955414,0.369426752,0,0,0.003184713,0,0.00955414,0.022292994,0.003184713,0.044585987,0,0,0.003184713,0,0,0,0.006369427,0.006369427,0,0,0.031847134,0.006369427,0.038216561,0,0,0,0
103,249,0,0.021671827,0.021671827,0.003095975,0.06501548,0.099071207,0.034055728,0.040247678,0,0,0.003095975,0,0.024767802,0.024767802,0,0.012383901,0,0.003095975,0.003095975,0.027863777,0,0.061919505,0.003095975,0.39628483,0,0.003095975,0,0.003095975,0.018575851,0.027863777,0,0.027863777,0,0,0.00619195,0,0.003095975,0,0,0,0.00619195,0,0.024767802,0.009287926,0.024767802,0,0,0,0
105,258,0,0.022082019,0.006309148,0.009463722,0.078864353,0.044164038,0.050473186,0.047318612,0.003154574,0.003154574,0.009463722,0,0.031545741,0.018927445,0,0.003154574,0,0,0,0.006309148,0,0.063091483,0.003154574,0.429022082,0,0,0.003154574,0,0.047318612,0.025236593,0,0.034700315,0,0,0.012618297,0,0,0,0.006309148,0.003154574,0,0,0.025236593,0.006309148,0.006309148,0,0,0,0
110,279,0,0.018691589,0.015576324,0.00623053,0.059190031,0.093457944,0.059190031,0.040498442,0,0,0.003115265,0.00623053,0.018691589,0.024922118,0,0.00623053,0,0,0.003115265,0.018691589,0.003115265,0.065420561,0.021806854,0.46105919,0,0,0,0,0.024922118,0.015576324,0,0.00623053,0,0.003115265,0,0,0,0,0.00623053,0,0,0,0.012461059,0,0.00623053,0,0,0,0
120,321,0,0.007905138,0.007905138,0.035573123,0.043478261,0.090909091,0.063241107,0.075098814,0,0,0,0.003952569,0.031620553,0.007905138,0,0.003952569,0,0,0,0.015810277,0.003952569,0.043478261,0,0.4743083,0,0.023715415,0,0,0.023715415,0.019762846,0,0,0,0,0.011857708,0,0,0.003952569,0.003952569,0,0,0,0.003952569,0,0,0,0,0,0
130,362,0,0.003745318,0.014981273,0.003745318,0.026217228,0.059925094,0.093632959,0.048689139,0,0,0.003745318,0,0.056179775,0.026217228,0.003745318,0,0,0,0,0.04494382,0,0.074906367,0,0.434456929,0,0,0.003745318,0,0.041198502,0.018726592,0,0.007490637,0,0,0.007490637,0,0,0,0,0,0,0,0.003745318,0,0,0,0,0,0.02247191
140,404,0,0.002538071,0.015228426,0.005076142,0.055837563,0.114213198,0.098984772,0.010152284,0.002538071,0,0.007614213,0,0.030456853,0.017766497,0,0.005076142,0,0.005076142,0,0.012690355,0,0.045685279,0.002538071,0.510152284,0,0,0,0.002538071,0.015228426,0.017766497,0,0.002538071,0,0,0,0,0,0,0.007614213,0,0.002538071,0,0.002538071,0,0.007614213,0,0,0,0
150,445,0,0.027439024,0.021341463,0,0.045731707,0.134146341,0.097560976,0.036585366,0,0,0.00304878,0,0.042682927,0.015243902,0,0.006097561,0,0.006097561,0,0,0.00304878,0.057926829,0.00304878,0.442073171,0,0.006097561,0.00304878,0,0.024390244,0.009146341,0.00304878,0.00304878,0,0,0,0,0,0,0,0,0,0,0,0.00304878,0.006097561,0,0,0,0
160,487,0,0.006825939,0.010238908,0,0.027303754,0.133105802,0.092150171,0.034129693,0,0,0,0,0.027303754,0.027303754,0.003412969,0.013651877,0,0,0,0,0,0.040955631,0,0.546075085,0,0.003412969,0.003412969,0.003412969,0.013651877,0.010238908,0,0,0,0,0,0,0,0,0,0,0,0,0.003412969,0,0,0,0,0,0
170,528,0,0.003472222,0.006944444,0,0.048611111,0.145833333,0.0625,0.03125,0,0,0.006944444,0.003472222,0.03125,0.017361111,0,0.003472222,0,0.003472222,0,0.003472222,0.003472222,0.041666667,0.003472222,0.517361111,0,0,0.003472222,0.003472222,0.034722222,0.006944444,0,0,0,0,0.003472222,0,0,0.003472222,0,0,0.003472222,0,0.003472222,0.003472222,0,0,0,0,0
180,570,0,0.003039514,0.018237082,0.006079027,0.03343465,0.097264438,0.088145897,0.03343465,0,0,0.003039514,0,0.072948328,0.018237082,0,0.009118541,0,0,0.003039514,0.006079027,0.003039514,0.045592705,0.006079027,0.486322188,0,0,0,0,0.024316109,0.027355623,0,0,0,0,0.003039514,0,0,0,0.009118541,0,0,0,0,0.003039514,0,0,0,0,0
185,591,0,0.003333333,0.006666667,0.02,0.063333333,0.113333333,0.073333333,0.073333333,0,0,0.006666667,0,0.066666667,0.02,0,0.01,0,0.003333333,0,0.003333333,0.003333333,0.066666667,0,0.403333333,0,0.006666667,0.003333333,0,0.006666667,0.01,0.003333333,0,0,0,0.003333333,0,0,0,0,0,0.003333333,0,0.006666667,0,0,0,0.003333333,0,0.016666667
190,612,0,0.003472222,0,0.017361111,0.076388889,0.100694444,0.097222222,0.083333333,0,0,0.010416667,0,0.045138889,0.03125,0,0.003472222,0,0,0,0.020833333,0,0.041666667,0.003472222,0.413194444,0,0,0,0.003472222,0.006944444,0.010416667,0,0,0,0,0.006944444,0,0.003472222,0,0.003472222,0,0,0,0.013888889,0.003472222,0,0,0,0,0
192,620,0,0.003174603,0.012698413,0.012698413,0.025396825,0.146031746,0.104761905,0.044444444,0,0,0,0,0.044444444,0.034920635,0.003174603,0.00952381,0,0.003174603,0,0.015873016,0,0.047619048,0,0.422222222,0,0,0.003174603,0,0.028571429,0.012698413,0,0.003174603,0,0,0.00952381,0,0,0.003174603,0.003174603,0,0,0,0.006349206,0,0,0,0,0,0
195,632,0,0.013586957,0.013586957,0.008152174,0.048913043,0.095108696,0.130434783,0.029891304,0,0,0,0,0.059782609,0.019021739,0,0.019021739,0,0,0.002717391,0.043478261,0.005434783,0.038043478,0.005434783,0.394021739,0,0,0.002717391,0.008152174,0.024456522,0.02173913,0,0.002717391,0,0,0.002717391,0,0,0,0,0,0.002717391,0,0.008152174,0,0,0,0,0,0
200,653,0,0,0.011331445,0.002832861,0.045325779,0.110481586,0.158640227,0.045325779,0,0,0,0,0.033994334,0.028328612,0,0.002832861,0,0,0,0.02266289,0,0.045325779,0,0.456090652,0,0.002832861,0.002832861,0,0.016997167,0.002832861,0,0,0,0,0,0,0,0.002832861,0,0,0,0,0.005665722,0.002832861,0,0,0,0,0
210,695,0,0,0.009876543,0.004938272,0.039506173,0.155555556,0.101234568,0.041975309,0,0,0,0,0.037037037,0.012345679,0,0.007407407,0,0,0,0.022222222,0.004938272,0.039506173,0.002469136,0.491358025,0,0,0.002469136,0,0.004938272,0.012345679,0,0,0,0,0,0,0,0.002469136,0.007407407,0,0,0,0,0,0,0,0,0,0
220,736,0,0.002695418,0,0.010781671,0.037735849,0.148247978,0.075471698,0.067385445,0,0,0.002695418,0.002695418,0.061994609,0.016172507,0,0.010781671,0,0,0.002695418,0.013477089,0.002695418,0.032345013,0,0.460916442,0,0,0.002695418,0,0.021563342,0.018867925,0,0,0,0,0,0,0,0,0.008086253,0,0,0,0,0,0,0,0,0,0
230,778,0,0.007782101,0.011673152,0.011673152,0.027237354,0.163424125,0.062256809,0.019455253,0,0,0.003891051,0,0.089494163,0.007782101,0,0.011673152,0,0.003891051,0.003891051,0.023346304,0.007782101,0.054474708,0,0.435797665,0,0,0,0,0.019455253,0.003891051,0,0,0,0,0.003891051,0,0,0,0.015564202,0,0.003891051,0,0.007782101,0,0,0,0,0,0
