"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Iva.annua.type","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Quercus","Rumex","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Urtica.type","Vitis","Xanthium","Alnus","Juniperus.Thuja","Populus","Cannabis.sativa.type","Tilia.americana","Chenopodium.type","Pinus.banksiana.P..resinosa","Brassicaceae.cf..Brassica","Juglans.cf..J..nigra","Larix.laricina","Acer.negundo","Acer.saccharinum.type","Pinus.subg..Strobus","Tsuga","Cerealia","Rosaceae","Abies.balsamea","Acer.saccharum","Platanus.occidentalis","Euphorbia.subg..Chamaesyce","Juglans.cf..J..cinerea","Sarcobatus.vermiculatus","Amorpha","Onosmodium","Celtis.occidentalis","Ephedra.trifurca.type","Dalea.candida.type","Rhamnus.alnifolia","Prosopis","Dalea.purpurea","Humulus.lupulus","Phlox","Zanthoxylum.americanum","Laportea.type","Pilea.type","Brassicaceae.undiff.","Thalictrum","Caltha.type","Morus.rubra","Ephedra.viridis.type","Cirsium","Fraxinus.undiff.","Rumex.type.undiff.","Polygonum.lapathifolium.type","Cornus","Caryophyllaceae","Juglans.undiff.","Polygonum.amphibium.type","Viburnum.lentago","Ephedra.undiff.","Galium","Epilobium","Ericaceae","Shepherdia.canadensis"
470,5150,508,0,29,36,11,0,1,2,116,4,0,76,1,0,0,6,1,55,71,0,7,0,15,11,0,1,1,0,11,3,1,0,2,9,2,0,0,0,0,1,10,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,1,0,0,0,3,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,5452,279,0,10,20,6,1,0,3,34,0,0,49,0,0,0,7,1,20,53,0,1,0,6,5,1,1,0,0,3,7,0,0,4,16,2,0,0,0,2,0,4,0,0,1,0,2,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,5754,397,0,24,74,7,0,2,3,42,2,2,72,0,1,0,6,1,25,50,0,4,0,6,15,0,2,1,0,5,10,0,0,4,22,2,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,6057,285,0,16,37,2,0,0,2,27,1,0,62,1,0,0,6,0,26,41,0,0,0,2,11,0,0,0,0,6,11,0,0,2,10,2,0,0,1,0,0,7,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
630,6359,607,0,42,50,7,0,1,2,31,0,0,195,0,0,0,13,0,78,92,0,4,0,7,28,0,2,1,0,11,1,3,0,10,12,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
670,6662,770,0,50,97,15,1,3,2,42,0,0,198,0,0,0,27,1,71,123,1,5,0,9,39,0,1,0,0,13,0,5,0,25,14,0,0,0,0,5,0,0,0,0,2,0,10,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
710,6964,305,0,17,40,5,0,0,1,14,0,0,68,0,0,0,3,0,51,55,1,1,0,4,9,1,0,0,0,1,0,0,0,14,11,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
750,7267,284,0,15,29,8,1,0,0,29,0,0,42,0,0,0,6,1,34,68,1,0,0,9,7,0,0,1,0,6,0,1,0,7,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,7569,507,0,53,50,6,1,7,2,45,0,0,63,0,0,0,10,0,75,119,0,2,0,8,17,0,0,2,0,3,0,10,0,11,16,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
830,7871,1079,0,125,198,12,4,9,5,84,0,0,145,0,0,0,20,1,116,195,0,9,0,26,29,2,2,2,0,12,7,13,0,11,29,0,0,1,1,0,0,0,0,0,0,1,13,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
870,8174,392,0,29,25,6,1,1,1,30,0,0,39,0,0,0,10,16,138,42,0,1,0,4,16,0,0,0,0,7,0,3,0,4,6,0,0,0,2,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
910,8476,289,0,28,13,7,4,1,2,23,0,0,25,0,0,0,2,6,100,39,0,2,0,11,8,0,0,0,0,2,2,1,0,1,4,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,8745,557,0,58,33,14,4,4,5,46,0,0,50,0,0,0,1,24,193,69,0,4,0,3,16,0,0,0,0,5,0,2,0,2,10,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
990,8782,206,0,15,12,4,0,0,2,38,0,0,22,0,0,0,0,0,66,16,0,4,0,5,1,0,0,0,0,1,1,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1030,8818,989,0,0,194,21,0,1,18,61,0,0,124,0,0,0,9,14,119,149,0,15,0,110,33,0,1,0,0,10,6,19,0,0,38,0,0,0,2,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,2,0,0,0,0,0,0,0
1070,8854,621,0,0,72,14,1,0,3,53,0,0,86,0,0,0,14,12,111,85,0,4,0,55,44,0,0,0,0,9,2,15,0,0,25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0
1110,8890,263,0,0,39,4,1,0,5,14,0,0,34,0,0,0,4,11,68,26,0,4,0,27,5,0,0,0,0,2,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1150,9082,833,0,0,78,17,4,0,9,61,0,0,113,0,0,0,15,16,116,138,0,5,0,60,89,0,0,0,0,13,5,13,0,2,31,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,3,0,0,0,0,0,0,0
1190,9273,657,0,0,83,5,3,0,3,71,0,0,95,0,0,0,12,1,126,63,0,3,0,41,47,0,0,0,0,29,6,24,0,0,16,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,7,0,1,0,0,0,0,0
1230,9465,380,0,0,38,13,5,0,3,39,0,0,38,0,0,0,16,1,69,40,0,4,0,28,29,0,0,1,0,18,0,6,0,1,13,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0
1270,9656,574,0,0,48,23,4,0,3,44,0,0,46,0,0,0,11,1,192,83,0,10,0,23,28,0,1,0,0,19,0,8,0,1,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
1308,9838,416,0,0,30,11,0,0,5,14,0,0,41,0,0,0,14,1,166,34,0,3,0,13,45,0,0,0,0,9,0,3,0,1,7,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
1347,10025,647,0,0,27,30,1,0,4,22,0,0,23,0,0,0,11,2,312,63,0,4,0,13,63,0,0,0,0,25,1,12,0,1,6,0,0,0,6,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0
1387,10216,522,0,0,9,20,0,0,9,26,0,0,23,0,0,0,6,5,268,38,0,2,0,6,52,0,0,0,0,10,2,18,0,0,2,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0
1427,10408,565,0,0,5,109,5,0,6,18,0,0,10,0,0,0,17,4,191,35,0,2,0,5,60,0,1,0,0,17,1,25,0,0,5,0,0,0,3,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,5,0,0,2,0,0,0,0
1467,10723,599,0,0,18,91,1,0,15,20,0,0,8,0,0,0,13,76,183,39,0,6,0,5,29,0,0,0,0,34,3,14,0,0,5,0,0,0,10,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0
1507,NA,511,0,0,36,70,0,0,7,60,0,0,11,0,0,0,10,154,9,11,0,10,0,5,18,0,0,0,0,55,1,20,0,0,3,0,0,0,10,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0
1547,NA,559,0,0,53,54,0,0,1,35,0,0,28,0,0,0,5,222,8,13,0,24,0,10,7,0,3,0,0,14,16,12,0,0,5,0,0,0,16,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
1567,NA,888,0,0,112,74,0,0,7,78,0,0,41,0,0,0,18,295,11,44,0,31,0,23,12,0,2,0,0,19,24,13,0,0,8,0,0,0,23,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,1,0
1587,NA,494,0,0,44,23,0,0,10,44,0,0,17,0,0,0,12,217,11,22,0,10,0,5,9,0,0,0,0,8,6,15,0,0,3,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1
1617,NA,501,0,0,59,30,0,0,8,37,0,0,24,0,0,0,16,193,4,34,0,8,0,21,2,0,0,0,0,4,0,17,0,0,8,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,2,0,0,0,0,1,1
1637,NA,536,0,0,51,35,0,0,11,25,0,0,8,0,0,0,10,258,19,27,0,6,0,23,6,0,0,0,0,1,0,16,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
1657,NA,385,0,0,14,1,1,0,3,33,0,0,9,0,0,0,4,151,3,20,0,1,0,15,2,0,0,0,0,0,0,39,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
1664,NA,239,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,202,4,11,0,0,0,9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
