"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Diapensia.lapponica","cf..Oxyria.digyna","cf..Taxus","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris","Dryopteris.type.undiff.","Epilobium","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum","Nuphar","Onagraceae.undiff.","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Quercus","Ranunculaceae","Rhus.typhina","Ribes","Rosaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Taxus","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.undiff.","Woodsia.type"
250,4194,1,4,0,40,0,12,1,1,0,0,2,2,0,490,0,0,3,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,59,12,5,1,0,0,15,2,9,3,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,133,77,13,0,0,3,0,0,0,0,51,0,0,0,0,0,0,0,4,0,0,0,0,4,16,0,0,0,15,0,5,2,0,0,0
275,4567,1,3,0,19,0,9,0,0,1,0,1,0,0,370,0,0,1,1,0,1,0,0,0,0,3,4,0,0,0,0,1,1,0,33,12,6,0,0,1,10,4,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,1,0,108,58,11,0,0,0,0,0,0,0,46,0,0,0,4,0,0,0,1,0,0,2,0,3,6,0,0,0,17,0,0,2,0,0,0
300,5066,0,6,0,7,0,5,0,0,0,0,1,0,0,264,0,0,1,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,37,6,0,0,0,0,10,1,2,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,4,59,49,8,0,0,2,0,0,0,0,33,0,0,0,3,0,0,0,3,0,0,0,2,0,17,0,0,0,9,0,1,2,0,0,0
325,5566,0,0,0,8,1,3,0,0,2,0,2,0,0,186,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,10,4,3,1,0,0,7,1,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,49,28,5,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,3,0,57,0,0,0,8,0,2,0,0,0,0
350,6065,3,0,0,9,0,6,1,0,0,0,1,0,0,268,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,8,9,1,0,0,2,29,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,51,62,6,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,1,113,1,0,1,12,0,8,4,0,0,0
375,6565,1,0,0,10,0,8,0,0,0,0,0,0,0,225,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,11,11,1,1,0,3,12,3,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,89,57,4,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,2,0,107,0,0,0,13,1,2,2,0,0,0
400,7064,0,0,1,6,0,5,0,1,0,0,0,0,0,168,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,7,4,1,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,59,35,2,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,2,0,0,0,0,2,73,0,0,0,4,1,1,1,0,0,1
425,7563,2,0,0,29,3,8,0,0,4,0,1,0,0,216,0,0,2,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,13,15,2,0,0,0,30,2,4,0,2,0,1,0,0,0,0,0,1,0,1,0,0,4,3,0,222,196,5,0,0,3,1,0,0,0,39,0,0,0,0,0,0,0,1,0,0,9,6,0,92,0,0,0,12,0,6,6,0,0,0
450,8063,1,1,0,4,3,1,0,1,2,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,1,0,0,0,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,182,74,3,0,0,1,0,0,0,0,35,0,0,0,1,0,0,0,1,0,0,0,3,2,65,0,0,0,8,0,1,5,0,0,0
475,8562,1,0,0,10,1,4,2,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,9,0,1,0,1,5,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,0,173,80,4,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,1,0,0,1,1,2,24,0,0,0,7,0,0,0,0,0,0
500,9037,2,1,0,5,1,6,0,0,1,0,0,3,0,53,0,0,1,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,193,132,5,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,2,0,0,0,4,0,9,0,0,1,9,0,0,2,0,0,0
510,9189,2,1,0,0,0,2,3,0,4,0,3,0,0,37,0,0,1,0,0,0,0,0,0,0,4,13,0,0,0,1,0,0,0,2,7,1,0,0,0,14,0,37,3,1,0,2,1,0,0,35,0,0,0,1,0,0,21,13,3,35,9,2,0,0,172,0,1,0,0,16,0,0,0,0,0,1,1,7,0,0,0,0,0,1,1,0,0,13,0,5,1,0,2,0
513,9234,0,0,0,0,0,5,5,0,1,0,12,19,2,57,1,0,1,5,0,0,0,0,0,0,3,145,0,0,0,0,0,0,7,0,1,0,0,0,1,47,0,41,47,0,0,9,0,0,0,1,0,0,0,0,0,0,2,8,1,6,8,107,0,1,95,2,0,0,0,5,0,0,0,1,0,0,51,19,0,0,0,0,0,0,1,0,0,3,3,49,1,0,2,0
525,9415,6,0,0,2,1,6,2,0,1,0,1,0,0,150,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,7,2,0,1,0,11,0,1,0,1,0,1,0,0,0,5,0,0,0,1,0,0,7,2,11,186,87,5,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,12,0,3,1,0,0,0
550,9793,18,0,0,3,3,7,1,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,2,6,2,1,0,0,7,0,1,0,3,0,0,1,0,0,15,0,1,0,6,0,0,4,9,4,340,142,3,0,0,3,0,0,0,0,27,0,0,0,0,0,0,0,4,0,0,0,10,0,3,0,0,0,7,1,0,1,0,0,0
575,10171,6,0,0,1,1,21,9,0,2,0,6,5,0,163,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,7,0,4,0,1,0,0,0,8,0,0,0,3,0,0,5,2,6,112,43,6,0,0,15,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,3,4,0,0,1
600,10549,2,0,0,3,3,8,1,0,0,0,3,3,0,317,1,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,14,1,1,0,1,6,0,10,2,0,0,11,0,0,0,31,0,0,0,0,0,0,31,22,9,63,35,8,0,2,31,0,0,0,0,31,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,10,0,8,5,0,0,0
605,10625,9,0,0,4,0,18,6,0,1,0,1,1,0,134,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,17,0,10,2,4,1,1,0,0,0,16,0,0,0,5,0,1,6,5,58,43,87,7,0,0,29,2,0,0,0,26,0,0,0,1,0,1,0,3,0,0,0,3,0,1,0,1,0,5,3,2,6,0,0,0
610,10700,1,0,0,2,0,10,2,0,1,0,0,3,0,203,0,0,0,0,0,0,0,0,0,1,7,8,0,0,0,2,0,0,0,0,3,0,1,0,3,6,0,10,4,2,0,2,0,0,0,21,0,0,0,3,0,4,15,7,62,39,86,9,0,0,24,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,4,1,0,2,0,0,0
615,10776,1,0,0,1,2,17,4,0,0,0,4,3,0,288,0,0,1,1,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,25,0,17,0,2,0,2,0,0,0,30,0,1,0,3,0,3,15,11,47,39,53,12,0,0,37,0,0,1,0,32,0,0,0,2,0,0,0,8,0,1,0,1,0,2,1,0,0,14,0,7,8,0,1,0
620,10852,2,0,0,3,1,17,6,1,0,0,3,3,0,221,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,2,0,0,0,14,1,8,0,1,0,0,0,0,0,17,0,0,0,1,0,0,20,13,55,26,36,9,0,4,33,1,0,0,0,22,0,0,0,0,0,0,0,13,0,0,0,0,0,2,1,0,0,2,0,4,14,0,2,0
625,10927,0,0,0,0,7,10,4,0,1,0,1,4,0,304,0,0,1,1,0,0,0,0,0,0,8,21,0,0,0,0,0,0,2,0,9,0,1,0,3,21,1,25,0,0,0,4,4,0,0,59,0,0,0,8,0,4,13,25,9,51,34,10,0,0,79,0,0,0,1,26,0,1,0,1,0,0,0,15,1,0,1,1,0,3,0,0,1,10,2,10,11,0,0,0
630,11003,4,0,0,2,8,3,2,0,0,0,1,2,0,189,0,0,2,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,3,2,0,0,0,11,0,10,2,0,0,3,0,0,0,19,0,0,0,2,0,1,35,15,17,6,12,6,0,2,45,1,0,0,1,12,0,0,0,4,0,0,0,4,0,0,0,1,0,1,0,0,0,4,2,27,4,0,0,0
635,11078,0,0,0,2,10,0,1,1,0,0,1,5,0,277,0,0,1,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,21,0,0,0,2,1,0,0,29,0,0,1,2,0,1,33,28,6,20,16,16,1,0,70,0,0,0,1,15,0,0,0,3,0,0,1,9,0,0,0,1,0,1,0,0,0,7,2,69,4,0,1,0
640,11154,1,0,0,0,1,2,1,0,0,0,6,3,0,272,0,0,2,1,0,0,0,0,0,0,5,8,0,1,0,0,0,0,0,0,4,1,1,0,3,27,0,34,4,4,0,2,4,0,0,11,0,0,0,3,0,2,39,21,24,24,12,6,0,2,110,0,0,0,0,44,0,0,0,1,0,0,0,11,0,0,0,1,0,5,1,2,1,18,1,27,3,0,2,0
645,11229,0,0,0,2,1,1,1,1,1,0,6,2,0,46,0,0,1,0,0,0,0,0,0,1,6,9,0,3,0,0,0,0,0,1,6,0,0,0,1,13,0,56,2,0,0,6,3,1,0,57,0,0,0,10,0,6,56,26,6,31,28,9,0,0,134,0,0,0,0,28,0,0,0,2,0,1,2,6,0,1,0,0,0,2,2,0,1,8,0,14,2,0,1,0
649,11290,1,0,0,5,0,4,1,0,1,1,9,5,0,115,0,1,1,0,0,4,0,0,0,0,10,26,0,1,2,0,0,0,0,0,12,1,0,0,1,43,1,59,4,0,0,6,0,0,0,29,0,0,0,5,0,2,22,8,0,54,19,11,0,2,268,0,0,0,0,60,0,0,0,1,0,1,2,12,0,0,0,0,0,0,0,0,1,12,2,9,2,0,1,3
650,11305,0,0,0,0,0,2,0,0,0,0,2,5,0,46,0,0,0,4,0,0,0,0,0,0,4,175,0,1,0,0,0,0,5,1,1,1,0,0,4,62,0,23,6,0,0,5,0,0,0,1,0,0,0,0,0,0,5,2,1,16,7,125,0,4,73,0,0,0,0,6,0,0,0,0,0,0,17,29,0,0,0,0,0,0,0,0,1,2,1,53,1,0,0,0
652,11335,0,0,0,0,0,4,2,0,2,0,6,8,0,93,0,0,1,2,0,0,0,0,0,0,4,80,0,1,0,0,0,0,3,0,3,0,1,0,2,63,0,28,4,0,0,14,0,0,0,4,0,0,0,3,0,0,6,8,18,7,23,70,0,0,174,1,0,0,0,14,0,0,0,4,0,0,1,29,0,0,0,0,0,1,1,0,1,5,1,93,5,0,1,0
653,11350,0,0,0,1,0,2,0,0,1,0,4,9,0,38,0,0,0,4,0,1,0,0,0,0,7,148,0,0,0,0,0,0,4,0,2,0,2,0,3,68,0,7,0,0,0,15,2,0,0,0,0,0,1,0,0,0,4,5,13,5,17,87,0,1,75,1,0,0,0,6,2,0,0,0,0,0,3,37,0,0,1,0,0,1,0,1,1,0,0,49,3,0,0,0
654,11366,0,0,0,0,0,3,0,0,1,0,4,18,0,86,0,0,0,0,0,1,0,0,0,3,8,132,0,3,0,0,1,0,4,0,1,0,0,0,2,115,0,29,2,0,0,18,0,0,0,5,0,0,4,0,0,0,12,3,3,3,15,88,0,0,106,0,0,0,0,11,1,0,1,2,0,0,3,43,0,0,0,0,0,0,1,0,0,2,1,96,7,0,2,0
656,11396,0,0,0,0,0,5,0,0,6,0,8,23,0,97,0,0,0,1,0,0,0,0,0,1,6,54,0,14,0,0,3,0,0,0,2,1,1,0,2,87,2,22,4,1,0,28,0,0,0,20,0,0,0,1,0,0,14,7,5,43,19,22,0,2,198,0,0,0,0,14,0,0,0,0,0,0,0,39,0,0,0,0,0,4,1,0,1,3,1,114,2,0,4,0
657,11411,0,0,0,0,0,4,1,0,0,0,4,10,0,47,5,0,0,0,1,2,0,0,0,1,4,42,0,2,2,0,0,0,2,0,1,0,1,0,3,27,0,25,5,0,0,6,1,0,0,2,0,0,0,2,0,0,4,2,0,29,6,45,0,4,139,0,0,0,0,8,1,0,0,2,0,0,17,8,0,1,0,0,0,0,0,0,0,4,0,62,2,0,0,0
658,11426,0,0,0,0,0,1,1,0,0,0,2,19,0,116,1,0,0,3,0,0,0,0,0,0,11,89,0,5,0,0,0,0,0,0,1,0,1,0,0,63,1,39,7,0,0,20,1,0,0,19,1,0,1,0,0,0,7,7,0,30,12,38,0,2,152,1,0,0,0,24,0,0,0,1,0,0,0,38,0,1,0,0,0,0,2,0,1,11,2,103,1,4,0,0
660,11456,0,0,0,1,0,1,0,0,1,0,2,17,0,78,1,0,1,1,0,0,0,0,0,3,4,44,0,5,0,0,0,0,0,2,3,0,0,0,0,37,0,30,4,1,0,12,0,0,0,28,0,0,1,1,0,1,6,10,18,8,19,28,0,0,173,0,0,0,0,18,0,0,0,1,0,0,0,23,0,0,0,0,0,2,0,1,1,3,0,118,4,0,6,0
662,11486,3,0,0,0,2,1,0,0,0,0,2,16,0,50,0,0,0,2,0,0,0,0,0,1,7,39,0,3,0,0,0,0,0,0,0,1,1,0,0,39,0,21,3,0,0,16,1,0,0,27,0,0,1,1,0,2,6,6,10,11,14,27,0,0,130,0,0,0,0,8,0,0,0,1,0,0,0,33,0,0,0,0,0,0,1,0,1,4,0,89,10,0,3,0
665,11539,0,0,0,2,0,3,2,0,1,0,4,17,0,124,0,0,0,0,0,0,0,0,0,1,11,80,0,11,0,0,0,0,0,0,4,1,0,0,1,59,2,65,11,0,0,7,2,0,0,17,0,0,0,1,0,0,19,10,1,64,18,22,0,3,292,0,0,0,0,18,0,0,0,0,0,0,0,38,0,0,2,0,0,3,0,0,0,4,1,152,0,0,3,0
670,11632,1,0,0,2,0,1,0,1,2,0,7,13,0,106,0,0,0,0,0,1,0,0,0,4,6,27,0,15,0,0,0,0,0,2,0,0,2,0,1,33,0,21,6,0,0,16,2,0,0,26,1,0,0,0,0,0,25,7,5,68,20,9,0,2,103,0,0,0,0,22,0,0,0,0,0,0,0,15,0,0,5,0,0,3,0,0,0,5,1,186,4,0,2,2
675,11724,0,1,0,0,1,2,1,0,3,0,2,5,0,64,0,0,1,3,0,0,0,0,0,1,5,19,0,8,0,0,0,0,0,1,2,0,0,0,0,22,2,36,3,1,0,3,0,0,0,34,0,0,1,3,0,0,5,7,7,24,15,18,0,0,161,0,0,0,0,9,0,0,0,2,0,0,2,7,0,0,0,0,0,1,1,0,1,8,3,111,2,0,6,1
680,11817,3,0,0,1,1,3,0,3,0,0,4,8,0,80,0,0,1,1,1,3,0,0,0,0,19,21,0,1,0,0,0,0,0,1,3,3,0,0,0,32,3,93,5,3,0,4,0,0,0,28,0,0,0,0,0,0,10,5,1,24,6,8,0,3,289,1,1,0,0,31,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,0,0,6,0,5,1,6,0,0
685,11910,0,0,0,1,0,7,2,1,2,0,0,15,0,139,0,0,0,1,0,0,0,0,0,0,4,33,0,3,0,0,0,0,1,1,4,0,0,0,0,42,2,175,4,1,0,6,1,0,0,1,0,0,0,0,1,0,8,5,4,18,18,18,0,4,329,1,0,0,0,23,1,0,0,5,0,0,5,6,0,1,3,0,0,0,0,1,1,8,3,32,9,0,1,0
690,12003,1,0,0,2,0,4,2,0,1,0,3,7,0,100,0,0,0,0,0,0,0,0,0,1,1,25,0,1,0,0,1,0,0,0,3,0,0,0,2,52,3,92,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,22,12,13,0,0,272,1,0,0,0,18,1,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,6,1,27,7,0,3,0
695,12096,0,0,0,1,0,6,1,0,0,0,3,1,0,64,0,0,0,0,0,1,0,0,0,0,2,19,2,0,0,0,0,0,0,0,2,1,0,0,2,41,1,71,4,0,0,1,0,0,0,2,0,0,0,3,0,4,2,4,10,14,7,4,0,0,168,0,0,0,0,7,0,0,0,2,0,0,1,2,0,1,0,2,0,1,0,0,1,8,2,2,1,0,1,2
700,12188,0,0,0,1,0,5,0,0,0,0,6,3,0,117,0,0,0,1,0,0,0,0,0,0,16,30,0,6,0,0,0,0,1,2,2,0,1,0,1,40,1,141,6,0,0,9,0,0,0,0,0,0,0,1,0,0,5,13,5,41,14,6,0,10,372,1,0,0,0,41,1,0,0,0,0,0,0,14,0,0,0,0,0,0,3,2,0,3,0,7,2,3,0,0
705,12281,0,0,0,1,0,6,8,0,1,0,6,7,0,173,1,0,1,0,0,0,0,0,0,0,0,16,0,1,0,0,1,0,0,0,0,0,0,0,0,16,1,93,4,2,0,10,1,0,0,2,0,0,0,0,0,1,1,1,1,11,9,7,0,1,217,1,0,0,0,9,2,0,0,0,0,0,2,21,0,1,0,0,0,1,0,0,0,7,0,8,1,0,0,0
712,NA,1,0,0,0,0,3,12,0,1,0,14,2,0,127,0,0,0,1,0,0,0,0,0,0,3,52,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,29,0,0,0,0,0,1,1,0,0,3,5,5,17,17,24,48,0,0,128,0,0,0,0,6,0,0,0,2,0,0,8,64,0,0,0,0,0,3,0,0,0,8,4,11,3,0,0,0
718,NA,0,0,0,0,0,24,0,1,1,0,6,0,0,43,0,0,2,3,0,0,0,0,0,0,5,145,0,0,1,0,2,0,1,0,2,0,0,0,4,0,1,5,1,0,0,7,1,0,0,0,0,0,0,0,0,0,8,2,2,54,21,56,1,0,5,0,0,0,0,13,0,0,0,5,0,0,4,78,0,0,0,1,0,1,0,1,0,6,1,4,3,0,0,0
740,NA,0,0,0,0,0,4,1,0,0,0,16,0,0,13,0,0,0,2,0,0,0,2,0,0,5,154,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,2,0,53,11,102,0,0,0,0,0,0,0,11,0,0,0,10,0,0,14,26,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0
750,NA,0,0,0,0,0,5,3,2,0,0,25,1,0,32,0,0,1,6,0,0,0,0,0,1,6,212,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,11,2,57,14,122,0,0,10,0,0,0,0,11,1,0,0,17,0,0,3,19,0,1,0,0,0,0,0,0,0,10,2,2,5,0,0,0
760,NA,1,0,0,1,0,0,7,3,5,0,3,4,0,17,1,0,1,4,0,0,0,0,0,0,11,91,0,0,0,0,0,0,26,1,9,2,0,0,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,1,43,21,154,0,0,0,0,0,0,0,13,0,0,0,13,0,0,6,59,0,2,0,0,0,0,0,1,0,3,0,2,1,0,0,0
770,NA,0,0,0,1,0,7,1,1,3,0,12,1,1,46,0,0,2,0,0,2,1,0,0,0,12,27,0,0,0,0,0,0,3,2,0,0,0,0,7,2,0,8,1,0,0,3,0,0,0,0,0,0,0,3,0,0,7,14,29,14,21,53,0,1,7,0,0,0,0,43,0,0,0,2,0,0,16,61,0,2,0,0,0,0,0,0,0,7,34,0,1,0,0,0
780,NA,0,0,0,1,0,4,0,0,0,0,1,0,0,26,0,0,1,2,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,2,3,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,17,6,18,0,0,0,0,2,0,0,6,0,0,0,1,0,0,10,10,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0
