"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Ericaceae","Fagus","Fraxinus.nigra.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea","Pinus","Abies","Betula","Betula.undiff.","Acer.spicatum","Cyperaceae","Fraxinus.pennsylvanica.type","Larix","Acer.saccharum","Amaranthaceae","Taxus","Juniperus.communis.Thuja.occidentalis.type","Caryophyllaceae","Carya.ovata","Populus.tremuloides.type","Rosaceae","Corylus.cornuta","Myrica.gale","Thalictrum","Cupressaceae.cf..Thuja.occidentalis","Castanea.dentata","Populus.balsamifera.type","Ilex.Nemopanthus"
200,6420,0,0.00231481481481481,0.0115740740740741,0.0138888888888889,0.00462962962962963,0.00694444444444444,0,0.00694444444444444,0.00231481481481481,0.122685185185185,0,0.00925925925925926,0,0,0,0,0,0.0925925925925926,0.0277777777777778,0.215277777777778,0,0.00231481481481481,0.00694444444444444,0.00925925925925926,0.0185185185185185,0.00231481481481481,0.423611111111111,0,0.00231481481481481,0.00231481481481481,0,0.00694444444444444,0,0.00231481481481481,0.00462962962962963,0,0,0,0.00231481481481481,0,0,0,0,0,0,0
220,7063,0,0.00378071833648393,0.0056710775047259,0.00378071833648393,0.00189035916824197,0,0,0.00378071833648393,0,0.100189035916824,0,0.00189035916824197,0,0,0.00189035916824197,0,0,0.0359168241965974,0.0359168241965974,0.274102079395085,0,0.00756143667296786,0.0056710775047259,0.0189035916824197,0.00756143667296786,0.00945179584120983,0.455576559546314,0,0.00189035916824197,0.00756143667296786,0,0.0132325141776938,0,0,0,0,0,0,0,0.00189035916824197,0.00189035916824197,0,0,0,0,0
240,7705,0,0.00192678227360308,0.00192678227360308,0.00385356454720617,0.00192678227360308,0,0,0.0115606936416185,0.00192678227360308,0.0616570327552987,0,0.00192678227360308,0,0,0,0,0.00192678227360308,0.0539499036608863,0.0192678227360308,0.296724470134875,0,0.00770712909441233,0.00770712909441233,0.0289017341040462,0.0134874759152216,0,0.466281310211946,0,0,0.00770712909441233,0,0.00385356454720617,0,0.00192678227360308,0,0,0,0.00385356454720617,0,0,0,0,0,0,0,0
260,8347,0.00894854586129754,0,0.00671140939597315,0.00671140939597315,0,0.00671140939597315,0,0,0.00223713646532438,0.0648769574944072,0.0268456375838926,0.0111856823266219,0.00447427293064877,0,0,0,0,0.0268456375838926,0.087248322147651,0.223713646532438,0,0.00671140939597315,0.00223713646532438,0.0201342281879195,0.00671140939597315,0.0111856823266219,0.458612975391499,0,0,0,0.00671140939597315,0.00894854586129754,0,0,0,0,0,0.00223713646532438,0,0,0,0,0,0,0,0
280,8989,0,0,0.0111856823266219,0.00671140939597315,0,0,0,0.00671140939597315,0.00447427293064877,0.0313199105145414,0,0.00671140939597315,0,0,0.00223713646532438,0,0,0.0178970917225951,0.0268456375838926,0.458612975391499,0,0,0,0.0134228187919463,0,0.0111856823266219,0.389261744966443,0,0,0.00223713646532438,0,0,0,0.00223713646532438,0,0,0,0.00223713646532438,0,0,0.00223713646532438,0.00223713646532438,0.00223713646532438,0,0,0
300,9631,0.0023696682464455,0.0023696682464455,0.0165876777251185,0.00710900473933649,0,0,0,0.0023696682464455,0,0.0710900473933649,0.0165876777251185,0.018957345971564,0,0,0,0,0,0.033175355450237,0.0568720379146919,0.241706161137441,0,0.009478672985782,0.00710900473933649,0.0545023696682464,0.009478672985782,0.0213270142180095,0.417061611374408,0.004739336492891,0,0,0.0023696682464455,0.0023696682464455,0,0,0,0,0,0,0,0,0,0.0023696682464455,0,0,0,0
320,10273,0.00170068027210884,0.00170068027210884,0.00680272108843537,0.00340136054421769,0,0,0,0.00510204081632653,0.00170068027210884,0.0442176870748299,0,0.00680272108843537,0,0,0.00510204081632653,0,0,0.0459183673469388,0.0119047619047619,0.403061224489796,0,0.00340136054421769,0.00510204081632653,0.0391156462585034,0.0136054421768707,0.00170068027210884,0.379251700680272,0,0,0.00510204081632653,0.00170068027210884,0.0102040816326531,0,0.00170068027210884,0.00170068027210884,0,0,0,0,0,0,0,0,0,0,0
340,10915,0.00191570881226054,0.00574712643678161,0.0134099616858238,0.00574712643678161,0.00191570881226054,0,0,0.00383141762452107,0.00574712643678161,0.0172413793103448,0,0.0114942528735632,0,0,0.00574712643678161,0,0,0.0210727969348659,0.0363984674329502,0.28735632183908,0,0.00191570881226054,0.00383141762452107,0.0268199233716475,0.00191570881226054,0.0153256704980843,0.505747126436782,0,0.00191570881226054,0,0.00957854406130268,0.00574712643678161,0.00191570881226054,0.00191570881226054,0,0,0,0.00191570881226054,0,0.00191570881226054,0.00191570881226054,0,0,0,0,0
360,11557,0.00207900207900208,0,0.0103950103950104,0.00831600831600832,0,0,0,0.00207900207900208,0.0124740124740125,0.0332640332640333,0,0.0145530145530146,0,0,0.00415800415800416,0,0,0.0166320166320166,0.00623700623700624,0.336798336798337,0,0.00623700623700624,0,0.00207900207900208,0,0.0103950103950104,0.523908523908524,0,0,0.00207900207900208,0,0,0,0.00623700623700624,0,0,0,0,0,0,0,0,0,0.00207900207900208,0,0
380,12199,0.00210970464135021,0.00210970464135021,0.00632911392405063,0.0105485232067511,0,0.00210970464135021,0,0.00632911392405063,0.00632911392405063,0.0316455696202532,0,0.00632911392405063,0,0,0.0105485232067511,0,0,0.0232067510548523,0.00632911392405063,0.392405063291139,0,0.00843881856540084,0.00210970464135021,0.0379746835443038,0.00843881856540084,0.00843881856540084,0.40295358649789,0.00421940928270042,0,0.00210970464135021,0,0,0,0.0168776371308017,0,0,0,0,0,0,0,0,0,0,0.00210970464135021,0
400,12841,0.00156494522691706,0.00156494522691706,0.00625978090766823,0.00469483568075117,0.00156494522691706,0.00156494522691706,0,0,0.00625978090766823,0.0312989045383412,0,0.00312989045383412,0,0,0.00782472613458529,0,0.00312989045383412,0.00625978090766823,0.0156494522691706,0.485133020344288,0,0.0109546165884194,0.00156494522691706,0.00625978090766823,0.00156494522691706,0.00156494522691706,0.377151799687011,0.00312989045383412,0,0.00156494522691706,0.00156494522691706,0.00156494522691706,0,0.0125195618153365,0,0,0,0.00156494522691706,0,0.00156494522691706,0,0.00156494522691706,0,0,0,0
420,13483,0,0,0.00146198830409357,0.00584795321637427,0,0.00146198830409357,0,0.00146198830409357,0.0087719298245614,0.0482456140350877,0,0.0204678362573099,0,0,0.0116959064327485,0,0,0.0116959064327485,0.0190058479532164,0.326023391812865,0,0,0.00292397660818713,0.0146198830409357,0.0043859649122807,0.00146198830409357,0.494152046783626,0.00584795321637427,0,0,0.00292397660818713,0.00730994152046784,0.00146198830409357,0.00584795321637427,0,0,0,0.00146198830409357,0,0,0,0,0,0,0,0.00146198830409357
440,14125,0,0,0.00309119010819165,0.0262751159196291,0.00463678516228748,0.00154559505409583,0,0.00154559505409583,0.0108191653786708,0.0633693972179289,0,0.0216383307573416,0,0,0.00618238021638331,0,0,0.0494590417310665,0.0108191653786708,0.0958268933539413,0,0.00463678516228748,0.00618238021638331,0.0386398763523957,0.0123647604327666,0,0.635239567233385,0.00309119010819165,0,0,0,0.00154559505409583,0,0.00154559505409583,0,0,0,0.00154559505409583,0,0,0,0,0,0,0,0
