"sample.depths","sample.ages","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Alnus","Populus","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Salix","Thalictrum","Poaceae","Iva.annua.type","Ericaceae","Ulmus","Vitis","Myricaceae","Tsuga","Onagraceae","Platanus","Acer.negundo","Pinus.undiff.","Amorpha.type","Carya","Caryophyllaceae","Rumex","Urtica.type","Shepherdia","Rosaceae","Moraceae","Juglans.nigra"
180,4476,0.00987306064880113,0,0.00564174894217207,0.0211565585331453,0.104372355430183,0.00141043723554302,0.00423131170662906,0.00987306064880113,0.00564174894217207,0.00282087447108604,0.00282087447108604,0.00141043723554302,0.0423131170662905,0.56558533145275,0.0691114245416079,0.0211565585331453,0,0.00564174894217207,0.0959097320169253,0.00423131170662906,0.00141043723554302,0,0.00141043723554302,0,0.0169252468265162,0,0,0.00282087447108604,0,0.00141043723554302,0,0,0,0,0,0,0.00141043723554302,0.00141043723554302,0,0,0,0,0,0
190,4733,0.00761421319796954,0,0.0101522842639594,0.0228426395939086,0.121827411167513,0,0,0.0126903553299492,0.0126903553299492,0.00253807106598985,0.0050761421319797,0,0.0456852791878173,0.581218274111675,0.0532994923857868,0.0152284263959391,0,0.00253807106598985,0.0736040609137056,0.0126903553299492,0,0,0,0,0.0177664974619289,0,0,0.00253807106598985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4990,0.0101010101010101,0,0.0181818181818182,0.0202020202020202,0.0868686868686869,0.00404040404040404,0.00202020202020202,0.0141414141414141,0.00606060606060606,0.00202020202020202,0.0121212121212121,0.00202020202020202,0.0262626262626263,0.55959595959596,0.092929292929293,0.0141414141414141,0,0.0101010101010101,0.0868686868686869,0.00808080808080808,0,0,0.00202020202020202,0,0.0181818181818182,0,0,0,0,0.00404040404040404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5248,0.0053475935828877,0,0.00802139037433155,0.0160427807486631,0.0588235294117647,0.00802139037433155,0.00267379679144385,0.0240641711229947,0.0106951871657754,0.0053475935828877,0.00267379679144385,0,0.0133689839572193,0.625668449197861,0.0401069518716578,0.0160427807486631,0,0.0053475935828877,0.10427807486631,0.0160427807486631,0.00267379679144385,0,0.0106951871657754,0.0053475935828877,0.00802139037433155,0,0,0.00802139037433155,0.00267379679144385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5437,0.00934579439252336,0.00233644859813084,0.00934579439252336,0.0233644859813084,0.105140186915888,0.00934579439252336,0.0116822429906542,0.0350467289719626,0.00700934579439252,0.00700934579439252,0,0,0.0467289719626168,0.525700934579439,0.044392523364486,0.0210280373831776,0,0.00467289719626168,0.100467289719626,0.014018691588785,0,0,0,0,0.0163551401869159,0,0.00233644859813084,0.00233644859813084,0,0.00233644859813084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5558,0.0026525198938992,0,0.0530503978779841,0.0238726790450928,0.090185676392573,0.0026525198938992,0.0026525198938992,0.0159151193633952,0.0159151193633952,0.00530503978779841,0,0,0.013262599469496,0.618037135278515,0.0212201591511936,0.0212201591511936,0,0.0026525198938992,0.0769230769230769,0.00530503978779841,0,0,0.0026525198938992,0,0.0185676392572944,0.00530503978779841,0,0,0,0,0,0,0,0,0,0.0026525198938992,0,0,0,0,0,0,0,0
240,5680,0.00458715596330275,0,0.0114678899082569,0.0160550458715596,0.11697247706422,0.00688073394495413,0.0114678899082569,0.0344036697247706,0.00229357798165138,0.00688073394495413,0.00229357798165138,0,0.018348623853211,0.55045871559633,0.0435779816513761,0.0114678899082569,0,0.0091743119266055,0.084862385321101,0.0252293577981651,0,0.00229357798165138,0.00229357798165138,0.00229357798165138,0.0206422018348624,0,0,0.00458715596330275,0,0.00688073394495413,0,0,0,0,0,0.00458715596330275,0,0,0,0,0,0,0,0
250,5802,0,0,0.00267379679144385,0.0294117647058824,0.0855614973262032,0.00802139037433155,0,0.0294117647058824,0.00267379679144385,0.00802139037433155,0,0.00267379679144385,0.018716577540107,0.63903743315508,0.0160427807486631,0.0160427807486631,0,0.0053475935828877,0.101604278074866,0.0053475935828877,0,0,0.00267379679144385,0,0.0106951871657754,0,0,0.00267379679144385,0,0.0133689839572193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5923,0,0,0.0111111111111111,0.02,0.0955555555555556,0.00888888888888889,0.0133333333333333,0.0533333333333333,0.0111111111111111,0.0155555555555556,0.00222222222222222,0.0111111111111111,0.0111111111111111,0.506666666666667,0.0555555555555556,0.0377777777777778,0,0.00666666666666667,0.0955555555555556,0.0111111111111111,0.00222222222222222,0,0.00222222222222222,0,0.0177777777777778,0,0,0.00666666666666667,0,0.00444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,6045,0.00233100233100233,0,0.013986013986014,0.0396270396270396,0.114219114219114,0.0186480186480186,0.00233100233100233,0.0303030303030303,0.00466200466200466,0.006993006993007,0.00233100233100233,0.00932400932400932,0.006993006993007,0.564102564102564,0.0396270396270396,0.0256410256410256,0,0.00233100233100233,0.0722610722610723,0.0116550116550117,0,0,0.006993006993007,0,0.0186480186480186,0,0,0.006993006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
