"sample.depths","sample.ages","upland.sum","Acer.undiff.","Alnus.undiff.","Ambrosia.type","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.undiff.","Juglans.cinerea","Ostrya.Carpinus","Pinus.undiff.","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Juniperus.Thuja","Populus","Poaceae","Artemisia","Fraxinus.nigra.type","Larix","Platanus","Brassicaceae","Corylus","Ilex","Asteraceae.subf..Asteroideae.undiff.","Iva.annua","Acer.saccharum.type","Castanea","Juglans.nigra","Magnolia","Picea","Thalictrum","Apiaceae","Alnus.incana","Pinus.strobus","Shepherdia.canadensis","Liquidambar","Impatiens","Asteraceae.subf..Cichorioideae","Nyssa","Lamiaceae","Plantago","Rosaceae","Sarcobatus.vermiculatus","Celtis","Ericales","Taxus","Ephedra","Myrica","Viburnum","Ilex.Nemopanthus.undiff.","Alnus.viridis","Cephalanthus","Abies","Cornus","Caryophyllaceae","Rubiaceae.undiff."
1034,3337,967,7,0,1,44,36,0,8,223,26,6,49,51,205,0,1,14,18,103,6,1,1,3,44,8,7,0,2,0,1,0,79,1,0,0,1,1,0,5,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1042,3446,957,22,0,1,47,50,0,8,181,19,13,56,31,185,0,2,22,19,119,20,2,4,3,25,6,14,0,0,0,4,0,75,0,0,0,0,2,0,2,20,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1049,3542,996,10,0,1,56,31,0,8,206,31,6,42,17,198,0,2,15,8,139,8,3,0,2,70,12,14,0,1,0,1,0,96,0,0,0,1,0,0,7,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1058,3701,970,8,0,4,58,23,0,10,243,33,4,32,37,200,0,5,13,8,113,9,1,2,0,36,7,9,0,3,0,0,0,95,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,3867,933,7,0,2,25,21,0,8,189,29,10,63,42,218,0,2,26,6,110,7,2,1,3,36,2,13,0,0,0,1,0,83,0,0,0,0,0,0,5,19,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1074,4034,1284,35,0,3,47,45,0,8,292,24,11,48,33,353,0,9,19,2,173,7,0,1,2,58,3,20,0,2,0,0,0,64,0,2,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1082,4200,1003,3,0,3,37,35,1,4,172,23,15,46,63,364,0,3,12,2,92,3,0,0,3,15,3,11,1,1,0,1,0,61,1,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1090,4366,1032,5,0,5,36,54,0,4,142,29,5,56,37,328,0,1,15,12,136,9,1,0,4,36,4,17,0,1,0,0,0,74,1,0,0,2,1,0,3,8,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1106,4699,1062,20,0,8,52,47,0,4,190,12,20,31,32,267,0,9,21,15,120,4,1,4,3,66,6,12,0,0,0,3,0,85,0,0,0,2,1,0,6,18,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1116,4960,983,5,0,3,41,34,1,5,248,26,17,51,17,164,0,0,15,14,147,5,2,3,2,52,10,27,1,1,0,0,0,76,0,0,0,0,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1124,5231,1038,1,0,6,33,39,2,10,261,32,11,36,24,165,0,1,29,39,149,7,1,2,3,41,8,40,0,0,0,1,0,76,0,1,0,0,2,0,10,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1132,5502,971,2,0,2,25,30,1,2,246,21,14,25,25,175,1,2,25,42,151,6,1,2,4,26,7,36,0,0,0,2,0,85,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1140,5773,1083,3,0,2,22,71,0,1,273,33,34,33,24,202,0,2,17,47,138,5,0,3,0,48,7,27,0,3,0,2,0,72,0,0,0,0,0,0,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1148,6044,1039,24,0,5,23,60,2,0,212,24,34,37,18,204,0,6,34,53,160,2,0,3,1,47,4,29,0,0,0,1,0,38,0,0,0,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1156,6315,1055,3,0,4,11,24,2,4,390,21,10,40,17,162,0,2,8,63,135,2,0,2,2,28,2,17,0,1,0,0,0,95,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,6586,1045,4,0,2,15,17,0,8,232,13,3,62,29,241,0,2,20,73,168,5,0,2,3,14,1,24,0,1,0,1,0,91,0,0,0,0,1,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,6873,1034,1,0,6,7,27,1,7,311,20,5,100,43,170,0,2,21,45,129,8,1,2,2,13,0,30,0,1,0,0,0,74,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1180,7048,1039,5,0,4,7,10,0,2,373,11,4,85,26,156,0,5,9,49,156,20,4,1,1,23,0,12,0,0,0,1,0,59,0,1,0,1,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1188,7248,1049,8,0,1,12,16,3,2,291,5,3,78,44,187,1,2,13,46,155,11,0,0,3,43,0,25,0,0,0,1,0,72,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1196,7448,1083,6,0,2,12,18,5,2,357,14,4,108,44,176,0,2,5,50,123,8,1,2,3,26,2,27,0,0,0,4,0,64,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1204,7648,1163,4,0,2,13,13,1,3,294,14,8,100,85,226,0,0,11,45,156,4,0,3,1,25,1,33,0,3,0,2,0,90,1,0,0,1,0,0,2,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1208,7748,946,1,0,1,9,16,0,8,203,16,5,114,76,198,0,2,10,51,103,6,1,2,3,23,0,18,1,2,0,2,0,55,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,7848,1002,18,0,3,10,17,1,2,199,6,1,85,76,314,0,3,15,49,107,2,0,3,1,20,2,14,0,1,0,1,0,40,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,7948,893,4,0,6,1,8,2,4,150,16,3,84,105,200,0,1,15,48,119,8,1,4,2,29,1,24,0,1,0,1,0,33,0,0,0,1,0,0,2,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1220,8048,1135,4,0,3,14,17,5,3,220,21,4,102,101,238,0,0,22,67,133,8,1,4,3,28,0,27,0,1,0,2,0,79,0,0,0,1,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1224,8148,1019,2,0,6,20,16,5,2,114,10,2,123,119,266,0,0,19,61,132,4,0,0,0,12,2,20,1,3,0,0,0,33,1,0,0,1,0,0,1,41,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1226,8198,1045,2,0,1,8,13,3,4,66,16,2,100,134,297,0,1,12,68,135,5,1,0,0,29,1,26,0,1,0,2,0,58,0,1,0,1,0,0,1,49,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0,0
1228,8248,1044,0,0,7,8,12,3,2,31,7,1,93,151,343,0,0,19,74,112,5,1,2,2,32,4,23,0,3,0,2,0,62,0,0,0,1,1,0,2,38,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1230,8298,1073,4,0,6,18,8,1,4,37,25,1,112,146,288,0,3,40,60,137,9,2,3,3,37,1,14,0,4,0,1,0,73,0,0,0,0,0,0,2,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,8392,1044,2,0,4,14,15,2,4,21,7,4,173,207,250,0,0,22,41,108,9,2,0,3,21,4,10,0,1,0,1,0,44,1,0,0,1,0,1,1,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,8438,1088,1,0,4,24,7,0,7,17,14,3,192,249,248,0,3,17,34,111,7,0,2,0,27,3,11,0,6,0,1,0,41,0,0,0,1,0,0,1,55,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1240,8532,987,2,0,5,24,9,0,8,19,16,5,136,153,307,0,4,18,36,94,4,1,1,1,28,3,13,0,2,0,0,0,40,0,0,0,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,8625,1098,19,0,4,24,12,2,6,18,3,8,168,162,390,0,2,18,24,102,12,1,1,0,28,0,9,0,2,0,0,0,36,0,0,0,0,2,0,2,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
1248,8718,985,4,0,3,20,8,3,3,22,9,2,156,151,276,0,4,20,33,88,1,1,0,1,11,1,11,0,6,0,3,0,47,0,0,0,2,0,0,2,93,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
1252,8812,1083,1,0,2,18,12,1,6,9,19,2,159,213,310,0,1,24,15,100,4,2,0,1,24,4,10,0,0,0,2,0,45,0,0,0,1,0,1,2,90,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
1256,8905,951,0,0,3,13,4,0,7,5,8,4,137,163,297,0,1,11,17,90,3,1,2,1,17,2,8,0,2,0,2,0,30,0,0,0,1,0,0,0,118,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
1260,8998,1065,0,0,5,26,4,2,3,5,12,2,156,271,319,0,1,14,12,48,0,0,1,0,28,0,20,1,0,0,1,0,35,0,0,0,0,0,0,2,93,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1264,9092,1011,4,0,3,34,13,3,5,7,17,2,139,268,241,0,7,9,7,56,1,1,0,1,20,0,16,0,4,0,0,0,17,0,0,0,1,0,0,3,127,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
1268,9185,1018,3,0,4,45,12,0,4,6,10,4,144,307,241,0,2,3,4,50,0,0,4,0,25,1,16,0,1,0,3,0,24,1,0,0,3,0,0,0,98,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1272,9278,961,1,0,5,35,9,0,7,4,8,2,109,264,301,0,2,7,12,50,2,2,0,3,21,3,15,0,2,0,1,0,20,0,0,0,0,0,0,1,70,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
1276,9372,929,2,0,9,36,8,5,6,2,9,5,131,258,271,0,2,4,5,55,3,3,3,0,24,0,9,0,0,0,2,0,8,1,0,0,1,2,0,2,60,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1284,9558,1089,0,0,5,32,13,2,5,5,6,2,93,371,322,0,5,5,15,58,1,3,0,1,19,3,13,0,6,0,0,0,15,0,0,0,0,0,2,0,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1291,9697,1009,0,0,4,58,6,2,10,1,5,3,96,341,265,0,3,2,3,47,3,2,3,3,34,4,6,0,6,0,4,0,20,0,0,0,1,0,0,2,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1300,9796,1135,0,0,5,53,1,1,7,4,6,2,79,523,217,0,0,2,14,48,1,2,0,3,33,6,5,0,5,0,3,0,10,0,0,0,2,0,0,1,95,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
1308,9884,1014,4,0,3,60,5,0,1,0,4,2,65,466,195,0,1,1,5,52,1,5,5,2,34,1,10,0,0,0,0,0,6,0,0,0,2,0,0,1,75,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,4,0,0,0
1316,9972,969,0,0,0,48,4,1,5,5,14,1,53,520,145,0,4,0,7,42,1,2,2,0,27,5,14,0,6,0,0,0,9,0,0,0,3,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
1324,10060,1015,0,0,4,51,4,1,10,2,12,0,26,494,159,0,6,0,8,69,1,10,5,3,18,2,7,0,4,0,2,0,20,0,0,0,3,0,0,2,84,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0
1332,10147,991,0,0,7,54,4,1,2,2,2,5,42,546,126,0,2,0,6,41,2,4,2,3,23,5,10,1,10,0,0,0,6,0,0,0,5,0,0,4,69,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
1340,10235,1139,0,0,1,95,9,0,5,1,1,4,41,585,151,0,4,1,13,64,2,3,1,5,41,0,0,0,1,0,3,0,7,0,0,0,5,0,0,2,80,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12,0,0,0
1348,10323,1051,0,0,2,71,4,0,5,1,4,1,24,476,121,0,4,0,6,75,3,8,4,1,28,2,2,0,4,0,1,0,4,0,0,0,2,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0
1352,10458,1126,0,0,5,90,4,1,3,1,1,1,34,535,105,0,6,0,6,72,1,24,3,1,24,17,4,0,5,0,0,0,5,0,0,0,8,0,0,2,148,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,0,0,0
1356,10594,1074,1,0,2,231,4,0,6,1,3,2,40,354,114,0,4,0,4,72,2,11,3,4,30,3,2,0,11,0,1,0,6,0,0,0,1,0,0,0,149,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,10,0,0,0
1360,10729,983,1,0,5,117,10,3,6,1,6,0,62,340,118,0,3,0,4,94,2,29,2,5,32,22,4,0,5,0,1,0,7,0,0,0,16,0,0,1,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1364,10864,1099,0,0,1,95,11,1,5,1,8,3,89,417,144,0,6,0,3,101,4,18,8,5,32,25,3,0,10,0,1,0,13,0,0,0,29,0,0,0,37,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26,0,0,0
1372,11134,967,2,0,6,78,5,3,11,3,4,7,86,321,168,3,11,0,2,61,1,28,9,1,37,0,0,0,2,0,3,0,7,0,0,0,26,0,0,2,44,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,33,0,0,0
1380,11405,968,0,0,4,32,4,0,18,4,6,4,90,399,133,0,3,0,3,35,8,25,3,6,51,21,7,0,18,0,3,0,6,0,0,0,42,0,0,3,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,30,0,0,0
1388,11675,944,0,0,2,15,3,0,8,1,2,3,30,502,88,0,8,0,6,33,11,22,6,6,27,26,3,0,7,0,3,0,2,0,0,0,107,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
1396,11945,978,0,0,3,38,2,0,16,0,6,1,34,309,105,0,13,0,4,34,19,50,9,13,32,44,2,1,3,0,4,0,4,0,0,0,202,0,0,8,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0
1406,NA,1060,0,0,8,61,4,1,25,2,0,5,28,195,106,0,23,0,10,51,26,129,34,14,27,31,0,0,0,0,6,0,3,0,0,0,232,0,1,8,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0
1414,NA,581,0,0,1,38,0,0,14,0,0,0,9,136,35,0,4,1,8,4,2,31,9,12,3,35,0,0,0,0,5,0,1,0,0,0,218,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
1446,NA,581,0,0,9,6,3,0,35,0,1,1,6,20,30,0,6,0,0,6,25,7,15,24,11,1,0,0,0,0,5,0,0,0,0,0,360,1,0,4,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
