"sample.depths","sample.ages","Acer.rubrum","Alnus","Carya","Casuarina","Cephalanthus.occidentalis","Citrus","Clematis.type","Conocarpus","Cornus","Diospyros","Ficus.aurea","Fraxinus.caroliniana","Ilex","Juglandaceae.undiff.","Magnolia.virginiana","Myrica.cerifera","Ostrya","Arecaceae","Picea","Pinus.elliottii","Psychotria","Quercus","Myrsine.cubana","Rhamnaceae","Rhizophora.mangle","Salix.caroliniana.type","Sideroxylon","Taxodium","Trema.micrantha","Ulmus","Vitis","Zanthoxylum.fagara","Amaranthaceae","Salicornia.type","Chenopodium.album.type","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Iva.frutescens","Anacardiaceae","Apiaceae","Brassicaceae","Euphorbiaceae","Fabaceae.undiff.","Crotalaria.type","Hippocratea.type","Hypericum","Lamiaceae","Polygalaceae","Polygonum","Rumex","Sabatia.type","Solanaceae","Urticaceae","Verbenaceae","Waltheria.indica","Cerealia","Cyperaceae.undiff.","Vaccinium.type","Poaceae.undiff."
119,4035,0,0,0,0,0,0,0,0,0,0,0,0.00336700336700337,0,0,0,0.00336700336700337,0,0.00336700336700337,0,0.609427609427609,0,0.0235690235690236,0,0.00673400673400673,0,0.0303030303030303,0,0.148148148148148,0,0,0,0,0.0437710437710438,0,0,0.0404040404040404,0.00673400673400673,0,0,0,0,0.00336700336700337,0,0.00673400673400673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572390572390572,0,0.0134680134680135
123,4102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709030100334448,0,0.00334448160535117,0,0,0,0.0100334448160535,0,0.133779264214047,0,0,0,0,0.0769230769230769,0.00334448160535117,0.00334448160535117,0.0301003344481605,0.00668896321070234,0,0,0,0,0,0,0,0,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0.0133779264214047,0,0.00668896321070234
127,4129,0,0,0,0,0.00328947368421053,0.00328947368421053,0,0,0,0,0,0,0,0,0,0.0230263157894737,0,0,0,0.325657894736842,0,0.0263157894736842,0,0.0164473684210526,0,0.154605263157895,0,0.220394736842105,0,0,0,0,0.0328947368421053,0,0.0131578947368421,0.0526315789473684,0.0263157894736842,0,0.00657894736842105,0,0,0.00986842105263158,0,0.00986842105263158,0,0,0.0164473684210526,0,0,0,0,0,0.00328947368421053,0,0,0,0.00328947368421053,0.0394736842105263,0,0.0131578947368421
131,4135,0,0,0,0,0.0158730158730159,0,0,0,0,0,0,0.00793650793650794,0,0,0,0.0158730158730159,0,0,0,0.420634920634921,0,0.0476190476190476,0,0,0.00793650793650794,0.0555555555555556,0,0.134920634920635,0,0,0.00793650793650794,0,0.0714285714285714,0,0,0.126984126984127,0,0,0,0,0,0,0.00793650793650794,0.0158730158730159,0,0,0,0,0,0,0,0,0,0.00793650793650794,0,0,0,0.0158730158730159,0,0.0396825396825397
135,4138,0,0,0,0,0.0107142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.0285714285714286,0,0.0214285714285714,0,0.0535714285714286,0,0.260714285714286,0,0,0,0,0.0107142857142857,0.0178571428571429,0.00357142857142857,0.05,0.0142857142857143,0,0.00357142857142857,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0,0,0,0.0285714285714286,0,0.0321428571428571
141,4182,0,0,0,0,0.00746268656716418,0,0,0.00373134328358209,0,0,0,0,0,0,0,0,0,0,0,0.645522388059702,0,0.0149253731343284,0,0.00746268656716418,0,0.0149253731343284,0,0.123134328358209,0,0,0,0,0.0111940298507463,0.0186567164179104,0,0.0559701492537313,0.0149253731343284,0,0.00373134328358209,0,0,0,0,0.00373134328358209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149253731343284,0,0.0597014925373134
145,4254,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0.004,0.012,0,0.004,0,0.5,0,0.032,0,0,0.004,0.06,0,0.152,0,0,0,0,0.052,0.004,0,0.068,0.012,0,0,0,0,0,0,0.004,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.008,0,0.064
149,4351,0,0,0,0,0.0132450331125828,0,0,0,0.0033112582781457,0,0,0,0,0,0,0.00993377483443709,0,0.0033112582781457,0,0.629139072847682,0,0.0033112582781457,0,0,0,0.00662251655629139,0,0.119205298013245,0,0,0,0,0.043046357615894,0.00662251655629139,0,0.0728476821192053,0.00993377483443709,0,0,0,0,0,0.0033112582781457,0.0033112582781457,0,0,0,0,0,0,0,0,0.0033112582781457,0.0033112582781457,0,0,0.0033112582781457,0.0231788079470199,0,0.0397350993377483
153,4461,0,0,0,0,0.00668896321070234,0,0,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0.695652173913043,0,0.020066889632107,0,0,0,0.00334448160535117,0,0.117056856187291,0,0,0,0,0.0267558528428094,0,0.00334448160535117,0.0602006688963211,0,0,0,0,0,0,0,0,0,0,0,0.00668896321070234,0,0,0,0,0.0133779264214047,0,0,0,0,0.040133779264214,0,0.00334448160535117
157,4570,0,0,0,0,0.0379310344827586,0.00344827586206897,0,0,0,0,0,0.0275862068965517,0,0,0,0.00344827586206897,0,0,0,0.227586206896552,0,0.0137931034482759,0.00689655172413793,0.00344827586206897,0,0.26551724137931,0,0.241379310344828,0,0,0,0,0.0793103448275862,0.00344827586206897,0.00344827586206897,0.0310344827586207,0.0137931034482759,0,0,0,0,0.00344827586206897,0,0.00344827586206897,0,0,0,0,0,0,0,0,0.0137931034482759,0.00344827586206897,0.00344827586206897,0,0,0.00344827586206897,0,0.00689655172413793
162,4685,0,0,0,0.00341296928327645,0.00341296928327645,0,0,0,0,0,0.00341296928327645,0.00341296928327645,0,0.00341296928327645,0,0,0,0,0,0.665529010238908,0,0.0307167235494881,0,0,0,0,0,0.177474402730375,0,0,0,0,0.0102389078498294,0,0,0.0409556313993174,0.00341296928327645,0,0,0,0,0.0068259385665529,0.00341296928327645,0,0,0,0,0,0.00341296928327645,0,0.00341296928327645,0,0.00341296928327645,0,0,0,0,0.0238907849829352,0,0.0102389078498294
165,4739,0,0,0.00510204081632653,0,0.0255102040816327,0,0,0,0,0,0,0.0102040816326531,0.00510204081632653,0,0,0,0,0,0,0.408163265306122,0,0.0408163265306122,0,0,0,0.0816326530612245,0.0102040816326531,0.11734693877551,0,0,0,0,0.096938775510204,0.00510204081632653,0.00510204081632653,0.086734693877551,0,0,0.0102040816326531,0,0,0,0,0.0102040816326531,0,0,0,0,0,0,0,0,0.00510204081632653,0,0,0,0,0.0102040816326531,0,0.0663265306122449
168,4782,0,0,0,0.0037593984962406,0.0225563909774436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518796992481203,0,0.018796992481203,0,0.0037593984962406,0,0.0526315789473684,0,0.172932330827068,0,0,0,0,0.0488721804511278,0.0112781954887218,0,0.0488721804511278,0.0112781954887218,0,0,0,0,0,0,0.0037593984962406,0,0,0.0037593984962406,0,0,0,0.0037593984962406,0,0.0075187969924812,0,0,0,0,0.018796992481203,0,0.0488721804511278
171,4817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754716981132075,0,0,0,0.490566037735849,0,0.0226415094339623,0,0.00377358490566038,0,0,0,0.271698113207547,0,0,0,0,0.030188679245283,0,0,0.0339622641509434,0.00377358490566038,0,0,0.00377358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830188679245283,0,0.0490566037735849
175,4856,0,0,0,0,0.0133333333333333,0,0.00333333333333333,0,0,0,0,0.00333333333333333,0,0,0,0.00666666666666667,0,0,0,0.573333333333333,0,0.0233333333333333,0,0,0,0,0,0.223333333333333,0,0,0,0,0.0233333333333333,0.00666666666666667,0,0.0666666666666667,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0.00666666666666667,0,0,0,0.00666666666666667,0,0,0,0,0.0166666666666667,0,0.0233333333333333
177,4873,0,0,0,0,0,0,0.00506329113924051,0,0,0,0,0,0,0.00253164556962025,0,0.00759493670886076,0,0,0,0.430379746835443,0,0.0405063291139241,0,0,0,0.00253164556962025,0,0.379746835443038,0,0,0,0,0.010126582278481,0,0,0.0354430379746835,0.00253164556962025,0,0,0,0,0,0,0.00506329113924051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455696202531646,0,0.0329113924050633
181,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220689655172414,0,0.0103448275862069,0,0.00689655172413793,0,0.0310344827586207,0,0.644827586206897,0,0,0,0.00344827586206897,0.0137931034482759,0.0137931034482759,0.00689655172413793,0.0275862068965517,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0.00344827586206897,0,0,0,0.00344827586206897,0,0,0,0,0,0.00689655172413793,0,0.00344827586206897
183,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0.205882352941176,0,0.088235294117647,0,0.0588235294117647,0,0.0294117647058824,0,0.470588235294118,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0,0,0,0
189,NA,0,0,0,0,0,0.0064935064935065,0,0,0,0,0,0,0,0.0064935064935065,0,0.0064935064935065,0,0,0,0.493506493506494,0,0.025974025974026,0,0,0,0,0,0.194805194805195,0,0,0,0,0.0064935064935065,0,0,0.201298701298701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064935064935065,0,0.051948051948052
193,NA,0.00366300366300366,0,0,0,0.00732600732600733,0,0,0,0,0.00366300366300366,0,0.021978021978022,0,0,0.00366300366300366,0.0146520146520147,0,0,0,0.388278388278388,0,0.0183150183150183,0,0,0,0,0,0.333333333333333,0,0,0,0,0.0402930402930403,0,0.00366300366300366,0.10989010989011,0.00366300366300366,0,0,0,0,0,0,0.00366300366300366,0.00366300366300366,0,0,0,0,0,0.00366300366300366,0,0.010989010989011,0,0,0,0,0.0183150183150183,0.00732600732600733,0
