"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Myrica","Poaceae","Rosaceae.trees","Acer.saccharum.type","Acer.negundo","Acer.rubrum","Fraxinus.pennsylvanica.type","Juglans.undiff.","Laportea.type","Morus","Sarcobatus.vermiculatus","Tilia","Apiaceae","Xanthium","Acer.saccharinum.type","Castanea","Fabaceae.undiff.","Ranunculus","Saxifragaceae.undiff.","Iva.xanthifolia.type","Platanus","Cornus","Bidens.type","Celtis","Pyrus.type","Ericaceae.undiff.","Rumex","Potentilla.type","Shepherdia.canadensis","Amorpha.type","Rosaceae.undiff.","Crassulaceae","Ephedra","Epilobium","Gentianaceae","Hypericum","Maclura.pomifera.type","Taxus","Thalictrum","Galium","Brassicaceae","Asteraceae.undiff.","Fagus","Shepherdia.argentea","Spiraea.type","Prunus.Sorbus","Vaccinium","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Caryophyllaceae","Oxyria.digyna","Rubus","Liliaceae","Dryas.type","Polemoniaceae","Geum.type","Pinus.subg..Strobus","Scrophulariaceae","Viburnum","Plantago.major","Polygonum","Hydrophyllum","Lycopus.type","Boraginaceae","Saxifraga.type","Ranunculaceae.undiff.","Stachys.type","Koenigia.islandica","Plantago.undiff.","Pterocarya"
890,12866,1042,3,5,3,5,52,347,7,0,4,1,7,17,113,25,0,0,0,14,1,244,4,23,25,19,27,33,0,6,12,11,0,0,12,0,1,5,0,2,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,13467,952,2,4,5,7,104,272,2,0,6,0,1,20,179,10,0,0,0,5,2,175,1,21,10,21,21,19,0,7,8,10,0,0,19,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,14069,1047,1,2,0,38,95,101,13,1,9,3,2,19,226,49,0,0,1,2,11,251,3,6,23,7,29,57,1,10,6,17,3,0,23,0,1,2,0,6,0,0,0,1,0,0,3,0,0,0,11,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,14553,1037,1,1,1,72,125,19,8,0,9,2,2,17,242,66,0,0,0,2,1,271,0,3,15,11,31,58,0,17,2,10,0,0,23,1,0,1,0,1,0,6,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,14765,918,1,4,4,54,115,14,9,0,9,0,8,13,173,52,0,0,0,1,5,214,3,13,22,13,33,36,0,13,10,27,0,0,33,1,0,6,0,2,0,7,1,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
920,15189,753,1,4,3,60,99,13,15,1,3,2,1,14,126,27,0,0,0,0,1,228,1,11,14,11,10,31,0,9,2,10,0,0,27,0,0,8,0,2,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,15613,847,0,1,2,57,93,14,6,1,2,2,2,20,97,19,0,0,0,0,2,335,3,7,14,13,26,25,0,19,4,14,0,0,31,0,0,7,0,2,1,1,0,0,0,1,2,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
940,16037,930,3,2,10,102,146,30,11,0,5,2,3,30,99,28,0,0,1,1,5,189,1,14,14,14,18,25,0,20,2,52,0,0,40,0,2,10,0,1,0,10,1,0,0,0,0,0,1,9,2,1,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
950,16348,609,0,7,4,19,70,6,9,0,1,0,0,17,109,16,0,0,0,1,2,114,1,11,12,5,6,19,1,13,0,75,0,0,34,0,0,4,0,3,0,17,0,2,0,0,0,0,0,6,0,2,1,0,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
960,16546,465,0,3,4,8,173,3,3,0,3,0,2,3,51,17,0,0,0,0,0,69,2,10,1,6,5,21,0,8,2,7,0,0,33,0,0,1,0,3,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
970,16744,402,0,2,0,7,132,5,4,0,6,1,3,4,43,3,0,0,0,1,1,54,3,14,1,1,9,24,0,15,1,17,0,0,22,0,0,3,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,16941,471,0,2,6,13,126,2,2,0,2,0,3,11,94,2,0,0,0,2,0,76,0,11,2,1,5,17,0,9,1,33,0,0,30,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
990,17139,394,0,2,2,9,99,25,2,0,4,0,3,7,70,9,0,0,0,0,2,63,2,23,2,5,2,22,0,3,1,3,0,0,15,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,17337,416,0,8,2,5,81,5,2,0,3,0,2,10,51,19,0,0,0,0,1,137,2,14,2,3,0,21,1,11,2,4,0,0,19,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1010,17534,512,0,3,6,8,101,6,2,0,7,0,1,15,108,9,0,0,0,0,2,120,0,11,8,1,4,22,0,11,2,16,0,0,36,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1020,17732,281,0,2,2,6,52,6,1,0,3,1,1,7,48,5,0,0,0,0,1,64,1,11,2,4,3,19,0,7,1,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1030,17930,463,0,1,4,9,59,7,2,0,3,0,1,10,115,14,0,0,0,1,0,126,5,9,13,12,3,28,0,5,0,4,0,0,18,0,0,2,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,18127,480,0,6,4,8,108,2,0,0,0,0,2,20,66,14,1,0,0,0,0,130,0,26,4,0,4,20,0,4,1,16,0,0,32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,18325,442,1,5,8,10,57,12,7,0,3,0,2,5,72,2,0,0,0,0,1,130,2,13,12,3,1,19,0,10,1,16,0,0,40,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1060,18522,358,0,1,4,4,68,6,1,0,4,0,2,2,69,1,0,0,0,0,0,102,0,22,2,0,4,20,0,4,3,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,18720,393,0,1,1,4,66,1,4,0,1,0,2,2,55,1,0,0,0,1,0,143,1,16,2,0,1,17,0,8,4,10,0,0,38,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
1080,18918,346,0,3,3,7,91,7,1,0,2,0,0,3,31,1,0,0,0,0,1,113,1,16,1,2,2,7,0,12,0,7,0,0,22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,NA,311,0,15,3,7,55,6,3,0,3,1,0,8,55,2,0,0,0,1,0,61,0,23,1,2,3,16,0,7,2,8,0,0,17,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
