"sample.depths","sample.ages","upland.sum","Acer.rubrum","Artemisia","Betula","Carya","Castanea","Cephalanthus","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tricolpate.","Galium","Poaceae.undiff.","Liquidambar","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Alnus","Ambrosia","Populus","Amaranthaceae","Viburnum","Rosaceae","Zea","Acer.saccharum","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.herbs","Acer.undiff.","Fraxinus..tetracolpate.","Larix","Picea","Iva.annua","Rhamnus","Morus","Myrica","Pinus.strobus","Rhus","Acer.saccharinum","Thalictrum","Urtica","Nyssa","Apiaceae","Celtis","Other.trees.and.shrubs","Abies","Cornus"
1728,7590,503,2,0,1,39,2,0,5,3,0,2,72,27,0,5,0,22,22,3,216,0,0,2,1,41,2,2,2,1,0,0,0,21,0,0,1,1,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
1744,7800,470,0,0,2,48,0,0,4,0,0,3,48,17,0,3,0,22,12,0,210,0,1,2,6,60,1,2,1,0,0,0,0,16,4,0,0,0,1,1,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0
1760,8010,598,0,0,6,46,1,0,5,1,0,2,46,26,0,4,0,14,21,7,333,0,0,2,5,47,2,1,1,3,0,0,0,13,4,0,0,2,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0
1784,8324,602,0,0,3,27,0,0,10,4,0,7,26,40,0,7,0,27,19,8,355,0,1,1,0,29,2,3,1,2,0,2,0,9,4,1,2,1,0,0,0,0,0,0,0,0,7,1,1,1,0,0,0,1,0,0,0
1810,8695,400,1,0,5,13,0,0,9,4,0,2,11,18,0,5,0,19,20,5,244,0,1,1,3,14,0,2,0,1,0,0,0,5,4,0,1,0,0,0,0,3,0,0,0,0,4,0,0,1,3,0,0,1,0,0,0
1826,9027,641,0,2,2,25,0,0,4,5,0,4,8,32,0,10,0,35,46,5,380,0,3,3,7,30,0,4,1,3,0,1,0,10,3,0,3,1,0,2,1,2,0,1,0,0,6,0,1,0,0,0,1,0,0,0,0
1842,9359,727,2,0,5,36,1,0,1,6,0,3,23,41,0,4,0,33,38,1,424,0,0,1,6,58,2,1,0,1,0,0,0,19,2,0,4,1,0,0,0,0,0,1,0,0,10,0,2,1,0,0,0,0,0,0,0
1858,9691,728,1,0,5,30,0,0,3,3,0,5,16,32,0,7,0,78,50,0,403,0,2,7,5,43,6,1,0,0,0,0,0,23,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0
1874,10023,582,1,0,5,10,0,0,3,4,0,5,1,24,0,4,0,42,50,3,346,0,0,6,4,33,7,0,2,0,0,0,0,3,6,0,0,1,0,0,0,3,0,0,0,0,15,0,2,0,0,0,0,0,1,1,0
1882,10189,461,1,1,2,10,0,0,1,6,0,9,0,22,0,1,0,30,37,4,268,0,1,4,4,31,8,0,4,0,0,0,0,3,2,0,2,0,0,1,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
1904,10646,681,0,1,10,11,0,0,3,4,0,6,2,26,0,4,0,95,185,0,191,0,2,3,8,35,8,3,1,1,0,1,0,5,2,0,7,0,0,2,1,2,0,0,0,0,57,0,2,0,0,0,0,3,0,0,0
1912,10812,756,1,1,1,15,0,0,2,3,0,9,3,24,0,1,0,134,157,0,215,0,0,5,7,53,15,2,3,2,0,0,0,12,3,0,12,0,0,2,0,1,0,0,0,0,68,0,2,0,0,0,0,3,0,0,0
1928,11144,617,1,1,7,11,0,0,0,5,0,2,0,27,0,3,0,108,131,3,164,0,0,6,6,44,12,1,1,0,0,0,0,9,5,0,3,0,0,2,1,1,0,0,0,0,57,1,2,0,0,0,0,1,2,0,0
1944,11476,508,0,0,1,4,1,0,3,4,0,3,1,29,0,1,0,38,196,0,112,0,0,0,6,27,11,3,0,1,0,1,0,4,0,0,6,1,0,1,0,1,0,0,0,0,50,0,1,0,0,0,0,1,0,1,0
1960,11715,801,0,0,17,2,0,0,2,4,0,11,1,25,0,4,0,33,339,0,74,0,3,2,12,32,4,1,1,0,0,0,0,4,2,0,54,0,0,2,4,9,0,0,0,1,153,1,1,0,0,0,0,0,0,3,0
1976,11954,648,0,1,26,4,0,0,3,10,0,18,0,19,1,3,0,21,241,0,62,0,3,0,16,24,4,1,6,0,0,0,0,3,4,0,103,0,0,1,14,23,0,0,0,0,28,0,0,0,0,0,0,0,0,9,0
1984,12074,764,0,3,14,1,0,0,3,4,0,11,1,22,0,4,0,18,295,0,37,0,6,0,8,12,3,1,2,0,0,0,0,2,0,0,222,0,0,0,10,58,0,0,0,0,13,0,0,0,0,0,1,0,0,13,0
1994,12224,365,1,5,4,3,0,0,5,11,0,29,1,43,0,6,0,52,22,0,62,0,0,0,8,19,2,1,7,0,0,0,0,1,0,0,6,0,0,0,1,49,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0
2010,12463,416,0,1,6,4,0,0,7,3,0,39,0,51,0,18,0,42,11,0,62,0,4,0,0,19,0,4,14,1,0,0,0,2,1,0,5,1,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0
2026,12703,462,0,2,2,3,0,0,5,3,1,71,1,63,1,13,0,42,6,2,64,0,3,0,0,18,1,4,10,0,0,0,0,0,3,0,7,1,0,1,0,108,0,0,0,1,2,0,0,1,2,0,1,2,0,18,0
2034,12822,364,0,0,4,2,0,0,2,3,1,40,1,42,0,10,0,39,4,0,43,0,4,0,0,5,0,0,1,0,0,0,0,6,4,0,6,0,1,2,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2042,12942,411,0,3,3,4,0,0,4,3,0,42,0,57,0,9,0,46,7,1,66,0,2,0,0,2,3,1,9,0,0,0,0,1,0,1,1,1,0,0,0,117,0,1,0,0,0,0,1,1,0,0,0,3,0,22,0
2050,13062,495,0,0,2,2,0,0,1,6,1,40,0,59,0,10,0,46,3,0,55,0,8,0,0,7,1,0,2,0,0,1,0,1,1,0,3,0,0,3,1,220,0,0,0,0,0,0,0,2,0,0,0,2,0,18,0
2058,NA,388,0,3,3,2,0,0,5,2,0,43,1,36,0,14,0,34,3,1,39,0,3,0,0,4,0,1,18,0,0,0,0,0,0,0,1,1,1,0,1,169,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2074,NA,481,0,1,1,0,0,0,5,2,0,27,0,51,0,12,0,42,9,1,56,0,2,0,0,2,2,1,3,0,0,0,0,1,0,0,2,0,1,1,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2082,NA,363,0,4,4,0,0,0,5,0,1,21,1,38,1,19,0,20,12,0,31,0,3,0,0,1,2,3,5,0,0,2,0,5,0,0,4,0,0,0,0,177,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
