"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.undiff.","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Vitis","Alnus","Ambrosia","Rosaceae.undiff.","Populus","Poaceae","Brassicaceae","Plantago","Picea.undiff.","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Corylus","Pinus.undiff.","Rumex.acetosella","Stellaria","Polygonum.lapathifolium","Fraxinus.pennsylvanica.type","Platanus","Picea.mariana","Galium","Castanea","Sarcobatus.vermiculatus","Cornus.canadensis","Juglans.nigra","Shepherdia","Lamiaceae","Abies","Thalictrum","Celtis","Polygonum.viviparum","Cephalanthus","Picea.glauca","Sambucus","Cornus.sericea","Larix","Cornus.racemosa","Potentilla","Ranunculaceae.undiff.","Epilobium","Ericaceae","Rumex.mexicanus"
350,10881,350.5,0,1,0,18,4,0,2,0,6,1,0,5,27,0,0,0,2,6,0,0,0,2,0,1,3,0,0,2.5,205.5,48,3,0,0,0,0,1,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
355,10945,353.5,0,3,0,12,1,0,0,0,5,1,0,8,31,0,2,0,3,13,0,0,0,1,0,0,9,1,0,1.5,0,0,0,248.5,0,0,1,0,2,7.5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
360,11009,402.5,0,0,0,31,5,0,1,0,5,0,0,17,42,1,0,1,2,23,0,1,0,2,0,1,10,1,0,1.5,175.5,75,0,0,0,0,2,0,0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
365,11073,380.5,0,3,1,26,1,1,0,0,3,0,0,18,28,0,0,2,1,11,0,0,1,1,0,0,9,0,0,3,0,0,0,258.5,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
370,11137,403.5,0,0,0,19,2,0,2,0,5,0,0,18,42,1,1,0,1,16,0,0,1,1,0,1,5,1,0,1,223,42.5,1,0,0,0,0,2,0,11,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0
375,11200,357.5,0,3,1,24,1,1,6,1,13,3,0,26,34,5,0,1,0,12,0,0,1,8,2,1,8,0,0,0,0,0,1,196.5,0,0,0,2,0,2.5,0,0,1,0,0,0,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
380,11264,412,0,2,2,19,1,0,4,3,16,1,0,21,31,1,0,1,1,15,0,0,0,1,0,2,9,1,0,1,249,18.5,2,0,0,0,1,0,0,4.5,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
385,11328,363,1,0,4,6,2,0,3,0,4,2,0,25,35,1,0,3,0,16,0,0,0,2,0,2,4,2,0,0,0,0,1,240,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0.5,0,0,0,0,3,0,0,1,0,0,0,0,0,0
390,11392,360.5,0,1,4,3,1,0,3,0,11,3,0,12,35,1,0,1,0,7,0,1,0,2,0,3,10,1,0,1,234.5,7.5,2,0,0,0,0,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0
395,11456,373,0,0,0,5,1,0,3,0,3,2,0,8,19,2,0,0,3,5,0,0,1,4,0,2,9,1,0,7,0,0,0,277,0,1,1,0,0,13.5,0,0,0,0,0,0,0,2,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0
400,11519,391,0,3,0,10,3,0,1,0,9,1,0,14,40,0,0,1,0,7,0,0,0,3,0,0,5,1,0,0.5,265.5,11,5,0,0,0,0,0,0,7,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
405,11612,370.5,0,0,3,3,0,1,1,0,8,1,0,5,19,0,0,3,2,9,0,0,3,1,0,0,5,0,0,30.5,0,0,1,229,0,0,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
410,11704,350,0,0,4,13,2,2,4,0,21,0,0,12,31,4,0,7,2,15,0,0,3,4,0,2,19,2,0,16,119.5,23,2,0,0,1,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
415,11796,299.5,0,3,9,13,1,0,5,0,9,0,0,8,23,3,1,5,0,14,0,0,4,6,0,1,16,2,0,26.5,0,0,2,75,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,47,0,0,0,0,2,0,0,0,0
420,11896,341.5,0,0,6,16,2,0,2,0,0,1,0,7,22,4,0,0,5,11,0,0,7,3,0,2,6,0,0,79.5,63,7,2,0,0,2,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,66,0,0,2,0,0,1,0,0,0
425,12008,354,0,0,9,28,1,0,2,0,4,0,0,10,13,4,0,1,5,4,1,0,2,3,0,0,11,2,0,87.5,0,0,1,72.5,0,0,1,0,0,12,0,0,0,1,0,0,0,0,1,0,0,0,76,0,0,1,0,0,1,0,0,0
430,12119,313,0,0,7,42,0,0,5,0,0,0,0,6,11,6,1,1,2,4,0,0,2,2,0,1,9,0,0,91,0,0,2,35,0,1,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,70,0,0,3,0,0,1,0,0,0
435,12231,303,0,1,9,17,1,1,3,0,0,0,0,2,13,0,0,0,6,2,0,0,6,2,0,1,8,0,0,109,0,0,0,18.5,0,0,0,0,0,8,0,0,0,0,1,2,0,0,1,0,0,0,87.5,0,0,4,0,0,0,0,0,0
440,12342,320.5,0,0,18,19,0,2,2,0,1,0,0,8,18,1,1,0,3,1,0,0,6,6,0,4,9,0,0,113.5,24,4,0,0,0,0,0,0,0,12,0,0,0,2,0,1,0,0,2,1,0,0,61,0,0,0,1,0,0,0,0,0
445,12454,380,0,0,22,10,1,0,2,0,0,0,0,17,13,1,0,2,7,1,0,0,7,11,0,2,12,0,0,127,0,0,1,19,0,0,0,0,0,10,0,0,0,1,0,2,0,0,1,0,0,0,109,0,0,1,0,0,1,0,0,0
450,12566,352,0,0,13,4,1,0,0,0,8,0,0,20,22,1,0,0,15,6,0,0,1,7,0,5,3,2,0,98,0,0,2,7.5,0,0,0,1,0,14.5,0,0,0,0,0,3,0,0,3,0,0,0,112,0,0,0,0,1,1,1,0,0
455,12677,344.5,0,0,16,2,2,1,1,0,5,0,0,2,10,1,0,0,17,1,0,0,1,8,0,2,2,1,0,116.5,0,0,0,12,0,0,0,0,0,13,0,0,0,1,0,2,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0
460,12789,332.5,0,0,8,0,2,0,2,0,3,0,0,2,4,1,0,0,10,1,0,0,0,4,0,0,4,3,0,58.5,3,0,0,0,0,0,0,0,0,126.5,0,0,0,0,0,0,0,1,1,0,0,0,84.5,0,0,2,0,0,2,10,0,0
465,12900,339.5,0,0,8,3,0,0,7,1,10,0,0,6,7,0,0,0,11,1,0,0,1,2,0,0,10,1,0,95,0,0,1,6.5,0,1,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,3,0,0,0
470,13012,377,0,0,12,4,1,0,2,0,3,1,0,7,14,1,0,0,7,0,0,0,0,2,0,0,11,0,0,150,0,0,0,10,0,0,0,0,0,23.5,0,0,0,0,0,1,0,1,1,1,0,0,122.5,0,0,0,0,1,1,0,0,0
475,13123,383.5,0,0,5,2,1,1,2,0,5,1,0,6,18,0,0,2,11,0,0,0,0,5,0,1,7,1,0,112.5,0,0,0,6.5,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,149.5,0,0,0,0,0,8,1,0,0
480,13235,323,0,0,16,0,0,0,18,0,7,3,0,12,32,0,0,0,12,1,0,0,0,4,0,3,20,5,0,90,11.5,0,0,0,0,0,0,2,0,24,0,0,0,2,1,0,0,0,0,0,0,0,56.5,0,0,0,0,1,2,0,0,0
485,13346,344,0,0,17,2,0,2,8,0,13,1,0,30,36,3,0,0,26,2,0,0,1,6,0,2,18,5,0,96.5,0,0,0,4.5,0,0,0,1,0,4.5,0,0,0,1,0,0,0,0,2,0,0,0,57.5,0,0,0,0,0,5,0,0,0
490,13458,351.5,0,0,23,6,1,0,17,0,13,0,0,28,43,6,0,0,8,1,0,0,1,6,0,3,5,3,0,103,0,0,0,4.5,0,0,0,0,0,11.5,0,0,0,1,0,0,0,0,3,0,0,0,58.5,0,0,0,0,0,4,0,1,1
495,13569,294,0,0,7,0,0,2,27,0,24,0,0,6,7,9,0,0,15,2,0,0,1,6,0,4,15,5,0,71.5,12.5,0,0,0,0,1,0,0,0,33,0,0,0,5,0,0,0,0,1,0,0,0,21,0,0,0,0,1,8,10,0,0
