"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Carya","Castanea","Corylus","Cyperaceae","Fagopyrum","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Poaceae.undiff.","Juglans.cinerea","Larix","Ledum.Chamaedaphne.calyculata","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Vitis","Rosaceae.undiff.","Amaranthaceae","Viburnum","Avena.Triticum","Stachys.type","Cupressaceae.undiff.","Solanaceae","Ilex.Nemopanthus","Achillea.type","Apiaceae.undiff.","Acer.spicatum","Artemisia","Juglans.nigra","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Platanus","Tilia","Zea.mays","Brassicaceae","Secale.type","Ranunculus","Ericaceae.undiff.","Epilobium","Potentilla.type","Sambucus","Rhamnus.cathartica","Boraginaceae","Amorpha","Cornus.sericea.type","Hypericum","Valeriana","Plantago.lanceolata.type","Acer.undiff.","Plantago.major","Arceuthobium","Rhododendron","Nyssa","Liliaceae","Populus.undiff.","Rubus","Liquidambar","Myrica","Rhus.typhina.type","Ranunculaceae.undiff.","Celtis","Taxodium","Iva","Cephalanthus","Toxicodendron.radicans","Alnus.undiff.","Saxifraga","Cannabaceae","Empetrum","Caryophyllaceae","Shepherdia.canadensis","Acer.negundo","Scrophulariaceae","Campanulaceae","Primulaceae","Plantago.undiff.","Linnaea.borealis"
748,218,1079,10,16,6,11,5,1,455,2,0,0,0,0,85,2,11,0,1,0,5,1,6,99,3,64,77,0,3,39,3,0,0,159,0,7,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,264,1176,4.5,14,16,18,5,0,415,0,0,1,0,0,117,2,11,0,0,1,6,5,4,86.5,5,136,56,0,15,52,0,2,0,182,0,4,0,1,0,0,2,0,0,2,0,5,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,290,1085.5,3.5,10,7,10,2,1,327,0,0,0,0,0,145,1,8,0,0,1,2,9,3,59.5,2,28,137.5,1,2,44,0,0,0,257,0,9,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,346,1158,7.5,16,4,10,1,1,388,1,0,0,0,0,143,4,15,0,2,0,7,2,3,107,1,80,78.5,0,2,32,0,0,0,223,0,10,0,0,4,0,0,0,0,5,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,409,1129.5,9.5,15,10,14,4,2,441,1,0,3,1,0,95,4,13,0,0,0,9,2,3,106,1,64,85,0,2,37,0,0,0,176,0,8,0,0,1,0,0,0,0,5,0,10,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,480,1241.5,4.5,29,18,12,2,0,478,1,0,2,0,0,133,1,17,0,2,0,10,1,3,81,3,109,63,0,4,35,1,0,0,198,0,10,0,0,0,0,1,0,0,3,0,9,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,558,1164.5,7,9,7,17,2,0,438,1,0,0,0,0,119,3,16,0,0,0,4,8,6,89,4,105.5,71,0,7,39,0,0,0,175,0,10,0,0,1,0,0,0,0,5,0,10,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,642,1614,13.5,19,12,17,3,3,542,1,0,2,3,0,172,6,15,0,1,0,12,7,6,131.5,4,127,126,0,9,51,0,1,1,280,1,13,2,0,1,1,0,0,0,7,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,732,1110,16.5,15,8,16,6,0,389,1,0,1,0,0,121,5,12,0,0,0,10,3,6,87,2,64,89.5,0,6,42,0,0,0,169,0,11,1,0,2,0,0,0,0,14,0,7,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,827,1311,10,22,6,14,2,0,407,1,0,3,1,0,202,3,19,0,0,0,6,3,4,100.5,5,101.5,67,0,9,36,0,0,0,258,1,10,0,0,2,0,0,0,0,6,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,928,1028,4,15,11,11,1,0,315,1,0,1,1,0,141,4,10,0,0,1,3,4,2,89.5,2,76.5,49,0,3,33,0,0,0,227,1,3,0,0,0,1,0,0,0,8,0,3,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,1033,1125,10,11,5,12,3,0,383,0,0,0,0,0,159,4,12,0,0,0,10,3,6,72.5,1,77,60.5,0,3,24,0,1,0,229,0,11,1,0,0,0,0,0,0,14,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,1142,1096,2,15,6,10,4,0,305,0,0,2,2,0,149,3,15,0,0,0,7,3,2,18.5,1.5,83.5,62.5,0,0,37,0,0,0,353,0,3,0,0,2,0,0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,1254,1229,5.5,24,6,6,4,1,346,0,0,0,1,0,203,8,16,0,3,1,5,2,6,25.5,2,83,97,0,0,32,0,0,0,335,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,1368,1448.5,6,20,16,19,4,3,480,2,0,0,2,0,207,10,21,0,2,0,6,1,9,18.5,0,30,233,0,4,44,0,0,0,284,0,15,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,1481,1031.5,3,7,10,11,1,1,372,1,0,0,0,0,143,5,10,0,0,0,7,1,8,17.5,6,90,80,0,1,31,0,0,0,212,1,8,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,1593,1094,3,26,8,15,3,0,365,0,0,2,0,0,161,3,14,0,0,1,5,0,4,20,4,63.5,118.5,0,1,39,0,0,0,223,0,8,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,1702,1310,4.5,15,2,15,6,0,437,0,0,2,0,0,222,6,17,0,0,0,6,1,7,8,2,105,197.5,0,0,34,0,0,1,207,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,1808,1077.5,4.5,12,6,12,3,0,362,0,0,0,1,0,165,8,12,0,1,0,2,2,3,9.5,4,120.5,150,1,1,35,0,0,2,146,1,8,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,1910,1153,5,9,8,18,2,1,404,2,0,1,1,0,160,1,14,0,0,0,2,4,2,12,2,106,187,0,0,48,0,0,0,142,0,11,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
826,2008,1090.5,2,13,5,15,1,0,444,1,0,3,0,0,154,4,17,0,0,0,2,2,8,5,0,33,197.5,0,0,54,0,0,1,110,1,10,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,2104,1477.5,4.5,16,9,16,1,0,525,3,0,0,0,0,234,3,23,0,0,1,2,5,5,19.5,0,142,246.5,0,0,48,0,0,0,159,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,2197,1110.5,6,10,7,9,2,2,401,0,0,4,0,0,152,3,7,0,0,0,6,1,7,39.5,2,89.5,130.5,0,7,46,0,0,0,160,0,11,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,2288,1410,4.5,16,7,15,3,1,472,4,0,1,1,0,190,8,15,0,0,1,3,1,9,66,5,100.5,101,0,2,39,0,1,0,303,0,9,0,0,5,1,0,0,0,12,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
842,2375,1015.5,3,9,8,12,1,1,364,0,0,0,0,0,127,6,11,0,1,0,1,3,2,27.5,2,54,76,0,1,43,0,1,0,248,1,6,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846,2461,1192.5,3,12,12,13,1,1,348,0,0,1,1,0,171,1,24,0,0,1,4,3,3,8.5,1,90,269,0,1,70,0,0,0,138,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,2545,1127.5,0,11,5,7,0,0,380,0,0,2,1,0,123,0,21,0,2,1,0,3,4,17,1,29,284.5,0,3,52,0,0,0,166,0,7,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
858,2707,1213.5,4.5,8,3,19,2,0,426,0,0,0,0,0,168,3,14,0,0,0,0,2,3,14.5,2,110,222.5,0,0,54,0,0,0,151,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,2785,1177.5,3,6,7,13,0,0,413,1,0,1,0,0,173,4,14,0,0,0,3,3,6,6.5,2,108,216,0,0,58,0,0,0,126,0,9,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,2863,1037,2.5,14,4,10,2,0,357,0,0,0,0,0,162,8,17,0,1,1,1,1,8,3.5,4,88,203,0,1,62,0,0,0,76,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
870,2939,1012,4,10,10,14,5,0,374,2,0,2,2,0,137,4,11,0,0,0,3,3,9,9,1,75,171,0,0,76,0,2,0,69,0,11,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,3015,1039.5,3,12,6,11,1,1,355,1,0,0,1,0,156,3,20,0,0,1,0,3,1,17,0,130,158.5,0,0,42,0,0,0,111,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
878,3090,1165.5,2.5,13,5,15,2,1,414,1,0,0,0,0,143,1,20,0,0,0,2,1,5,13,0,110,230,0,0,55,0,0,0,116,0,7,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,3164,1149,4.5,12,5,14,1,0,460,0,0,0,0,0,155,5,6,0,0,1,3,1,13,10,4,69,159.5,0,0,81,0,0,1,119,0,11,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,3239,1266.5,3.5,16,8,8,1,0,540,0,0,2,0,0,181,5,15,0,1,1,1,2,7,3,0,70,216,0,0,63,2,1,0,108,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,3314,1156,3.5,14,2,10,4,0,479,1,0,6,1,0,174,4,20,0,1,1,2,1,4,12,2,75,178.5,0,0,53,0,0,0,98,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,3389,1146.5,7.5,7,7,16,3,1,489,0,0,0,0,0,132,3,17,0,1,1,2,0,8,8.5,1,87.5,202,1,0,61,0,0,0,77,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
898,3465,1122.5,4.5,17,4,11,8,0,400,0,0,0,2,0,134,2,23,0,0,0,1,5,7,12.5,1,30,289.5,1,2,74,2,0,0,71,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,3542,1077.5,9,12,11,14,3,0,407,1,0,2,0,0,156,4,16,0,0,0,3,2,8,7.5,1,67,212,0,0,56,0,0,0,74,0,8,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,3621,1027,6,9,7,16,0,0,402,0,0,3,0,0,141,1,18,0,0,1,0,1,5,8.5,0,120.5,140,0,0,62,0,1,0,70,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
