"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.rubrum","Acer.saccharinum.type","Ambrosia.type","Betula","Cannabaceae","Carya","Castanea","Cephalanthus","Corylus","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Juglans.cinerea","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Thalictrum","Tilia","Tsuga","Ulmus","Xanthium","Alnus","Myrica","Poaceae","Abies","Acer.undiff.","Artemisia","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Salix","Populus","Rosaceae","Rhus","Larix","Nyssa","Ranunculaceae.undiff.","Morus","Asteraceae.subf..Asteroideae.undiff.","Brassicaceae","Plantago","Ericaceae","Shrubs.undiff.","Taxus","Urtica.type","Viburnum","Salsola","Rhamnaceae","Juglans.nigra","Galium","Liquidambar","Rhamnaceae.Vitaceae.undiff.","Sambucus","Sarcobatus.vermiculatus","Celtis","Acer.negundo"
320,3595,559,12,4,1,1,56,1,19,4,0,1,58,9,16,0,2,14,2,0,5,53,4,213,1,3,17,12,0,35,0,2,0,0,0,0,2,1,0,1,3,1,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
350,3856,329,8,2,1,0,25,0,15,4,0,0,34,5,5,0,0,9,1,1,2,41,5,118,2,0,4,4,0,28,2,1,0,0,0,1,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
380,4116,589,13,9,4,0,39,1,31,1,1,1,59,3,12,1,0,12,3,1,4,36,8,281,0,1,10,19,0,23,0,2,0,0,1,1,4,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
420,4464,511,15,9,0,0,41,1,16,6,1,1,46,14,7,1,0,25,0,0,1,51,0,211,2,4,13,9,0,23,1,1,0,0,0,0,0,4,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
450,4657,381,11,1,0,1,40,0,22,2,0,0,42,6,5,0,6,12,2,0,2,29,4,157,1,0,4,4,0,19,0,0,0,0,0,0,7,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,4844,600,15,7,5,1,65,0,28,1,0,1,70,6,11,2,3,21,0,4,5,38,5,232,1,1,18,13,0,26,0,0,0,0,2,0,4,4,0,1,3,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
520,5094,501,17,4,0,1,49,0,20,3,0,1,67,7,8,0,1,15,1,0,1,36,5,168,1,4,26,7,0,25,0,1,0,0,1,0,19,3,1,0,3,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
540,5219,372,12,1,0,0,40,0,13,0,1,1,62,9,6,0,5,9,0,1,3,24,6,120,1,2,27,7,0,9,0,1,0,1,1,0,2,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,5519,681,29,5,0,2,73,0,24,1,0,0,101,9,10,3,3,14,2,1,3,28,3,165,0,0,153,17,0,16,0,2,0,0,1,2,2,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
605,5785,578,20,2,0,2,53,0,22,0,1,0,82,3,4,1,4,14,1,0,1,20,4,216,0,3,81,15,1,12,1,2,0,1,1,0,1,0,3,0,0,0,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,5950,619,12,8,1,1,57,0,26,1,0,0,85,10,8,1,5,25,0,1,3,24,8,204,1,2,75,16,0,26,0,3,0,2,0,0,3,1,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
650,6280,302,11,5,0,1,14,0,15,0,1,0,35,0,6,1,2,12,1,1,5,11,5,105,0,0,41,7,0,7,0,1,0,1,1,0,3,2,2,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,6652,819,25,3,0,1,65,0,23,2,0,1,104,15,10,1,10,19,0,2,4,48,7,273,1,6,119,27,0,24,2,4,0,0,0,1,6,4,0,0,3,2,0,0,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
720,7153,491,16,3,2,3,36,1,15,0,0,0,90,7,0,0,3,15,1,1,2,21,9,146,1,3,87,11,0,12,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
750,7529,357,13,4,0,0,27,0,13,0,0,0,41,8,2,0,1,14,1,0,3,22,5,115,0,3,62,8,0,9,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
780,7796,556,11,8,1,1,53,0,12,0,0,1,54,11,7,2,6,22,1,0,11,48,3,181,0,0,67,19,0,20,2,2,1,0,0,0,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
820,8137,648,12,3,0,1,46,0,9,0,0,1,76,8,7,1,2,22,2,2,16,67,17,222,0,0,88,19,0,15,1,3,0,0,1,0,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
850,8404,340,4,3,0,0,25,0,1,1,0,1,46,2,3,2,0,17,5,2,3,45,2,99,0,0,65,4,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
880,8673,929,23,5,0,1,74,2,3,4,1,2,101,20,11,0,1,43,3,5,40,149,5,226,1,1,153,22,0,16,0,2,1,0,0,0,0,3,0,2,3,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
920,9030,632,15,3,0,2,21,0,0,0,0,1,55,7,6,2,0,50,2,2,23,133,6,205,0,1,65,10,0,11,1,2,0,0,1,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,9209,407,10,2,2,0,16,0,1,1,0,1,17,6,7,0,0,26,0,4,22,88,1,151,0,1,27,5,0,10,0,0,0,1,1,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,9467,487,2,1,0,1,19,1,1,0,0,3,4,2,6,2,0,19,0,6,13,104,0,227,0,1,28,9,0,10,0,1,1,0,1,0,2,0,8,2,8,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
980,9736,473,6,5,0,4,42,0,0,2,0,1,3,12,4,1,0,22,2,10,17,90,1,184,0,2,27,9,0,13,1,2,0,0,0,0,1,0,3,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,NA,566,5,3,1,0,29,0,0,0,0,2,5,3,10,0,1,28,6,1,22,140,2,238,0,2,25,13,0,14,1,1,2,0,0,2,1,0,1,0,3,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
