"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Ericaceae","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Fabaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Ambrosia.type","Larix","Quercus","Salix","Ulmus","Juniperus.type","Tsuga.canadensis","Rosaceae","Corylus.cornuta","Fagus","Populus.tremuloides.type","Myrica.gale","Amaranthaceae","Saxifraga.cernua.type","Acer.saccharum","Fraxinus.nigra.type","Acer.spicatum","Ostrya.Carpinus","cf..Taxus","Viburnum.edule","Juglans.cinerea","Caryophyllaceae","Ranunculaceae.undiff.","Onagraceae","Castanea.dentata","cf..Oxyria.digyna","Carya.ovata","Viburnum.lentago"
120,5197,0.0173611111111111,0.442708333333333,0.00347222222222222,0.300347222222222,0.0364583333333333,0.00173611111111111,0.116319444444444,0.00173611111111111,0,0,0.00520833333333333,0,0.0190972222222222,0,0.0138888888888889,0.00347222222222222,0.00173611111111111,0.0243055555555556,0.00347222222222222,0.00173611111111111,0,0.00173611111111111,0,0,0,0,0,0,0,0.00173611111111111,0,0,0.00173611111111111,0,0,0,0,0.00173611111111111,0,0,0,0,0,0,0,0
130,5487,0.0635838150289017,0.445086705202312,0.00192678227360308,0.292870905587669,0.0134874759152216,0,0.132947976878613,0.00192678227360308,0,0,0,0,0.0250481695568401,0.00385356454720617,0.00192678227360308,0.00385356454720617,0,0.00770712909441233,0,0,0,0.00192678227360308,0,0,0,0,0,0,0.00192678227360308,0.00192678227360308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5776,0.0173010380622837,0.508650519031142,0,0.278546712802768,0.027681660899654,0,0.133217993079585,0.00173010380622837,0,0,0.0069204152249135,0,0.00346020761245675,0,0.00173010380622837,0,0.00173010380622837,0.013840830449827,0,0.00173010380622837,0,0,0,0,0,0,0,0.00173010380622837,0,0,0,0,0,0,0,0,0,0,0.00173010380622837,0,0,0,0,0,0,0
150,6065,0.0088495575221239,0.633628318584071,0.00176991150442478,0.180530973451327,0.0265486725663717,0,0.104424778761062,0,0,0,0.00353982300884956,0,0.00530973451327434,0,0.00530973451327434,0.00176991150442478,0.00176991150442478,0.0106194690265487,0,0.0106194690265487,0.00176991150442478,0,0,0,0,0,0,0,0,0.00176991150442478,0,0,0,0,0,0,0,0,0,0.00176991150442478,0,0,0,0,0,0
160,NA,0.0153374233128834,0.737730061349693,0,0.0996932515337423,0.0245398773006135,0,0.058282208588957,0.00153374233128834,0.00153374233128834,0,0,0,0.00153374233128834,0.00460122699386503,0.00613496932515337,0,0,0.00460122699386503,0,0.0245398773006135,0.00153374233128834,0.00613496932515337,0,0,0,0,0,0,0.00153374233128834,0.00920245398773006,0,0,0,0,0,0,0,0,0.00153374233128834,0,0,0,0,0,0,0
165,NA,0.0229166666666667,0.435416666666667,0.00625,0.183333333333333,0.0270833333333333,0,0.154166666666667,0.00833333333333333,0.00208333333333333,0,0.00208333333333333,0,0.0145833333333333,0,0.0333333333333333,0.0145833333333333,0,0.0416666666666667,0.00416666666666667,0,0.0104166666666667,0.0104166666666667,0.00208333333333333,0.00208333333333333,0,0.00208333333333333,0,0,0.00625,0.00208333333333333,0.00208333333333333,0,0.00208333333333333,0,0,0,0,0,0,0.00208333333333333,0.00208333333333333,0.00416666666666667,0.00208333333333333,0,0,0
170,NA,0.034965034965035,0.311188811188811,0.006993006993007,0.465034965034965,0.006993006993007,0,0.062937062937063,0.0034965034965035,0,0,0,0,0,0.0034965034965035,0.020979020979021,0.020979020979021,0.034965034965035,0,0,0,0.0034965034965035,0.0034965034965035,0,0,0,0.0104895104895105,0,0,0.006993006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034965034965035,0,0
175,NA,0.0045662100456621,0.534246575342466,0.0091324200913242,0.205479452054795,0.0205479452054795,0.00228310502283105,0.127853881278539,0.00228310502283105,0,0,0.00228310502283105,0,0.0136986301369863,0.00228310502283105,0.0319634703196347,0.00684931506849315,0,0.0045662100456621,0.00684931506849315,0,0,0.00684931506849315,0.00228310502283105,0.0045662100456621,0,0,0,0,0,0,0.0045662100456621,0,0,0.00228310502283105,0,0,0,0,0,0,0,0.00228310502283105,0,0,0.00228310502283105,0
180,NA,0.0187353629976581,0.477751756440281,0.00468384074941452,0.14519906323185,0.00468384074941452,0.00234192037470726,0.131147540983607,0.0210772833723653,0,0,0,0,0.00234192037470726,0.00234192037470726,0.124121779859485,0.0491803278688525,0,0.00234192037470726,0,0,0.00702576112412178,0.00702576112412178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,NA,0.00997506234413965,0.493765586034913,0.0199501246882793,0.269326683291771,0.0149625935162095,0,0.114713216957606,0,0,0,0.00748129675810474,0,0.00498753117206983,0.00249376558603491,0.0249376558603491,0.00997506234413965,0.00997506234413965,0.00249376558603491,0,0,0,0.00249376558603491,0.00249376558603491,0,0,0,0,0,0.00498753117206983,0.00249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249376558603491
200,NA,0.0117416829745597,0.471624266144814,0.00782778864970646,0.399217221135029,0.0117416829745597,0,0.050880626223092,0.00195694716242661,0.00195694716242661,0.00195694716242661,0,0,0.00782778864970646,0.00978473581213307,0.00782778864970646,0.00782778864970646,0.00195694716242661,0.00195694716242661,0,0.00195694716242661,0,0,0,0,0,0,0,0,0,0.00195694716242661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,NA,0.0285035629453682,0.451306413301663,0.0261282660332542,0.173396674584323,0.0308788598574822,0.00237529691211401,0.0950118764845606,0.00475059382422803,0.00712589073634204,0,0.00237529691211401,0,0.00475059382422803,0,0.0926365795724466,0.0380047505938242,0.00712589073634204,0.00475059382422803,0.00237529691211401,0,0,0.00712589073634204,0.00475059382422803,0.00237529691211401,0,0,0,0,0.00237529691211401,0.00475059382422803,0.00475059382422803,0,0,0.00237529691211401,0,0,0,0,0,0,0,0,0,0,0,0
215,NA,0.0376940133037694,0.465631929046563,0.0288248337028825,0.250554323725055,0.0221729490022173,0.00221729490022173,0.0753880266075388,0.00665188470066519,0.00221729490022173,0,0.0110864745011086,0,0.0133037694013304,0,0.0532150776053215,0.00221729490022173,0,0.00443458980044346,0.00665188470066519,0,0,0.00443458980044346,0,0,0,0,0,0,0,0.00221729490022173,0.0110864745011086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
