"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Betula","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Celtis","Cerealia","Corylus","Cupressaceae","Cyperaceae","Dalea","Ephedra","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Impatiens","Indeterminable","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.undiff.","Lamiaceae","Larix","Liliaceae","Liquidambar","Lycopodium.type","Malvaceae","Menyanthes.trifoliata","Morus","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polemoniaceae","Polygonaceae.undiff.","Populus","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
580,7082,0,0,0,0,0,0,36,108,2,0,12,15,0,0,0,1,0,0,0,0,0,0,0,40,1,0,0,4,0,0,0,0,0,35,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,82,0,0,0,5,0,0,0,0,25,1,0,0,3,0,0,0,6,3,2
600,7256,0,0,0,0,4,2,40,77,0,1,28,37,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,1,0,2,0,0,0,16,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,37,0,0,0,15,1,0,0,0,25,0,0,0,0,0,0,0,2,2,3
610,7343,0,0,0,0,0,0,18,112,0,1,16,18,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,3,0,4,0,0,0,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,86,0,0,0,5,0,0,0,0,24,0,0,0,0,0,0,0,4,2,1
620,7430,0,0,0,1,0,0,51,72,0,0,12,26,0,0,0,2,0,0,0,0,0,0,0,24,1,0,0,1,2,3,0,0,0,26,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,64,0,0,0,9,0,0,1,0,22,5,0,0,4,0,0,0,3,3,3
630,7517,0,0,0,0,0,0,18,105,3,0,14,16,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,2,0,0,0,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,13,0,0,81,0,0,0,7,4,0,1,0,30,2,0,0,4,0,0,0,7,5,2
650,7691,0,0,0,0,0,3,20,107,1,2,25,18,0,0,1,0,0,0,0,1,0,0,0,6,2,0,0,9,0,2,0,0,0,18,6,0,6,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,12,0,0,46,3,0,0,13,3,0,0,0,23,1,0,0,2,0,0,1,1,2,3
660,7778,0,0,0,0,0,1,36,77,0,1,5,17,0,0,0,0,0,1,0,0,0,1,0,58,4,1,0,6,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,11,0,0,109,0,0,0,4,2,0,0,0,18,2,0,0,2,0,0,0,2,5,0
680,7952,0,0,0,0,0,0,11,77,1,0,16,9,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,9,0,0,121,0,0,0,6,0,0,0,0,7,1,0,0,1,0,0,0,0,3,4
690,8039,0,0,0,0,0,1,23,139,0,0,4,19,2,0,2,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,39,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,74,1,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,3,4,1
700,8126,0,0,0,0,0,0,18,83,0,0,11,22,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,1,0,0,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,0,0,105,1,0,0,11,1,0,1,0,11,0,0,0,0,0,0,0,5,4,3
710,8213,0,0,0,0,0,1,17,86,4,0,14,17,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,9,0,3,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,1,0,121,0,0,0,5,0,0,0,0,15,0,0,0,2,0,0,0,2,2,2
720,8300,0,0,0,0,0,0,18,180,0,0,11,0,0,11,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,52,0,0,0,2,0,0,0,0,1,3,0,0,0,0,1,0,4,2,4
730,8387,0,0,0,0,0,0,20,75,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,3,0,0,0,0,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,35,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,2,4,1
740,8474,0,0,0,0,0,1,23,117,1,0,16,10,0,0,2,0,0,0,0,0,0,1,0,7,1,0,0,3,0,1,0,0,0,14,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,10,0,0,77,0,0,0,3,0,0,1,0,18,0,0,0,1,0,0,0,1,5,2
750,8547,0,0,0,0,0,1,23,100,1,0,20,16,0,0,3,0,0,2,0,0,0,0,0,13,2,0,0,5,2,1,0,0,0,15,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,72,0,0,0,10,1,0,0,0,19,0,0,0,1,0,1,0,7,2,2
