"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Plantago","Poaceae","Urtica"
50,9582,0.0097560975609756,0,0,0.0341463414634146,0.0048780487804878,0,0,0,0,0.0195121951219512,0,0.0048780487804878,0.0292682926829268,0,0.760975609756098,0,0.073170731707317,0,0,0.0097560975609756,0.0292682926829268,0,0.0097560975609756,0,0,0,0.0048780487804878,0.0048780487804878,0,0.0048780487804878,0
55,9763,0.01,0.01,0,0.04,0,0,0.005,0,0,0.04,0,0,0.025,0.01,0.795,0,0.05,0,0,0.005,0.01,0,0,0,0,0,0,0,0,0,0
60,9945,0.00495049504950495,0,0,0.0693069306930693,0,0,0.0099009900990099,0,0.00495049504950495,0.0198019801980198,0,0,0.0445544554455446,0,0.782178217821782,0,0.0396039603960396,0.00495049504950495,0,0.00495049504950495,0.0099009900990099,0,0,0,0,0,0,0.00495049504950495,0,0,0
65,10126,0.0245098039215686,0.0147058823529412,0.00490196078431373,0.0784313725490196,0.00490196078431373,0,0,0,0.00980392156862745,0.053921568627451,0,0,0.0294117647058824,0.00490196078431373,0.691176470588235,0,0.0441176470588235,0,0,0.00490196078431373,0.0196078431372549,0,0,0,0,0,0,0.0147058823529412,0,0,0
67,10198,0.00980392156862745,0.00980392156862745,0.00490196078431373,0.0343137254901961,0,0,0,0,0,0.0147058823529412,0,0,0.0245098039215686,0.00490196078431373,0.80392156862745,0,0.0490196078431373,0.00490196078431373,0,0.00490196078431373,0.0245098039215686,0,0,0,0,0,0.00490196078431373,0,0,0.00490196078431373,0
70,10307,0.00970873786407767,0,0,0.0631067961165049,0.00485436893203883,0,0,0,0,0.0970873786407767,0,0,0.00485436893203883,0.00485436893203883,0.75242718446602,0,0.00970873786407767,0,0,0.00485436893203883,0.0194174757281553,0,0.00485436893203883,0,0.00485436893203883,0,0,0.00485436893203883,0,0,0.0145631067961165
75,10488,0.0142857142857143,0.00476190476190476,0.0142857142857143,0.0428571428571429,0.00952380952380952,0,0.019047619047619,0,0,0.0285714285714286,0,0,0.0285714285714286,0.00952380952380952,0.71904761904762,0,0.0476190476190476,0.00476190476190476,0,0.00476190476190476,0.0238095238095238,0,0,0.00476190476190476,0.00476190476190476,0,0,0.0142857142857143,0,0.00476190476190476,0
80,10669,0.00497512437810945,0,0,0.0298507462686567,0.00497512437810945,0,0.0099502487562189,0,0.00497512437810945,0.0398009950248756,0,0,0.0298507462686567,0.0099502487562189,0.776119402985075,0,0.054726368159204,0,0,0.0149253731343284,0.0149253731343284,0,0,0,0,0,0,0,0,0.00497512437810945,0
90,11031,0.0339805825242718,0,0.00485436893203883,0.0970873786407767,0,0,0.00970873786407767,0,0.00485436893203883,0.0485436893203883,0,0.0145631067961165,0.00970873786407767,0,0.650485436893204,0.00485436893203883,0.058252427184466,0.00485436893203883,0.00485436893203883,0.00970873786407767,0.0242718446601942,0,0,0.00485436893203883,0,0,0,0.0145631067961165,0,0,0
95,NA,0.00495049504950495,0,0,0.272277227722772,0,0,0.00495049504950495,0,0,0.0099009900990099,0,0,0.0247524752475248,0.0495049504950495,0.544554455445545,0,0.0495049504950495,0,0,0.00495049504950495,0.0247524752475248,0,0,0,0,0,0.00495049504950495,0.00495049504950495,0,0,0
100,NA,0.0294117647058824,0,0,0.053921568627451,0.00490196078431373,0,0.00980392156862745,0,0,0.0147058823529412,0,0,0.00490196078431373,0.0343137254901961,0.784313725490196,0.00490196078431373,0.0147058823529412,0.00490196078431373,0,0.00490196078431373,0.0196078431372549,0,0,0,0,0,0,0.00980392156862745,0,0.00490196078431373,0
105,NA,0.0248756218905473,0,0,0.0696517412935323,0,0,0,0.00497512437810945,0,0.0398009950248756,0,0,0.0149253731343284,0.0298507462686567,0.736318407960199,0,0.0497512437810945,0,0,0.0099502487562189,0.0199004975124378,0,0,0,0,0,0,0,0,0,0
110,NA,0.0097560975609756,0,0,0.0829268292682927,0,0,0,0.0048780487804878,0,0.0146341463414634,0,0,0.0097560975609756,0.0195121951219512,0.75609756097561,0.0048780487804878,0.0585365853658537,0,0,0,0.0195121951219512,0,0.0048780487804878,0,0,0,0.0048780487804878,0.0097560975609756,0,0,0
115,NA,0.0147058823529412,0,0,0.0833333333333333,0.00490196078431373,0,0.00980392156862745,0,0,0.0245098039215686,0,0.00490196078431373,0.0196078431372549,0.0147058823529412,0.715686274509804,0.00980392156862745,0.0441176470588235,0.00490196078431373,0,0.0147058823529412,0.0196078431372549,0,0,0,0,0,0,0.00490196078431373,0,0.00980392156862745,0
120,NA,0.029126213592233,0.00485436893203883,0,0.0679611650485437,0.00485436893203883,0,0,0,0,0.0194174757281553,0,0,0.0145631067961165,0.0339805825242718,0.70873786407767,0,0.0679611650485437,0,0,0.00485436893203883,0.0145631067961165,0,0,0.00485436893203883,0,0.00485436893203883,0.00485436893203883,0.0145631067961165,0,0,0
